,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,362.07M,362.07M,119.28M,242.80M,,23.14M,23.14M,,,1.825M,-2.375M,,52.62M,28.30M,-24.32M,,153.27M,89.53M,28.30M,52.62M,-24.32M,36.34M,-24.32M,101.54M,-0.105M,101.65M,,,-5.904M,,95.74M,78.71M,284.30M,130.13M,154.17M,,1.47,,,,1.208,1.47,,1.47,,,,1.208,1.47,,65.13M,65.15M,2.078,,AOR,
2020-09,370.81M,370.81M,121.01M,249.80M,,13.31M,13.31M,,,,-19.12M,,55.43M,6.512M,-48.92M,,143.51M,106.28M,6.512M,55.43M,-48.92M,21.48M,-48.92M,78.84M,0.00,78.84M,,,-5.181M,,73.66M,67.15M,264.47M,130.20M,134.27M,,1.13,,,,1.030,1.13,,1.13,,,,1.030,1.13,,65.23M,65.24M,2.078,,AOR,
2020-06,370.50M,370.50M,118.78M,251.72M,,14.95M,14.95M,,,,-5.042M,,54.45M,11.40M,-43.04M,,148.56M,103.15M,11.40M,54.45M,-43.04M,31.60M,-43.04M,91.71M,1.636M,90.08M,,,-5.618M,,84.46M,70.37M,279.77M,133.61M,146.16M,,1.29,,,,1.075,1.29,,1.29,,,,1.075,1.29,,65.41M,65.43M,2.078,,AOR,
2020-03,392.37M,392.37M,115.90M,276.46M,,13.98M,13.98M,,,,0.234M,,60.37M,,-60.37M,,145.54M,130.92M,,60.37M,-60.37M,258.21M,-60.37M,328.76M,,328.76M,,,-13.76M,,315.01M,313.39M,520.69M,131.56M,389.13M,,4.77,,,,4.745,4.77,,4.76,,,,4.736,4.76,,66.04M,66.20M,2.078,,AOR,
2019-12,375.36M,375.36M,109.74M,265.62M,,15.53M,15.53M,,,,-10.63M,,54.69M,17.00M,-37.68M,,138.44M,127.19M,17.00M,54.69M,-37.68M,45.68M,-37.68M,135.18M,0.00,135.18M,,,-6.364M,,128.82M,140.34M,312.78M,122.91M,189.87M,,1.95,,,,2.124,1.95,,1.95,,,,2.124,1.95,,66.09M,66.18M,1.95,,AOR,
2019-09,366.93M,366.93M,110.73M,256.21M,,11.34M,11.34M,,,,5.462M,,54.90M,8.685M,-46.21M,,132.15M,124.05M,8.685M,54.90M,-46.21M,29.32M,-46.21M,107.16M,1.457M,105.70M,,,-6.365M,,99.34M,91.82M,282.86M,120.81M,162.05M,,1.51,,,,1.396,1.51,,1.51,,,,1.396,1.51,,65.85M,65.97M,1.95,,AOR,Restated
2019-06,361.64M,361.64M,103.66M,257.98M,,13.93M,13.93M,,,,0.308M,,54.11M,8.347M,-45.76M,,133.39M,124.58M,8.347M,54.11M,-45.76M,19.24M,-45.76M,98.06M,0.00,98.06M,,,-5.786M,,92.28M,89.99M,271.64M,119.46M,152.17M,,1.40,,,,1.365,1.40,,1.40,,,,1.365,1.40,,65.72M,65.82M,1.95,,AOR,Restated
2019-03,356.22M,356.22M,106.47M,249.75M,,13.46M,13.46M,,,,1.304M,,53.64M,12.26M,-41.38M,,134.03M,115.73M,12.26M,53.64M,-41.38M,51.16M,-41.38M,125.50M,,125.50M,,,-6.647M,,118.86M,116.41M,299.72M,120.57M,179.15M,,1.81,,,,1.773,1.81,,1.81,,,,1.773,1.81,,65.70M,65.78M,1.95,,AOR,Restated
2018-12,353.16M,353.16M,106.20M,246.96M,,16.91M,16.91M,,,,-0.038M,,54.16M,1.769M,-52.39M,,137.51M,109.45M,1.769M,54.16M,-52.39M,67.38M,-52.39M,124.44M,0.00,124.44M,,,-6.62M,,117.82M,76.22M,299.19M,120.60M,178.60M,,1.78,,,,1.150,1.78,,1.78,,,,1.150,1.78,,66.02M,66.06M,1.86,,AOR,Restated
2018-09,350.92M,350.92M,105.54M,245.38M,,10.60M,10.60M,,,,-0.031M,,55.20M,8.437M,-46.76M,,131.45M,113.93M,8.437M,55.20M,-46.76M,18.94M,-46.76M,86.11M,0.00,86.11M,,,-5.135M,,80.98M,78.82M,262.16M,120.85M,141.31M,,1.23,,,,1.197,1.23,,1.22,,,,1.187,1.22,,66.05M,66.10M,1.86,,AOR,Restated
