,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,78.84M,,-22.74M,-14.96M,-18.59M,,,130.20M,130.20M,-1.736M,-3.288M,0.88M,-15.02M,,4.136M,40.53M,,-0.22M,44.45M,227.33M,,-24.26M,,,-17.24M,24.67M,-13.72M,-14.18M,,295.20M,295.20M,,-26.68M,-26.68M,,,,-135.73M,-135.73M,0.00,-33.33M,99.46M,,256.48M,312.60M,569.08M,,,596.18M,-300.98M,-26.68M,62.57M,,AOR,
2020-06,90.08M,,-16.64M,-17.26M,-28.87M,,,133.61M,133.61M,-2.468M,-7.623M,2.638M,1.196M,,-9.052M,-30.24M,,-0.448M,-39.74M,159.18M,,-22.86M,,,-21.91M,3.878M,-6.558M,157.83M,,-175.02M,-175.02M,,-20.16M,-20.16M,,,,-135.96M,-135.96M,0.536M,-12.29M,-342.89M,,282.35M,-25.87M,256.48M,,,358.49M,-533.51M,-20.16M,45.87M,,AOR,
2020-03,328.76M,,0.013M,-255.99M,-256.30M,,,131.56M,131.56M,-2.394M,8.696M,1.405M,1.942M,,-0.172M,32.81M,,1.278M,33.91M,266.93M,,-17.15M,,,-21.90M,-10.57M,99.26M,-445.64M,,690.58M,690.58M,,-176.38M,-176.38M,,,,-128.88M,-128.88M,14.33M,-19.68M,379.96M,,81.09M,201.25M,282.35M,,,1.537B,-845.99M,-176.38M,52.49M,,AOR,
2019-12,135.18M,,2.63M,-57.20M,-51.14M,,,122.91M,122.91M,-11.82M,-1.43M,0.262M,0.976M,,9.713M,-34.73M,,0.48M,-24.54M,212.15M,,-32.34M,,,-96.05M,86.56M,75.30M,176.56M,,-238.34M,-238.34M,-0.01M,0.00,-0.01M,,,,-149.60M,-149.60M,1.045M,-12.44M,-399.35M,,91.73M,-10.63M,81.09M,,-0.01M,606.71M,-845.05M,0.00,49.42M,,AOR,
2019-09,105.70M,,-0.239M,-21.70M,-27.41M,,,120.81M,120.81M,-5.804M,0.174M,1.427M,-0.129M,,3.963M,51.80M,,0.644M,56.40M,277.09M,,-27.42M,,,-138.96M,4.384M,-139.69M,-372.79M,,170.31M,170.31M,72.55M,0.082M,72.63M,,,,-128.17M,-128.17M,27.68M,-10.00M,132.45M,,54.97M,36.76M,91.73M,,72.55M,903.73M,-733.42M,0.082M,50.08M,,AOR,Restated
2019-06,98.06M,,-0.556M,-16.96M,-17.85M,,,119.46M,119.46M,-5.558M,0.056M,3.253M,-0.275M,,-3.195M,-41.41M,,0.628M,-43.98M,174.07M,,-24.85M,,,-41.03M,1.694M,1.362M,-112.22M,,4.447M,4.447M,,-0.062M,-0.062M,,,,-128.16M,-128.16M,2.044M,-9.278M,-131.01M,,124.13M,-69.16M,54.97M,,,408.80M,-404.36M,-0.062M,53.01M,,AOR,Restated
2019-03,125.50M,,0.058M,-47.81M,-49.09M,,,120.57M,120.57M,-5.311M,-4.51M,2.068M,-0.895M,,-4.73M,53.90M,,0.454M,49.62M,255.76M,,-17.08M,,,-126.25M,8.434M,4.088M,-219.25M,,137.26M,137.26M,,-57.01M,-57.01M,,,,-122.52M,-122.52M,6.699M,-28.20M,-63.78M,,151.40M,-27.27M,124.13M,,,1.065B,-928.00M,-57.01M,41.91M,,AOR,Restated
2018-12,124.44M,,-39.68M,-25.77M,-65.46M,,,120.60M,120.60M,-4.688M,5.585M,-0.074M,-2.049M,,2.841M,-55.61M,,0.477M,-52.30M,145.42M,,-26.79M,,,-62.24M,0.198M,3.561M,75.93M,,-68.08M,-68.08M,,-47.90M,-47.90M,,,,-143.40M,-143.40M,3.462M,11.34M,-244.58M,,174.63M,-23.23M,151.40M,,,288.79M,-356.87M,-47.90M,57.76M,,AOR,Restated
2018-09,86.11M,,-0.12M,-16.79M,-16.91M,,,120.85M,120.85M,-4.48M,-1.18M,1.303M,-1.989M,,2.034M,52.63M,,0.119M,54.78M,257.62M,,-23.92M,,,-2.376M,2.391M,0.301M,-76.82M,,-54.16M,-54.16M,,-0.13M,-0.13M,,,,-122.86M,-122.86M,0.887M,-7.493M,-183.75M,,177.58M,-2.95M,174.63M,,,15.64M,-69.80M,-0.13M,45.54M,,AOR,Restated
2018-06,106.41M,,-22.11M,-15.05M,-37.16M,,,119.33M,119.33M,-4.312M,-0.122M,3.816M,-2.027M,,-2.362M,-49.31M,,0.234M,-51.44M,155.16M,,-16.03M,,,-41.81M,-5.162M,-3.843M,39.98M,,-24.41M,-24.41M,,-0.286M,-0.286M,,,,-122.85M,-122.85M,0.642M,-9.74M,-156.65M,,139.08M,38.50M,177.58M,,,181.70M,-206.11M,-0.286M,60.19M,,AOR,Restated
2018-03,96.64M,,-0.68M,-32.77M,-33.45M,,,119.10M,119.10M,-4.157M,0.876M,2.09M,-1.958M,,-3.716M,52.15M,,0.345M,48.78M,268.36M,,-14.95M,,,-56.02M,-3.858M,30.48M,-98.99M,,36.02M,36.02M,,-3.841M,-3.841M,,,,-115.60M,-115.60M,1.222M,-9.22M,-91.42M,,61.13M,77.95M,139.08M,,,555.60M,-519.58M,-3.841M,40.31M,,AOR,Restated
2017-12,109.66M,,-0.259M,-45.51M,-43.97M,,,117.99M,117.99M,-3.991M,0.00,4.392M,-2.108M,,-0.16M,-64.26M,,-0.569M,-64.99M,146.04M,,-24.08M,,,-61.81M,-0.121M,23.74M,-82.65M,,75.27M,75.27M,8.678M,0.00,8.678M,,,,-134.32M,-134.32M,2.556M,-17.73M,-65.54M,,63.27M,-2.147M,61.13M,,8.678M,417.41M,-342.14M,0.00,63.42M,,AOR,Restated
2017-09,85.04M,,-0.281M,-19.73M,-20.01M,,,117.45M,117.45M,-3.858M,0.00,1.533M,-1.978M,,-1.093M,53.96M,,-0.247M,52.62M,251.04M,,-23.09M,,,-86.95M,-27.44M,-61.87M,-221.65M,,-44.78M,-44.78M,-0.188M,0.00,-0.188M,,,,-115.49M,-115.49M,2.038M,-7.573M,-165.99M,,199.88M,-136.60M,63.27M,,-0.188M,97.52M,-142.30M,0.00,42.29M,,AOR,Restated
2017-06,75.80M,,-0.013M,-12.47M,-12.48M,,,117.94M,117.94M,-3.697M,,2.108M,-1.936M,,2.138M,-45.65M,,-0.091M,-43.60M,149.22M,,-14.76M,,,-23.78M,-8.813M,-4.045M,-83.74M,,67.12M,67.12M,80.56M,0.065M,80.63M,,,,-114.76M,-114.76M,16.25M,-15.08M,34.15M,,100.25M,99.62M,199.88M,,80.56M,410.73M,-343.62M,0.065M,58.05M,,AOR,Restated
2017-03,187.55M,,-27.78M,-97.38M,-125.16M,,,115.50M,115.50M,-3.573M,0.00,1.253M,-3.956M,,-3.889M,42.48M,,0.737M,39.33M,223.31M,,-10.88M,,,-120.82M,3.964M,-7.803M,-179.90M,,-6.787M,-6.787M,,-0.065M,-0.065M,,,,-104.86M,-104.86M,5.794M,-7.542M,-113.46M,,170.30M,-70.05M,100.25M,,,654.56M,-661.35M,-0.065M,48.40M,,AOR,Restated
2016-12,204.52M,,-137.15M,-9.766M,-146.52M,,,111.84M,111.84M,-3.44M,,5.375M,-4.104M,,2.074M,-47.66M,,-0.916M,-46.50M,136.30M,,-24.27M,,,-62.02M,15.75M,-81.36M,-148.26M,,7.121M,7.121M,,-1.047M,-1.047M,,0.00,0.00,-104.85M,-104.85M,1.071M,-8.571M,-106.28M,,195.17M,-118.24M,170.30M,,,444.29M,-437.17M,-1.047M,63.56M,,AOR,Restated
2016-09,70.16M,,-1.033M,-9.568M,-10.39M,,,110.47M,110.47M,-3.314M,,1.238M,-3.834M,,4.598M,40.19M,,-0.329M,44.46M,230.14M,,-18.23M,,,-25.27M,1.102M,6.628M,-83.68M,,-27.30M,-27.30M,,-0.103M,-0.103M,,0.00,0.00,-104.80M,-104.80M,6.118M,-7.726M,-133.81M,,182.52M,12.65M,195.17M,,,52.49M,-79.79M,-0.103M,47.15M,,AOR,Restated
2016-06,76.82M,,-1.103M,-14.30M,-15.40M,,,109.67M,109.67M,-3.701M,,1.708M,-3.803M,,-4.788M,-25.43M,,0.425M,-29.79M,149.74M,,-16.59M,,,-46.11M,-8.874M,-1.638M,-100.37M,,271.45M,271.45M,,-0.145M,-0.145M,,-73.75M,-73.75M,-106.01M,-106.01M,6.528M,-13.09M,84.98M,,48.16M,134.35M,182.52M,,,462.72M,-191.26M,-73.90M,44.92M,,AOR,Restated
2016-03,86.91M,,-21.00M,-15.07M,-36.07M,,,109.71M,109.71M,-3.756M,,1.49M,-3.795M,,0.846M,35.20M,,0.324M,36.37M,200.61M,,-5.688M,,,-50.59M,3.701M,59.78M,-80.76M,,-4.008M,-4.008M,,-0.134M,-0.134M,,,,-95.48M,-95.48M,5.232M,-6.984M,-101.37M,,29.68M,18.48M,48.16M,,,305.90M,-309.90M,-0.134M,48.11M,,AOR,Restated
2015-12,85.76M,,-40.22M,-5.899M,-40.01M,,,116.48M,116.48M,-3.377M,,0.55M,-4.297M,,2.118M,-45.36M,,0.412M,-42.82M,130.26M,,-14.47M,,,-8.759M,1.341M,-47.58M,-65.24M,,5.316M,5.316M,24.30M,,24.30M,,0.00,0.00,-95.26M,-95.26M,4.367M,-9.738M,-71.01M,,35.67M,-5.985M,29.68M,,24.30M,277.82M,-272.51M,0.00,-316.84M,,AOR,Restated
2015-09,47.18M,,-0.598M,-7.179M,-7.777M,,,116.31M,116.31M,-3.235M,,2.054M,-3.939M,,4.795M,31.56M,,0.088M,36.44M,200.86M,,-18.14M,,,-21.61M,-1.452M,-11.22M,-85.17M,,-49.53M,-49.53M,35.17M,,35.17M,,0.00,0.00,-94.98M,-94.98M,3.827M,-4.753M,-110.27M,,30.24M,5.426M,35.67M,,35.17M,144.60M,-194.13M,0.00,49.39M,,AOR,Restated
2015-06,50.54M,,0.00,-17.12M,-17.12M,,,113.73M,113.73M,-2.921M,,2.087M,-4.595M,,-10.19M,-16.82M,,1.041M,-25.97M,124.50M,,-8.477M,,,-123.07M,1.251M,11.81M,-288.30M,,-27.01M,-27.01M,98.07M,,98.07M,,0.00,0.00,-93.36M,-93.36M,2.733M,-7.793M,-27.36M,,219.20M,-188.96M,30.24M,,98.07M,166.87M,-193.88M,0.00,136.69M,,AOR,Restated
