,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,885.00M,,885.00M,899.00M,,1.485B,237.00M,512.00M,310.00M,,,576.00M,3.837B,4.751B,3.265B,63.85B,-20.09B,43.76B,,2.813B,31.00M,,348.00M,49.87B,53.71B,,1.602B,226.00M,504.00M,2.332B,186.00M,2.518B,901.00M,901.00M,208.00M,1.109B,766.00M,4.393B,2.942B,19.96B,1.395B,21.36B,4.742B,201.00M,4.943B,,651.00M,158.00M,,,178.00M,35.54B,39.93B,,1.314B,5.912B,6.694B,,,,-143.00M,13.78B,,AOR,
2020-06,1.625B,,1.625B,799.00M,,1.412B,210.00M,487.00M,281.00M,,,513.00M,4.39B,4.446B,3.06B,62.05B,-19.70B,42.35B,,2.683B,38.00M,,1.019B,49.07B,53.46B,,1.188B,226.00M,343.00M,1.757B,200.00M,1.957B,2.511B,2.511B,149.00M,2.66B,856.00M,5.473B,2.881B,19.46B,1.125B,20.59B,4.616B,201.00M,4.817B,,636.00M,181.00M,,,185.00M,34.60B,40.07B,,1.313B,5.538B,6.679B,,,,-145.00M,13.38B,,AOR,
2020-03,244.00M,,244.00M,839.00M,,1.40B,205.00M,488.00M,298.00M,,,508.00M,2.983B,4.39B,2.756B,61.33B,-19.30B,42.04B,,2.429B,39.00M,,516.00M,48.15B,51.13B,,996.00M,226.00M,553.00M,1.775B,167.00M,1.942B,2.867B,2.867B,143.00M,3.01B,887.00M,5.839B,2.734B,17.01B,1.163B,18.17B,4.54B,202.00M,4.742B,,622.00M,183.00M,,,196.00M,31.99B,37.83B,,1.313B,5.478B,6.659B,,,,-148.00M,13.30B,,AOR,
2019-12,248.00M,,248.00M,837.00M,,1.55B,274.00M,544.00M,228.00M,,,488.00M,3.113B,5.011B,2.329B,60.60B,-19.44B,41.16B,,2.731B,22.00M,,492.00M,47.34B,50.45B,,1.294B,212.00M,466.00M,1.972B,192.00M,2.164B,1.297B,1.297B,,1.297B,1.107B,4.568B,2.701B,17.41B,1.549B,18.96B,4.558B,203.00M,4.761B,,785.00M,175.00M,,,186.00M,32.64B,37.21B,,1.311B,5.413B,6.656B,,,,-141.00M,13.24B,,AOR,
2019-09,864.00M,,864.00M,821.00M,,1.444B,273.00M,544.00M,232.00M,,,455.00M,3.60B,5.006B,2.629B,59.60B,-19.18B,40.42B,,2.599B,22.00M,,478.00M,46.64B,50.24B,,1.258B,212.00M,443.00M,1.913B,166.00M,2.079B,1.786B,1.786B,,1.786B,1.156B,5.021B,2.679B,16.82B,1.598B,18.42B,4.477B,203.00M,4.68B,,856.00M,178.00M,,,186.00M,32.08B,37.10B,,1.311B,5.336B,6.636B,,,,-142.00M,13.14B,,AOR,Restated
2019-06,353.00M,,353.00M,737.00M,,1.376B,211.00M,483.00M,216.00M,,,425.00M,2.939B,4.992B,1.745B,58.25B,-18.83B,39.41B,,2.573B,23.00M,,490.00M,45.64B,48.58B,,1.057B,209.00M,342.00M,1.608B,180.00M,1.788B,2.15B,2.15B,,2.15B,1.122B,5.06B,2.647B,16.00B,1.647B,17.64B,4.37B,198.00M,4.568B,,850.00M,121.00M,,,190.00M,31.16B,36.22B,,1.287B,5.024B,6.19B,,,,-135.00M,12.37B,,AOR,Restated
2019-03,94.00M,,94.00M,974.00M,,1.636B,172.00M,445.00M,266.00M,,,412.00M,2.909B,4.816B,2.287B,57.18B,-18.45B,38.73B,,2.504B,25.00M,,499.00M,44.94B,47.85B,,1.154B,208.00M,555.00M,1.917B,159.00M,2.076B,1.254B,1.254B,,1.254B,1.094B,4.424B,2.599B,16.12B,1.529B,17.65B,4.307B,200.00M,4.507B,,838.00M,122.00M,,,212.00M,31.10B,35.52B,,1.287B,4.996B,6.173B,,,,-127.00M,12.33B,,AOR,Restated
2018-12,147.00M,,147.00M,860.00M,,1.615B,277.00M,548.00M,233.00M,,,464.00M,3.094B,3.093B,2.091B,55.02B,-18.08B,36.94B,,2.317B,34.00M,,272.00M,42.89B,45.99B,,1.237B,195.00M,450.00M,1.882B,174.00M,2.056B,1.444B,1.444B,,1.444B,960.00M,4.46B,2.568B,15.80B,0.00,15.80B,4.219B,199.00M,4.418B,,994.00M,129.00M,,,206.00M,29.30B,33.76B,,1.285B,4.893B,6.168B,,,,-124.00M,12.22B,,AOR,Restated
2018-09,213.00M,,213.00M,856.00M,,1.506B,261.00M,528.00M,228.00M,,,452.00M,3.003B,3.054B,3.029B,53.75B,-17.87B,35.88B,,2.473B,42.00M,,272.00M,41.83B,44.84B,,1.189B,194.00M,428.00M,1.811B,158.00M,1.969B,993.00M,993.00M,,993.00M,876.00M,3.838B,2.572B,15.51B,,15.51B,4.173B,200.00M,4.373B,,909.00M,107.00M,,,202.00M,28.83B,32.67B,,1.283B,4.876B,6.125B,,,,-119.00M,12.16B,,AOR,Restated
2018-06,332.00M,,332.00M,808.00M,,1.456B,199.00M,511.00M,242.00M,,,440.00M,3.056B,2.722B,2.658B,53.12B,-17.84B,35.29B,,2.398B,47.00M,,273.00M,41.18B,44.24B,,1.092B,193.00M,316.00M,1.601B,176.00M,1.777B,1.538B,1.538B,,1.538B,863.00M,4.178B,2.534B,15.31B,,15.31B,4.029B,202.00M,4.231B,,884.00M,113.00M,,,226.00M,28.41B,32.59B,,1.272B,4.58B,5.92B,,,,-122.00M,11.65B,,AOR,Restated
2018-03,116.00M,,116.00M,868.00M,,1.473B,181.00M,492.00M,251.00M,,,422.00M,2.782B,2.712B,2.339B,52.28B,-17.60B,34.68B,,2.404B,49.00M,,280.00M,40.38B,43.16B,,1.027B,193.00M,544.00M,1.764B,147.00M,1.911B,1.482B,1.482B,,1.482B,729.00M,4.122B,2.504B,14.52B,,14.52B,3.962B,200.00M,4.162B,,884.00M,120.00M,,,143.00M,27.48B,31.60B,,1.272B,4.51B,5.903B,,,,-124.00M,11.56B,,AOR,Restated
2017-12,83.00M,,83.00M,797.00M,,1.561B,299.00M,610.00M,251.00M,,,424.00M,2.973B,2.708B,2.087B,51.62B,-17.30B,34.33B,,2.397B,48.00M,,,40.06B,43.03B,,1.243B,183.00M,448.00M,1.874B,174.00M,2.048B,1.271B,1.271B,,1.271B,769.00M,4.088B,2.475B,14.52B,,14.52B,3.903B,193.00M,4.096B,,1.042B,126.00M,,,145.00M,27.49B,31.58B,,1.269B,4.413B,5.898B,,,,-125.00M,11.46B,,AOR,Restated
2017-09,167.84M,,167.84M,807.62M,,1.433B,296.48M,616.68M,198.91M,,,407.64M,2.899B,2.680B,1.862B,51.20B,-17.25B,33.95B,,2.300B,49.12M,,259.12M,39.57B,42.47B,,992.50M,182.80M,427.28M,1.603B,147.86M,1.750B,819.42M,819.42M,,819.42M,770.56M,3.340B,2.884B,14.57B,,14.57B,7.422B,191.00M,7.613B,,984.79M,131.06M,,,144.53M,27.69B,31.03B,,1.269B,4.386B,5.889B,,,,-104.81M,11.44B,,AOR,Restated
2017-06,61.38M,,61.38M,759.38M,,1.368B,220.62M,542.04M,331.74M,,,375.02M,2.757B,2.678B,1.571B,50.48B,-16.94B,33.54B,,2.232B,50.41M,,255.47M,39.10B,41.86B,,973.64M,182.80M,339.97M,1.496B,175.85M,1.672B,1.289B,1.289B,,1.289B,729.11M,3.691B,2.850B,14.09B,,14.09B,7.191B,190.64M,7.382B,,975.61M,136.26M,,,225.22M,27.05B,30.74B,,1.269B,4.079B,5.881B,,,,-106.80M,11.12B,,AOR,Restated
2017-03,73.98M,,73.98M,781.25M,,1.337B,197.56M,519.08M,322.20M,,,360.31M,2.633B,2.674B,1.597B,49.95B,-16.79B,33.16B,,2.188B,48.68M,,247.35M,38.65B,41.29B,,861.51M,182.80M,544.18M,1.588B,151.93M,1.740B,1.360B,1.360B,,1.360B,607.12M,3.708B,2.816B,13.70B,,13.70B,7.061B,189.98M,7.251B,,964.40M,143.68M,,,235.33M,26.51B,30.22B,,1.269B,4.036B,5.873B,,,,-108.58M,11.07B,,AOR,Restated
2016-12,85.00M,,85.00M,776.00M,,1.506B,292.00M,604.00M,245.00M,,,364.00M,2.842B,2.604B,1.373B,49.40B,-16.56B,32.84B,,2.092B,50.00M,,,38.31B,41.16B,,1.045B,172.00M,457.00M,1.674B,173.00M,1.847B,647.00M,647.00M,,647.00M,753.00M,3.247B,2.782B,14.20B,,14.20B,6.847B,195.00M,7.042B,,1.112B,148.00M,,,225.00M,26.89B,30.13B,,1.268B,3.982B,5.881B,,,,-110.00M,11.02B,,AOR,Restated
2016-09,353.38M,,353.38M,754.25M,,1.322B,308.36M,614.91M,230.00M,,195.30M,317.61M,3.076B,2.507B,1.845B,48.58B,-16.37B,32.21B,,2.048B,51.37M,,67.72M,37.25B,40.32B,,916.53M,172.70M,422.44M,1.512B,155.00M,1.667B,1.076B,1.076B,,1.076B,711.72M,3.454B,2.703B,13.40B,,13.40B,6.916B,216.98M,7.133B,,843.74M,154.65M,,,277.56M,25.88B,29.34B,,1.270B,3.924B,5.899B,,,,-104.96M,10.99B,,AOR,Restated
2016-06,76.71M,,76.71M,689.56M,,1.279B,222.73M,526.78M,242.04M,,206.64M,325.69M,2.704B,2.491B,1.687B,47.98B,-16.16B,31.82B,,1.987B,50.64M,,38.42M,36.79B,39.49B,,921.97M,172.70M,330.40M,1.425B,169.31M,1.594B,1.157B,1.157B,,1.157B,754.85M,3.506B,2.671B,13.10B,,13.10B,6.685B,212.56M,6.898B,,825.61M,156.36M,,,280.65M,25.28B,28.79B,,1.270B,3.644B,5.896B,,,,-106.80M,10.70B,,AOR,Restated
2016-03,101.49M,,101.49M,729.39M,,1.255B,221.71M,520.05M,334.97M,,180.51M,317.49M,2.733B,2.485B,1.486B,47.31B,-15.88B,31.43B,,1.918B,55.61M,,33.00M,36.34B,39.07B,,809.66M,172.70M,525.93M,1.508B,148.11M,1.656B,839.52M,839.52M,,839.52M,692.65M,3.189B,2.640B,13.15B,,13.15B,6.561B,221.68M,6.782B,,813.00M,167.30M,,,285.74M,25.21B,28.40B,,1.270B,3.620B,5.890B,,,,-108.61M,10.67B,,AOR,Restated
2015-12,84.94M,,84.94M,724.61M,,1.379B,317.89M,608.58M,318.76M,,,344.63M,2.770B,2.486B,1.257B,46.86B,-15.65B,31.21B,,1.903B,51.08M,,,36.05B,38.82B,,960.98M,162.41M,438.19M,1.562B,166.83M,1.728B,1.503B,1.503B,,1.503B,826.87M,4.058B,2.609B,12.40B,,12.40B,6.222B,229.00M,6.451B,,941.00M,168.31M,,,261.76M,24.16B,28.22B,,1.269B,3.553B,5.889B,,,,-109.75M,10.60B,,AOR,Restated
2015-09,404.41M,,404.41M,741.23M,,1.287B,353.66M,644.96M,259.81M,,352.71M,347.12M,3.344B,2.457B,1.679B,45.59B,-15.76B,29.83B,,1.808B,54.74M,,182.06M,34.69B,38.03B,,924.26M,162.32M,379.10M,1.466B,143.12M,1.609B,521.47M,521.47M,,521.47M,954.74M,3.085B,2.551B,12.69B,,12.69B,6.460B,228.48M,6.688B,,863.64M,173.59M,,,263.45M,24.40B,27.48B,,1.268B,3.507B,5.873B,,,,-103.64M,10.54B,,AOR,Restated
2015-06,135.60M,,135.60M,676.22M,,1.259B,276.70M,532.70M,263.48M,,429.86M,364.75M,3.049B,2.461B,2.092B,44.90B,-15.55B,29.35B,,1.880B,53.31M,,176.17M,34.22B,37.27B,,830.28M,162.22M,280.84M,1.273B,160.15M,1.433B,1.158B,1.158B,,1.158B,945.41M,3.537B,2.518B,11.90B,,11.90B,6.320B,241.55M,6.562B,,858.45M,171.69M,,,279.77M,23.46B,27.00B,,1.267B,3.244B,5.863B,,,,-105.19M,10.27B,,AOR,Restated
2015-03,133.04M,,133.04M,826.80M,,1.371B,250.83M,505.21M,273.73M,,383.46M,351.78M,3.057B,2.461B,2.011B,44.33B,-15.36B,28.97B,,1.867B,51.74M,,174.61M,33.82B,36.88B,,898.00M,162.13M,480.31M,1.540B,131.58M,1.672B,1.226B,1.226B,,1.226B,876.11M,3.775B,2.476B,11.50B,,11.50B,6.158B,253.90M,6.412B,,850.83M,178.96M,,,286.49M,22.89B,26.66B,,1.267B,3.210B,5.845B,,,,-106.69M,10.21B,,AOR,Restated
2014-12,79.61M,,79.61M,826.51M,,1.555B,353.08M,597.18M,356.60M,,246.21M,444.06M,3.364B,2.419B,2.006B,43.88B,-15.13B,28.76B,,1.833B,53.78M,,175.96M,33.59B,36.96B,,1.173B,151.72M,396.62M,1.721B,158.54M,1.880B,1.277B,1.277B,,1.277B,907.48M,4.065B,2.447B,11.50B,,11.50B,5.927B,256.94M,6.184B,,936.91M,183.94M,,,264.65M,22.68B,26.74B,,1.264B,3.221B,5.837B,,,,-108.14M,10.21B,,AOR,Restated
2014-09,137.87M,,137.87M,760.21M,,1.335B,393.88M,634.26M,270.53M,,283.05M,415.20M,3.197B,2.328B,2.365B,42.59B,-14.96B,27.63B,,1.817B,53.58M,,177.36M,32.17B,35.36B,,1.061B,151.62M,371.96M,1.585B,132.08M,1.717B,954.51M,954.51M,,954.51M,799.31M,3.471B,1.922B,11.50B,,11.50B,5.826B,262.73M,6.089B,,653.60M,187.44M,,,243.92M,21.74B,25.21B,,1.264B,3.177B,5.816B,,,,-102.00M,10.15B,,AOR,Restated
2014-06,99.54M,,99.54M,742.73M,,1.352B,267.06M,501.27M,270.72M,,282.76M,462.18M,3.124B,2.286B,2.503B,41.83B,-14.76B,27.07B,,1.839B,59.73M,,173.51M,31.59B,34.72B,,967.25M,151.10M,269.02M,1.387B,158.66M,1.546B,785.32M,785.32M,,785.32M,728.58M,3.060B,1.898B,11.75B,,11.75B,5.628B,268.69M,5.897B,,650.60M,194.55M,,,237.24M,21.74B,24.80B,,1.263B,2.961B,5.800B,,,,-103.37M,9.921B,,AOR,Restated
2014-03,132.31M,,132.31M,885.10M,,1.461B,206.94M,436.24M,295.48M,,252.66M,481.47M,3.129B,2.286B,2.672B,41.15B,-14.61B,26.54B,,1.793B,67.51M,,170.06M,31.07B,34.20B,,1.062B,150.25M,461.52M,1.674B,132.59M,1.806B,1.047B,1.047B,,1.047B,614.38M,3.468B,1.839B,11.21B,,11.21B,5.490B,272.58M,5.763B,,642.13M,199.58M,,,244.54M,20.98B,24.45B,,1.253B,2.918B,5.681B,,,,-104.82M,9.747B,,AOR,Restated
2013-12,107.14M,,107.14M,744.16M,,1.431B,351.23M,576.54M,252.26M,,341.20M,417.80M,3.218B,2.288B,2.372B,40.57B,-14.45B,26.12B,,1.756B,84.84M,,217.24M,30.69B,33.91B,,1.261B,139.43M,378.77M,1.779B,159.37M,1.939B,1.040B,1.040B,,1.040B,675.93M,3.654B,1.815B,10.91B,,10.91B,5.410B,275.56M,5.686B,,769.22M,209.22M,,,237.22M,20.69B,24.34B,,1.245B,2.808B,5.619B,,,,-106.28M,9.566B,,AOR,Restated
