,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.926B,2.947B,1.79B,1.157B,,,24.00M,159.00M,203.00M,,-203.00M,73.00M,731.00M,426.00M,,203.00M,-203.00M,35.00M,-203.00M,258.00M,-30.00M,288.00M,,,,,288.00M,270.48M,960.00M,499.00M,461.00M,,0.54,,,,0.5069,0.54,,0.54,,,,0.5071,0.54,,530.00M,532.00M,0.43,,AOR,
2020-09,3.16B,3.182B,1.625B,1.557B,,,30.00M,158.00M,210.00M,,-210.00M,73.00M,744.00M,813.00M,,210.00M,-210.00M,43.00M,-210.00M,646.00M,43.00M,603.00M,,,,,603.00M,575.01M,1.402B,546.00M,856.00M,,1.15,,,,1.097,1.15,,1.14,,,,1.087,1.14,,526.00M,528.00M,0.43,,AOR,
2020-06,2.566B,2.586B,1.477B,1.109B,,,37.00M,146.00M,189.00M,,-196.00M,68.00M,687.00M,422.00M,,189.00M,-196.00M,48.00M,-196.00M,274.00M,-13.00M,287.00M,,,,,287.00M,259.99M,971.00M,508.00M,463.00M,,0.54,,,,0.4887,0.54,,0.54,,,,0.4887,0.54,,527.00M,527.00M,0.43,,AOR,
2020-03,2.786B,2.811B,1.67B,1.141B,,,23.00M,149.00M,182.00M,,-189.00M,74.00M,686.00M,455.00M,,182.00M,-189.00M,23.00M,-189.00M,289.00M,-6.00M,295.00M,,,,,295.00M,278.21M,970.00M,499.00M,471.00M,,0.56,,,,0.5281,0.56,,0.56,,,,0.5281,0.56,,526.00M,527.00M,0.43,,AOR,
2019-12,2.774B,2.798B,1.689B,1.109B,,,22.00M,140.00M,159.00M,,-185.00M,73.00M,659.00M,450.00M,,159.00M,-185.00M,34.00M,-185.00M,299.00M,7.00M,292.00M,,,,,292.00M,270.52M,941.00M,483.00M,458.00M,,0.56,,,,0.5191,0.56,,0.56,,,,0.5192,0.56,,525.00M,526.00M,0.405,,AOR,
2019-09,2.993B,3.013B,1.596B,1.417B,,,15.00M,137.00M,192.00M,,-192.00M,75.00M,659.00M,758.00M,,192.00M,-192.00M,33.00M,-192.00M,599.00M,72.00M,527.00M,,,,,527.00M,513.80M,1.273B,482.00M,791.00M,,1.02,,,,0.9946,1.02,,1.01,,,,0.9847,1.01,,519.00M,521.00M,0.405,,AOR,Restated
2019-06,2.557B,2.577B,1.521B,1.056B,,,20.00M,142.00M,174.00M,,-179.00M,65.00M,646.00M,410.00M,,174.00M,-179.00M,31.00M,-179.00M,262.00M,24.00M,238.00M,,,,,238.00M,219.84M,906.00M,470.00M,436.00M,,0.46,,,,0.4248,0.46,,0.46,,,,0.4249,0.46,,516.00M,518.00M,0.405,,AOR,Restated
2019-03,3.119B,3.141B,2.00B,1.141B,,,20.00M,150.00M,173.00M,,-179.00M,72.00M,655.00M,486.00M,,173.00M,-179.00M,33.00M,-179.00M,340.00M,25.00M,315.00M,,,,,315.00M,296.48M,982.00M,469.00M,513.00M,,0.61,,,,0.5740,0.61,,0.61,,,,0.5741,0.61,,515.00M,516.00M,0.405,,AOR,Restated
2018-12,2.858B,2.88B,1.885B,995.00M,,,29.00M,139.00M,157.00M,,-164.00M,74.00M,656.00M,339.00M,,157.00M,-164.00M,33.00M,-164.00M,208.00M,-6.00M,214.00M,,,,,214.00M,192.83M,841.00M,476.00M,365.00M,,0.42,,,,0.3788,0.42,,0.42,,,,0.3788,0.42,,514.00M,514.00M,0.38,,AOR,Restated
2018-09,3.029B,3.048B,1.70B,1.348B,,,30.00M,135.00M,158.00M,,-164.00M,77.00M,652.00M,696.00M,,158.00M,-164.00M,32.00M,-164.00M,564.00M,73.00M,491.00M,,,,,491.00M,464.87M,1.196B,474.00M,722.00M,,0.96,,,,0.9088,0.96,,0.96,,,,0.9089,0.96,,510.00M,511.00M,0.38,,AOR,Restated
