,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,TotalReceivables,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2016-06,57.32M,,57.32M,233.39M,977.53M,,1.211B,65.63M,,1.529B,,,,,,,,,,1.043B,1.343B,2.386B,189.90M,,,,,106.46M,20.56B,22.09B,735.29M,,,735.29M,80.16M,815.44M,,212.38M,212.38M,212.38M,,,,88.97M,1.117B,10.69B,,10.69B,320.47M,,320.47M,,,11.23B,12.34B,,2016-06,11.96B,0.00,-44.20M,9.690B,,2016-06,AOR,Restated
2016-03,51.70M,,51.70M,228.62M,976.61M,,1.205B,76.71M,,1.388B,,,,,,,,,,1.045B,1.355B,2.400B,162.20M,,,,,145.71M,20.87B,22.26B,738.33M,,,738.33M,66.99M,805.32M,,324.49M,324.49M,324.49M,,,,12.62M,1.142B,10.92B,,10.92B,333.35M,,333.35M,,,11.45B,12.59B,,2016-03,11.76B,0.059M,-19.93M,9.614B,,2016-03,AOR,Restated
2015-12,53.02M,,53.02M,219.06M,831.36M,,1.050B,77.90M,,1.274B,,,,,,,,,,1.047B,1.358B,2.405B,187.58M,,,,,113.99M,20.99B,22.26B,779.38M,,,779.38M,80.86M,860.24M,,180.68M,180.68M,180.68M,,,,34.34M,1.075B,11.03B,,11.03B,338.38M,,338.38M,,,11.56B,12.64B,,2015-12,11.60B,2.567M,-7.565M,9.564B,,2015-12,AOR,Restated
2015-09,65.23M,,65.23M,210.64M,703.00M,,913.65M,74.49M,,1.222B,,,,,,,,,,1.052B,1.359B,2.412B,159.91M,33.21M,,,,160.05M,21.19B,22.41B,791.43M,,,791.43M,67.36M,858.79M,,114.05M,114.05M,114.05M,,,,65.46M,1.038B,11.15B,,11.15B,352.66M,,352.66M,,,11.71B,12.74B,,2015-09,11.52B,3.675M,-0.592M,9.609B,,2015-09,AOR,Restated
2015-06,60.53M,,60.53M,203.70M,726.18M,,929.89M,193.96M,,1.290B,,,,,,,,,,1.210B,1.308B,2.518B,148.69M,35.41M,,,68.28M,156.88M,22.98B,24.28B,1.026B,,,1.026B,77.63M,1.104B,,583.76M,583.76M,583.76M,,,,,1.688B,10.92B,,10.92B,370.16M,,370.16M,,,11.49B,13.18B,,2015-06,12.71B,2.048M,10.18M,11.03B,,2015-06,AOR,Restated
2015-03,120.22M,,120.22M,195.18M,710.45M,,905.63M,223.77M,,1.424B,,,,,,,,,,1.128B,1.301B,2.428B,235.82M,35.31M,,,71.39M,127.26M,23.02B,24.44B,1.017B,,,1.017B,77.36M,1.094B,,451.92M,451.92M,451.92M,,,,,1.546B,11.15B,,11.15B,371.78M,,371.78M,,,11.78B,13.33B,,2015-03,12.62B,2.385M,4.357M,11.04B,,2015-03,AOR,Restated
2014-12,55.35M,,55.35M,187.57M,757.39M,,944.96M,71.77M,,3.627B,,,,,,,,,,363.97M,974.16M,1.338B,231.03M,,,,,151.40M,17.54B,21.17B,750.66M,,,750.66M,62.18M,812.84M,,919.10M,919.10M,919.10M,,,,237.97M,1.970B,9.925B,,9.925B,344.34M,,344.34M,,,10.44B,12.41B,,2014-12,10.12B,0.511M,13.12M,8.680B,,2014-12,AOR,Restated
2014-09,64.60M,,64.60M,179.07M,344.95M,,524.02M,78.75M,,867.71M,,,,,,,,,,463.46M,1.040B,1.503B,176.84M,22.90M,,,64.90M,129.56M,19.78B,20.65B,965.24M,,,965.24M,69.11M,1.034B,,225.36M,225.36M,225.36M,,,,,1.260B,10.24B,,10.24B,361.45M,,361.45M,,,10.77B,12.03B,,2014-09,9.859B,2.075M,16.16M,8.549B,,2014-09,AOR,Restated
2014-06,86.64M,,86.64M,166.86M,353.09M,,519.95M,75.51M,,972.68M,,,,,,,,,,472.76M,1.009B,1.482B,198.47M,41.36M,,,63.40M,155.84M,18.82B,19.79B,975.28M,,,975.28M,56.72M,1.032B,,179.37M,179.37M,179.37M,,,,,1.211B,9.423B,,9.423B,256.39M,,256.39M,,,9.849B,11.06B,,2014-06,9.849B,0.00,26.26M,8.655B,,2014-06,AOR,Restated
2014-03,59.79M,,59.79M,158.72M,376.07M,,534.80M,76.11M,,794.21M,,,,,,,,,,474.64M,1.015B,1.489B,90.93M,66.00M,,,59.73M,120.80M,18.91B,19.70B,938.10M,,,938.10M,61.08M,999.18M,,559.30M,559.30M,559.30M,,,,,1.558B,8.922B,,8.922B,252.50M,,252.50M,,,9.334B,10.89B,,2014-03,9.859B,0.162M,18.46M,8.732B,,2014-03,AOR,Restated
2013-12,94.82M,,94.82M,150.83M,354.78M,,505.60M,84.66M,,840.42M,,,,,,,,,,476.48M,1.010B,1.487B,113.11M,38.54M,,,62.22M,125.14M,18.89B,19.73B,1.002B,,,1.002B,54.35M,1.056B,,376.34M,376.34M,376.34M,,,,,1.432B,8.989B,,8.989B,250.17M,,250.17M,,,9.395B,10.83B,,2013-12,10.08B,221.92M,19.66M,8.824B,,2013-12,AOR,Restated
2013-09,54.67M,,54.67M,141.49M,400.89M,,542.38M,98.20M,,830.35M,,,,,,,,,,477.98M,1.012B,1.490B,91.53M,38.24M,,,55.24M,211.07M,19.05B,19.88B,1.019B,,,1.019B,62.18M,1.081B,,447.97M,447.97M,447.97M,,,,,1.529B,8.965B,,8.965B,248.37M,,248.37M,,,9.386B,10.91B,,2013-09,10.03B,221.20M,21.29M,8.885B,,2013-09,AOR,Restated
2013-06,62.42M,,62.42M,134.68M,470.44M,,605.12M,94.49M,,875.22M,,,,,,,,,,479.36M,990.55M,1.470B,93.16M,44.10M,,,50.82M,118.08M,17.92B,18.80B,887.31M,,,887.31M,50.86M,938.17M,,259.62M,259.62M,259.62M,,,,,1.198B,8.160B,,8.160B,247.59M,,247.59M,,,8.592B,9.790B,,2013-06,9.996B,221.13M,19.75M,8.926B,,2013-06,AOR,Restated
2013-03,57.69M,,57.69M,128.21M,490.11M,,618.32M,99.22M,,897.92M,,,,,,,,,,481.04M,984.02M,1.465B,94.26M,65.01M,,,54.08M,118.88M,17.81B,18.71B,910.69M,,,910.69M,58.09M,968.78M,,164.73M,164.73M,164.73M,,,,,1.134B,8.131B,,8.131B,261.12M,,261.12M,,,8.587B,9.720B,,2013-03,9.905B,223.71M,21.83M,8.915B,,2013-03,AOR,Restated
2012-12,67.91M,,67.91M,120.32M,635.00M,,755.33M,105.91M,,1.041B,,,,,,,,,,515.43M,981.70M,1.497B,95.41M,62.12M,,,42.55M,112.26M,17.94B,18.98B,995.16M,,,995.16M,47.56M,1.043B,,540.73M,540.73M,540.73M,,,,,1.583B,7.731B,142.41M,7.873B,259.72M,,259.72M,,,8.307B,9.891B,,2012-12,9.921B,221.16M,23.35M,9.019B,,2012-12,AOR,Restated
2012-09,58.53M,,58.53M,,,,,76.91M,,135.44M,0.00,1.755B,16.55B,965.50M,93.99M,,19.37B,-2.447B,16.92B,,,,90.99M,215.78M,,,25.43M,1.054B,18.31B,18.44B,1.049B,,,1.049B,56.33M,1.105B,,,,,,265.12M,265.12M,,1.370B,7.495B,,7.495B,,,,,113.91M,7.609B,8.979B,,2012-09,9.941B,0.00,23.63M,9.358B,,2012-09,AOR,Restated
2012-06,52.80M,,52.80M,,,,,114.88M,,167.69M,0.00,1.745B,16.18B,,133.89M,920.12M,18.98B,-2.256B,16.72B,,,,104.64M,213.19M,,,25.75M,987.04M,18.05B,18.22B,1.059B,,,1.059B,47.84M,1.107B,,,,,,271.07M,271.07M,,1.378B,7.205B,,7.205B,,,,,,7.205B,8.583B,,2012-06,9.933B,0.00,21.40M,9.419B,,2012-06,AOR,Restated
2012-03,53.22M,,53.22M,,,,,114.42M,,167.64M,0.00,1.617B,15.33B,,85.42M,799.14M,17.83B,-2.084B,15.75B,,,,106.09M,222.22M,,,26.60M,919.39M,17.02B,17.19B,1.061B,,,1.061B,58.04M,1.119B,,,,,,271.41M,271.41M,,1.390B,6.430B,,6.430B,,,,,,6.430B,7.820B,,2012-03,9.592B,0.536M,23.93M,9.187B,,2012-03,AOR,Restated
2011-12,45.81M,43.33M,89.14M,96.88M,212.58M,,309.46M,76.59M,,594.48M,,,,,,,,,,462.66M,800.86M,1.264B,105.30M,63.60M,,,26.67M,105.48M,16.68B,17.27B,1.086B,,,1.086B,37.69M,1.123B,,455.58M,455.58M,455.58M,,,,,1.579B,5.831B,143.01M,5.974B,260.72M,,260.72M,,,6.337B,7.916B,,2011-12,9.594B,0.747M,22.06M,9.275B,,2011-12,AOR,Restated
2011-09,57.48M,,57.48M,,,,,84.78M,,142.26M,0.00,1.585B,15.29B,,60.98M,821.61M,17.76B,-1.761B,16.00B,,,,119.32M,302.26M,,,12.42M,633.45M,17.06B,17.21B,1.129B,,274.85M,1.404B,65.98M,1.470B,,,,,,,,,1.470B,6.313B,,6.313B,,,,,,6.313B,7.783B,,2011-09,9.595B,1.98M,19.24M,9.246B,,2011-09,AOR,Restated
2011-06,26.70M,,26.70M,,,,,64.26M,,90.96M,0.00,854.06M,8.969B,,41.24M,317.85M,10.18B,-1.602B,8.581B,,,,14.76M,634.47M,,,16.13M,296.76M,9.543B,9.634B,401.15M,,,401.15M,26.56M,427.71M,,,,,,279.67M,279.67M,,707.38M,5.007B,,5.007B,,,,,,5.007B,5.714B,,2011-06,4.254B,0.00,28.21M,3.917B,,2011-06,AOR,Restated
2011-03,41.90M,,41.90M,,,,,35.40M,,77.30M,0.00,560.09M,6.051B,,5.848M,147.38M,6.764B,-1.521B,5.243B,,,,15.01M,130.61M,,,17.14M,210.62M,5.617B,5.694B,203.59M,,,203.59M,34.54M,238.14M,,,,,,238.15M,238.15M,,476.28M,2.571B,,2.571B,,,,,,2.571B,3.048B,,2011-03,2.875B,0.008M,28.10M,2.643B,,2011-03,AOR,Restated
2010-12,21.81M,,21.81M,,,,,38.94M,,60.75M,0.00,559.07M,6.035B,146.81M,6.519M,,6.748B,-1.468B,5.280B,,,,15.33M,,149.26M,,19.53M,233.62M,5.697B,5.758B,207.14M,,,207.14M,19.30M,226.44M,,,,,,241.33M,241.33M,,467.77M,2.900B,,2.900B,,,,,,2.900B,3.368B,,2010-12,2.577B,0.748M,26.87M,2.387B,,2010-12,AOR,Restated
2010-09,33.79M,,33.79M,,,,,41.98M,,75.78M,143.36M,557.88M,5.983B,,5.955M,,6.690B,-1.417B,5.273B,,,,16.04M,164.83M,,,22.74M,248.08M,5.725B,5.801B,202.98M,,,202.98M,33.75M,236.73M,,,,,,252.35M,252.35M,,489.08M,2.896B,,2.896B,,,,,,2.896B,3.385B,,2010-09,2.587B,0.00,23.82M,2.401B,,2010-09,AOR,Restated
2010-06,27.79M,,27.79M,,140.87M,,140.87M,43.48M,206.49M,443.53M,0.00,556.47M,5.732B,,3.788M,,6.293B,-1.274B,5.019B,,,,,,,,,,5.019B,5.462B,181.34M,,,181.34M,16.68M,198.02M,,,,,,251.83M,251.83M,,449.85M,2.581B,,2.581B,,,,,,2.581B,3.031B,,2010-06,2.583B,0.00,16.51M,2.416B,,2010-06,AOR,Restated
2010-03,132.73M,,132.73M,,,,,41.02M,213.00M,414.72M,0.00,557.37M,5.736B,,4.37M,,6.298B,-1.226B,5.071B,,,,,147.72M,,,,,5.219B,5.634B,183.57M,,,183.57M,35.77M,219.35M,,,,,,252.69M,252.69M,,472.03M,2.698B,,2.698B,,,,,,2.698B,3.170B,,2010-03,2.579B,0.467M,25.15M,2.446B,,2010-03,AOR,Restated
2009-12,107.40M,,107.40M,,,,,39.83M,,147.23M,0.00,557.28M,5.723B,106.80M,12.51M,,6.399B,-1.270B,5.129B,,,,0.00,,131.89M,,29.25M,178.77M,5.469B,5.616B,190.44M,,,190.44M,17.97M,208.42M,,,,,,253.66M,253.66M,,462.08M,2.670B,,2.670B,,,,,,2.670B,3.132B,,2009-12,2.573B,0.647M,19.67M,2.466B,,2009-12,AOR,Restated
2009-09,70.89M,,70.89M,,,,,96.48M,,167.37M,0.00,557.12M,5.641B,,8.611M,,6.207B,-1.127B,5.081B,,,,,125.41M,,,27.80M,186.20M,5.420B,5.587B,175.12M,,,175.12M,35.48M,210.61M,,,,,,,,,210.61M,2.615B,,2.615B,254.62M,4.628M,259.25M,,,2.874B,3.085B,,2009-09,2.570B,0.00,15.08M,2.485B,,2009-09,AOR,Restated
2009-06,46.52M,,46.52M,,,,,,,46.52M,0.00,552.71M,5.603B,,18.32M,,6.174B,-1.075B,5.099B,,,,,219.58M,,,29.57M,176.41M,5.524B,5.571B,164.66M,,,164.66M,16.95M,181.61M,,,,,,,,,181.61M,2.616B,,2.616B,255.18M,5.305M,260.48M,,,2.877B,3.058B,,2009-06,2.566B,0.005M,-1.411M,2.495B,,2009-06,AOR,Restated
2009-03,95.81M,,95.81M,,,,,,,95.81M,0.00,554.29M,5.592B,,21.18M,,6.168B,-1.037B,5.131B,,,,,130.08M,,,29.94M,207.13M,5.498B,5.594B,161.78M,,,161.78M,42.12M,203.90M,,,,,6.307M,6.307M,,,210.20M,2.942B,,2.942B,255.57M,,255.57M,,,3.198B,3.408B,,2009-03,2.267B,0.053M,-18.32M,2.168B,,2009-03,AOR,Restated
2008-12,176.81M,,176.81M,,,,,55.87M,,232.68M,0.00,555.02M,5.593B,,12.59M,,6.161B,-987.69M,5.173B,,,,,123.29M,,,22.03M,220.48M,5.539B,5.771B,168.20M,,,168.20M,21.93M,190.13M,,,,,7.057M,7.057M,,,197.19M,3.137B,,3.137B,257.50M,,257.50M,,,3.394B,3.592B,,2008-12,2.264B,0.457M,-21.09M,2.161B,,2008-12,AOR,Restated
2008-09,115.92M,,115.92M,,,,,43.84M,,159.76M,0.00,567.47M,5.704B,,,,6.271B,-951.52M,5.320B,,,,,115.38M,,,19.29M,200.74M,5.655B,5.815B,152.67M,,,152.67M,46.26M,198.92M,,,,,7.564M,7.564M,,,206.48M,3.135B,,3.135B,256.52M,,256.52M,,,3.392B,3.598B,,2008-09,2.242B,0.002M,4.835M,2.188B,,2008-09,AOR,Restated
2008-06,29.27M,,29.27M,,,,,,,29.27M,0.00,569.71M,5.701B,118.56M,,,6.389B,-905.61M,5.483B,,,,,1.752M,,,20.74M,,5.506B,5.717B,142.40M,,,142.40M,20.26M,162.66M,,,,,,282.08M,282.08M,,444.74M,3.251B,,3.251B,,8.05M,8.05M,,,3.259B,3.704B,,2008-06,2.021B,0.018M,12.83M,1.982B,,2008-06,AOR,Restated
2008-03,51.35M,,51.35M,,,,,52.62M,,103.97M,,,,,,,6.256B,-855.15M,5.401B,,,,,22.05M,,,,,5.423B,5.652B,95.64M,,,95.64M,46.75M,142.39M,,,,,,286.15M,286.15M,,428.54M,3.157B,,3.157B,,8.70M,8.70M,46.75M,,3.213B,3.641B,,2008-03,2.016B,0.00,14.82M,1.978B,,2008-03,AOR,Restated
2007-12,28.33M,,28.33M,,,,,54.08M,,82.41M,0.00,572.09M,5.718B,,1.816M,,6.292B,-816.35M,5.476B,,,,,22.09M,,,22.84M,113.46M,5.634B,5.717B,173.58M,,,173.58M,20.79M,194.37M,,,,,9.065M,9.065M,,,203.43M,3.360B,,3.360B,297.59M,,297.59M,,,3.658B,3.862B,,2007-12,1.821B,0.626M,17.42M,1.824B,,2007-12,AOR,Restated
2007-09,28.57M,,28.57M,,,,,89.81M,,118.38M,,,,,,,6.148B,-765.60M,5.383B,,,,,39.84M,,,,,5.423B,5.662B,106.00M,,,106.00M,46.75M,152.75M,,,,,,313.99M,313.99M,,466.74M,3.268B,,3.268B,,9.665M,9.665M,46.75M,,3.324B,3.791B,,2007-09,1.818B,0.094M,6.652M,1.844B,,2007-09,AOR,Restated
2007-06,30.14M,,30.14M,,,,,99.06M,,129.20M,,,,,,,6.087B,-718.34M,5.369B,,,,,36.92M,,,,,5.406B,5.671B,119.34M,,,119.34M,21.16M,140.49M,,,,,,,,,140.49M,3.285B,,3.285B,309.22M,10.22M,319.43M,21.16M,,3.625B,3.766B,,2007-06,1.815B,,9.482M,1.879B,,2007-06,AOR,Restated
2007-03,0.00,,0.00,,,,,80.04M,,80.04M,,,,,,,3.781B,-692.40M,3.089B,,,,,38.04M,,,,,3.127B,3.286B,123.14M,,,123.14M,0.00,123.14M,,,,,,,,,123.14M,2.370B,,2.370B,30.39M,7.607M,38.00M,45.70M,,2.454B,2.577B,,2007-03,771.00M,,0.914M,708.91M,,2007-03,AOR,Restated
2006-12,1.246M,,1.246M,,,2.466M,2.466M,80.04M,-2.466M,81.28M,,,,,,,,,,,,,3.048B,38.11M,,,18.42M,67.73M,3.173B,3.254B,114.01M,41.95M,,155.96M,19.93M,175.89M,,,,,8.194M,8.194M,,,184.08M,2.329B,,2.329B,30.39M,,30.39M,,,2.359B,2.544B,,2006-12,766.47M,0.00,1.037M,709.88M,,2006-12,AOR,Restated
2006-09,,,,,,,,52.82M,,52.82M,,,,,,,3.294B,-627.80M,2.666B,,,,,195.10M,,,,,2.862B,2.808B,,,,,35.46M,35.46M,,,,,,,,,35.46M,2.007B,,2.007B,30.39M,8.78M,39.17M,,,2.046B,2.165B,,2006-09,699.09M,,1.569M,643.68M,,2006-09,AOR,Restated
2006-06,1.932M,,1.932M,,,,,51.23M,,53.16M,,,,,,,3.138B,-598.64M,2.539B,,,,,38.30M,,,,,2.577B,2.661B,,,,,0.00,0.00,,,,,,,,,0.00,1.883B,,1.883B,30.39M,9.374M,39.77M,14.46M,,1.937B,2.011B,,2006-06,696.67M,,1.449M,650.00M,,2006-06,AOR,Restated
