,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,TotalReceivables,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,588.34M,231.17M,819.51M,164.16M,612.33M,,776.49M,40.15M,,1.652B,,,,,,,,,,1.051B,1.251B,2.302B,254.94M,,,26.94M,0.304M,252.50M,22.57B,24.22B,1.235B,,,1.235B,97.83M,1.333B,,206.07M,206.07M,206.07M,,,,1.987M,1.541B,11.84B,247.26M,12.09B,53.71M,,53.71M,,,12.39B,13.93B,,2020-09,14.14B,1.275M,-65.04M,10.20B,,2020-09,AOR,
2020-06,992.82M,220.63M,1.213B,178.69M,697.98M,,876.67M,36.31M,,2.208B,,,,,,,,,,1.050B,1.245B,2.295B,206.37M,,,,0.304M,226.75M,22.38B,24.59B,998.19M,,,998.19M,117.69M,1.116B,0.00,744.36M,744.36M,744.36M,,,,5.773M,1.866B,11.79B,248.91M,12.03B,56.96M,,56.96M,,,12.32B,14.19B,,2020-06,14.12B,0.947M,-82.76M,10.31B,,2020-06,AOR,
2020-03,2.848B,189.02M,3.037B,277.08M,611.55M,,888.63M,38.14M,,4.039B,,,,,,,,,,1.050B,1.247B,2.297B,267.82M,,,,47.50M,241.19M,22.58B,26.62B,1.141B,,,1.141B,87.24M,1.229B,0.00,3.041B,3.041B,3.041B,,,,5.007M,4.274B,11.13B,250.36M,11.38B,47.53M,,47.53M,,,11.63B,15.90B,,2020-03,14.14B,0.867M,-103.41M,10.63B,,2020-03,AOR,
2019-12,106.36M,237.36M,343.72M,278.83M,768.34M,,1.047B,39.74M,,1.522B,,,,,,,,,,1.051B,1.311B,2.362B,104.32M,,,,47.50M,232.93M,23.17B,24.69B,1.146B,,,1.146B,111.12M,1.257B,567.45M,281.28M,848.73M,848.73M,,,,5.463M,2.111B,11.31B,251.20M,11.56B,200.83M,,200.83M,,,12.04B,14.15B,,2019-12,14.06B,0.132M,-34.56M,10.45B,,2019-12,AOR,
2019-09,148.06M,227.95M,376.01M,272.57M,716.54M,,989.11M,60.53M,,1.430B,,,,,,,,,,1.050B,1.340B,2.390B,158.04M,,,,,228.05M,23.37B,24.80B,1.194B,,,1.194B,85.21M,1.279B,305.00M,1.127B,1.432B,1.432B,,,,1.531M,2.713B,10.62B,249.24M,10.87B,147.52M,,147.52M,,,11.25B,13.97B,,2019-09,14.02B,0.21M,-59.86M,10.67B,,2019-09,AOR,Restated
2019-06,81.99M,230.62M,312.60M,265.98M,697.43M,,963.41M,56.31M,,1.334B,,,,,,,,,,1.050B,1.273B,2.323B,157.02M,,,,,206.16M,21.65B,22.99B,1.138B,,,1.138B,111.39M,1.249B,270.00M,350.55M,620.55M,620.55M,,,,1.216M,1.871B,9.636B,233.76M,9.869B,149.45M,,149.45M,,,10.24B,12.11B,,2019-06,13.94B,,-39.67M,10.82B,,2019-06,AOR,Restated
2019-03,82.51M,,82.51M,258.14M,496.69M,,754.82M,57.72M,,901.03M,,,,,,,,,,1.051B,1.285B,2.336B,160.53M,215.88M,,,,204.66M,21.77B,22.67B,1.064B,,,1.064B,81.77M,1.145B,195.00M,156.76M,351.76M,351.76M,,,,0.947M,1.498B,10.34B,214.05M,10.55B,205.06M,,205.06M,,,10.96B,12.46B,,2019-03,13.16B,,-12.06M,10.15B,,2019-03,AOR,Restated
2018-12,72.28M,206.44M,278.72M,250.02M,550.03M,,800.06M,59.19M,,1.143B,,,,,,,,,,1.051B,1.509B,2.559B,105.20M,,,,0.00,186.11M,21.44B,22.58B,1.086B,,,1.086B,99.67M,1.186B,0.00,856.41M,856.41M,856.41M,,,,0.205M,2.042B,9.877B,0.00,9.877B,205.22M,,205.22M,,,10.27B,12.31B,,2018-12,13.08B,0.00,-19.58M,10.22B,,2018-12,AOR,Restated
2018-09,86.11M,,86.11M,244.36M,517.09M,,761.45M,62.44M,,934.18M,,,,,,,,,,1.046B,1.512B,2.558B,172.01M,208.09M,,,,211.36M,21.66B,22.60B,1.135B,,,1.135B,76.88M,1.212B,,578.16M,578.16M,578.16M,,,,14.79M,1.805B,9.900B,,9.900B,236.62M,,236.62M,,,10.28B,12.08B,,2018-09,13.08B,0.345M,-7.947M,10.45B,,2018-09,AOR,Restated
2018-06,93.68M,203.76M,297.44M,238.88M,516.60M,,755.49M,64.42M,,1.133B,,,,,,,,,,1.034B,1.517B,2.551B,224.23M,,,,,166.13M,21.57B,22.70B,1.134B,,,1.134B,93.11M,1.227B,,339.16M,339.16M,339.16M,,,,0.896M,1.567B,10.06B,,10.06B,240.94M,,240.94M,,,10.45B,12.02B,,2018-06,13.07B,0.573M,-10.86M,10.62B,,2018-06,AOR,Restated
2018-03,92.54M,,92.54M,272.06M,1.214B,,1.486B,71.04M,,1.712B,,,,,,,,,,1.035B,1.538B,2.574B,225.84M,,,,,177.37M,21.78B,23.49B,1.135B,,,1.135B,77.76M,1.212B,,813.00M,813.00M,813.00M,,,,60.02M,2.085B,10.23B,,10.23B,244.74M,,244.74M,,,10.60B,12.69B,,2018-03,13.08B,0.553M,-14.47M,10.74B,,2018-03,AOR,Restated
2017-12,81.36M,,81.36M,267.76M,1.352B,,1.619B,106.90M,,1.873B,,,,,,,,,,1.035B,1.555B,2.589B,228.04M,0.00,,,,189.92M,22.08B,23.95B,1.183B,,,1.183B,93.96M,1.277B,,538.70M,538.70M,538.70M,,,,60.26M,1.876B,10.74B,,10.74B,250.09M,,250.09M,,,11.15B,13.02B,,2017-12,13.05B,0.042M,-35.12M,10.87B,,2017-12,AOR,Restated
2017-09,85.06M,,85.06M,262.03M,1.353B,,1.615B,76.52M,,1.845B,,,,,,,,,,1.034B,1.543B,2.578B,214.71M,,,,,173.42M,21.89B,23.74B,943.80M,,,943.80M,95.68M,1.039B,,538.91M,538.91M,538.91M,,,,9.837M,1.588B,10.89B,,10.89B,296.27M,,296.27M,,,11.35B,12.94B,,2017-09,13.03B,0.00,-40.78M,10.73B,,2017-09,AOR,Restated
2017-06,103.35M,,103.35M,256.16M,1.394B,,1.650B,68.34M,,1.911B,,,,,,,,,,1.034B,1.541B,2.575B,218.98M,,,,,144.78M,21.94B,23.86B,929.57M,,,929.57M,87.25M,1.017B,,516.46M,516.46M,516.46M,,,,9.812M,1.543B,11.39B,,11.39B,296.82M,,296.82M,,,11.87B,13.41B,,2017-06,13.02B,0.00,-45.04M,10.37B,,2017-06,AOR,Restated
2017-03,91.28M,,91.28M,250.08M,1.398B,,1.648B,92.18M,,1.893B,,,,,,,,,,1.033B,1.540B,2.573B,207.22M,,,,,162.08M,22.03B,23.92B,946.67M,,,946.67M,78.22M,1.025B,,170.73M,170.73M,170.73M,,,,1.389M,1.197B,11.77B,,11.77B,294.06M,,294.06M,,,12.24B,13.44B,,2017-03,12.94B,0.00,-53.66M,10.41B,,2017-03,AOR,Restated
2016-12,286.71M,,286.71M,244.58M,699.52M,,944.10M,80.65M,,1.366B,,,,,,,,,,1.033B,1.519B,2.552B,179.40M,,,,,184.62M,21.80B,23.17B,907.93M,,,907.93M,83.76M,991.69M,,146.54M,146.54M,146.54M,,,,1.462M,1.140B,10.98B,,10.98B,316.64M,,316.64M,,,11.50B,12.64B,,2016-12,12.92B,0.047M,-57.53M,10.46B,,2016-12,AOR,Restated
2016-09,89.28M,,89.28M,239.05M,809.77M,,1.049B,89.52M,,1.423B,,,,,,,,,,1.043B,1.532B,2.575B,191.20M,,,,,158.25M,22.00B,23.43B,930.10M,,,930.10M,70.79M,1.001B,,232.40M,232.40M,232.40M,,,,77.61M,1.311B,11.02B,,11.02B,315.71M,,315.71M,,,11.54B,12.86B,,2016-09,12.87B,0.078M,-49.61M,10.49B,,2016-09,AOR,Restated
