,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2017-09,866.77M,899.76M,376.62M,523.13M,33.32M,33.32M,,,-1.315M,,,113.87M,0.171M,-113.70M,,246.72M,276.41M,0.171M,113.87M,-113.70M,-13.60M,-113.70M,149.12M,-7.815M,156.93M,-1.233M,,613.96M,156.49M,476.39M,,2017-09,0.4374,-0.0001,0.0000,1.72,,2017-09,1.275,,0.4355,1.71,,2017-09,355.93M,359.33M,0.775,,2017-09,AOR,Restated
2017-06,862.92M,895.29M,366.38M,528.91M,33.28M,33.28M,,,-6.079M,,,113.57M,0.202M,-113.37M,,257.39M,271.52M,0.202M,113.57M,-113.37M,-8.033M,-113.37M,150.11M,-2.159M,152.27M,-1.137M,,151.83M,154.78M,487.79M,,2017-06,0.43,0.00,0.00,0.43,,2017-06,0.0020,,0.4302,0.42,,2017-06,355.02M,358.31M,0.775,,2017-06,AOR,Restated
2017-03,862.82M,882.96M,369.72M,513.24M,33.96M,33.96M,,,-2.365M,,,108.80M,0.481M,-108.32M,,251.74M,261.49M,0.481M,108.80M,-108.32M,-0.403M,-108.32M,152.77M,-3.145M,155.91M,-1.021M,,198.13M,156.31M,479.35M,,2017-03,0.44,0.12,0.00,0.56,,2017-03,0.1211,,0.4440,0.55,,2017-03,354.41M,357.57M,0.775,,2017-03,AOR,Restated
2016-12,855.63M,875.63M,366.50M,509.13M,31.49M,31.49M,,,0.824M,,,107.74M,0.084M,-107.66M,,263.68M,245.45M,0.084M,107.74M,-107.66M,100.15M,-107.66M,237.94M,-2.836M,240.78M,-1.195M,,207.64M,239.09M,577.87M,,2016-12,0.59,0.00,0.00,0.59,,2016-12,0.1858,,0.5786,0.58,,2016-12,353.98M,357.50M,0.775,,2016-12,AOR,Restated
2016-09,834.99M,866.55M,362.09M,504.46M,31.57M,31.57M,,,-16.60M,,,105.06M,0.562M,-104.50M,,239.95M,264.51M,0.562M,105.06M,-104.50M,-18.10M,-104.50M,141.91M,-8.537M,150.45M,-0.732M,,149.45M,159.67M,455.36M,,2016-09,0.43,0.00,0.00,0.43,,2016-09,-0.0004,,0.4481,0.42,,2016-09,350.27M,354.19M,0.73,,2016-09,AOR,Restated
2016-06,824.15M,848.29M,353.81M,494.49M,32.09M,32.09M,,,-9.692M,,,103.66M,0.111M,-103.55M,,254.06M,240.43M,0.111M,103.66M,-103.55M,-10.58M,-103.55M,126.30M,-11.55M,137.85M,-0.278M,,143.16M,143.39M,451.93M,,2016-06,0.41,0.01,0.00,0.42,,2016-06,0.0168,,0.4170,0.42,,2016-06,338.90M,342.57M,0.73,,2016-06,AOR,Restated
2016-03,829.78M,852.17M,359.67M,492.50M,31.73M,31.73M,,,-1.946M,,,103.27M,0.119M,-103.15M,,268.11M,224.38M,0.119M,103.27M,-103.15M,-6.312M,-103.15M,114.92M,-8.421M,123.34M,-0.054M,,148.98M,124.45M,454.58M,,2016-03,0.37,0.07,0.00,0.44,,2016-03,0.0772,,0.3634,0.44,,2016-03,335.56M,339.20M,0.73,,2016-03,AOR,Restated
2015-12,820.58M,840.94M,359.80M,481.14M,27.64M,27.64M,,,2.565M,,,103.69M,0.333M,-103.36M,,264.43M,216.71M,0.333M,103.69M,-103.36M,-1.667M,-103.36M,111.68M,-11.55M,123.23M,-0.332M,,124.73M,121.36M,452.17M,,2015-12,0.33,0.04,0.00,0.37,,2015-12,0.0124,,0.3254,0.37,,2015-12,332.92M,336.40M,0.73,,2015-12,AOR,Restated
2015-09,808.61M,827.53M,354.26M,473.27M,32.11M,32.11M,,,-77.48M,,,97.14M,0.074M,-97.06M,,258.45M,214.82M,0.074M,97.14M,-97.06M,-83.23M,-97.06M,34.54M,-10.70M,45.24M,-0.265M,,22.85M,91.46M,371.88M,,2015-09,0.14,-0.07,0.00,0.07,,2015-09,0.0008,,0.2782,0.07,,2015-09,332.49M,336.34M,0.73,,2015-09,AOR,Restated
2015-06,786.53M,811.75M,348.43M,463.32M,33.96M,33.96M,,,-11.81M,,,83.96M,0.174M,-83.78M,,248.67M,214.65M,0.174M,83.96M,-83.78M,-16.08M,-83.78M,114.78M,-9.789M,124.57M,-0.465M,,149.82M,131.20M,447.95M,,2015-06,0.39,0.06,0.00,0.45,,2015-06,0.0224,,0.4112,0.45,,2015-06,330.72M,334.03M,0.79,,2015-06,AOR,Restated
