,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,191.92M,191.92M,50.41M,141.51M,,8.023M,,,,,,54.41M,,-54.41M,-17.78M,47.71M,93.80M,,54.41M,-54.41M,,-54.41M,39.39M,-5.611M,44.59M,-0.408M,5.199M,179.80M,44.59M,152.76M,,2007-06,0.34,1.15,,1.49,,2007-06,,,0.33,1.48,,2007-06,117.42M,117.82M,0.475,,2007-06,AOR,Restated
2007-03,117.42M,117.42M,,,7.583M,7.583M,,,0.00,,,,,,-4.847M,35.02M,82.40M,,,,,,43.59M,0.00,43.59M,-0.005M,,45.11M,43.59M,115.23M,,2007-03,0.41,0.02,,0.43,,2007-03,,,0.41,0.42,,2007-03,106.04M,106.78M,0.475,,2007-03,AOR,Restated
2006-12,108.04M,117.94M,,,,14.04M,,,0.00,,,,,,-9.364M,36.47M,78.30M,,,,,,39.72M,0.00,39.72M,0.00,,40.80M,39.72M,113.97M,,2006-12,0.38,0.01,,0.39,,2006-12,,,0.37,0.38,,2006-12,105.17M,105.68M,0.395,,2006-12,AOR,Restated
2006-09,106.86M,106.86M,,,,6.539M,,,0.00,,,,,,6.319M,41.88M,64.97M,,,,,,30.95M,0.00,30.95M,0.00,,32.24M,30.95M,94.62M,,2006-09,0.30,0.01,,0.31,,2006-09,,,0.30,0.31,,2006-09,104.02M,104.57M,0.395,,2006-09,AOR,Restated
2006-06,96.74M,96.74M,,,,6.287M,,,0.00,,,,,,1.927M,36.71M,60.02M,,,,,,27.61M,0.00,27.61M,0.00,,29.26M,27.61M,89.14M,,2006-06,0.26,0.02,,0.28,,2006-06,,,0.26,0.28,,2006-06,103.88M,104.37M,0.395,,2006-06,AOR,Restated
2006-03,97.81M,97.81M,,,,6.631M,,,,,,,,,0.622M,35.72M,62.09M,,,,,,,,29.13M,,,29.13M,29.13M,90.56M,,2006-03,0.28,0.00,,0.28,,2006-03,,,0.28,0.28,,2006-03,103.75M,104.30M,0.395,,2006-03,AOR,Restated
2005-12,98.13M,90.03M,,,5.025M,5.025M,,,,,-21.33M,,,,9.119M,21.51M,68.53M,,,,,,,,41.81M,,,47.22M,41.81M,97.24M,,2005-12,0.41,0.06,,0.47,,2005-12,,,0.41,0.46,,2005-12,103.63M,104.27M,0.36,,2005-12,AOR,
2005-09,95.93M,95.93M,,,,6.58M,,,,,,,,,0.677M,34.95M,60.98M,,,,,,,,28.72M,,,28.72M,28.72M,90.04M,,2005-09,0.28,0.00,,0.28,,2005-09,,,0.28,0.28,,2005-09,103.08M,103.88M,0.36,,2005-09,AOR,Restated
2005-06,74.95M,74.95M,,,,6.059M,18.24M,,,,,,,,0.641M,24.94M,50.01M,,,,,,,,27.11M,,,27.07M,27.11M,68.25M,,2005-06,0.31,0.00,,0.31,,2005-06,,,0.30,0.30,,2005-06,88.57M,89.35M,0.36,,2005-06,AOR,Restated
2005-03,63.80M,63.80M,,,,5.44M,13.22M,,,,,,,,34.50M,53.16M,10.64M,,,,,,,,27.61M,,,27.57M,27.61M,23.86M,,2005-03,0.33,0.00,,0.33,,2005-03,,,0.32,0.32,,2005-03,84.66M,85.40M,0.36,,2005-03,AOR,Restated
2004-12,62.23M,57.45M,,,3.659M,3.659M,12.77M,,0.00,,-17.86M,,,,19.12M,17.69M,39.76M,,,,0.00,,,,26.56M,,,46.67M,26.56M,54.63M,,2004-12,0.31,0.25,,0.56,,2004-12,,,0.31,0.55,,2004-12,84.36M,85.19M,0.325,,2004-12,AOR,Restated
2004-09,61.26M,61.26M,,,4.047M,4.047M,13.20M,,-1.37M,,-17.94M,,,,18.64M,17.94M,43.32M,,,,-1.37M,,,,25.10M,,,25.30M,25.92M,56.52M,,2004-09,0.30,0.00,,0.30,,2004-09,,,0.3097,0.30,,2004-09,84.07M,84.89M,0.325,,2004-09,AOR,Restated
2004-06,59.42M,59.42M,,,4.302M,4.302M,12.08M,,,,-17.07M,,,,17.75M,17.07M,42.36M,,,,,,,,25.46M,,,25.65M,25.46M,54.44M,,2004-06,0.30,0.01,,0.31,,2004-06,,,0.30,0.30,,2004-06,83.82M,84.56M,0.325,,2004-06,AOR,Restated
2004-03,53.94M,53.94M,,,4.224M,4.224M,10.81M,,,,-15.62M,,,,16.22M,15.62M,38.32M,,,,,,,,23.09M,,,23.28M,23.09M,49.13M,,2004-03,0.28,0.00,,0.28,,2004-03,,,0.28,0.28,,2004-03,81.70M,82.76M,0.325,,2004-03,AOR,Restated
2003-12,31.80M,44.57M,,,,5.802M,9.695M,0.364M,,,,,,,-106.24M,-47.20M,91.77M,,,,,,,,14.68M,,,77.12M,14.68M,109.01M,,2003-12,0.18,0.79,,0.97,,2003-12,,,0.18,0.96,,2003-12,80.20M,81.24M,0.2675,,2003-12,AOR,Restated
2003-09,59.78M,50.40M,,,3.136M,3.136M,9.952M,0.309M,,,-14.10M,,,,28.83M,28.13M,22.28M,,,,8.117M,,,,30.39M,,,32.21M,25.52M,32.78M,,2003-09,0.38,0.03,,0.41,,2003-09,,,0.3193,0.40,,2003-09,79.39M,80.26M,0.2675,,2003-09,AOR,Restated
2003-06,48.02M,48.02M,,,,3.08M,9.925M,0.31M,,,,,,,20.49M,33.81M,14.21M,,,,,,,,15.13M,,,16.13M,15.13M,24.44M,,2003-06,0.19,0.01,,0.20,,2003-06,,,0.19,0.20,,2003-06,78.94M,79.58M,0.2675,,2003-06,AOR,Restated
2003-03,47.00M,47.00M,,,,3.14M,9.928M,0.291M,,,,,,,-8.496M,4.863M,42.14M,,,,,,,,35.93M,,,37.29M,35.93M,52.36M,,2003-03,0.46,0.01,,0.47,,2003-03,,,0.45,0.47,,2003-03,78.83M,79.30M,0.2675,,2003-03,AOR,Restated
2002-12,27.95M,27.95M,,,,7.444M,,,,,,,,,,-37.59M,65.54M,,,,,,,,-2.401M,,,9.444M,-9.32M,65.54M,,2002-12,0.13,0.00,,0.13,,2002-12,,,0.13,0.13,,2002-12,69.97M,72.67M,0.2375,,2002-12,AOR,Restated
2002-09,49.08M,49.08M,,,2.41M,2.41M,10.41M,0.354M,-1.192M,,-14.20M,,,,16.54M,15.53M,33.55M,,,,1.192M,,14.89M,-2.20M,17.09M,,,17.09M,17.09M,44.32M,,2002-09,0.25,0.00,0.00,0.25,,2002-09,0.00,,0.24,0.24,,2002-09,69.10M,70.05M,0.2375,,2002-09,AOR,
2002-06,51.25M,51.25M,,,2.601M,2.601M,10.39M,0.715M,-9.409M,,-14.64M,,,,16.98M,16.04M,35.20M,,,,-5.587M,,10.54M,0.00,10.54M,,,26.47M,23.04M,46.31M,,2002-06,0.38,0.00,0.00,0.38,,2002-06,-0.1005,-0.1005,0.4598,0.38,,2002-06,68.85M,70.00M,0.2375,,2002-06,AOR,
2002-03,46.74M,46.74M,,,2.311M,2.311M,10.47M,0.422M,2.114M,,-13.76M,,,,16.86M,16.29M,30.45M,,,,2.114M,,12.70M,0.00,12.70M,,,12.70M,10.59M,41.34M,,2002-03,0.18,0.00,,0.18,,2002-03,,,0.1497,0.18,,2002-03,68.70M,69.84M,0.2375,,2002-03,AOR,
2001-12,64.12M,28.64M,,,7.162M,7.162M,,,,,-14.73M,,,,,-7.565M,36.21M,,,,,,19.97M,0.363M,19.61M,,,22.72M,20.93M,46.00M,,2001-12,0.34,-0.01,,0.33,,2001-12,,,0.34,0.33,,2001-12,68.20M,69.31M,0.26,,2001-12,AOR,Restated
2001-09,47.00M,47.00M,,,2.598M,2.598M,,,,,-14.19M,,,,,-11.59M,58.59M,,,,,,9.323M,0.469M,8.854M,,,9.157M,8.854M,70.58M,,2001-09,0.13,0.00,,0.13,,2001-09,,,0.13,0.13,,2001-09,68.49M,69.58M,0.44,,2001-09,AOR,
2001-06,46.72M,46.72M,,,2.593M,2.593M,,,,,-14.55M,,,,,-11.96M,58.68M,,,,,,8.768M,1.184M,7.584M,,,8.105M,7.584M,70.83M,,2001-06,0.12,0.00,,0.12,,2001-06,,,0.12,0.12,,2001-06,68.41M,69.31M,0.22,,2001-06,AOR,
2001-03,47.62M,47.62M,,,2.549M,2.549M,10.50M,0.403M,,,-15.25M,,,,,-1.799M,49.42M,,,,,,11.25M,0.675M,10.58M,,,10.58M,10.58M,60.32M,,2001-03,0.16,0.00,0.00,0.16,,2001-03,0.00,,0.15,0.15,,2001-03,68.22M,68.87M,0.00,,2001-03,AOR,
2000-12,32.08M,32.08M,,,,13.39M,,,,,,,,,,-64.85M,96.94M,,,,,,,,-92.21M,,,-84.28M,-96.42M,96.94M,,2000-12,-1.30,0.06,,-1.24,,2000-12,,,-1.30,-1.24,,2000-12,68.08M,68.29M,0.29,,2000-12,AOR,Restated
2000-09,60.88M,60.88M,,,2.602M,2.602M,10.52M,0.309M,,,-28.64M,,,,43.84M,28.64M,32.24M,,,,,,,,8.581M,,,8.581M,8.581M,43.07M,,2000-09,0.13,0.00,0.00,0.13,,2000-09,0.00,,0.13,0.13,,2000-09,68.04M,68.22M,0.62,,2000-09,AOR,
2000-06,59.97M,59.97M,,,2.497M,2.497M,10.53M,0.33M,,,-28.68M,,,,44.02M,28.68M,31.29M,,,,,,,,7.512M,,,7.512M,7.512M,42.14M,,2000-06,0.11,0.00,0.00,0.11,,2000-06,0.00,,0.11,0.11,,2000-06,68.03M,68.10M,0.00,,2000-06,AOR,
2000-03,59.10M,59.10M,,,2.288M,2.288M,10.63M,0.405M,,,-28.31M,,,,43.30M,28.31M,30.79M,,,,,,,,6.94M,,,2.733M,11.15M,41.83M,,2000-03,0.10,-0.06,0.00,0.04,,2000-03,-0.0620,-0.0620,0.10,0.04,,2000-03,67.90M,67.91M,0.00,,2000-03,AOR,
1999-12,59.39M,59.39M,,,2.984M,2.984M,,,,,-9.314M,,,,,-6.33M,65.72M,,,,,,,,-11.00M,,,-11.00M,-11.00M,78.28M,,1999-12,-0.16,0.00,,-0.16,,1999-12,,,-0.16,-0.16,,1999-12,67.73M,68.67M,0.00,,1999-12,AOR,
1999-09,59.31M,59.31M,,,1.416M,1.416M,,,,,-23.89M,,,,,-22.47M,81.78M,,,,,,,,13.03M,,,13.03M,13.03M,94.18M,,1999-09,0.19,0.00,,0.19,,1999-09,,,0.19,0.19,,1999-09,68.56M,68.56M,0.00,,1999-09,,
1999-06,57.91M,57.91M,,,4.60M,4.60M,,,,,-19.10M,,,,,-14.50M,72.41M,,,,,,,,20.20M,,,20.20M,20.20M,84.81M,,1999-06,0.30,0.00,,0.30,,1999-06,,,0.30,0.30,,1999-06,67.33M,67.33M,0.00,,1999-06,,
1999-03,56.60M,56.60M,,,2.60M,2.60M,,,-1.30M,,-17.00M,,,,,-14.40M,71.00M,,,,-1.30M,,,,20.30M,,,20.30M,21.08M,83.80M,,1999-03,0.30,0.00,,0.30,,1999-03,,,0.3115,0.30,,1999-03,67.67M,67.67M,0.39,,1999-03,,
