,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,1.417B,0.00,98.00M,98.00M,481.00M,481.00M,-98.00M,44.00M,,331.00M,-128.00M,241.00M,94.00M,,,,207.00M,,2.48B,-368.00M,13.00M,-355.00M,3.00M,-172.00M,1.00M,-523.00M,-1.331B,-6.00M,-1.337B,89.00M,0.00,89.00M,-847.00M,-847.00M,-2.00M,-2.097B,4.219B,-140.00M,42.00M,4.121B,89.00M,0.00,-1.331B,0.00
2020-06,1.287B,-387.00M,99.00M,-288.00M,492.00M,492.00M,12.00M,52.00M,,33.00M,384.00M,9.00M,-76.00M,,,,317.00M,,1.905B,-379.00M,9.00M,-370.00M,487.00M,453.00M,7.00M,577.00M,-1.146B,-594.00M,-1.74B,87.00M,-1.00M,86.00M,-846.00M,-846.00M,-9.00M,-2.509B,4.253B,-27.00M,-7.00M,4.219B,87.00M,0.00,-1.146B,-1.00M
2020-03,1.294B,-2.00M,98.00M,96.00M,440.00M,440.00M,29.00M,120.00M,,-496.00M,-143.00M,-207.00M,80.00M,,,,-270.00M,,1.213B,-332.00M,7.00M,-325.00M,61.00M,-111.00M,,-375.00M,1.745B,462.00M,2.207B,149.00M,-365.00M,-216.00M,-847.00M,-847.00M,-36.00M,1.108B,2.353B,1.946B,-46.00M,4.253B,149.00M,1.745B,0.00,-365.00M
2019-12,970.00M,0.00,115.00M,115.00M,463.00M,463.00M,-185.00M,48.00M,,90.00M,359.00M,115.00M,363.00M,,,,837.00M,,2.338B,-538.00M,32.00M,-506.00M,-4.28B,-540.00M,27.00M,-5.299B,-1.68B,150.00M,-1.53B,110.00M,-164.00M,-54.00M,-828.00M,-828.00M,-39.00M,-2.451B,7.731B,-5.412B,34.00M,2.353B,110.00M,165.00M,-1.845B,-164.00M
2019-09,1.588B,-106.00M,66.00M,-40.00M,379.00M,379.00M,-14.00M,48.00M,,-424.00M,244.00M,180.00M,61.00M,,,,485.00M,,2.022B,-349.00M,88.00M,-261.00M,230.00M,94.00M,27.00M,90.00M,3.851B,-25.00M,3.826B,72.00M,-142.00M,-70.00M,-828.00M,-828.00M,-124.00M,2.804B,2.849B,4.916B,-34.00M,7.731B,72.00M,3.851B,0.00,-142.00M
2019-06,1.131B,162.00M,106.00M,268.00M,376.00M,376.00M,-18.00M,52.00M,,113.00M,-180.00M,253.00M,-333.00M,,,,-260.00M,,1.662B,-421.00M,2.00M,-419.00M,0.00,396.00M,13.00M,-10.00M,-625.00M,-13.00M,-638.00M,150.00M,-400.00M,-250.00M,-830.00M,-830.00M,-17.00M,-1.735B,2.938B,-83.00M,-6.00M,2.849B,150.00M,0.00,-625.00M,-400.00M
2019-03,893.00M,-5.00M,70.00M,65.00M,375.00M,375.00M,-56.00M,130.00M,,-100.00M,-78.00M,-178.00M,-3.00M,,,,-259.00M,,1.048B,-391.00M,1.00M,-390.00M,-698.00M,-142.00M,5.00M,-1.225B,2.019B,-428.00M,1.591B,215.00M,-701.00M,-486.00M,-830.00M,-830.00M,-17.00M,258.00M,2.853B,81.00M,4.00M,2.938B,215.00M,2.265B,-246.00M,-701.00M
2018-12,1.349B,-15.00M,104.00M,89.00M,371.00M,371.00M,16.00M,44.00M,,-227.00M,291.00M,53.00M,272.00M,,,,616.00M,,2.258B,-531.00M,119.00M,-412.00M,40.00M,-45.00M,1.00M,-416.00M,-574.00M,414.00M,-160.00M,84.00M,-1.269B,-1.185B,-787.00M,-787.00M,-20.00M,-2.152B,3.185B,-310.00M,-22.00M,2.853B,84.00M,4.00M,-578.00M,-1.269B
2018-09,1.546B,0.00,102.00M,102.00M,355.00M,355.00M,-72.00M,50.00M,,325.00M,10.00M,-225.00M,48.00M,,,,-167.00M,,2.139B,-377.00M,47.00M,-330.00M,0.00,42.00M,19.00M,-269.00M,1.791B,-1.472B,319.00M,96.00M,-1.064B,-968.00M,-794.00M,-794.00M,-10.00M,-1.453B,2.801B,417.00M,-33.00M,3.185B,96.00M,2.241B,-450.00M,-1.064B
2018-06,1.862B,-506.00M,102.00M,-404.00M,380.00M,380.00M,102.00M,49.00M,,286.00M,-346.00M,-128.00M,98.00M,,,,-376.00M,,1.899B,-365.00M,13.00M,-352.00M,779.00M,199.00M,0.00,626.00M,0.00,-807.00M,-807.00M,86.00M,-1.60B,-1.514B,-802.00M,-802.00M,-19.00M,-3.142B,3.491B,-617.00M,-73.00M,2.801B,86.00M,0.00,0.00,-1.60B
