,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,1.353B,,-2.00M,183.00M,67.00M,250.00M,250.00M,-51.00M,50.00M,35.00M,-216.00M,64.00M,25.00M,-221.00M,,156.00M,-192.00M,,1.443B,-146.00M,,,,-2.03B,-13.00M,-2.189B,0.00,,0.00,123.00M,-15.00M,108.00M,-825.00M,-825.00M,-9.00M,-726.00M,4.294B,-1.472B,,2.822B,123.00M,0.00,0.00,-15.00M
2020-06,1.38B,,-1.00M,184.00M,65.00M,249.00M,249.00M,-30.00M,69.00M,27.00M,140.00M,-133.00M,63.00M,-182.00M,,138.00M,26.00M,,1.72B,-130.00M,,,,1.561B,6.00M,1.437B,249.00M,,249.00M,87.00M,-882.00M,-795.00M,-823.00M,-823.00M,-12.00M,-1.381B,2.518B,1.776B,,4.294B,87.00M,749.00M,-500.00M,-882.00M
2020-03,1.174B,,,186.00M,64.00M,250.00M,250.00M,-34.00M,63.00M,-91.00M,-242.00M,-2.00M,-88.00M,147.00M,,-326.00M,-511.00M,,851.00M,-161.00M,,,,992.00M,-5.00M,826.00M,749.00M,,749.00M,146.00M,-1.641B,-1.495B,-841.00M,-841.00M,-9.00M,-1.596B,2.437B,81.00M,,2.518B,146.00M,749.00M,,-1.641B
2019-12,1.07B,,0.00,186.00M,64.00M,250.00M,250.00M,50.00M,41.00M,-25.00M,268.00M,39.00M,-20.00M,-22.00M,,103.00M,368.00M,,1.754B,-163.00M,,,,-1.765B,7.00M,-1.921B,0.00,,0.00,48.00M,-489.00M,-441.00M,-841.00M,-841.00M,-7.00M,-1.289B,3.893B,-1.456B,,2.437B,48.00M,0.00,0.00,-489.00M
2019-09,1.425B,,0.00,183.00M,92.00M,275.00M,275.00M,-4.00M,48.00M,6.00M,77.00M,39.00M,44.00M,-64.00M,,146.00M,242.00M,,1.992B,-149.00M,,,,-766.00M,1.00M,-914.00M,-2.00M,,-2.00M,194.00M,-456.00M,-262.00M,-721.00M,-721.00M,-13.00M,-998.00M,3.813B,80.00M,,3.893B,194.00M,748.00M,-750.00M,-456.00M
2019-06,1.305B,,-21.00M,173.00M,94.00M,267.00M,267.00M,31.00M,67.00M,-36.00M,21.00M,52.00M,18.00M,-39.00M,,131.00M,183.00M,,1.796B,-284.00M,,,,-39.00M,65.00M,-258.00M,0.00,,0.00,146.00M,-863.00M,-717.00M,-722.00M,-722.00M,-6.00M,-1.445B,3.72B,93.00M,,3.813B,146.00M,0.00,0.00,-863.00M
2019-03,1.217B,,-2.00M,166.00M,92.00M,258.00M,258.00M,4.00M,61.00M,20.00M,-233.00M,86.00M,223.00M,-161.00M,,-366.00M,-451.00M,,1.107B,-251.00M,,,,1.435B,-11.00M,1.173B,743.00M,,743.00M,151.00M,-1.152B,-1.001B,-724.00M,-724.00M,-16.00M,-998.00M,2.438B,1.282B,,3.72B,151.00M,743.00M,,-1.152B
2018-12,1.239B,,,158.00M,91.00M,249.00M,249.00M,-23.00M,42.00M,14.00M,378.00M,-101.00M,101.00M,134.00M,,115.00M,627.00M,,2.145B,-323.00M,,,,1.83B,-2.00M,1.505B,0.00,,0.00,38.00M,-2.009B,-1.971B,-736.00M,-736.00M,-7.00M,-2.714B,1.502B,936.00M,,2.438B,38.00M,0.00,0.00,-2.009B
2018-09,1.57B,,,151.00M,92.00M,243.00M,243.00M,-52.00M,46.00M,-14.00M,-34.00M,-26.00M,151.00M,73.00M,,149.00M,313.00M,,2.106B,-370.00M,,,,-1.384B,-14.00M,-1.768B,0.00,,0.00,55.00M,-1.20B,-1.145B,-602.00M,-602.00M,-8.00M,-1.755B,2.919B,-1.417B,,1.502B,55.00M,0.00,0.00,-1.20B
2018-06,1.405B,,,144.00M,89.00M,233.00M,233.00M,1.00M,74.00M,-71.00M,-97.00M,-58.00M,61.00M,126.00M,,152.00M,184.00M,,1.826B,-249.00M,,,,162.00M,6.00M,-81.00M,1.00B,,1.00B,102.00M,-1.018B,-916.00M,-606.00M,-606.00M,-21.00M,-543.00M,1.717B,1.202B,,2.919B,102.00M,1.50B,-500.00M,-1.018B
