,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.817B,3.817B,1.364B,2.453B,407.00M,386.00M,-51.00M,49.00M,-49.00M,793.00M,1.66B,49.00M,-49.00M,-24.00M,-49.00M,1.587B,234.00M,1.353B,,,,1.353B,1.404B,1.886B,250.00M,1.636B,1.47,,,,1.526,1.47,1.45,,,,1.505,1.45,917.00M,929.00M,0.9
2020-06,3.239B,3.239B,1.157B,2.082B,401.00M,379.00M,-74.00M,48.00M,-48.00M,780.00M,1.302B,48.00M,-48.00M,25.00M,-48.00M,1.279B,-101.00M,1.38B,,,,1.38B,1.434B,1.576B,249.00M,1.327B,1.5,,,,1.5590000000000002,1.5,1.48,,,,1.538,1.48,916.00M,927.00M,0.9
2020-03,3.329B,3.329B,1.241B,2.088B,417.00M,377.00M,-50.00M,45.00M,-45.00M,794.00M,1.294B,45.00M,-45.00M,-25.00M,-45.00M,1.224B,50.00M,1.174B,,,,1.174B,1.222B,1.519B,250.00M,1.269B,1.25,,,,1.3019999999999998,1.25,1.24,,,,1.291,1.24,931.00M,943.00M,0.9
2019-12,3.35B,3.35B,1.253B,2.097B,412.00M,386.00M,-50.00M,45.00M,-45.00M,798.00M,1.299B,45.00M,-45.00M,3.00M,-45.00M,1.257B,187.00M,1.07B,,,,1.07B,1.113B,1.552B,250.00M,1.302B,1.147,,,,1.192,1.147,1.12,,,,1.165,1.12,933.00M,949.00M,0.9
2019-09,3.771B,3.771B,1.325B,2.446B,399.00M,379.00M,-79.00M,43.00M,-43.00M,778.00M,1.668B,43.00M,-43.00M,-45.00M,-43.00M,1.58B,155.00M,1.425B,,,,1.425B,1.504B,1.898B,275.00M,1.623B,1.51,,,,1.594,1.51,1.49,,,,1.5730000000000002,1.49,935.00M,950.00M,0.77
2019-06,3.668B,3.668B,1.308B,2.36B,420.00M,390.00M,-44.00M,44.00M,-44.00M,810.00M,1.55B,44.00M,-44.00M,8.00M,-44.00M,1.514B,209.00M,1.305B,,,,1.305B,1.343B,1.825B,267.00M,1.558B,1.38,,,,1.42,1.38,1.36,,,,1.4,1.36,937.00M,953.00M,0.77
2019-03,3.594B,3.594B,1.333B,2.261B,414.00M,389.00M,-79.00M,38.00M,-38.00M,803.00M,1.458B,38.00M,-38.00M,-43.00M,-38.00M,1.377B,160.00M,1.217B,,,,1.217B,1.287B,1.673B,258.00M,1.415B,1.29,,,,1.364,1.29,1.26,,,,1.3330000000000002,1.26,939.00M,956.00M,0.77
2018-12,3.717B,3.717B,1.31B,2.407B,414.00M,400.00M,-77.00M,36.00M,-36.00M,814.00M,1.593B,36.00M,-36.00M,-54.00M,-36.00M,1.503B,264.00M,1.239B,,,,1.239B,1.302B,1.788B,249.00M,1.539B,1.3,,,,1.367,1.3,1.27,,,,1.3359999999999999,1.27,952.00M,969.00M,0.77
2018-09,4.261B,4.261B,1.457B,2.804B,396.00M,390.00M,-81.00M,36.00M,-36.00M,786.00M,2.018B,36.00M,-36.00M,-58.00M,-36.00M,1.924B,354.00M,1.57B,,,,1.57B,1.636B,2.203B,243.00M,1.96B,1.61,,,,1.679,1.61,1.58,,,,1.6469999999999998,1.58,969.00M,989.00M,0.62
2018-06,4.017B,4.017B,1.398B,2.619B,441.00M,384.00M,-82.00M,30.00M,-30.00M,825.00M,1.794B,30.00M,-30.00M,-58.00M,-30.00M,1.706B,301.00M,1.405B,,,,1.405B,1.472B,1.969B,233.00M,1.736B,1.43,,,,1.499,1.43,1.4,,,,1.4669999999999999,1.4,977.00M,997.00M,0.62
2018-03,3.789B,3.789B,1.342B,2.447B,433.00M,385.00M,-81.00M,23.00M,-23.00M,818.00M,1.629B,23.00M,-23.00M,-53.00M,-23.00M,1.553B,187.00M,1.366B,,,,1.366B,1.437B,1.805B,229.00M,1.576B,1.38,,,,1.453,1.38,1.35,,,,1.421,1.35,983.00M,1.005B,0.62
2017-12,3.75B,3.75B,1.31B,2.44B,409.00M,386.00M,-82.00M,21.00M,-21.00M,795.00M,1.645B,21.00M,-21.00M,-74.00M,-21.00M,1.55B,1.206B,344.00M,,,,344.00M,393.20M,1.795B,224.00M,1.571B,0.3492,,,,0.3992,0.3492,0.34,,,,0.3889,0.34,985.00M,1.006B,0.62
2017-09,4.116B,4.116B,1.46B,2.656B,412.00M,375.00M,-81.00M,19.00M,-19.00M,787.00M,1.869B,19.00M,-19.00M,-61.00M,-19.00M,1.789B,504.00M,1.285B,,,,1.285B,1.343B,2.033B,225.00M,1.808B,1.29,,,,1.349,1.29,1.26,,,,1.318,1.26,988.00M,1.008B,0.5
2017-06,3.693B,3.693B,1.319B,2.374B,434.00M,378.00M,-82.00M,20.00M,-20.00M,812.00M,1.562B,20.00M,-20.00M,-56.00M,-20.00M,1.486B,430.00M,1.056B,,,,1.056B,1.114B,1.731B,225.00M,1.506B,1.05,,,,1.109,1.05,1.03,,,,1.087,1.03,994.00M,1.015B,0.5
2017-03,3.402B,3.402B,1.258B,2.144B,439.00M,369.00M,-84.00M,18.00M,-18.00M,808.00M,1.336B,18.00M,-18.00M,-63.00M,-18.00M,1.255B,258.00M,997.00M,,,,997.00M,1.063B,1.503B,230.00M,1.273B,0.99,,,,1.056,0.99,0.97,,,,1.035,0.97,998.00M,1.019B,0.5
2016-12,3.414B,3.414B,1.277B,2.137B,405.00M,340.00M,-60.00M,19.00M,-19.00M,745.00M,1.392B,19.00M,-19.00M,124.00M,-19.00M,1.497B,450.00M,1.047B,,,,1.047B,1.089B,1.743B,227.00M,1.516B,1.051,,,,1.093,1.051,1.02,,,,1.061,1.02,1.00B,1.018B,0.5
2016-09,3.675B,3.675B,1.391B,2.284B,442.00M,353.00M,-81.00M,18.00M,-18.00M,795.00M,1.489B,18.00M,-18.00M,-90.00M,-18.00M,1.381B,363.00M,1.018B,,,,1.018B,1.078B,1.636B,237.00M,1.399B,1.0,,,,1.06,1.0,0.98,,,,1.0390000000000001,0.98,1.003B,1.023B,0.38
2016-06,3.273B,3.273B,1.266B,2.007B,454.00M,341.00M,-81.00M,21.00M,-21.00M,795.00M,1.212B,21.00M,-21.00M,-89.00M,-21.00M,1.102B,283.00M,819.00M,,,,819.00M,878.94M,1.365B,242.00M,1.123B,0.81,,,,0.8697,0.81,0.79,,,,0.8488,0.79,1.004B,1.02B,0.38
2016-03,3.008B,3.008B,1.179B,1.829B,441.00M,322.00M,-82.00M,22.00M,-22.00M,763.00M,1.066B,22.00M,-22.00M,-94.00M,-22.00M,950.00M,239.00M,711.00M,,,,711.00M,772.50M,1.221B,249.00M,972.00M,0.7,,,,0.7611,0.7,0.69,,,,0.7502,0.69,1.007B,1.022B,0.38
2015-12,3.189B,3.189B,1.308B,1.881B,385.00M,293.00M,-13.00M,22.00M,-22.00M,678.00M,1.203B,22.00M,-22.00M,-42.00M,-22.00M,1.139B,303.00M,836.00M,,,,836.00M,845.54M,1.422B,261.00M,1.161B,0.8267,,,,0.8361,0.8267,0.8,,,,0.8093,0.8,1.012B,1.025B,0.38
2015-09,3.429B,3.429B,1.432B,1.997B,434.00M,316.00M,-83.00M,22.00M,-22.00M,750.00M,1.247B,22.00M,-22.00M,-77.00M,-22.00M,1.148B,350.00M,798.00M,,,,798.00M,855.70M,1.455B,285.00M,1.17B,0.77,,,,0.8264,0.77,0.76,,,,0.8157,0.76,1.023B,1.035B,0.34
2015-06,3.232B,3.232B,1.351B,1.881B,470.00M,320.00M,-81.00M,24.00M,-24.00M,790.00M,1.091B,24.00M,-24.00M,-78.00M,-24.00M,989.00M,293.00M,696.00M,,,,696.00M,753.00M,1.304B,291.00M,1.013B,0.66,,,,0.7149,0.66,0.65,,,,0.7042,0.65,1.038B,1.051B,0.34
2015-03,3.15B,3.15B,1.334B,1.816B,439.00M,338.00M,-81.00M,22.00M,-22.00M,777.00M,1.039B,22.00M,-22.00M,-77.00M,-22.00M,940.00M,284.00M,656.00M,,,,656.00M,712.53M,1.258B,296.00M,962.00M,0.62,,,,0.674,0.62,0.61,,,,0.6633,0.61,1.046B,1.061B,0.34
2014-12,3.269B,3.269B,1.374B,1.895B,429.00M,311.00M,-55.00M,22.00M,5.00M,740.00M,1.155B,22.00M,5.00M,-73.00M,5.00M,1.087B,262.00M,825.00M,,,,825.00M,866.74M,1.414B,305.00M,1.109B,0.7882,,,,0.828,0.7882,0.76,,,,0.7992,0.76,1.05B,1.065B,0.34
2014-09,3.501B,3.501B,1.457B,2.044B,463.00M,332.00M,-74.00M,23.00M,-23.00M,795.00M,1.249B,23.00M,-23.00M,-71.00M,-23.00M,1.155B,329.00M,826.00M,,,,826.00M,878.92M,1.486B,308.00M,1.178B,0.77,,,,0.8199,0.77,0.76,,,,0.8093,0.76,1.06B,1.074B,0.3
2014-06,3.292B,3.292B,1.411B,1.881B,472.00M,349.00M,-78.00M,24.00M,-24.00M,821.00M,1.06B,24.00M,-24.00M,-75.00M,-24.00M,961.00M,278.00M,683.00M,,,,683.00M,738.44M,1.292B,307.00M,985.00M,0.63,,,,0.6818,0.63,0.62,,,,0.671,0.62,1.071B,1.086B,0.3
2014-03,2.983B,2.983B,1.376B,1.607B,479.00M,366.00M,-72.00M,25.00M,-25.00M,845.00M,762.00M,25.00M,-25.00M,-66.00M,-25.00M,671.00M,184.00M,487.00M,,,,487.00M,539.26M,1.006B,310.00M,696.00M,0.44,,,,0.4883,0.44,0.44,,,,0.4877,0.44,1.081B,1.096B,0.3
2013-12,3.028B,3.028B,1.388B,1.64B,461.00M,346.00M,-146.00M,24.00M,-10.00M,807.00M,833.00M,24.00M,-10.00M,-141.00M,-10.00M,682.00M,171.00M,511.00M,,,,511.00M,620.39M,1.019B,313.00M,706.00M,0.46,,,,0.5607,0.46,0.46,,,,0.5594,0.46,1.086B,1.101B,0.3
2013-09,3.244B,3.244B,1.465B,1.779B,465.00M,368.00M,-102.00M,24.00M,-24.00M,833.00M,946.00M,24.00M,-24.00M,-106.00M,-24.00M,816.00M,187.00M,629.00M,,,,629.00M,707.62M,1.158B,318.00M,840.00M,0.56,,,,0.6317,0.56,0.56,,,,0.6308,0.56,1.096B,1.111B,0.28
2013-06,3.047B,3.047B,1.477B,1.57B,471.00M,389.00M,196.00M,24.00M,-24.00M,860.00M,710.00M,24.00M,-24.00M,196.00M,-24.00M,882.00M,222.00M,660.00M,,,,660.00M,513.33M,1.227B,321.00M,906.00M,0.59,,,,0.457,0.59,0.58,,,,0.4487,0.58,1.103B,1.117B,0.28
2013-03,2.885B,2.885B,1.511B,1.374B,459.00M,419.00M,-101.00M,23.00M,-23.00M,878.00M,496.00M,23.00M,-23.00M,-99.00M,-23.00M,374.00M,12.00M,362.00M,,,,362.00M,459.76M,742.00M,345.00M,397.00M,0.32,,,,0.4083,0.32,0.32,,,,0.4071,0.32,1.107B,1.123B,0.21
