,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.694B,2.694B,,,,,14.00M,-14.00M,5.00M,5.00M,14.00M,-14.00M,2.00M,-14.00M,1.316B,267.00M,1.049B,,1.049B,1.049B,,1.33B,,6.52,,,6.52,6.52,,6.47,,,6.47,6.47,,160.89M,162.10M,0.60,,AOR,
2020-09,2.227B,2.227B,,,,,13.00M,-13.00M,5.00M,5.00M,13.00M,-13.00M,3.00M,-13.00M,614.00M,130.00M,484.00M,,484.00M,484.00M,20.00M,627.00M,,3.01,,,3.01,3.01,,2.99,,,2.99,2.99,,160.90M,162.00M,0.60,,AOR,
2020-06,2.714B,2.714B,,,,,14.00M,-14.00M,5.00M,5.00M,14.00M,-14.00M,3.00M,-14.00M,1.145B,236.00M,909.00M,,909.00M,909.00M,20.00M,1.159B,,5.65,,,5.65,5.65,,5.63,,,5.63,5.63,,160.80M,161.50M,0.60,,AOR,
2020-03,-99.00M,-99.00M,,,,,13.00M,-13.00M,5.00M,5.00M,13.00M,-13.00M,2.00M,-13.00M,-1.576B,-350.00M,-1.226B,,-1.226B,-1.226B,22.00M,-1.563B,,-7.56,,,-7.56,-7.56,,-7.56,,,-7.56,-7.56,,162.20M,162.20M,0.60,,AOR,
2019-12,2.152B,2.152B,,,,,13.00M,-13.00M,6.00M,6.00M,13.00M,-13.00M,2.00M,-13.00M,781.00M,155.00M,626.00M,,626.00M,626.00M,18.00M,794.00M,,3.84,,,3.84,3.84,,3.79,,,3.79,3.79,,163.20M,165.10M,0.56,,AOR,
2019-09,1.70B,1.70B,,,,,14.00M,-14.00M,5.00M,5.00M,14.00M,-14.00M,3.00M,-14.00M,294.00M,46.00M,248.00M,,248.00M,248.00M,18.00M,308.00M,,1.51,,,1.51,1.51,,1.49,,,1.49,1.49,,163.30M,165.60M,0.56,,AOR,Restated
2019-06,1.913B,1.913B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,2.00M,-13.00M,530.00M,102.00M,428.00M,,428.00M,428.00M,17.00M,543.00M,,2.62,,,2.62,2.62,,2.59,,,2.59,2.59,,163.30M,165.20M,0.56,,AOR,Restated
2019-03,2.159B,2.159B,,,,,13.00M,-13.00M,8.00M,8.00M,13.00M,-13.00M,2.00M,-13.00M,867.00M,172.00M,695.00M,,695.00M,695.00M,19.00M,880.00M,,4.27,,,4.27,4.27,,4.22,,,4.22,4.22,,163.00M,164.60M,0.56,,AOR,Restated
2018-12,710.00M,710.00M,,,,,13.00M,-13.00M,6.00M,6.00M,13.00M,-13.00M,1.00M,-13.00M,-581.00M,-129.00M,-452.00M,,-452.00M,-452.00M,15.00M,-568.00M,,-2.78,,,-2.78,-2.78,,-2.78,,,-2.78,-2.78,,162.90M,163.90M,0.53,,AOR,Restated
2018-09,1.915B,1.915B,,,,,14.00M,-14.00M,3.00M,3.00M,14.00M,-14.00M,2.00M,-14.00M,618.00M,65.00M,553.00M,,553.00M,553.00M,16.00M,632.00M,,3.40,,,3.40,3.40,,3.38,,,3.38,3.38,,162.70M,164.00M,0.53,,AOR,Restated
2018-06,1.558B,1.558B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,1.00M,-13.00M,264.00M,47.00M,217.00M,,217.00M,217.00M,14.00M,277.00M,,1.33,,,1.33,1.33,,1.32,,,1.32,1.32,,163.20M,164.50M,0.53,,AOR,Restated
2018-03,1.224B,1.224B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,1.00M,-13.00M,-50.00M,-19.00M,-31.00M,,-31.00M,-31.00M,18.00M,-37.00M,,-0.19,,,-0.19,-0.19,,-0.19,,,-0.19,-0.19,,164.00M,164.00M,0.53,,AOR,Restated
2017-12,1.411B,1.411B,,,,,14.00M,-14.00M,2.00M,2.00M,14.00M,-14.00M,1.00M,-14.00M,197.00M,-445.00M,642.00M,,642.00M,642.00M,15.00M,211.00M,,3.92,,,3.92,3.92,,3.88,,,3.88,3.88,,163.90M,165.70M,0.50,,AOR,Restated
