,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.139B,1.139B,810.53M,328.70M,180.46M,,0.00,1.861M,-1.861M,,180.46M,148.23M,1.861M,-1.861M,,-1.861M,146.37M,27.36M,119.10M,,,119.10M,119.10M,155.54M,7.306M,148.23M,2.97,,,2.97,2.97,2.92,,,2.92,2.92,40.12M,40.84M,0.58
2020-06,1.281B,1.281B,907.36M,373.48M,167.62M,,0.00,2.643M,-2.643M,,167.62M,205.86M,2.643M,-2.643M,,-2.643M,203.21M,45.73M,157.56M,,,157.56M,157.56M,213.17M,7.311M,205.86M,3.94,,,3.94,3.94,3.87,,,3.87,3.87,39.97M,40.72M,0.58
2020-03,677.29M,677.29M,487.66M,189.63M,147.10M,,-6.944M,4.789M,-4.789M,,147.10M,42.53M,4.789M,-4.789M,-6.944M,-4.789M,30.80M,-0.025M,30.91M,,,30.91M,35.98M,42.92M,7.337M,35.59M,0.77,,,0.8963,0.77,0.75,,,0.8738,0.75,40.12M,40.96M,0.55
2019-12,582.23M,582.23M,420.18M,162.05M,136.25M,,,5.234M,-5.234M,,136.25M,25.80M,5.234M,-5.234M,,-5.234M,20.56M,2.592M,18.02M,,,18.02M,18.02M,33.38M,7.577M,25.80M,0.45,,,0.45,0.45,0.44,,,0.44,0.44,40.08M,41.03M,0.55
2019-09,898.50M,898.50M,640.57M,257.93M,153.39M,,0.00,5.498M,-5.498M,,153.39M,104.54M,5.498M,-5.498M,,-5.498M,99.04M,19.59M,79.52M,,,79.52M,79.52M,111.97M,7.426M,104.54M,1.99,,,1.99,1.99,1.95,,,1.95,1.95,39.93M,40.86M,0.55
2019-06,1.121B,1.121B,791.01M,330.31M,157.79M,,0.00,6.424M,-6.424M,,157.79M,172.52M,6.424M,-6.424M,,-6.424M,166.10M,34.78M,131.39M,,,131.39M,131.39M,179.77M,7.247M,172.52M,3.3,,,3.3,3.3,3.22,,,3.22,3.22,39.83M,40.85M,0.55
2019-03,597.46M,597.46M,422.82M,174.63M,136.24M,,0.00,6.616M,-6.616M,,136.24M,38.39M,6.616M,-6.616M,,-6.616M,31.77M,-0.802M,32.64M,,,32.64M,32.64M,45.41M,7.024M,38.39M,0.83,,,0.83,0.83,0.8,,,0.8,0.8,39.48M,40.70M,0.45
2018-12,543.08M,543.08M,382.64M,160.44M,134.47M,,,6.447M,-6.447M,,134.47M,25.97M,6.447M,-6.447M,,-6.447M,19.52M,2.785M,16.81M,,,16.81M,16.81M,32.98M,7.008M,25.97M,0.42,,,0.42,0.42,0.41,,,0.41,0.41,40.00M,41.28M,0.45
2018-09,811.31M,811.31M,576.31M,235.00M,142.67M,,,4.931M,-4.931M,,142.67M,92.34M,4.931M,-4.931M,,-4.931M,87.41M,18.21M,69.26M,,,69.26M,69.26M,99.42M,7.081M,92.34M,1.71,,,1.71,1.71,1.66,,,1.66,1.66,40.42M,41.80M,0.45
2018-06,1.058B,1.058B,749.15M,308.66M,146.61M,,,5.991M,-5.991M,,146.61M,162.04M,5.991M,-5.991M,,-5.991M,156.05M,39.06M,117.05M,,,117.05M,117.05M,169.10M,7.057M,162.04M,2.89,,,2.89,2.89,2.8,,,2.8,2.8,40.45M,41.81M,0.45
2018-03,585.90M,585.90M,419.83M,166.07M,132.53M,,,3.527M,-3.527M,,132.53M,33.54M,3.527M,-3.527M,,-3.527M,30.01M,-1.279M,31.34M,,,31.34M,31.34M,40.31M,6.769M,33.54M,0.78,,,0.78,0.78,0.75,,,0.75,0.75,40.37M,41.86M,0.37
2017-12,510.18M,510.18M,364.78M,145.40M,128.14M,,,3.581M,-3.581M,,128.14M,17.26M,3.581M,-3.581M,,-3.581M,13.68M,-11.97M,25.66M,,0.00,25.66M,25.66M,23.90M,6.646M,17.26M,0.64,,,0.64,0.64,0.62,,,0.62,0.62,40.16M,41.72M,0.37
2017-09,743.40M,743.40M,526.80M,216.61M,134.68M,,,4.009M,-4.009M,,134.68M,81.93M,4.009M,-4.009M,,-4.009M,77.92M,29.18M,48.78M,,0.00,48.78M,48.78M,88.65M,6.719M,81.93M,1.2,,,1.2,1.2,1.16,,,1.16,1.16,40.66M,42.21M,0.37
2017-06,988.16M,988.16M,698.50M,289.66M,135.48M,,,3.952M,-3.952M,,135.48M,154.19M,3.952M,-3.952M,,-3.952M,150.23M,55.65M,94.62M,,0.283M,94.90M,94.90M,160.62M,6.438M,154.19M,2.3,,,2.3,2.3,2.21,,,2.21,2.21,41.35M,42.98M,0.37
2017-03,546.44M,546.44M,392.82M,153.62M,122.62M,,,3.647M,-3.647M,,122.62M,31.00M,3.647M,-3.647M,,-3.647M,27.35M,5.119M,22.27M,,0.011M,22.28M,22.28M,36.92M,5.922M,31.00M,0.54,,,0.54,0.54,0.52,,,0.52,0.52,41.19M,42.88M,0.31
2016-12,445.24M,445.24M,317.46M,127.78M,118.03M,,,4.527M,-4.527M,,118.03M,9.743M,4.527M,-4.527M,,-4.527M,5.216M,2.687M,2.572M,,0.043M,2.615M,2.615M,15.41M,5.669M,9.743M,0.06,,,0.06,0.06,0.06,,,0.06,0.06,41.21M,42.33M,0.31
2016-09,691.43M,691.43M,491.88M,199.55M,125.38M,,,2.989M,-2.989M,,125.38M,74.17M,2.989M,-2.989M,,-2.989M,71.18M,26.81M,44.42M,,0.113M,44.53M,44.53M,80.00M,5.83M,74.17M,1.06,,,1.06,1.06,1.03,,,1.03,1.03,42.02M,43.12M,0.31
2016-06,918.89M,918.89M,648.15M,270.74M,128.32M,,,4.001M,-4.001M,,128.32M,142.42M,4.001M,-4.001M,,-4.001M,138.42M,53.21M,85.25M,,0.188M,85.44M,85.44M,147.82M,5.403M,142.42M,2.03,,,2.03,2.03,1.98,,,1.98,1.98,42.03M,43.15M,0.31
2016-03,515.25M,515.25M,372.23M,143.02M,113.49M,,,2.964M,-2.964M,,113.49M,29.53M,2.964M,-2.964M,,-2.964M,26.57M,10.23M,16.36M,,0.008M,16.37M,16.37M,34.60M,5.075M,29.53M,0.39,,,0.39,0.39,0.38,,,0.38,0.38,42.23M,43.32M,0.26
2015-12,415.08M,415.08M,296.78M,118.30M,112.32M,,,1.704M,-1.704M,,112.32M,5.979M,1.704M,-1.704M,,-1.704M,4.275M,1.648M,2.579M,,-0.093M,2.486M,2.486M,10.68M,4.697M,5.979M,0.06,,,0.06,0.06,0.06,,,0.06,0.06,42.62M,43.80M,0.26
2015-09,645.78M,645.78M,461.49M,184.29M,118.78M,,,2.473M,-2.473M,,118.78M,65.51M,2.473M,-2.473M,,-2.473M,63.04M,23.70M,39.40M,,0.044M,39.45M,39.45M,69.98M,4.472M,65.51M,0.92,,,0.92,0.92,0.9,,,0.9,0.9,42.83M,43.94M,0.26
2015-06,851.86M,851.86M,603.60M,248.26M,119.13M,,,1.90M,-1.90M,,119.13M,129.13M,1.90M,-1.90M,,-1.90M,127.23M,49.49M,77.81M,,0.115M,77.92M,77.92M,133.36M,4.23M,129.13M,1.8,,,1.8,1.8,1.75,,,1.75,1.75,43.32M,44.46M,0.26
