,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,74.75M,74.75M,135.56M,,135.56M,,612.82M,12.70M,230.86M,,,1.067B,,,,,289.32M,,,289.32M,,289.32M,199.36M,10.52M,209.88M,1.314M,,20.40M,520.91M,1.588B,268.41M,,268.41M,145.42M,413.83M,,11.71M,11.71M,56.98M,68.69M,,,,482.52M,328.22M,125.02M,453.25M,29.48M,29.48M,,32.85M,515.57M,998.09M,0.04M,98.03M,513.03M,,,,-21.60M,589.50M
2020-06,44.18M,44.18M,144.84M,,144.84M,,628.42M,11.14M,308.56M,,,1.137B,,,,,294.38M,,,294.38M,,294.38M,193.78M,9.615M,203.40M,1.274M,,18.59M,517.65M,1.655B,346.27M,,346.27M,139.66M,485.93M,,9.558M,9.558M,56.62M,66.18M,,,,552.12M,429.25M,128.24M,557.48M,29.40M,29.40M,,29.01M,615.89M,1.168B,0.04M,8.212M,503.27M,,,,-24.73M,486.79M
2020-03,17.81M,17.81M,66.33M,,66.33M,,858.19M,16.46M,279.59M,,,1.238B,,,,,288.64M,,,288.64M,,288.64M,193.38M,9.832M,203.21M,1.26M,,16.29M,509.40M,1.748B,517.62M,,517.62M,62.61M,580.23M,,16.35M,16.35M,55.70M,72.06M,,,,652.29M,569.70M,120.46M,690.16M,30.46M,30.46M,,26.47M,747.09M,1.399B,0.04M,-122.59M,495.25M,,,,-24.30M,348.40M
2019-12,28.58M,28.58M,18.46M,63.66M,76.65M,,702.27M,14.57M,149.89M,,1.604M,973.57M,0.0,3.608M,7.132M,210.97M,176.69M,1.761M,50.16M,450.32M,-161.39M,288.94M,188.60M,11.04M,199.63M,1.227M,,19.90M,509.70M,1.483B,261.96M,9.814M,271.78M,13.69M,285.46M,,11.74M,11.74M,56.32M,68.07M,,,14.40M,390.85M,499.66M,122.01M,621.67M,32.60M,32.60M,,27.97M,682.24M,1.073B,0.04M,-64.74M,485.24M,,,,-10.36M,410.18M
2019-09,36.69M,36.69M,95.97M,,95.97M,,616.22M,12.38M,211.83M,,,973.09M,,,,,288.69M,,,288.69M,,288.69M,188.13M,11.24M,199.37M,1.237M,,19.02M,508.32M,1.481B,214.31M,,214.31M,81.46M,295.77M,,11.84M,11.84M,56.02M,67.86M,,,,363.63M,535.72M,121.40M,657.12M,27.95M,27.95M,,26.74M,711.80M,1.075B,0.04M,-60.74M,480.48M,,,,-13.80M,405.97M
2019-06,60.69M,60.69M,127.26M,,127.26M,,694.45M,10.92M,289.87M,,,1.183B,,,,,287.21M,,,287.21M,,287.21M,188.66M,11.50M,200.17M,1.213M,,18.80M,507.39M,1.691B,342.34M,,342.34M,81.63M,423.96M,,23.97M,23.97M,55.69M,79.67M,,,,503.63M,668.36M,119.38M,787.74M,28.85M,28.85M,,27.19M,843.79M,1.347B,0.04M,-118.18M,472.39M,,,,-11.08M,343.17M
2019-03,28.58M,28.58M,72.35M,,72.35M,,815.74M,16.12M,240.78M,,,1.174B,,,,,284.98M,,,284.98M,,284.98M,188.48M,11.74M,200.22M,1.20M,,18.38M,504.78M,1.678B,472.49M,,472.49M,47.66M,520.14M,,21.73M,21.73M,55.74M,77.48M,,,,597.62M,677.24M,122.77M,800.01M,29.37M,29.37M,,26.47M,855.85M,1.453B,0.04M,-227.63M,463.52M,,,,-11.05M,224.88M
2018-12,16.36M,16.36M,16.45M,59.22M,69.49M,,672.58M,15.11M,138.31M,,3.392M,915.24M,0.0,3.193M,5.318M,193.25M,,1.751M,45.10M,248.61M,-141.64M,106.96M,188.47M,12.00M,200.48M,1.213M,,16.97M,325.63M,1.241B,237.84M,8.337M,246.17M,12.48M,258.65M,,9.168M,9.168M,0.00,9.168M,,,12.53M,305.61M,657.59M,0.00,657.59M,29.40M,29.40M,,24.68M,711.67M,1.017B,0.04M,-218.65M,453.19M,,,,-11.00M,223.59M
2018-09,35.69M,35.69M,90.78M,,90.78M,,609.98M,19.46M,197.00M,,,952.91M,,,,,,,,,,109.94M,189.03M,12.30M,201.33M,1.163M,,18.41M,330.85M,1.284B,204.71M,,204.71M,75.64M,280.34M,,9.343M,9.343M,,9.343M,,,,289.69M,571.36M,,571.36M,24.80M,24.80M,,25.17M,621.33M,911.02M,0.04M,-68.94M,449.28M,,,,-7.635M,372.74M
2018-06,42.17M,42.17M,135.10M,,135.10M,,606.58M,17.17M,269.31M,,,1.070B,,,,,,,,,,113.05M,189.07M,12.61M,201.67M,1.13M,,18.10M,333.95M,1.404B,300.23M,,300.23M,83.27M,383.50M,,21.46M,21.46M,,21.46M,,,,404.96M,635.66M,,635.66M,24.73M,24.73M,,25.13M,685.52M,1.090B,0.04M,-120.00M,442.61M,,,,-8.855M,313.80M
2018-03,8.803M,8.803M,75.89M,,75.89M,,703.79M,23.71M,238.71M,,,1.051B,,,,,,,,,,109.31M,189.76M,12.93M,202.68M,1.15M,,15.62M,328.76M,1.380B,467.80M,,467.80M,45.50M,513.30M,,20.79M,20.79M,,20.79M,,,,534.08M,547.32M,,547.32M,24.95M,24.95M,0.00,23.52M,595.80M,1.130B,0.041M,-182.58M,437.88M,,,,-5.554M,249.78M
2017-12,29.94M,29.94M,26.68M,53.81M,76.60M,,536.47M,14.70M,119.67M,,4.869M,782.25M,0.0,3.003M,4.255M,173.56M,,1.072M,41.91M,223.80M,-122.86M,100.94M,189.44M,13.22M,202.66M,1.127M,,14.09M,318.81M,1.101B,245.25M,7.97M,253.22M,9.987M,263.21M,,10.84M,10.84M,,10.84M,,,15.72M,321.57M,508.82M,,508.82M,24.58M,24.58M,,22.95M,556.35M,877.92M,0.04M,-196.32M,426.75M,,,,-7.328M,223.15M
2017-09,36.40M,36.40M,90.14M,,90.14M,,484.29M,14.83M,172.65M,0.00,,798.31M,,,,,,,,,,103.88M,189.02M,13.21M,202.23M,1.168M,,16.33M,323.61M,1.122B,209.06M,,209.06M,87.89M,296.95M,,8.609M,8.609M,,8.609M,,,,305.56M,555.96M,,555.96M,27.24M,27.24M,0.00,22.61M,605.82M,911.38M,0.04M,-202.69M,420.95M,,,,-7.749M,210.54M
2017-06,26.67M,26.67M,112.80M,,112.80M,,542.80M,15.51M,257.48M,0.00,,955.27M,,,,,,,,,,106.79M,186.12M,13.43M,199.55M,1.158M,,16.37M,323.87M,1.279B,273.31M,,273.31M,98.22M,371.53M,,14.90M,14.90M,,14.90M,,,,386.44M,538.58M,,538.58M,28.44M,28.44M,0.00,22.42M,589.44M,975.88M,0.041M,-103.51M,416.60M,,,,-9.874M,303.26M
2017-03,13.41M,13.41M,61.26M,,61.26M,,647.88M,15.74M,228.76M,0.00,,967.05M,,,,,,,,,,97.14M,185.06M,13.17M,198.23M,1.174M,,17.27M,313.82M,1.281B,465.93M,,465.93M,48.98M,514.91M,,9.775M,9.775M,,9.775M,,,,524.68M,480.44M,,480.44M,29.23M,29.23M,2.424M,21.43M,533.53M,1.058B,0.041M,-177.16M,412.31M,,,,-12.54M,222.65M
2016-12,21.96M,21.96M,18.53M,46.95M,61.44M,,486.12M,13.58M,104.71M,6.016M,1.734M,695.56M,0.0,1.685M,2.465M,148.11M,,2.065M,38.35M,192.67M,-109.38M,83.29M,184.80M,13.33M,198.12M,1.172M,,15.96M,298.54M,994.10M,230.73M,8.424M,239.15M,8.878M,248.03M,,1.105M,1.105M,,1.105M,,,14.86M,296.22M,436.94M,,436.94M,34.48M,34.48M,2.287M,18.97M,492.66M,788.88M,0.041M,-183.92M,403.16M,,,,-14.08M,205.21M
2016-09,30.29M,30.29M,81.07M,,81.07M,,455.16M,12.08M,152.33M,5.288M,,736.22M,,,,,,,,,,84.64M,185.49M,13.64M,199.13M,1.152M,,16.37M,301.30M,1.038B,199.92M,,199.92M,126.65M,326.58M,,1.298M,1.298M,,1.298M,,,,327.87M,388.89M,,388.89M,28.36M,28.36M,2.467M,17.94M,437.66M,765.54M,0.042M,-113.28M,399.07M,,,,-13.85M,271.98M
2016-06,30.55M,30.55M,119.11M,,119.11M,,493.25M,13.04M,231.90M,5.533M,,893.39M,,,,,,,,,,85.39M,186.09M,14.06M,200.15M,1.119M,,15.61M,302.27M,1.196B,265.35M,,265.35M,114.99M,380.34M,,,6.823M,,6.823M,,,,387.16M,493.78M,,493.78M,28.24M,28.24M,2.511M,17.88M,542.41M,929.57M,0.042M,-107.34M,387.89M,,,,-14.50M,266.09M
2016-03,9.965M,9.965M,67.80M,,67.80M,,595.39M,13.02M,215.96M,5.536M,,907.67M,,,,,,,,,,78.21M,173.60M,11.84M,185.44M,1.271M,,20.65M,285.57M,1.193B,438.70M,,438.70M,49.37M,488.08M,,,5.996M,,5.996M,,,,494.07M,444.46M,,444.46M,29.27M,29.27M,2.769M,16.44M,492.94M,987.01M,0.042M,-165.12M,384.13M,,,,-12.82M,206.24M
2015-12,13.24M,13.24M,17.84M,40.54M,54.17M,,474.28M,11.92M,102.58M,5.53M,0.027M,661.74M,0.0,1.925M,2.465M,123.78M,,6.173M,33.52M,167.87M,-98.01M,69.85M,172.76M,11.84M,184.61M,1.231M,,16.93M,272.62M,934.36M,246.55M,8.889M,255.44M,6.433M,261.88M,,1.70M,1.70M,,1.70M,,,12.18M,304.84M,326.34M,,326.34M,29.81M,29.81M,2.665M,14.96M,373.77M,678.62M,0.043M,-104.71M,374.14M,,,,-13.73M,255.74M
2015-09,29.50M,29.50M,70.40M,,70.40M,,412.59M,11.06M,149.38M,3.256M,,676.18M,,,,,,,,,,66.30M,172.15M,11.39M,183.54M,1.196M,,15.18M,266.21M,942.40M,170.58M,,170.58M,77.30M,247.88M,,1.799M,1.799M,,1.799M,,,,249.68M,393.07M,,393.07M,22.76M,22.76M,2.457M,13.22M,431.50M,681.17M,0.043M,-87.17M,361.55M,,,,-13.20M,261.22M
2015-06,38.94M,38.94M,93.71M,,93.71M,,473.36M,11.23M,224.79M,3.104M,,845.13M,,,,,,,,,,65.15M,172.82M,11.64M,184.46M,1.328M,,15.51M,266.45M,1.112B,236.87M,,236.87M,80.48M,317.35M,,,3.43M,,3.43M,,,,320.78M,491.82M,,491.82M,23.64M,23.64M,2.766M,13.84M,532.06M,852.84M,0.043M,-87.86M,356.41M,,,,-9.852M,258.74M
2015-03,5.048M,5.048M,56.12M,,56.12M,,559.26M,11.07M,182.61M,3.091M,,817.19M,,,,,,,,,,62.51M,172.34M,11.74M,184.07M,1.345M,,19.30M,267.22M,1.084B,376.00M,,376.00M,32.19M,408.18M,,,,,,,,,408.18M,394.56M,,394.56M,23.92M,23.92M,2.911M,13.35M,434.74M,842.92M,0.044M,-100.23M,350.76M,,,,-9.082M,241.49M
2014-12,14.83M,14.83M,17.56M,37.46M,51.01M,,466.96M,11.54M,89.63M,3.117M,0.124M,637.21M,0.0,1.775M,1.868M,107.51M,,4.09M,30.36M,145.61M,-89.13M,56.48M,173.92M,12.00M,185.92M,1.244M,,12.09M,255.72M,892.94M,236.29M,7.425M,243.72M,6.659M,250.38M,,1.529M,1.529M,,1.529M,,,12.70M,291.91M,319.31M,,319.31M,23.50M,23.50M,3.113M,10.75M,356.68M,648.58M,0.044M,-90.65M,338.62M,,,,-3.662M,244.35M
2014-09,14.46M,14.46M,69.85M,,69.85M,,414.33M,10.56M,137.32M,5.378M,,651.89M,,,,,,,,,,57.26M,174.61M,12.43M,187.04M,1.289M,,11.76M,257.35M,909.24M,154.51M,,154.51M,75.22M,229.73M,,,2.618M,,2.618M,,,,232.35M,391.12M,,391.12M,19.93M,19.93M,3.144M,10.03M,424.22M,656.58M,0.043M,-77.62M,329.59M,,,,0.648M,252.66M
2014-06,27.56M,27.56M,97.53M,,97.53M,,451.51M,10.06M,208.97M,5.416M,,801.04M,,,,,,,,,,57.28M,173.80M,10.72M,184.52M,1.263M,,11.34M,254.41M,1.055B,233.55M,,233.55M,89.20M,322.75M,,,,,,,,,322.75M,430.97M,,430.97M,19.98M,19.98M,,10.43M,461.38M,784.13M,0.044M,-56.38M,325.42M,,,,2.239M,271.32M
2014-03,7.257M,7.257M,47.69M,,47.69M,,527.30M,9.944M,163.41M,5.427M,,761.04M,,,,,,,,,,55.21M,173.55M,10.99M,184.54M,1.272M,,11.13M,252.16M,1.013B,370.00M,,370.00M,28.07M,398.07M,,,0.004M,,0.004M,,,,398.08M,324.23M,,324.23M,19.75M,19.75M,,9.474M,353.45M,751.52M,0.045M,-59.83M,319.28M,,,,2.181M,261.68M
