,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,119.10M,-0.086M,-0.086M,6.986M,0.32M,7.306M,7.306M,0.00,3.874M,,-2.079M,94.38M,24.57M,0.988M,-80.33M,,,39.60M,167.71M,-3.866M,,-3.866M,-10.94M,,,-14.81M,23.88M,2.151M,26.03M,,-5.991M,-5.991M,-23.29M,-23.29M,5.885M,-125.00M,-122.37M,44.18M,30.54M,0.027M,74.75M,,434.21M,-408.18M,-5.991M
2020-06,157.56M,-0.074M,-0.074M,6.992M,0.319M,7.311M,7.311M,0.00,3.567M,,-0.544M,-104.96M,232.06M,-5.31M,-88.12M,,,33.66M,201.47M,-4.691M,,-4.691M,-0.069M,,,-4.76M,-180.45M,-6.795M,-187.25M,,-3.584M,-3.584M,-23.16M,-23.16M,4.453M,39.90M,-169.64M,17.81M,27.07M,-0.69M,44.18M,,73.71M,-260.96M,-3.584M
2020-03,30.91M,-0.088M,-0.088M,7.001M,0.336M,7.337M,7.337M,6.944M,3.654M,,3.715M,-124.54M,-156.86M,4.633M,244.02M,,,-32.75M,19.73M,-8.34M,,-8.34M,-13.64M,,,-21.98M,-10.16M,4.608M,-5.548M,,-66.62M,-66.62M,-22.15M,-22.15M,6.358M,79.81M,-8.149M,28.58M,-10.40M,-0.372M,17.81M,,255.18M,-260.73M,-66.62M
2019-12,18.02M,-0.052M,1.21M,7.237M,0.34M,7.577M,7.577M,0.00,3.229M,,-2.021M,82.85M,-82.99M,-5.449M,28.78M,,,23.18M,55.52M,-6.436M,,-6.436M,0.012M,,,-6.424M,10.44M,-0.094M,10.34M,,0.00,0.00,-22.02M,-22.02M,1.532M,-46.61M,-56.75M,36.69M,-7.653M,-0.457M,28.58M,,418.22M,-407.88M,0.00
2019-09,79.52M,-0.076M,-0.076M,7.09M,0.336M,7.426M,7.426M,0.00,3.649M,,2.776M,107.73M,74.21M,-3.60M,-125.83M,,,52.51M,145.81M,-7.733M,,-7.733M,0.432M,,,-7.301M,-63.55M,-12.14M,-75.68M,,-0.091M,-0.091M,-22.00M,-22.00M,4.439M,-69.20M,-162.54M,60.69M,-24.02M,0.024M,36.69M,,295.65M,-371.33M,-0.091M
2019-06,131.39M,-0.069M,-0.069M,6.909M,0.338M,7.247M,7.247M,0.00,3.335M,,2.046M,-103.15M,122.83M,6.258M,-101.25M,,,-75.31M,68.64M,-12.45M,,-12.45M,0.025M,,,-12.43M,-64.29M,2.241M,-62.05M,,0.00,0.00,-21.93M,-21.93M,5.532M,55.30M,-23.15M,28.58M,33.06M,-0.947M,60.69M,,348.62M,-410.66M,0.00
2019-03,32.64M,-0.065M,-0.065M,6.649M,0.375M,7.024M,7.024M,0.00,3.259M,,0.512M,-103.12M,-128.21M,-1.427M,218.19M,,,-14.56M,28.80M,-6.739M,,-6.739M,-9.37M,,,-16.11M,-47.06M,12.56M,-34.49M,,-23.10M,-23.10M,-17.82M,-17.82M,7.071M,66.29M,-2.05M,16.36M,10.64M,1.578M,28.58M,,219.90M,-254.40M,-23.10M
2018-12,16.81M,-0.075M,0.196M,6.623M,0.385M,7.008M,7.008M,,3.081M,,-2.776M,79.54M,-62.03M,0.875M,16.28M,,,34.67M,67.40M,-3.604M,,-3.604M,-2.00M,,,-5.604M,132.72M,-0.174M,132.55M,,-148.56M,-148.56M,-18.06M,-18.06M,0.837M,-46.99M,-80.23M,35.69M,-18.44M,-0.895M,16.36M,,318.24M,-185.69M,-148.56M
2018-09,69.26M,-0.061M,-0.061M,6.611M,0.47M,7.081M,7.081M,,3.312M,,1.723M,116.42M,-3.856M,-1.957M,-103.85M,,,6.753M,88.07M,-3.356M,,-3.356M,0.00,,,-3.356M,-1.991M,-12.12M,-14.11M,,-0.03M,-0.03M,-18.18M,-18.18M,3.349M,-62.50M,-91.47M,42.17M,-6.755M,0.281M,35.69M,,268.59M,-282.70M,-0.03M
2018-06,117.05M,-0.06M,-0.06M,6.589M,0.468M,7.057M,7.057M,,3.16M,,1.18M,-92.95M,92.23M,5.943M,-126.27M,,,-121.05M,7.34M,-9.981M,,-9.981M,0.00,,,-9.981M,30.64M,0.677M,31.32M,,-36.28M,-36.28M,-18.18M,-18.18M,1.575M,57.50M,35.92M,8.803M,33.28M,0.081M,42.17M,,409.36M,-378.04M,-36.28M
