,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,293.96M,,293.96M,,,,,,,293.96M,,,,,176.66M,176.66M,,176.66M,,,204.70M,769.92M,,169.25M,11.09B,11.39B,433.52M,433.52M,,,,,433.52M,2.500B,2.500B,17.93M,,,2.500B,2.933B,3.657B,-867.95M,5.707B,3.64B,,-62.34M,8.434B
2020-06,1.268B,,1.268B,,,,,,,1.268B,,,,,153.38M,153.38M,,153.38M,,,206.92M,753.36M,,159.43M,11.09B,12.36B,394.99M,394.99M,,,,,394.99M,2.458B,2.458B,17.51M,495.00M,,2.953B,3.348B,4.152B,-789.09M,5.702B,4.135B,,-73.14M,8.993B
2020-03,718.43M,,718.43M,,,,,,,718.43M,,,,,161.70M,161.70M,,161.70M,174.60M,34.84M,209.44M,763.23M,,175.30M,11.11B,11.83B,357.04M,357.04M,,,,,357.04M,2.439B,2.439B,17.13M,,,2.439B,2.796B,4.082B,-701.23M,5.710B,4.065B,,-78.00M,9.013B
2019-12,409.74M,,409.74M,,,,,,,409.74M,,,,,141.93M,141.93M,,141.93M,174.60M,31.34M,205.94M,767.82M,,174.34M,10.96B,11.37B,383.28M,383.28M,,,,,383.28M,1.902B,1.902B,16.76M,,,1.902B,2.286B,4.082B,-665.58M,5.711B,4.065B,,-64.89M,9.063B
2019-09,541.36M,,541.36M,,,,,,,541.36M,,,,,184.03M,184.03M,,184.03M,,,211.48M,771.17M,,171.34M,10.87B,11.41B,444.96M,444.96M,,,,,444.96M,1.892B,1.892B,14.83M,287.50M,,2.180B,2.625B,3.784B,-650.22M,5.719B,3.766B,,-78.51M,8.774B
2019-06,360.33M,,360.33M,,,,,,,360.33M,,,,,191.87M,191.87M,,191.87M,,,210.18M,778.52M,,165.77M,10.75B,11.11B,410.67M,410.67M,,,,,410.67M,1.908B,1.908B,25.58M,,,1.908B,2.319B,3.755B,-648.39M,5.730B,3.738B,,-67.55M,8.769B
2019-03,217.97M,,217.97M,,,,,,,217.97M,,,,,213.78M,213.78M,,213.78M,174.60M,35.86M,210.46M,784.31M,,166.60M,10.66B,10.88B,374.24M,374.24M,,,,,374.24M,1.406B,1.406B,24.80M,,,1.406B,1.780B,4.042B,-615.33M,5.709B,4.025B,,-65.97M,9.070B
2018-12,361.22M,,361.22M,,,,,,,361.22M,,,,,285.34M,285.34M,,285.34M,174.60M,35.26M,209.86M,783.99M,,131.10M,10.57B,10.93B,371.26M,371.26M,,,,,371.26M,1.412B,1.412B,25.25M,,,1.412B,1.784B,4.042B,-577.36M,5.718B,4.025B,,-64.06M,9.119B
2018-09,432.52M,,432.52M,,,,,,,432.52M,,,,,253.72M,253.72M,,253.72M,174.60M,34.72M,209.32M,619.40M,,138.34M,10.32B,10.75B,409.97M,409.97M,,,,,409.97M,1.418B,1.418B,24.93M,,,1.418B,1.828B,4.042B,-760.28M,5.697B,4.025B,,-84.34M,8.895B
2018-06,338.42M,,338.42M,,,,,,,338.42M,,,,,234.04M,234.04M,,234.04M,174.60M,32.79M,207.39M,762.25M,,129.92M,10.35B,10.69B,351.34M,351.34M,,,,,351.34M,1.421B,1.421B,24.99M,,,1.421B,1.772B,4.042B,-735.06M,5.673B,4.025B,,-84.60M,8.896B
2018-03,363.03M,,363.03M,,,,,,,363.03M,,,,,279.62M,279.62M,,279.62M,174.60M,36.13M,210.73M,746.25M,,130.48M,10.32B,10.69B,326.82M,326.82M,,,,,326.82M,1.443B,1.443B,24.79M,,,1.443B,1.770B,4.042B,-735.81M,5.655B,4.025B,,-70.85M,8.891B
2017-12,433.38M,,433.38M,,,,,,,433.38M,,,,,264.44M,264.44M,,264.44M,174.60M,40.36M,214.96M,724.17M,,130.29M,10.30B,10.73B,337.20M,337.20M,,,,,337.20M,1.431B,1.431B,24.36M,,,1.431B,1.769B,4.042B,-675.71M,5.648B,4.025B,,-75.06M,8.940B
2017-09,694.23M,,694.23M,,,,,,,694.23M,,,,,221.97M,221.97M,,221.97M,174.60M,31.27M,205.87M,726.17M,,133.38M,10.07B,10.77B,380.42M,380.42M,,,,,380.42M,1.426B,1.426B,23.23M,,,1.426B,1.806B,4.042B,-662.36M,5.631B,4.025B,,-74.87M,8.936B
2017-06,358.27M,,358.27M,,,,,,,358.27M,,,,,282.37M,282.37M,,282.37M,174.60M,32.60M,207.20M,715.27M,,125.35M,10.01B,10.37B,322.92M,322.92M,,,,,322.92M,420.78M,420.78M,22.94M,460.00M,,880.78M,1.204B,4.205B,-609.42M,5.626B,4.188B,,-82.14M,9.139B
