,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,14.67B,25.24B,24.72B,49.96B,52.39B,,,52.39B,4.676B,6.132B,10.81B,,3.534B,116.74B,0.00,451.00M,12.56B,55.20B,,1.718B,69.93B,-32.85B,37.08B,,,,32.85B,55.28B,12.42B,12.88B,150.52B,267.26B,,22.20B,,,22.20B,1.215B,23.42B,,,,51.34B,51.34B,323.00M,51.67B,2.161B,2.161B,17.66B,97.19B,,110.34B,991.00M,111.33B,538.00M,4.559B,5.097B,,18.05B,121.00M,,4.781B,139.26B,236.45B,,41.00M,18.24B,22.29B,1.59B,,-8.294B,30.69B,,AOR,
2020-09,,24.26B,20.57B,44.83B,10.11B,,41.85B,51.96B,4.401B,6.182B,10.58B,,3.714B,111.76B,,,,,,,,,36.12B,,,,32.64B,55.66B,10.91B,12.86B,148.18B,259.94B,,21.47B,,,21.47B,1.186B,22.65B,,,,133.27B,133.27B,331.00M,133.60B,2.137B,2.137B,15.10B,175.43B,,24.01B,955.00M,24.96B,517.00M,4.374B,4.891B,,16.53B,36.00M,,4.97B,51.35B,226.78B,,41.00M,21.03B,22.26B,1.596B,,-8.613B,33.12B,,AOR,
2020-06,17.70B,30.99B,26.14B,57.13B,51.83B,,,51.83B,4.367B,5.853B,10.22B,,4.214B,124.11B,,,,,,,,,35.28B,,,,32.37B,53.99B,11.07B,12.56B,145.26B,269.37B,,16.36B,,,16.36B,1.117B,17.48B,,,,55.34B,55.34B,339.00M,55.68B,2.021B,2.021B,15.60B,92.78B,,119.89B,914.00M,120.80B,454.00M,4.257B,4.711B,,16.25B,31.00M,,3.967B,145.73B,238.51B,,41.00M,18.64B,22.21B,1.601B,,-8.471B,30.82B,,AOR,
2020-03,16.52B,25.97B,20.40B,46.37B,61.51B,,,61.51B,4.598B,6.714B,11.31B,,4.38B,124.28B,,,,,,,,,35.29B,,,,30.79B,51.14B,10.92B,11.73B,139.87B,264.15B,,18.44B,,,18.44B,819.00M,19.26B,,,,52.91B,52.91B,361.00M,53.27B,2.111B,2.111B,17.73B,94.49B,,114.41B,1.006B,115.42B,439.00M,4.14B,4.579B,,16.12B,48.00M,,3.843B,139.96B,234.45B,,41.00M,17.53B,22.15B,1.607B,,-8.461B,29.65B,,AOR,
2019-12,14.66B,17.50B,17.15B,34.65B,62.89B,,,62.89B,4.402B,6.384B,10.79B,,3.339B,114.05B,0.00,421.00M,11.90B,53.46B,,1.71B,67.49B,-31.02B,36.47B,,,,31.75B,53.70B,11.86B,10.71B,144.49B,258.54B,,20.67B,,,20.67B,1.128B,21.80B,,,,53.95B,53.95B,367.00M,54.31B,2.091B,2.091B,17.55B,98.13B,,101.36B,1.047B,102.41B,490.00M,4.191B,4.681B,,16.72B,45.00M,,3.364B,127.18B,225.31B,,41.00M,20.32B,22.16B,1.613B,,-7.728B,33.18B,,AOR,Restated
2019-09,14.64B,20.52B,16.81B,37.33B,61.80B,,,61.80B,4.524B,7.927B,12.45B,,3.356B,115.75B,,,,,,,,,35.40B,,,,32.08B,53.53B,10.68B,10.72B,142.40B,258.16B,,22.23B,,,22.23B,865.00M,23.09B,,,,54.60B,54.60B,309.00M,54.91B,2.57B,2.57B,16.06B,99.09B,,99.51B,958.00M,100.46B,447.00M,4.168B,4.615B,,15.18B,38.00M,0.00,3.424B,123.68B,222.77B,,41.00M,22.59B,22.18B,1.619B,,-7.842B,35.35B,,AOR,Restated
2019-06,15.09B,22.12B,15.93B,38.05B,64.70B,,,64.70B,4.619B,7.818B,12.44B,,3.169B,118.35B,,,,,,,,,36.58B,,,,32.44B,53.88B,10.15B,10.79B,143.83B,262.18B,,22.98B,,,22.98B,1.046B,24.03B,,,,52.85B,52.85B,327.00M,53.18B,2.732B,2.732B,15.76B,98.33B,,103.21B,1.013B,104.23B,469.00M,4.184B,4.653B,,15.41B,39.00M,0.00,3.425B,127.71B,226.05B,,41.00M,22.77B,22.11B,1.388B,,-7.436B,36.10B,,AOR,Restated
2019-03,15.59B,20.85B,16.88B,37.73B,67.46B,,,67.46B,4.653B,7.68B,12.33B,,3.672B,121.20B,,,,,,,,,36.14B,,,,31.83B,54.33B,10.32B,9.459B,142.09B,263.28B,,23.32B,,,23.32B,838.00M,24.16B,,,,54.55B,54.55B,335.00M,54.88B,2.019B,2.019B,16.04B,99.24B,,102.61B,1.025B,103.64B,647.00M,4.104B,4.751B,,15.38B,36.00M,135.00M,3.706B,127.61B,226.85B,,41.00M,23.23B,22.03B,1.394B,,-7.501B,36.40B,,AOR,Restated
2018-12,14.50B,16.72B,17.23B,33.95B,65.55B,,,65.55B,4.536B,6.684B,11.22B,,3.93B,114.65B,0.00,445.00M,11.48B,52.43B,,2.066B,66.42B,-30.24B,36.18B,264.00M,178.00M,442.00M,31.83B,55.54B,10.41B,7.487B,141.89B,256.54B,,21.52B,,,21.52B,988.00M,22.51B,,,,53.49B,53.49B,0.00,53.49B,2.095B,2.095B,15.18B,95.57B,,100.72B,0.00,100.72B,597.00M,3.985B,4.582B,,15.72B,34.00M,100.00M,3.88B,125.00B,220.57B,,41.00M,22.67B,22.01B,1.417B,,-7.366B,35.93B,,AOR,Restated
2018-09,14.41B,18.56B,17.78B,36.34B,62.06B,,,62.06B,4.74B,8.07B,12.81B,,3.629B,114.84B,,,,,,,,,35.76B,,,,32.40B,57.04B,10.55B,8.367B,144.12B,258.97B,,23.27B,,,23.27B,795.00M,24.07B,,,,59.80B,59.80B,,59.80B,2.833B,2.833B,14.94B,103.78B,,93.64B,,93.64B,602.00M,3.957B,4.559B,,16.14B,29.00M,99.00M,4.132B,118.56B,222.35B,,41.00M,23.38B,22.01B,1.417B,,-7.429B,36.59B,,AOR,Restated
2018-06,15.32B,16.83B,19.65B,36.48B,62.38B,,,62.38B,4.446B,8.119B,12.56B,,3.604B,115.02B,,,,,,,,,35.58B,,,,32.45B,56.35B,10.37B,8.30B,143.05B,258.08B,,22.74B,,,22.74B,1.003B,23.75B,,,,59.92B,59.92B,,59.92B,2.854B,2.854B,15.41B,103.89B,,92.93B,,92.93B,584.00M,3.937B,4.521B,,16.29B,28.00M,99.00M,3.881B,117.72B,221.61B,,41.00M,22.99B,21.95B,1.342B,,-7.204B,36.44B,,AOR,Restated
2018-03,16.53B,17.94B,22.13B,40.07B,67.07B,,,67.07B,4.71B,7.661B,12.37B,,3.756B,123.26B,,,,,,,,,36.12B,,,,31.54B,57.12B,10.64B,8.546B,143.97B,267.23B,,25.48B,,,25.48B,924.00M,26.40B,,,,52.98B,52.98B,,52.98B,2.336B,2.336B,16.22B,99.88B,,105.35B,,105.35B,622.00M,3.895B,4.517B,,16.89B,36.00M,98.00M,4.059B,130.92B,230.79B,,41.00M,22.53B,21.84B,1.342B,,-6.669B,36.40B,,AOR,Restated
2017-12,16.06B,18.49B,20.44B,38.93B,62.81B,,,62.81B,4.397B,6.779B,11.18B,,3.889B,116.80B,0.00,411.00M,11.10B,51.07B,,2.608B,65.19B,-29.86B,35.33B,75.00M,213.00M,288.00M,31.32B,56.18B,10.76B,7.816B,141.70B,258.50B,,23.28B,,,23.28B,1.057B,24.34B,,,,51.62B,51.62B,,51.62B,2.107B,2.107B,14.30B,94.60B,,102.67B,,102.67B,815.00M,3.829B,4.644B,,16.89B,28.00M,98.00M,3.99B,128.29B,222.89B,,41.00M,21.91B,21.84B,1.253B,,-6.959B,35.58B,,AOR,Restated
2017-09,16.27B,17.59B,20.49B,38.08B,59.82B,,,59.82B,4.587B,7.591B,11.26B,,3.57B,112.73B,,,,,,,,,34.76B,,,,32.06B,54.32B,10.36B,7.041B,138.54B,251.27B,,23.57B,,,23.57B,833.00M,24.40B,,,,51.17B,51.17B,,51.17B,2.409B,2.409B,14.04B,94.35B,,97.94B,,97.94B,804.00M,3.806B,4.61B,,16.96B,25.00M,97.00M,4.049B,123.66B,218.01B,,41.00M,19.40B,21.80B,1.253B,,-6.759B,33.24B,,AOR,Restated
2017-06,14.33B,16.22B,22.89B,39.11B,60.05B,,,60.05B,4.09B,7.904B,11.09B,,3.291B,113.54B,,,,,,,,,33.79B,,,,31.84B,51.55B,10.14B,6.602B,133.93B,247.47B,,23.57B,,,23.57B,1.034B,24.60B,,,,50.77B,50.77B,,50.77B,2.443B,2.443B,14.44B,94.30B,,95.24B,,95.24B,735.00M,3.832B,4.567B,,16.85B,18.00M,97.00M,4.159B,120.91B,215.21B,,41.00M,18.44B,21.74B,1.253B,,-6.716B,32.24B,,AOR,Restated
2017-03,15.14B,17.82B,22.17B,39.99B,59.29B,,,59.29B,4.24B,7.19B,10.54B,,3.414B,113.23B,,,,,,,,,32.67B,,,,31.56B,50.69B,10.06B,5.893B,130.87B,244.09B,,23.26B,,,23.26B,848.00M,24.10B,,,,49.26B,49.26B,,49.26B,1.902B,1.902B,14.16B,91.30B,,96.72B,,96.72B,749.00M,3.699B,4.448B,,16.58B,22.00M,97.00M,4.302B,122.15B,213.45B,,41.00M,16.99B,21.64B,1.122B,,-6.929B,30.62B,,AOR,Restated
2016-12,13.65B,15.90B,22.92B,38.83B,57.37B,,,57.37B,3.843B,5.943B,8.898B,,3.368B,108.46B,0.00,391.00M,10.31B,47.01B,,2.17B,59.88B,-27.80B,32.07B,,,,32.13B,49.92B,9.705B,5.656B,129.49B,237.95B,,21.30B,,,21.30B,974.00M,22.27B,,,,49.67B,49.67B,,49.67B,3.866B,3.866B,12.41B,90.28B,,93.30B,,93.30B,691.00M,3.687B,4.378B,,16.73B,17.00M,96.00M,3.979B,118.48B,208.76B,,41.00M,15.63B,21.63B,1.122B,,-7.013B,29.17B,,AOR,Restated
2016-09,11.80B,13.34B,20.82B,34.16B,55.58B,,,55.58B,4.335B,6.823B,10.22B,,3.552B,103.52B,,,,,,,,,32.26B,,,,32.99B,49.61B,9.475B,7.111B,131.45B,234.96B,,22.38B,,,22.38B,761.00M,23.14B,,,,47.27B,47.27B,,47.27B,4.715B,4.715B,11.92B,89.19B,,89.95B,,89.95B,577.00M,3.639B,4.216B,,15.50B,15.00M,96.00M,4.515B,114.28B,203.46B,,41.00M,17.01B,21.60B,1.122B,,-6.046B,31.48B,,AOR,Restated
2016-06,13.47B,17.06B,22.23B,39.30B,58.59B,,,58.59B,4.186B,6.571B,9.829B,,3.053B,110.77B,,,,,,,,,31.94B,,,,32.82B,47.43B,9.822B,6.905B,128.91B,239.68B,,23.08B,,,23.08B,946.00M,24.03B,,,,44.86B,44.86B,,44.86B,5.639B,5.639B,12.77B,89.41B,,95.05B,,95.05B,552.00M,3.499B,4.051B,,15.69B,13.00M,95.00M,4.223B,119.12B,208.52B,,41.00M,16.65B,21.55B,1.122B,,-5.976B,31.14B,,AOR,Restated
2016-03,,15.92B,23.56B,39.47B,,,105.53B,105.53B,4.356B,6.367B,9.77B,,,154.78B,,,,,,,,,31.16B,,,,32.05B,,10.58B,8.716B,82.51B,237.29B,,22.07B,,,22.07B,233.00M,22.30B,,,,54.34B,54.34B,,54.34B,5.02B,5.02B,11.90B,95.71B,,86.66B,,86.66B,556.00M,2.989B,3.545B,,15.94B,16.00M,95.00M,5.716B,111.95B,207.67B,,41.00M,15.28B,21.45B,1.122B,,-6.046B,29.60B,,AOR,Restated
