,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,-2.791B,-204.00M,37.00M,1.481B,1.314B,2.081B,-356.00M,1.725B,1.725B,-1.247B,2.00M,29.00M,1.184B,961.00M,350.00M,2.951B,,4.262B,,4.539B,,-1.531B,,,0.00,-4.146B,-68.00M,-5.745B,,1.702B,524.00M,2.226B,,0.00,0.00,0.00,0.00,58.00M,2.284B,,24.47B,1.078B,385.00M,25.94B,,,,11.58B,-9.873B,0.00,,AOR,
2020-09,2.39B,-329.00M,-3.00M,0.00,-332.00M,1.868B,-348.00M,1.52B,1.52B,323.00M,3.00M,63.00M,-92.00M,1.088B,-268.00M,6.343B,,7.163B,,11.09B,,-1.256B,,,0.00,5.341B,-2.74B,1.345B,,-17.27B,-2.026B,-19.30B,,0.00,0.00,0.00,0.00,-60.00M,-19.36B,,31.18B,-6.927B,218.00M,24.47B,,,,10.02B,-27.30B,0.00,,AOR,
2020-06,1.118B,-225.00M,-3.465B,-276.00M,-3.966B,2.358B,-288.00M,2.07B,2.07B,-47.00M,15.00M,69.00M,27.00M,11.03B,1.243B,-2.679B,,9.597B,,9.115B,,-1.175B,,,0.00,-5.632B,-4.294B,-11.10B,,7.215B,-167.00M,7.048B,,0.00,0.00,0.00,0.00,-111.00M,6.937B,,26.16B,4.951B,70.00M,31.18B,,,,17.61B,-10.40B,0.00,,AOR,
2020-03,-1.993B,338.00M,-15.00M,-178.00M,145.00M,2.444B,-302.00M,2.142B,2.142B,702.00M,3.00M,38.00M,-202.00M,-1.041B,-1.177B,194.00M,,-2.024B,,-473.00M,,-1.78B,,,1.34B,-3.115B,441.00M,-3.114B,,13.74B,-622.00M,13.12B,,0.00,0.00,-596.00M,-596.00M,-71.00M,12.45B,,17.74B,8.867B,-448.00M,26.16B,,,,26.69B,-12.95B,0.00,,AOR,
2019-12,-1.672B,-103.00M,17.00M,2.224B,2.138B,2.379B,-308.00M,2.071B,2.071B,-967.00M,5.00M,-10.00M,85.00M,-1.031B,1.996B,34.00M,,999.00M,,2.90B,,-2.274B,,,0.00,-985.00M,-2.091B,-5.35B,,249.00M,-290.00M,-41.00M,,0.00,0.00,-595.00M,-595.00M,-53.00M,-689.00M,,20.68B,-3.139B,199.00M,17.74B,,,,11.90B,-11.65B,0.00,,AOR,Restated
2019-09,423.00M,141.00M,-44.00M,278.00M,375.00M,2.322B,-304.00M,2.018B,2.018B,-603.00M,799.00M,69.00M,-230.00M,2.016B,-610.00M,297.00M,,1.703B,,4.732B,,-1.805B,,,,-625.00M,-2.117B,-4.547B,,392.00M,-1.165B,-773.00M,,-237.00M,-237.00M,-598.00M,-598.00M,-24.00M,-1.632B,,22.31B,-1.447B,-178.00M,20.68B,,,,9.472B,-9.08B,-237.00M,,AOR,Restated
2019-06,150.00M,-43.00M,1.00M,141.00M,99.00M,2.559B,-300.00M,2.259B,2.259B,-21.00M,0.00,84.00M,74.00M,1.803B,-97.00M,1.985B,,3.691B,,6.463B,,-1.92B,,,0.00,449.00M,-1.019B,-2.49B,,-1.668B,-349.00M,-2.017B,,0.00,0.00,-599.00M,-599.00M,-65.00M,-2.681B,,21.02B,1.292B,-5.00M,22.31B,,,,10.82B,-12.49B,0.00,,AOR,Restated
2019-03,1.183B,-49.00M,-3.00M,-18.00M,-70.00M,2.429B,-287.00M,2.142B,2.142B,221.00M,0.00,85.00M,112.00M,-2.05B,-1.083B,2.944B,,-189.00M,,3.544B,,-1.633B,,,0.00,504.00M,-205.00M,-1.334B,,2.134B,420.00M,2.554B,,0.00,0.00,-597.00M,-597.00M,-84.00M,1.873B,,16.91B,4.083B,29.00M,21.02B,,,,15.41B,-13.28B,0.00,,AOR,Restated
2018-12,-112.00M,53.00M,-13.00M,787.00M,827.00M,2.455B,-346.00M,2.109B,2.109B,-115.00M,0.00,-8.00M,53.00M,-3.267B,1.532B,-5.00M,,-1.74B,,1.357B,,-2.116B,,,,661.00M,-2.211B,-3.666B,,2.682B,-1.551B,1.131B,,0.00,0.00,-597.00M,-597.00M,-8.00M,526.00M,,18.76B,-1.783B,-65.00M,16.91B,,,,12.92B,-10.24B,0.00,,AOR,Restated
2018-09,3.807B,476.00M,-29.00M,-387.00M,60.00M,6.93B,-626.00M,6.304B,6.304B,-82.00M,0.00,199.00M,-36.00M,-1.38B,-2.36B,6.786B,,3.046B,,5.179B,,-1.981B,,,,1.944B,-3.536B,-3.573B,,440.00M,467.00M,907.00M,,-75.00M,-75.00M,-597.00M,-597.00M,-91.00M,144.00M,,17.02B,1.75B,-16.00M,18.76B,,,,9.076B,-8.636B,-75.00M,,AOR,Restated
2018-06,,,,,,,,,,,,,,,,,,,,4.972B,,-1.909B,,,,3.028B,-3.597B,-2.478B,,-1.757B,-826.00M,-2.583B,,0.00,0.00,-598.00M,-598.00M,-25.00M,-3.206B,,18.14B,-712.00M,-404.00M,17.02B,,,,11.18B,-12.94B,0.00,,AOR,Restated
2018-03,,,,,,,,,,,,,,,,,,,,3.514B,,-1.779B,,,,-1.888B,-2.877B,-6.544B,,4.593B,-909.00M,3.684B,,-89.00M,-89.00M,-1.113B,-1.113B,-68.00M,2.414B,,18.64B,-616.00M,115.00M,18.14B,,,,16.95B,-12.36B,-89.00M,,AOR,Restated
2017-12,,,,,,,,,,,,,,,,,,,,3.147B,,-2.113B,,,,-34.00M,-4.688B,-6.835B,,5.852B,-670.00M,5.182B,,0.00,0.00,-596.00M,-596.00M,-27.00M,4.559B,,17.72B,871.00M,47.00M,18.64B,,,,15.24B,-9.392B,0.00,,AOR,Restated
2017-09,,,,,,,,,,,,,,,,,,,,4.998B,,-1.672B,,,,2.336B,-4.327B,-3.663B,,-21.29B,21.78B,491.00M,,0.00,0.00,-596.00M,-596.00M,-22.00M,-127.00M,,16.34B,1.208B,175.00M,17.72B,,,,10.02B,-11.43B,0.00,,AOR,Restated
2017-06,,,,,,,,,,,,,,,,,,,,5.615B,,-1.558B,,,,-700.00M,-2.952B,-5.21B,,19.12B,-20.54B,-1.413B,,-131.00M,-131.00M,-597.00M,-597.00M,-17.00M,-2.158B,,17.92B,-1.753B,166.00M,16.34B,,,,6.628B,-8.041B,-131.00M,,AOR,Restated
2017-03,,,,,,,,,,,,,,,,,,,,4.336B,,-1.706B,,,,829.00M,-2.775B,-3.652B,,1.342B,658.00M,2.00B,,0.00,0.00,-795.00M,-795.00M,-85.00M,1.12B,,16.02B,1.804B,101.00M,17.92B,,,,13.91B,-11.91B,0.00,,AOR,Restated
2016-12,,,,,,,,,,,,,,,,,,,,2.798B,,-2.08B,,,,-1.552B,-3.612B,-7.244B,,5.227B,2.664B,7.891B,,0.00,0.00,-596.00M,-596.00M,-5.00M,7.29B,,13.34B,2.844B,-229.00M,16.02B,,,,12.80B,-8.778B,0.00,,AOR,Restated
2016-09,,,,,,,,,,,,,,,,,,,,5.161B,,-1.706B,,,,1.458B,-5.701B,-5.949B,,-2.533B,265.00M,-2.268B,,0.00,0.00,-596.00M,-596.00M,-14.00M,-2.878B,,17.06B,-3.666B,-57.00M,13.34B,,,,6.647B,-8.915B,0.00,,AOR,Restated
2016-06,,,,,,,,,,,,,,,,,,,,7.742B,,-1.695B,,,,1.293B,-4.732B,-5.134B,,-1.722B,1.056B,-666.00M,,0.00,0.00,-596.00M,-596.00M,-29.00M,-1.291B,,15.92B,1.317B,-171.00M,17.06B,,,,10.89B,-11.55B,0.00,,AOR,Restated
2016-03,,,,,,,,,,,,,,,,,,,,4.149B,,-1.511B,,,,-2.448B,-3.016B,-6.975B,,6.192B,-121.00M,6.071B,,-145.00M,-145.00M,-1.588B,-1.588B,-59.00M,4.279B,,14.27B,1.453B,192.00M,15.92B,,,,15.62B,-9.552B,-145.00M,,AOR,Restated
2015-12,,,,,,,,,,,,,,,,,,,,2.148B,,-1.838B,,,,-3.786B,-3.874B,-9.498B,,6.992B,802.00M,7.794B,,0.00,0.00,-595.00M,-595.00M,-70.00M,7.129B,,14.69B,-221.00M,-193.00M,14.27B,,,,13.79B,-5.992B,0.00,,AOR,Restated
2015-09,,,,,,,,,,,,,,,,,,,,6.455B,,-1.825B,,,,1.304B,-7.193B,-7.714B,,3.385B,668.00M,4.053B,,-38.00M,-38.00M,-595.00M,-595.00M,-24.00M,3.396B,,12.90B,2.137B,-348.00M,14.69B,,,,11.63B,-7.579B,-38.00M,,AOR,Restated
2015-06,,,,,,,,,,,,,,,,,,,,5.21B,,-1.733B,,,,2.374B,-4.631B,-3.99B,,187.00M,-312.00M,-125.00M,,-91.00M,-91.00M,-597.00M,-597.00M,-30.00M,-843.00M,,12.37B,377.00M,152.00M,12.90B,,,,10.98B,-11.10B,-91.00M,,AOR,Restated
2015-03,,,,,,,,,,,,,,,,,,,,2.413B,,-1.80B,,,,-271.00M,-2.889B,-4.96B,,4.938B,488.00M,5.426B,,0.00,0.00,-593.00M,-593.00M,-249.00M,4.584B,,10.76B,2.037B,-426.00M,12.37B,,,,14.11B,-8.686B,0.00,,AOR,Restated
2014-12,,,,,,,,,,,,,,,,,,,,2.168B,,-2.154B,,,,532.00M,-3.908B,-5.53B,,2.581B,-1.078B,1.503B,,0.00,0.00,-482.00M,-482.00M,-11.00M,1.01B,,13.32B,-2.352B,-211.00M,10.76B,,,,8.936B,-7.433B,0.00,,AOR,Restated
2014-09,,,,,,,,,,,,,,,,,,,,5.369B,,-1.881B,,,,3.361B,-5.389B,-3.909B,,1.773B,396.00M,2.169B,,-1.102B,-1.102B,-483.00M,-483.00M,27.00M,611.00M,,11.57B,2.071B,-324.00M,13.32B,,,,8.352B,-6.183B,-1.102B,,AOR,Restated
