,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2016-03,13.86B,25.99B,39.86B,11.41B,11.41B,957.00M,1.93B,5.283B,8.17B,3.307B,,,62.74B,,,,,,37.43B,-21.47B,15.96B,21.85B,25.84B,47.69B,,5.678B,4.163B,73.49B,136.23B,5.965B,968.00M,6.933B,10.26B,17.19B,,,3.116B,3.116B,,22.13B,20.23B,20.23B,2.877B,2.877B,8.591B,9.749B,41.45B,63.58B,3.12B,104.99B,23.07B,,,-12.39B,72.65B
2015-12,13.73B,24.64B,38.38B,10.73B,10.73B,936.00M,2.241B,4.876B,8.053B,3.047B,,,60.21B,0.0,780.00M,9.829B,22.51B,3.528B,36.65B,-20.74B,15.90B,21.63B,25.76B,47.39B,,5.49B,4.413B,73.20B,133.41B,6.668B,750.00M,7.418B,10.85B,18.27B,,,7.004B,7.004B,,27.75B,12.86B,12.86B,2.562B,2.562B,8.854B,10.24B,34.51B,62.26B,3.12B,103.88B,22.68B,,,-13.16B,71.15B
2015-09,13.64B,23.67B,37.31B,11.37B,11.37B,1.198B,2.026B,4.982B,8.206B,3.01B,3.606B,,63.49B,,,,,,36.40B,-20.85B,15.55B,21.28B,25.99B,47.27B,,3.15B,3.804B,69.77B,133.27B,5.928B,931.00M,6.859B,10.40B,17.26B,,,5.677B,5.677B,,25.26B,14.07B,14.07B,3.561B,3.561B,9.515B,9.303B,36.45B,61.71B,3.12B,102.75B,21.45B,,,-12.86B,71.55B
2015-06,10.64B,23.32B,33.95B,11.97B,11.97B,1.179B,2.166B,4.953B,8.298B,3.058B,3.723B,,61.00B,,,,,,36.11B,-20.53B,15.58B,21.49B,27.02B,48.51B,,3.087B,3.855B,71.04B,132.04B,6.14B,916.00M,7.056B,10.16B,17.22B,,,5.222B,5.222B,,24.51B,14.08B,14.08B,3.702B,3.702B,9.633B,8.973B,36.39B,60.90B,3.12B,101.35B,21.29B,,,-12.05B,71.13B
2015-03,11.99B,19.33B,31.32B,11.53B,11.53B,1.115B,2.19B,4.78B,8.085B,3.731B,3.524B,,58.19B,,,,,,35.40B,-20.04B,15.36B,21.34B,27.02B,48.37B,,3.059B,3.605B,70.40B,128.59B,6.719B,1.243B,7.962B,10.27B,18.23B,,,4.045B,4.045B,,23.84B,14.94B,14.94B,3.584B,3.584B,9.75B,8.604B,36.88B,60.71B,3.12B,98.66B,20.60B,,,-13.30B,67.88B
2014-12,14.52B,18.57B,33.09B,10.98B,10.98B,1.214B,2.461B,4.509B,8.184B,3.486B,,,55.74B,0.0,833.00M,10.05B,22.21B,3.60B,36.68B,-20.56B,16.13B,21.83B,27.22B,49.05B,,6.202B,3.232B,74.61B,130.36B,7.633B,446.00M,8.079B,10.56B,18.64B,,,3.638B,3.638B,,25.03B,15.12B,15.12B,2.447B,2.447B,9.972B,8.034B,35.58B,60.61B,3.12B,97.24B,19.89B,,,-10.72B,69.75B
2014-09,13.82B,19.19B,33.00B,11.62B,11.62B,1.165B,2.303B,4.951B,8.419B,3.107B,3.827B,,59.97B,,,,,,36.45B,-20.64B,15.80B,21.64B,26.30B,47.94B,,3.347B,5.033B,72.12B,132.10B,6.603B,1.535B,8.138B,10.40B,18.53B,,,2.115B,2.115B,,22.98B,13.15B,13.15B,4.063B,4.063B,7.551B,7.758B,32.52B,55.51B,3.12B,96.56B,17.71B,,,-5.382B,76.59B
2014-06,14.24B,17.39B,31.62B,12.26B,12.26B,1.251B,2.136B,4.768B,8.155B,3.982B,4.101B,,60.12B,,,,,,36.95B,-20.79B,16.16B,21.99B,27.12B,49.11B,,3.38B,6.435B,75.08B,135.20B,6.193B,1.055B,7.248B,11.15B,18.40B,,,3.819B,3.819B,,24.36B,13.30B,13.30B,4.491B,4.491B,7.626B,7.373B,32.79B,57.15B,3.12B,93.74B,15.81B,,,-3.007B,78.05B
2014-03,19.72B,9.67B,29.39B,12.12B,12.12B,1.20B,2.31B,4.499B,8.009B,3.932B,3.92B,,57.37B,,,,,,36.25B,-20.25B,16.00B,22.18B,27.64B,49.82B,,3.685B,6.459B,75.96B,133.33B,6.113B,862.00M,6.975B,11.17B,18.15B,,,3.949B,3.949B,,23.84B,13.34B,13.34B,4.594B,4.594B,7.70B,7.271B,32.91B,56.75B,3.12B,91.39B,15.28B,,,-2.645B,76.58B
2013-12,20.93B,8.279B,29.21B,11.71B,11.71B,1.224B,2.612B,4.042B,7.878B,4.003B,3.607B,,56.41B,0.0,885.00M,10.42B,22.53B,3.298B,37.13B,-20.42B,16.71B,22.80B,27.95B,50.74B,,3.872B,4.949B,76.28B,132.68B,6.266B,770.00M,7.036B,10.99B,18.03B,,,4.852B,4.852B,,25.68B,13.33B,13.33B,3.989B,3.989B,7.784B,7.854B,32.96B,58.63B,3.12B,89.49B,15.70B,,,-2.86B,74.05B
2013-09,17.20B,8.024B,25.23B,12.03B,12.03B,1.345B,2.714B,4.065B,8.124B,3.312B,3.485B,,52.18B,,,,,,36.43B,-20.30B,16.13B,22.85B,28.47B,51.32B,,4.596B,2.715B,74.76B,126.93B,6.055B,1.711B,7.766B,10.39B,18.15B,,,5.359B,5.359B,,25.84B,9.748B,9.748B,3.613B,3.613B,9.038B,8.895B,31.29B,57.13B,3.12B,87.70B,15.67B,,,-5.346B,69.80B
2013-06,17.31B,7.822B,25.13B,11.61B,11.61B,1.332B,2.604B,3.886B,7.822B,3.425B,3.283B,,51.27B,,,,,,35.40B,-19.61B,15.79B,22.34B,27.70B,50.04B,,4.74B,2.477B,73.05B,124.32B,5.687B,956.00M,6.643B,9.784B,16.43B,,,5.339B,5.339B,,23.77B,9.643B,9.643B,3.685B,3.685B,8.996B,8.569B,30.89B,54.66B,3.12B,89.45B,16.09B,,,-6.81B,69.66B
2013-03,14.86B,6.813B,21.67B,11.52B,11.52B,1.25B,2.368B,4.073B,7.691B,3.26B,3.094B,,47.23B,,,,,,34.70B,-18.97B,15.72B,22.35B,28.01B,50.36B,,4.506B,3.723B,74.31B,121.54B,5.372B,1.178B,6.55B,9.814B,16.36B,,,4.529B,4.529B,,22.52B,11.36B,11.36B,3.619B,3.619B,8.978B,8.197B,32.16B,54.68B,3.12B,87.24B,16.82B,,,-6.689B,66.86B
2012-12,14.91B,6.178B,21.09B,11.31B,11.31B,1.416B,2.262B,3.817B,7.495B,3.084B,3.139B,,46.12B,0.0,793.00M,10.05B,21.08B,2.74B,34.65B,-18.56B,16.10B,22.42B,28.75B,51.18B,,4.541B,3.417B,75.23B,121.35B,5.831B,1.064B,6.895B,10.27B,17.16B,,,4.676B,4.676B,,24.26B,11.49B,11.49B,3.136B,3.136B,9.082B,8.552B,32.26B,56.52B,3.12B,85.99B,18.48B,,,-5.81B,64.83B
2012-09,15.49B,4.285B,19.77B,11.18B,11.18B,1.408B,2.48B,3.921B,7.809B,2.789B,3.247B,,44.79B,,,,,,34.08B,-18.24B,15.84B,21.78B,28.79B,50.57B,,4.227B,3.521B,74.16B,118.95B,5.344B,1.502B,6.846B,9.538B,16.38B,5.423B,,5.423B,5.423B,,23.94B,11.43B,11.43B,2.716B,2.716B,7.904B,9.207B,31.26B,55.19B,3.12B,84.88B,19.31B,,,-4.925B,63.76B
2012-06,14.04B,2.873B,16.92B,10.99B,10.99B,1.30B,1.934B,4.463B,7.697B,2.894B,3.117B,,41.62B,,,,,,33.30B,-17.68B,15.62B,21.41B,29.20B,50.61B,,4.011B,3.891B,74.14B,115.75B,5.145B,1.259B,6.404B,9.493B,15.90B,,6.04B,6.04B,6.04B,,23.85B,11.52B,11.52B,2.276B,2.276B,8.18B,9.487B,31.47B,55.32B,3.12B,83.53B,20.01B,,,-6.204B,60.43B
2012-03,30.27B,3.58B,33.85B,10.98B,10.98B,1.428B,1.798B,3.574B,6.80B,2.683B,2.695B,,57.01B,,,,,,32.55B,-17.73B,14.82B,16.34B,18.16B,34.50B,,5.911B,3.956B,59.19B,116.19B,5.085B,914.00M,5.999B,8.76B,14.76B,,6.439B,6.439B,6.439B,,21.20B,13.01B,13.01B,1.846B,1.846B,8.236B,10.54B,33.63B,54.83B,3.12B,83.10B,20.32B,,,-4.54B,61.37B
2011-12,24.54B,7.719B,32.26B,10.58B,10.58B,1.206B,1.637B,3.442B,6.285B,2.633B,2.556B,,54.32B,0.0,754.00M,9.389B,19.18B,2.504B,31.83B,-17.09B,14.74B,16.14B,18.14B,34.28B,,6.54B,3.773B,59.33B,113.64B,5.725B,854.00M,6.579B,7.245B,13.82B,,,6.658B,6.658B,,22.81B,12.97B,12.97B,1.80B,1.80B,8.353B,10.63B,33.75B,56.56B,3.12B,81.25B,21.66B,,,-5.632B,57.08B
2011-09,15.62B,15.31B,30.93B,10.55B,10.55B,1.348B,1.853B,3.227B,6.428B,3.056B,2.48B,,53.44B,,,,,,31.74B,-17.10B,14.64B,16.05B,18.22B,34.27B,,5.564B,3.905B,58.38B,111.82B,5.73B,1.336B,7.066B,7.031B,14.10B,5.326B,,5.326B,5.326B,,21.69B,13.03B,13.03B,1.889B,1.889B,6.215B,7.473B,28.61B,50.29B,3.12B,82.63B,21.16B,,,-3.068B,61.53B
2011-06,14.97B,14.71B,29.68B,10.98B,10.98B,1.383B,1.897B,3.133B,6.413B,3.29B,2.306B,,52.67B,,,,,,32.44B,-17.46B,14.97B,16.24B,18.38B,34.62B,,5.653B,4.193B,59.44B,112.11B,5.689B,808.00M,6.497B,7.338B,13.84B,5.046B,,5.046B,5.046B,,20.98B,13.68B,13.68B,1.888B,1.888B,6.202B,7.227B,29.00B,49.98B,3.12B,80.84B,20.63B,,,-1.192B,62.13B
2011-03,22.36B,4.511B,26.87B,10.86B,10.86B,1.258B,1.652B,3.29B,6.20B,3.021B,2.272B,,49.22B,,,,,,31.80B,-16.72B,15.08B,16.13B,18.69B,34.81B,,,9.032B,58.93B,108.15B,5.701B,1.007B,6.708B,6.951B,13.66B,8.575B,,8.575B,8.575B,,24.01B,9.255B,9.255B,,,6.125B,8.896B,24.28B,48.29B,3.12B,79.52B,20.75B,,,-2.02B,59.86B
2010-12,19.36B,8.303B,27.66B,9.774B,9.774B,1.073B,1.46B,2.845B,5.378B,2.273B,2.224B,,47.31B,0.0,738.00M,9.079B,18.03B,2.577B,30.43B,-15.87B,14.55B,15.29B,16.72B,32.01B,,5.096B,3.942B,55.60B,102.91B,5.623B,578.00M,6.201B,9.254B,15.46B,,,7.617B,7.617B,,23.07B,9.156B,9.156B,1.447B,1.447B,6.087B,6.567B,23.26B,46.33B,3.12B,77.77B,20.78B,,,-3.531B,56.58B
2010-09,14.34B,7.788B,22.13B,10.29B,10.29B,1.123B,1.548B,2.738B,5.409B,2.474B,2.418B,,42.72B,,,,,,29.93B,-15.57B,14.36B,15.38B,17.07B,32.44B,,5.175B,3.552B,55.53B,98.25B,5.477B,781.00M,6.258B,8.313B,14.57B,2.843B,,2.843B,2.843B,,17.41B,9.182B,9.182B,1.725B,1.725B,6.409B,6.226B,23.54B,40.96B,3.12B,77.27B,20.18B,,,-2.924B,57.29B
2010-06,12.71B,6.188B,18.90B,9.629B,9.629B,1.072B,1.469B,2.53B,5.071B,3.172B,2.25B,,39.02B,,,,,,28.50B,-14.62B,13.88B,14.63B,16.46B,31.09B,,5.109B,3.20B,53.28B,92.30B,4.871B,791.00M,5.662B,7.787B,13.45B,3.715B,,3.715B,3.715B,,17.16B,7.937B,7.937B,1.669B,1.669B,6.32B,6.359B,22.28B,39.45B,3.12B,75.25B,19.82B,,,-5.705B,52.85B
