,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2010-03,13.74B,4.267B,18.01B,10.02B,10.02B,1.002B,1.467B,2.839B,5.308B,3.293B,2.232B,,38.86B,,,,,,28.96B,-14.69B,14.28B,14.98B,16.80B,31.78B,,4.905B,3.622B,54.58B,93.44B,5.126B,1.373B,6.499B,7.956B,14.46B,4.044B,,4.044B,4.044B,,18.50B,8.059B,8.059B,1.672B,1.672B,6.254B,6.043B,22.03B,40.53B,3.12B,73.18B,19.55B,,,-3.837B,52.91B
2009-12,15.81B,3.615B,19.42B,9.646B,9.646B,1.144B,1.395B,2.641B,5.18B,2.497B,2.793B,,39.54B,0.0,714.00M,8.863B,17.15B,2.521B,29.25B,-14.49B,14.76B,14.86B,16.32B,31.18B,,5.507B,3.69B,55.14B,94.68B,5.541B,442.00M,5.983B,9.43B,15.41B,,,6.318B,6.318B,,21.73B,8.223B,8.223B,1.424B,1.424B,6.769B,5.947B,22.36B,44.09B,3.12B,70.31B,19.78B,,,-3.058B,50.59B
2009-09,11.86B,2.481B,14.34B,10.28B,10.28B,824.00M,1.554B,3.19B,5.568B,2.768B,2.65B,,35.60B,,,,,,29.45B,-14.64B,14.82B,15.02B,16.64B,31.65B,19.00M,5.888B,3.581B,55.96B,91.56B,6.419B,1.029B,7.448B,8.456B,15.90B,3.341B,,3.341B,3.341B,,19.24B,8.259B,8.259B,1.505B,1.505B,7.111B,5.054B,21.93B,41.17B,3.12B,69.47B,19.55B,,,-2.661B,50.38B
2009-06,11.69B,3.03B,14.72B,10.13B,10.13B,948.00M,1.613B,2.911B,5.472B,2.719B,2.454B,,35.49B,,,,,,28.41B,-13.91B,14.50B,14.15B,14.72B,28.87B,18.00M,5.87B,2.682B,51.94B,87.44B,5.832B,510.00M,6.342B,8.109B,14.45B,5.435B,,5.435B,5.435B,,19.89B,8.179B,8.179B,1.481B,1.481B,7.37B,4.275B,21.30B,41.19B,3.12B,67.41B,19.80B,,,-4.481B,46.25B
2009-03,12.59B,1.344B,13.93B,9.831B,9.831B,822.00M,1.46B,3.077B,5.359B,3.374B,2.342B,,34.84B,,,,,,27.52B,-13.27B,14.25B,14.08B,14.84B,28.92B,17.00M,5.479B,2.589B,51.26B,86.10B,6.395B,705.00M,7.10B,8.203B,15.30B,6.022B,,6.022B,6.022B,,21.32B,8.052B,8.052B,1.487B,1.487B,7.297B,4.148B,20.98B,42.31B,3.12B,65.40B,19.56B,,,-5.169B,43.79B
2008-12,10.77B,2.041B,12.81B,9.719B,9.719B,839.00M,1.372B,2.841B,5.052B,3.367B,3.43B,,34.38B,0.0,886.00M,7.72B,15.23B,3.552B,27.39B,-13.03B,14.36B,13.72B,13.98B,27.70B,,5.841B,2.634B,50.54B,84.91B,7.503B,417.00M,7.92B,9.20B,17.12B,3.732B,,3.732B,3.732B,,20.85B,8.12B,8.12B,1.432B,1.432B,7.791B,4.206B,21.55B,42.40B,3.12B,63.38B,19.03B,,,-4.955B,42.51B
2008-09,14.02B,781.00M,14.80B,10.16B,10.16B,943.00M,1.655B,2.875B,5.473B,3.578B,2.584B,,36.59B,,,,,,27.60B,-13.25B,14.36B,14.28B,14.30B,28.57B,,5.191B,3.017B,51.13B,87.72B,6.384B,,6.384B,10.10B,16.48B,6.245B,,6.245B,6.245B,,22.73B,8.395B,8.395B,1.384B,1.384B,,9.481B,19.26B,41.99B,3.12B,61.88B,18.33B,222.00M,-1.152B,-930.00M,45.73B
2008-06,12.65B,412.00M,13.06B,10.54B,10.54B,1.137B,1.764B,2.799B,5.70B,3.908B,2.612B,,35.82B,,,,,,27.99B,-13.36B,14.63B,14.53B,14.68B,29.20B,,5.422B,3.046B,52.30B,88.11B,6.623B,,6.623B,10.00B,16.62B,5.156B,,5.156B,5.156B,,21.78B,8.77B,8.77B,1.454B,1.454B,,9.674B,19.90B,41.68B,3.12B,59.96B,17.21B,,,561.00M,46.44B
2008-03,10.54B,605.00M,11.14B,10.38B,10.38B,1.023B,1.846B,2.706B,5.575B,4.113B,2.602B,,33.82B,,,,,,27.42B,-12.93B,14.49B,14.62B,14.82B,29.43B,,5.129B,3.129B,52.18B,86.00B,7.487B,,7.487B,10.33B,17.82B,,,4.25B,4.25B,,22.07B,7.166B,7.166B,1.451B,1.451B,,9.682B,18.30B,40.37B,3.12B,57.81B,15.82B,1.807B,-1.298B,509.00M,45.62B
2007-12,7.77B,1.545B,9.315B,9.444B,9.444B,905.00M,1.384B,2.821B,5.11B,3.467B,2.609B,,29.94B,0.0,756.00M,7.913B,14.55B,3.243B,26.47B,-12.28B,14.18B,14.12B,14.64B,28.76B,2.00M,4.889B,3.17B,51.01B,80.95B,6.909B,223.00M,7.132B,10.24B,17.37B,2.463B,,2.463B,2.463B,,19.84B,7.074B,7.074B,1.493B,1.493B,5.402B,3.829B,17.80B,37.64B,3.12B,55.28B,14.39B,,,-693.00M,43.32B
2007-09,6.64B,1.68B,8.32B,9.384B,9.384B,891.00M,1.887B,2.636B,5.414B,3.229B,2.594B,,28.94B,,,,,,25.70B,-12.09B,13.61B,14.04B,15.47B,29.51B,,3.808B,2.795B,49.72B,78.66B,5.963B,,5.963B,10.10B,16.06B,,,3.264B,3.264B,,19.33B,4.633B,4.633B,1.386B,1.386B,,9.745B,15.76B,35.09B,3.12B,54.20B,12.21B,412.00M,-1.946B,-1.534B,43.57B
2007-06,5.571B,400.00M,5.971B,9.47B,9.47B,1.073B,1.296B,2.786B,5.155B,3.014B,2.194B,,25.80B,,,,,,24.93B,-11.54B,13.38B,13.75B,15.41B,29.17B,,3.575B,2.753B,48.88B,74.68B,5.458B,,5.458B,9.055B,14.51B,,,4.47B,4.47B,,18.98B,2.013B,2.013B,1.361B,1.361B,,9.204B,12.58B,31.56B,3.12B,52.82B,10.92B,-14.00M,-1.884B,-1.898B,43.12B
2007-03,5.175B,16.00M,5.191B,9.293B,9.293B,1.046B,1.627B,2.374B,5.047B,3.054B,2.088B,,24.67B,,,,,,24.24B,-11.06B,13.18B,13.66B,15.57B,29.23B,,3.273B,2.709B,48.39B,73.07B,5.643B,,5.643B,9.338B,14.98B,4.682B,,4.682B,4.682B,,19.66B,2.012B,2.012B,1.375B,1.375B,,9.088B,12.48B,32.14B,3.12B,50.85B,10.92B,-254.00M,-1.87B,-2.124B,40.93B
2006-12,4.083B,1.00M,4.084B,8.712B,8.712B,980.00M,1.253B,2.656B,4.889B,3.196B,2.094B,,22.98B,0.0,611.00M,7.347B,13.11B,2.962B,24.03B,-10.98B,13.04B,13.34B,15.35B,28.69B,,3.21B,2.639B,47.58B,70.56B,5.691B,,5.691B,8.891B,14.58B,,,4.579B,4.579B,,19.16B,2.014B,2.014B,1.319B,1.319B,,8.744B,12.08B,31.24B,3.12B,49.29B,10.97B,-158.00M,-1.96B,-2.118B,39.32B
2006-09,14.49B,201.00M,14.69B,7.978B,7.978B,1.143B,1.161B,2.145B,4.449B,2.166B,2.001B,,31.29B,,,,,,21.49B,-10.03B,11.46B,6.769B,6.562B,13.33B,,1.865B,3.294B,29.95B,61.24B,3.964B,,3.964B,7.737B,11.70B,362.00M,,362.00M,362.00M,,12.06B,2.007B,2.007B,352.00M,352.00M,,6.243B,8.602B,20.66B,3.12B,48.21B,10.22B,,,-539.00M,40.57B
2006-06,14.65B,78.00M,14.72B,8.162B,8.162B,1.124B,1.067B,2.122B,4.313B,2.223B,2.091B,,31.51B,,,,,,20.96B,-9.678B,11.29B,6.657B,6.617B,13.27B,,1.683B,3.232B,29.48B,60.99B,4.089B,,4.089B,7.446B,11.54B,654.00M,,654.00M,654.00M,,12.19B,1.981B,1.981B,322.00M,322.00M,,5.756B,8.059B,20.25B,3.12B,46.53B,8.358B,,,-550.00M,40.74B
2006-03,16.82B,363.00M,17.18B,7.671B,7.671B,1.078B,1.038B,2.124B,4.24B,2.661B,1.995B,,33.75B,,,,,,20.15B,-9.20B,10.95B,6.46B,6.438B,12.90B,,1.269B,3.263B,28.38B,62.13B,3.939B,,3.939B,8.425B,12.36B,828.00M,,828.00M,828.00M,,13.19B,1.98B,1.98B,294.00M,294.00M,,5.544B,7.818B,21.01B,3.12B,44.71B,6.077B,,,-633.00M,41.12B
2005-12,16.06B,83.00M,16.14B,7.01B,7.01B,931.00M,1.073B,1.955B,3.959B,2.442B,1.931B,,31.48B,0.0,502.00M,5.875B,10.84B,2.504B,19.72B,-8.886B,10.83B,5.99B,6.185B,12.18B,,1.138B,3.241B,27.38B,58.86B,4.315B,,4.315B,7.652B,11.97B,668.00M,,668.00M,668.00M,,12.64B,2.017B,2.017B,211.00M,211.00M,,5.291B,7.519B,20.15B,3.12B,42.31B,5.965B,,,-755.00M,38.71B
2005-09,14.82B,354.00M,15.18B,7.154B,7.154B,1.246B,1.021B,1.748B,4.015B,2.415B,1.813B,,30.58B,,,,,,19.09B,-8.859B,10.23B,,12.09B,12.09B,,658.00M,3.027B,26.00B,56.57B,3.684B,,3.684B,6.428B,10.11B,278.00M,,278.00M,278.00M,1.657B,12.05B,2.139B,2.139B,409.00M,409.00M,,5.132B,7.68B,19.73B,3.12B,40.42B,5.944B,,,-751.00M,36.85B
2005-06,12.16B,1.005B,13.16B,7.379B,7.379B,1.193B,1.134B,1.636B,3.963B,2.387B,1.83B,,28.72B,,,,,,18.67B,-8.581B,10.09B,,12.20B,12.20B,,363.00M,3.184B,25.83B,54.55B,3.949B,,3.949B,6.357B,10.31B,304.00M,,304.00M,304.00M,1.03B,11.64B,2.329B,2.329B,418.00M,418.00M,,4.997B,7.744B,19.38B,3.12B,38.85B,5.999B,,,-805.00M,35.17B
2005-03,8.539B,5.111B,13.65B,7.336B,7.336B,1.267B,1.051B,1.496B,3.814B,2.174B,1.792B,,28.77B,,,,,,18.67B,-8.429B,10.24B,,11.82B,11.82B,,355.00M,3.27B,25.68B,54.45B,4.038B,,4.038B,6.498B,10.54B,319.00M,,319.00M,319.00M,2.126B,12.98B,2.459B,2.459B,389.00M,389.00M,,4.963B,7.811B,20.79B,3.12B,37.30B,6.118B,,,-648.00M,33.65B
2004-12,9.203B,3.681B,12.88B,6.831B,6.831B,964.00M,1.113B,1.667B,3.744B,2.124B,1.737B,,27.32B,0.0,515.00M,5.907B,10.46B,1.787B,18.66B,-8.228B,10.44B,,11.84B,11.84B,,551.00M,3.168B,26.00B,53.32B,5.227B,,5.227B,6.914B,12.14B,280.00M,,280.00M,280.00M,1.506B,13.93B,2.565B,2.565B,403.00M,403.00M,,4.609B,7.577B,21.50B,3.12B,35.22B,6.004B,,,-526.00M,31.81B
2004-09,7.348B,5.746B,13.09B,6.939B,6.939B,1.087B,1.048B,1.534B,3.669B,1.452B,1.662B,,26.82B,,,,,,17.63B,-8.037B,9.595B,,11.73B,11.73B,,955.00M,2.995B,25.27B,52.09B,3.646B,,3.646B,8.229B,11.88B,454.00M,,454.00M,454.00M,,12.33B,2.961B,2.961B,791.00M,791.00M,,4.495B,8.247B,20.58B,3.12B,35.02B,6.127B,-419.00M,-83.00M,-502.00M,31.51B
2004-06,5.681B,5.105B,10.79B,7.142B,7.142B,1.052B,1.114B,1.362B,3.528B,1.602B,1.599B,,24.66B,,,,,,17.26B,-7.70B,9.557B,,11.80B,11.80B,,995.00M,3.157B,25.51B,50.17B,3.829B,,3.829B,7.742B,11.57B,491.00M,,491.00M,491.00M,,12.06B,2.962B,2.962B,769.00M,769.00M,,4.326B,8.057B,20.12B,3.12B,33.63B,6.158B,-448.00M,-89.00M,-537.00M,30.05B
2004-03,5.637B,4.724B,10.36B,6.772B,6.772B,1.079B,1.229B,1.214B,3.522B,2.151B,1.558B,,24.36B,,,,,,17.10B,-7.435B,9.669B,,11.44B,11.44B,,822.00M,2.571B,24.50B,48.87B,3.782B,,3.782B,6.213B,9.995B,594.00M,,594.00M,594.00M,1.86B,12.45B,2.961B,2.961B,741.00M,741.00M,,4.223B,7.925B,20.37B,3.12B,32.15B,6.17B,-434.00M,-175.00M,-609.00M,28.49B
2003-12,5.377B,4.146B,9.523B,6.574B,6.574B,966.00M,981.00M,1.641B,3.588B,1.784B,1.526B,,23.00B,0.0,594.00M,5.219B,9.558B,1.681B,17.05B,-7.206B,9.846B,,11.54B,11.54B,,692.00M,3.191B,25.27B,48.26B,4.966B,,4.966B,7.343B,12.31B,1.139B,,1.139B,1.139B,,13.45B,2.955B,2.955B,780.00M,780.00M,,4.211B,7.946B,21.39B,3.12B,30.50B,6.146B,-373.00M,-235.00M,-608.00M,26.87B
2003-09,3.85B,4.998B,8.848B,6.399B,6.399B,946.00M,909.00M,1.884B,3.739B,1.674B,1.486B,,22.15B,,,,,,16.05B,-6.809B,9.245B,,11.68B,11.68B,,402.00M,3.187B,24.51B,46.66B,3.66B,,3.66B,5.978B,9.638B,2.024B,,2.024B,2.024B,1.12B,12.78B,3.149B,3.149B,884.00M,884.00M,,4.106B,8.139B,20.92B,3.12B,29.50B,6.136B,,,-746.00M,25.74B
2003-06,2.968B,4.894B,7.862B,6.426B,6.426B,931.00M,894.00M,1.855B,3.68B,1.954B,1.453B,,21.38B,,,,,,15.56B,-6.501B,9.064B,,11.71B,11.71B,,381.00M,3.123B,24.28B,45.65B,3.589B,,3.589B,5.332B,8.921B,3.254B,,3.254B,3.254B,661.00M,12.84B,3.164B,3.164B,1.208B,1.208B,,4.008B,8.38B,21.22B,3.12B,28.20B,6.175B,,,-708.00M,24.44B
2003-03,3.061B,4.786B,7.847B,5.836B,5.836B,896.00M,860.00M,1.785B,3.541B,1.859B,1.388B,,20.47B,,,,,,14.90B,-6.10B,8.799B,,9.425B,9.425B,,286.00M,3.013B,21.52B,41.99B,3.077B,,3.077B,4.939B,8.016B,2.103B,,2.103B,2.103B,1.338B,11.46B,2.004B,2.004B,573.00M,573.00M,,3.924B,6.501B,17.96B,3.12B,27.85B,6.10B,,,-836.00M,24.04B
2002-12,2.894B,4.581B,7.475B,5.399B,5.399B,835.00M,803.00M,1.665B,3.303B,1.67B,1.419B,,19.27B,0.0,472.00M,4.364B,7.869B,1.609B,14.31B,-5.604B,8.71B,,9.246B,9.246B,,236.00M,3.098B,21.29B,40.56B,3.621B,,3.621B,5.001B,8.622B,2.117B,,2.117B,2.117B,710.00M,11.45B,2.022B,2.022B,643.00M,643.00M,,3.745B,6.41B,17.86B,3.12B,26.57B,6.127B,,,-867.00M,22.70B
2002-09,3.161B,4.084B,7.245B,5.395B,5.395B,1.036B,644.00M,1.575B,3.255B,1.716B,1.39B,,19.00B,,,,,,13.70B,-5.523B,8.175B,,9.273B,9.273B,,93.00M,2.121B,19.66B,38.66B,2.503B,,2.503B,4.821B,7.324B,2.381B,,2.381B,2.381B,996.00M,10.70B,2.102B,2.102B,267.00M,267.00M,,3.508B,5.877B,16.58B,3.12B,25.80B,6.10B,,,-739.00M,22.08B
2002-06,2.606B,4.251B,6.857B,5.408B,5.408B,1.031B,703.00M,1.618B,3.352B,1.863B,1.374B,,18.85B,,,,,,13.39B,-5.345B,8.048B,,9.265B,9.265B,,46.00M,2.138B,19.50B,38.35B,2.883B,,2.883B,4.343B,7.226B,2.54B,,2.54B,2.54B,801.00M,10.57B,2.129B,2.129B,262.00M,262.00M,,3.502B,5.893B,16.46B,3.12B,24.81B,5.371B,,,-671.00M,21.89B
2002-03,3.437B,3.976B,7.413B,4.74B,4.74B,973.00M,635.00M,1.495B,3.103B,1.913B,1.246B,,18.42B,,,,,,12.56B,-4.906B,7.655B,,9.061B,9.061B,,316.00M,2.849B,19.88B,38.30B,2.358B,,2.358B,4.094B,6.452B,669.00M,,669.00M,669.00M,1.18B,8.301B,2.225B,2.225B,500.00M,500.00M,,3.547B,6.272B,14.57B,3.12B,24.06B,2.788B,,,-668.00M,23.72B
2001-12,3.758B,4.214B,7.972B,4.63B,4.63B,842.00M,605.00M,1.545B,2.992B,1.687B,1.192B,,18.47B,0.0,459.00M,3.911B,6.805B,1.283B,12.46B,-4.739B,7.719B,,9.077B,9.077B,,288.00M,2.931B,20.02B,38.49B,2.838B,,2.838B,4.104B,6.942B,565.00M,,565.00M,565.00M,537.00M,8.044B,2.217B,2.217B,493.00M,493.00M,,3.501B,6.211B,14.26B,3.12B,23.07B,1.393B,,,-560.00M,24.23B
2001-09,5.066B,3.148B,8.214B,4.96B,4.96B,694.00M,571.00M,1.742B,3.007B,1.716B,1.182B,,19.08B,,,,,,12.36B,-5.019B,7.338B,,7.532B,7.532B,,279.00M,2.825B,17.97B,37.05B,2.173B,,2.173B,3.854B,6.027B,639.00M,,639.00M,639.00M,838.00M,7.504B,2.187B,2.187B,266.00M,266.00M,,3.362B,5.815B,13.32B,3.12B,21.44B,303.00M,,,-524.00M,23.73B
2001-06,4.722B,2.797B,7.519B,4.805B,4.805B,760.00M,538.00M,1.615B,2.913B,1.844B,1.11B,,18.19B,,,,,,11.94B,-4.733B,7.203B,,7.616B,7.616B,,250.00M,2.841B,17.91B,36.10B,2.049B,,2.049B,3.888B,5.937B,924.00M,,924.00M,924.00M,485.00M,7.346B,2.491B,2.491B,242.00M,242.00M,,3.311B,6.044B,13.39B,3.12B,20.47B,296.00M,,,-582.00M,22.71B
2001-03,3.647B,2.253B,5.90B,4.606B,4.606B,726.00M,478.00M,1.606B,2.81B,1.995B,1.11B,,16.42B,,,,,,11.13B,-4.376B,6.758B,,7.164B,7.164B,,37.00M,1.495B,15.45B,31.88B,1.928B,,1.928B,3.255B,5.183B,,,901.00M,901.00M,736.00M,6.82B,1.571B,1.571B,246.00M,246.00M,,3.146B,4.963B,11.78B,1.535B,20.07B,916.00M,,,-594.00M,20.09B
2000-12,4.278B,2.479B,6.757B,4.601B,4.601B,718.00M,480.00M,1.707B,2.905B,1.254B,1.174B,,16.69B,0.0,427.00M,3.659B,6.312B,1.468B,11.87B,-4.457B,7.409B,,7.535B,7.535B,,240.00M,2.37B,17.55B,34.24B,2.122B,,2.122B,3.322B,5.444B,1.489B,,1.489B,1.489B,322.00M,7.255B,3.163B,3.163B,255.00M,255.00M,,3.177B,6.595B,13.85B,3.12B,18.11B,342.00M,,,-496.00M,20.40B
2000-09,3.55B,2.037B,5.587B,4.212B,4.212B,709.00M,389.00M,1.924B,3.022B,,,2.404B,15.22B,,,,,,11.21B,-4.588B,6.619B,,7.289B,7.289B,,,1.651B,15.56B,30.78B,1.728B,,1.728B,,1.728B,,,895.00M,895.00M,4.042B,6.665B,2.417B,2.417B,238.00M,238.00M,,2.978B,5.633B,12.30B,1.535B,18.55B,1.08B,,,-515.00M,18.49B
2000-06,2.937B,1.562B,4.499B,4.441B,4.441B,,,,3.06B,,,2.366B,14.37B,,,,,,11.26B,-4.571B,6.692B,,7.395B,7.395B,,,1.852B,15.94B,30.30B,1.785B,,1.785B,,1.785B,,,870.00M,870.00M,3.95B,6.605B,2.434B,2.434B,276.00M,276.00M,,3.011B,5.721B,12.33B,1.535B,17.84B,1.01B,,,-385.00M,17.98B
2000-03,2.663B,1.537B,4.20B,,4.365B,,,,3.052B,,,2.359B,13.98B,,,,,,11.07B,-4.424B,6.649B,,7.528B,7.528B,,,1.81B,15.99B,29.96B,1.724B,,1.724B,,1.724B,,,1.217B,1.217B,4.187B,7.128B,2.443B,2.443B,276.00M,276.00M,,2.966B,5.685B,12.81B,1.535B,17.08B,1.082B,,,-379.00M,17.15B
1999-12,2.363B,1.516B,3.879B,4.233B,4.233B,,,,3.095B,,,1.993B,13.20B,,,,,,11.05B,-4.327B,6.719B,,7.571B,7.571B,,,1.673B,15.96B,29.16B,2.003B,,2.003B,,2.003B,,,1.806B,1.806B,3.645B,7.454B,2.45B,2.45B,287.00M,287.00M,,2.759B,5.496B,12.95B,1.535B,16.19B,1.077B,,,-437.00M,16.21B
1999-09,2.617B,976.00M,3.593B,4.187B,4.187B,863.00M,494.00M,1.734B,3.091B,921.00M,1.065B,,12.86B,,,,,,10.75B,-4.543B,6.211B,,7.295B,7.295B,,,1.745B,15.25B,28.11B,1.576B,,1.576B,,1.576B,,,1.456B,1.456B,3.948B,6.98B,1.992B,1.992B,594.00M,594.00M,,3.158B,5.744B,12.72B,1.535B,15.89B,1.521B,,,-522.00M,15.38B
1999-06,2.024B,811.00M,2.835B,4.173B,4.173B,,,,2.968B,1.077B,1.098B,,12.15B,,,,,,10.27B,-4.26B,6.013B,,7.335B,7.335B,,,1.627B,14.98B,27.13B,1.609B,,1.609B,,1.609B,,,2.566B,2.566B,3.711B,7.886B,1.21B,1.21B,568.00M,568.00M,,2.718B,4.496B,12.38B,1.535B,15.26B,1.514B,,,-536.00M,14.74B
1999-03,1.78B,805.00M,2.585B,3.935B,3.935B,,,,2.963B,1.024B,1.111B,,11.62B,,,,,,10.24B,-4.166B,6.072B,,7.489B,7.489B,,,1.567B,15.13B,26.75B,1.587B,,1.587B,,1.587B,,,2.489B,2.489B,3.79B,7.866B,1.346B,1.346B,571.00M,571.00M,,2.741B,4.658B,12.52B,1.535B,14.56B,1.37B,,,-508.00M,14.22B
1998-12,1.994B,789.00M,2.783B,3.752B,3.752B,776.00M,510.00M,1.612B,2.898B,,,2.053B,11.49B,0.0,466.00M,2.991B,5.686B,1.126B,10.27B,-3.874B,6.395B,,7.364B,7.364B,,,2.047B,15.81B,27.29B,1.877B,,1.877B,,1.877B,,,2.753B,2.753B,3.663B,8.293B,1.729B,1.729B,578.00M,578.00M,,2.615B,4.922B,13.22B,1.535B,13.97B,1.06B,,,-366.00M,14.08B
1998-09,3.742B,,3.742B,,3.724B,,,,2.897B,,,1.813B,12.18B,,,,,,10.07B,-4.093B,5.975B,,3.297B,3.297B,,,1.885B,11.16B,23.33B,1.487B,,1.487B,,1.487B,,,575.00M,575.00M,3.338B,5.40B,1.117B,1.117B,260.00M,260.00M,,2.618B,3.995B,9.395B,,14.28B,,,,,13.94B
1998-06,3.114B,,3.114B,,3.514B,,,,2.703B,,,2.009B,11.34B,,,,,,9.687B,-3.895B,5.792B,,3.28B,3.28B,,,1.896B,10.97B,22.31B,1.517B,,1.517B,,1.517B,,,565.00M,565.00M,3.057B,5.139B,1.112B,1.112B,193.00M,193.00M,,2.552B,3.857B,8.996B,,13.74B,,,,,13.31B
