,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,21.08B,21.08B,6.972B,14.11B,5.431B,2.978B,-1.468B,44.00M,12.00M,-32.00M,8.409B,5.701B,12.00M,44.00M,-32.00M,-1.268B,-32.00M,4.401B,847.00M,3.554B,,3.554B,4.739B,6.263B,1.818B,4.445B,1.35,,1.8,1.35,1.33,,1.774,1.33,2.632B,2.669B,1.01
2020-06,18.34B,18.34B,6.579B,11.76B,4.993B,2.713B,-661.00M,45.00M,19.00M,-26.00M,7.706B,4.051B,19.00M,45.00M,-26.00M,-85.00M,-26.00M,3.94B,314.00M,3.626B,,3.626B,3.774B,5.711B,1.726B,3.985B,1.38,,1.436,1.38,1.36,,1.416,1.36,2.633B,2.666B,1.01
2020-03,20.69B,20.69B,7.062B,13.63B,5.203B,2.58B,-58.00M,25.00M,67.00M,42.00M,7.783B,5.846B,67.00M,25.00M,42.00M,621.00M,42.00M,6.509B,713.00M,5.796B,,5.796B,5.848B,8.281B,1.747B,6.534B,2.2,,2.22,2.2,2.17,,2.189,2.17,2.634B,2.671B,0.95
2019-12,20.75B,20.75B,7.134B,13.61B,6.039B,3.232B,4.696B,85.00M,81.00M,-4.00M,9.271B,4.342B,81.00M,85.00M,-4.00M,-129.00M,-4.00M,4.218B,208.00M,4.01B,,4.01B,-454.43M,6.119B,1.816B,4.303B,1.5230000000000001,,-0.173,1.5230000000000001,1.5,,-0.1703,1.5,2.632B,2.673B,0.95
2019-09,20.73B,20.73B,6.867B,13.86B,5.374B,2.599B,-4.169B,48.00M,89.00M,41.00M,7.973B,5.889B,89.00M,48.00M,41.00M,-4.269B,41.00M,1.647B,-106.00M,1.753B,,1.753B,4.869B,3.422B,1.727B,1.695B,0.67,,1.8530000000000002,0.67,0.66,,1.827,0.66,2.635B,2.670B,0.95
2019-06,20.56B,20.56B,6.94B,13.62B,5.546B,2.666B,-557.00M,83.00M,88.00M,5.00M,8.212B,5.41B,88.00M,83.00M,5.00M,1.643B,5.00M,7.041B,1.434B,5.607B,,5.607B,5.891B,8.829B,1.705B,7.124B,2.11,,2.217,2.11,2.08,,2.186,2.08,2.652B,2.692B,0.95
2019-03,20.02B,20.02B,6.615B,13.41B,5.219B,3.748B,-36.00M,102.00M,99.00M,-3.00M,8.967B,4.439B,99.00M,102.00M,-3.00M,-14.00M,-3.00M,4.422B,673.00M,3.749B,,3.749B,3.780B,6.285B,1.761B,4.524B,1.41,,1.421,1.41,1.39,,1.401,1.39,2.661B,2.699B,0.9
2018-12,20.39B,20.39B,6.961B,13.43B,5.991B,3.224B,-64.00M,250.00M,196.00M,-54.00M,9.215B,4.218B,196.00M,250.00M,-54.00M,-1.042B,-54.00M,3.122B,80.00M,3.042B,,3.042B,3.104B,5.107B,1.735B,3.372B,1.12,,1.143,1.12,1.12,,1.143,1.12,2.678B,2.726B,0.9
2018-09,20.35B,20.35B,6.589B,13.76B,5.543B,3.634B,-88.00M,243.00M,175.00M,-68.00M,9.177B,4.582B,175.00M,243.00M,-68.00M,-91.00M,-68.00M,4.423B,489.00M,3.934B,,3.934B,4.012B,6.397B,1.731B,4.666B,1.47,,1.499,1.47,1.44,,1.469,1.44,2.683B,2.728B,0.9
2018-06,20.83B,20.83B,6.927B,13.90B,5.743B,2.639B,-57.00M,253.00M,126.00M,-127.00M,8.382B,5.521B,126.00M,253.00M,-127.00M,-421.00M,-127.00M,4.973B,1.019B,3.954B,,3.954B,3.999B,6.943B,1.717B,5.226B,1.47,,1.4869999999999999,1.47,1.45,,1.4669999999999999,1.45,2.682B,2.721B,0.9
2018-03,20.01B,20.01B,6.614B,13.40B,5.263B,2.404B,-42.00M,259.00M,114.00M,-145.00M,7.667B,5.728B,114.00M,259.00M,-145.00M,-102.00M,-145.00M,5.481B,1.114B,4.367B,,4.367B,4.400B,7.486B,1.746B,5.74B,1.63,,1.642,1.63,1.6,,1.6119999999999999,1.6,2.682B,2.732B,0.84
2017-12,20.20B,20.20B,7.259B,12.94B,6.045B,4.051B,-144.00M,274.00M,85.00M,-189.00M,10.10B,2.84B,85.00M,274.00M,-189.00M,-91.00M,-189.00M,2.56B,13.27B,-10.71B,,-10.71B,-10.63B,4.703B,1.869B,2.834B,-3.99,,-3.958,-3.99,-3.99,,-3.958,-3.99,2.685B,2.742B,0.84
2017-09,19.65B,19.65B,6.925B,12.72B,5.423B,2.585B,-69.00M,229.00M,74.00M,-155.00M,8.008B,4.717B,74.00M,229.00M,-155.00M,228.00M,-155.00M,4.79B,1.026B,3.764B,,3.764B,3.818B,6.73B,1.711B,5.019B,1.4,,1.42,1.4,1.37,,1.39,1.37,2.685B,2.738B,0.84
2017-06,18.84B,18.84B,5.846B,12.99B,5.289B,2.296B,-11.00M,227.00M,105.00M,-122.00M,7.585B,5.408B,105.00M,227.00M,-122.00M,-538.00M,-122.00M,4.748B,921.00M,3.827B,,3.827B,3.836B,6.125B,1.15B,4.975B,1.42,,1.423,1.42,1.4,,1.403,1.4,2.692B,2.742B,0.84
2017-03,17.77B,17.77B,5.409B,12.36B,4.763B,2.07B,-85.00M,204.00M,121.00M,-83.00M,6.833B,5.524B,121.00M,204.00M,-83.00M,134.00M,-83.00M,5.575B,1.153B,4.422B,,4.422B,4.489B,6.691B,912.00M,5.779B,1.63,,1.655,1.63,1.61,,1.6340000000000001,1.61,2.707B,2.754B,0.8
2016-12,18.11B,18.11B,5.638B,12.47B,5.431B,2.688B,-195.00M,184.00M,100.00M,-84.00M,8.119B,4.349B,100.00M,184.00M,-84.00M,59.00M,-84.00M,4.324B,510.00M,3.814B,,3.814B,3.986B,5.563B,1.055B,4.508B,1.402,,1.465,1.402,1.38,,1.442,1.38,2.714B,2.766B,0.8
2016-09,17.82B,17.82B,5.486B,12.33B,4.772B,2.178B,-62.00M,192.00M,97.00M,-95.00M,6.95B,5.384B,97.00M,192.00M,-95.00M,-8.00M,-95.00M,5.281B,1.009B,4.272B,,4.272B,4.322B,6.381B,908.00M,5.473B,1.56,,1.578,1.56,1.53,,1.548,1.53,2.732B,2.785B,0.8
2016-06,18.48B,18.48B,5.336B,13.15B,5.176B,2.293B,-114.00M,190.00M,88.00M,-102.00M,7.469B,5.677B,88.00M,190.00M,-102.00M,-671.00M,-102.00M,4.904B,907.00M,3.997B,,3.997B,4.090B,5.994B,900.00M,5.094B,1.46,,1.494,1.46,1.43,,1.463,1.43,2.745B,2.794B,0.8
2016-03,17.48B,17.48B,5.329B,12.15B,4.688B,2.013B,-120.00M,160.00M,83.00M,-77.00M,6.701B,5.452B,83.00M,160.00M,-77.00M,-81.00M,-77.00M,5.294B,837.00M,4.457B,,4.457B,4.558B,6.345B,891.00M,5.454B,1.62,,1.6569999999999998,1.62,1.59,,1.626,1.59,2.757B,2.804B,0.75
2015-12,17.81B,17.81B,5.673B,12.14B,5.891B,3.078B,,160.00M,53.00M,-107.00M,8.969B,3.169B,53.00M,160.00M,-107.00M,696.00M,-107.00M,3.758B,543.00M,3.215B,,3.215B,3.215B,4.951B,1.033B,3.918B,1.162,,1.162,1.162,1.15,,1.15,1.15,2.763B,2.800B,0.75
2015-09,17.10B,17.10B,5.224B,11.88B,5.081B,2.164B,,123.00M,32.00M,-91.00M,7.245B,4.633B,32.00M,123.00M,-91.00M,-420.00M,-91.00M,4.122B,764.00M,3.358B,,3.358B,3.358B,5.174B,929.00M,4.245B,1.21,,1.21,1.21,1.2,,1.2,1.2,2.768B,2.807B,0.75
2015-06,17.79B,17.79B,5.357B,12.43B,5.384B,2.129B,0.00,131.00M,24.00M,-107.00M,7.513B,4.917B,24.00M,131.00M,-107.00M,931.00M,-107.00M,5.741B,1.225B,4.516B,,4.516B,4.516B,6.761B,889.00M,5.872B,1.63,,1.63,1.63,1.61,,1.61,1.61,2.772B,2.812B,0.75
2015-03,17.37B,17.37B,5.282B,12.09B,4.847B,1.899B,0.00,138.00M,19.00M,-119.00M,6.746B,5.346B,19.00M,138.00M,-119.00M,348.00M,-119.00M,5.575B,1.255B,4.32B,,4.32B,4.32B,6.608B,895.00M,5.713B,1.55,,1.55,1.55,1.53,,1.53,1.53,2.783B,2.826B,0.7
2014-12,18.25B,18.25B,5.853B,12.40B,5.822B,2.791B,,139.00M,17.00M,-122.00M,8.613B,3.788B,17.00M,139.00M,-122.00M,-963.00M,-122.00M,2.703B,182.00M,2.521B,,2.521B,2.521B,3.833B,991.00M,2.842B,0.9058,,0.9058,0.9058,0.89,,0.89,0.89,2.795B,2.842B,0.7
2014-09,18.47B,18.47B,5.399B,13.07B,5.468B,2.023B,,130.00M,18.00M,-112.00M,7.491B,5.577B,18.00M,130.00M,-112.00M,1.345B,-112.00M,6.81B,2.061B,4.749B,,4.749B,4.749B,7.879B,939.00M,6.94B,1.69,,1.69,1.69,1.66,,1.66,1.66,2.814B,2.864B,0.7
2014-06,19.50B,19.50B,6.039B,13.46B,5.481B,2.009B,,128.00M,14.00M,-114.00M,7.49B,5.966B,14.00M,128.00M,-114.00M,-226.00M,-114.00M,5.626B,1.30B,4.326B,,4.326B,4.326B,6.706B,952.00M,5.754B,1.53,,1.53,1.53,1.51,,1.51,1.51,2.826B,2.874B,0.7
2014-03,18.12B,18.12B,5.455B,12.66B,5.183B,1.849B,,136.00M,18.00M,-118.00M,7.032B,5.628B,18.00M,136.00M,-118.00M,-86.00M,-118.00M,5.424B,697.00M,4.727B,,4.727B,4.727B,6.573B,1.013B,5.56B,1.67,,1.67,1.67,1.64,,1.64,1.64,2.827B,2.875B,0.66
2013-12,18.36B,18.36B,5.955B,12.40B,5.917B,2.749B,,134.00M,18.00M,-116.00M,8.666B,3.734B,18.00M,134.00M,-116.00M,-868.00M,-116.00M,2.75B,-769.00M,3.519B,,3.519B,3.519B,3.986B,1.102B,2.884B,1.248,,1.248,1.248,1.23,,1.23,1.23,2.82B,2.871B,0.66
2013-09,17.58B,17.58B,5.344B,12.23B,5.314B,2.22B,,105.00M,18.00M,-87.00M,7.534B,4.697B,18.00M,105.00M,-87.00M,-943.00M,-87.00M,3.667B,685.00M,2.982B,,2.982B,2.982B,4.748B,976.00M,3.772B,1.06,,1.06,1.06,1.04,,1.04,1.04,2.818B,2.881B,0.66
2013-06,17.88B,17.88B,5.489B,12.39B,5.376B,1.946B,,118.00M,17.00M,-101.00M,7.322B,5.066B,17.00M,118.00M,-101.00M,-172.00M,-101.00M,4.793B,960.00M,3.833B,,3.833B,3.833B,5.901B,990.00M,4.911B,1.36,,1.36,1.36,1.33,,1.33,1.33,2.810B,2.893B,0.66
2013-03,17.50B,17.50B,5.554B,11.95B,5.223B,1.848B,,125.00M,21.00M,-104.00M,7.071B,4.88B,21.00M,125.00M,-104.00M,-515.00M,-104.00M,4.261B,764.00M,3.497B,,3.497B,3.497B,5.422B,1.036B,4.386B,1.25,,1.25,1.25,1.22,,1.22,1.22,2.790B,2.859B,0.61
