,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.484B,1.518B,686.90M,830.70M,,,91.00M,94.80M,-94.80M,,309.00M,521.70M,94.80M,-94.80M,-11.30M,-94.80M,415.60M,50.00M,367.50M,,,-3.00M,,364.50M,363.00M,510.40M,,2020-09,1.60,,1.593,1.60,,2020-09,1.60,,1.593,1.60,227.30M,227.50M,0.505,,2020-09,AOR,
2020-06,1.143B,1.185B,600.50M,584.20M,,,90.90M,99.50M,-99.50M,,312.50M,271.70M,99.50M,-99.50M,-4.20M,-99.50M,168.00M,33.70M,136.30M,,,-2.90M,,133.40M,130.91M,267.50M,,2020-06,0.59,,0.5791,0.59,,2020-06,0.59,,0.5791,0.59,227.20M,227.60M,0.505,,2020-06,AOR,
2020-03,1.117B,1.117B,608.40M,508.30M,,,92.30M,96.20M,-96.20M,,310.80M,197.50M,96.20M,-96.20M,-21.20M,-96.20M,80.10M,10.10M,72.20M,,,-2.80M,,69.40M,70.10M,176.30M,,2020-03,0.31,,0.3131,0.31,,2020-03,0.31,,0.3131,0.31,227.10M,227.50M,0.505,,2020-03,AOR,
2019-12,1.202B,1.132B,660.10M,471.50M,,,89.10M,96.70M,-96.70M,,305.70M,165.80M,96.70M,-96.70M,-6.50M,-96.70M,62.60M,-2.20M,66.70M,,,-2.80M,,63.90M,61.42M,159.30M,,2019-12,0.31,,0.2991,0.31,,2019-12,0.30,,0.2891,0.30,227.50M,228.20M,0.505,,2019-12,AOR,
2019-09,1.566B,1.578B,731.30M,846.30M,,,91.50M,90.80M,-90.80M,,307.60M,538.70M,90.80M,-90.80M,-15.10M,-90.80M,432.80M,65.50M,370.90M,,,-4.10M,,366.80M,365.27M,523.60M,,2019-09,1.56,,1.553,1.56,,2019-09,1.56,,1.553,1.56,234.60M,235.00M,0.475,,2019-09,AOR,Restated
2019-06,1.185B,1.222B,643.00M,578.70M,,,91.60M,95.40M,-95.40M,,307.00M,271.70M,95.40M,-95.40M,-9.40M,-95.40M,166.90M,24.40M,144.60M,,,-4.90M,,139.70M,137.48M,262.30M,,2019-06,0.57,,0.5609,0.57,,2019-06,0.57,,0.5609,0.57,243.20M,243.40M,0.475,,2019-06,AOR,Restated
2019-03,1.217B,1.217B,700.40M,516.50M,,,93.30M,91.10M,-91.10M,,306.90M,209.60M,91.10M,-91.10M,-8.00M,-91.10M,110.50M,9.30M,103.40M,,,-3.90M,,99.50M,96.56M,201.60M,,2019-03,0.39,,0.3784,0.39,,2019-03,0.39,,0.3784,0.39,252.80M,253.00M,0.475,,2019-03,AOR,Restated
2018-12,1.200B,1.200B,756.90M,442.90M,,,85.60M,88.30M,-88.30M,,292.80M,150.10M,88.30M,-88.30M,-10.70M,-88.30M,51.10M,30.70M,21.10M,,,-2.60M,,18.50M,16.60M,139.40M,,2018-12,-0.11,,-0.1172,-0.11,,2018-12,-0.11,,-0.1172,-0.11,261.90M,262.40M,0.475,,2018-12,AOR,Restated
2018-09,1.582B,1.582B,772.50M,810.00M,,,83.00M,89.10M,-89.10M,,276.90M,533.10M,89.10M,-89.10M,-24.30M,-89.10M,419.70M,64.10M,357.60M,,,-2.60M,,355.00M,350.84M,508.80M,,2018-09,1.32,,1.305,1.32,,2018-09,1.32,,1.305,1.32,268.60M,268.80M,0.46,,2018-09,AOR,Restated
2018-06,893.40M,893.40M,581.90M,311.50M,,,56.60M,58.40M,-58.40M,,184.60M,126.90M,58.40M,-58.40M,-10.50M,-58.40M,58.00M,-45.00M,104.40M,,,-2.60M,,101.80M,100.63M,116.40M,,2018-06,0.56,,0.5535,0.56,,2018-06,0.56,,0.5535,0.56,180.90M,181.00M,0.40,,2018-06,AOR,Restated
2018-03,600.20M,600.20M,343.20M,257.00M,,,43.90M,43.80M,-43.80M,,133.50M,123.50M,43.80M,-43.80M,-9.00M,-43.80M,70.70M,9.20M,62.90M,,,-2.40M,,60.50M,60.85M,114.50M,,2018-03,0.42,,0.4224,0.42,,2018-03,0.42,,0.4224,0.42,142.60M,142.70M,0.40,,2018-03,AOR,Restated
2017-12,594.80M,594.80M,336.90M,257.90M,,,41.20M,42.80M,-42.80M,,135.60M,122.30M,42.80M,-42.80M,-6.40M,-42.80M,73.10M,38.60M,36.30M,,,-2.40M,,33.90M,33.60M,115.90M,,2017-12,0.24,,0.2379,0.24,,2017-12,0.24,,0.2379,0.24,142.50M,142.90M,0.40,,2017-12,AOR,Restated
2017-09,794.30M,794.30M,393.00M,401.30M,,,41.80M,43.40M,-43.40M,,136.40M,264.90M,43.40M,-43.40M,-6.60M,-43.40M,214.90M,55.80M,160.70M,,,-2.40M,,158.30M,157.56M,258.30M,,2017-09,1.11,,1.105,1.11,,2017-09,1.11,,1.105,1.11,142.50M,142.50M,0.40,,2017-09,AOR,Restated
2017-06,609.30M,609.30M,313.20M,296.10M,,,41.90M,43.70M,-43.70M,,135.90M,160.20M,43.70M,-43.70M,-6.10M,-43.70M,110.40M,35.90M,76.00M,,,-3.90M,,72.10M,71.35M,154.10M,,2017-06,0.50,,0.4948,0.50,,2017-06,0.50,,0.4948,0.50,142.50M,142.60M,0.40,,2017-06,AOR,Restated
2017-03,572.57M,572.57M,309.85M,262.73M,,,42.72M,41.10M,-41.10M,,131.34M,131.38M,41.10M,-41.10M,-5.897M,-41.10M,84.39M,20.91M,63.48M,,,-3.821M,,59.66M,57.29M,125.49M,,2017-03,0.42,,0.4034,0.42,,2017-03,0.42,,0.4034,0.42,142.44M,142.70M,0.40,,2017-03,AOR,Restated
2016-12,606.55M,606.55M,531.08M,75.47M,,,46.17M,40.69M,-40.69M,,-60.93M,136.40M,40.69M,-40.69M,-20.29M,-40.69M,75.42M,24.12M,57.80M,,,-3.84M,,53.96M,56.96M,116.11M,,2016-12,0.38,,0.4011,0.38,,2016-12,0.38,,0.4010,0.38,142.28M,142.76M,0.38,,2016-12,AOR,Restated
2016-09,764.65M,764.65M,300.37M,464.28M,60.58M,,48.15M,40.90M,-40.90M,,193.71M,270.58M,40.90M,-40.90M,10.08M,-40.90M,239.76M,81.21M,158.55M,,,-3.833M,,154.72M,152.99M,280.66M,,2016-09,1.09,,1.078,1.09,,2016-09,1.08,,1.068,1.08,142.09M,142.58M,0.38,,2016-09,AOR,Restated
2016-06,621.45M,621.45M,259.48M,361.97M,75.72M,,48.41M,39.68M,-39.68M,,208.36M,153.62M,39.68M,-39.68M,2.754M,-39.68M,116.69M,40.54M,76.14M,,,-3.804M,,72.34M,70.86M,156.37M,,2016-06,0.51,,0.4996,0.51,,2016-06,0.51,,0.4996,0.51,142.03M,142.50M,0.38,,2016-06,AOR,Restated
2016-03,569.45M,569.45M,238.58M,330.88M,56.46M,,48.97M,40.43M,-40.43M,,189.06M,141.81M,40.43M,-40.43M,5.95M,-40.43M,107.33M,38.62M,68.71M,,,-3.123M,,65.58M,64.29M,147.76M,,2016-03,0.46,,0.4509,0.46,,2016-03,0.46,,0.4509,0.46,141.99M,142.31M,0.38,,2016-03,AOR,Restated
