,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,591.00M,,,,89.00M,89.00M,-11.00M,32.00M,,-63.00M,-280.00M,516.00M,,-17.00M,219.00M,862.00M,-91.00M,,,,-101.00M,-1.00M,,-193.00M,-1.00M,,-1.00M,,0.00,0.00,-76.00M,-76.00M,27.00M,-2.00M,-52.00M,988.00M,617.00M,1.605B,,0.00,-1.00M,0.00,,
2020-06,193.00M,,,,89.00M,89.00M,9.00M,17.00M,,5.00M,-160.00M,143.00M,,53.00M,36.00M,355.00M,-82.00M,,,,-120.00M,-3.00M,,-205.00M,549.00M,,549.00M,,0.00,0.00,-75.00M,-75.00M,37.00M,-15.00M,496.00M,342.00M,646.00M,988.00M,,749.00M,-200.00M,0.00,,
2020-03,106.00M,,,,85.00M,85.00M,14.00M,14.00M,,-2.00M,85.00M,-50.00M,,-12.00M,23.00M,247.00M,-83.00M,,,,-108.00M,-15.00M,,-206.00M,-801.00M,,-801.00M,,-75.00M,-75.00M,-71.00M,-71.00M,80.00M,-24.00M,-891.00M,1.192B,-850.00M,342.00M,,,-801.00M,-75.00M,,
2019-12,265.00M,,,,82.00M,82.00M,0.00,12.00M,,5.00M,50.00M,13.00M,,-11.00M,52.00M,348.00M,-172.00M,,,,-2.00M,-17.00M,,-100.00M,796.00M,,796.00M,,-200.00M,-200.00M,-71.00M,-71.00M,21.00M,-36.00M,510.00M,434.00M,758.00M,1.192B,,797.00M,-1.00M,-200.00M,,
2019-09,226.00M,,,,82.00M,82.00M,2.00M,12.00M,,-11.00M,-32.00M,47.00M,,-31.00M,-16.00M,299.00M,-96.00M,,,,0.00,-13.00M,,-109.00M,0.00,,0.00,,-50.00M,-50.00M,-72.00M,-72.00M,32.00M,61.00M,-29.00M,273.00M,161.00M,434.00M,,0.00,0.00,-50.00M,,
2019-06,239.00M,,,,81.00M,81.00M,10.00M,15.00M,,-15.00M,-10.00M,-33.00M,,33.00M,-10.00M,321.00M,-85.00M,,,,0.00,-7.00M,,-92.00M,-301.00M,,-301.00M,,-50.00M,-50.00M,-71.00M,-71.00M,46.00M,-44.00M,-420.00M,464.00M,-191.00M,273.00M,,345.00M,-646.00M,-50.00M,,
2019-03,176.00M,,,,84.00M,84.00M,3.00M,17.00M,,-18.00M,-71.00M,75.00M,,5.00M,9.00M,275.00M,-47.00M,,,,-56.00M,-7.00M,,-110.00M,337.00M,,337.00M,,-53.00M,-53.00M,-72.00M,-72.00M,20.00M,-68.00M,164.00M,135.00M,329.00M,464.00M,,1.139B,-802.00M,-53.00M,,
2018-12,139.00M,,,,81.00M,81.00M,21.00M,8.00M,,-1.00M,101.00M,-65.00M,,1.00M,37.00M,295.00M,-151.00M,,,,-200.00M,3.00M,,-346.00M,159.00M,,159.00M,,-172.00M,-172.00M,-68.00M,-68.00M,4.00M,0.00,-77.00M,263.00M,-128.00M,135.00M,,460.00M,-301.00M,-172.00M,,
2018-09,227.00M,,,,77.00M,77.00M,13.00M,19.00M,,-11.00M,-39.00M,121.00M,,-7.00M,75.00M,402.00M,-81.00M,,,,-54.00M,10.00M,,-125.00M,-2.00M,,-2.00M,,-100.00M,-100.00M,-69.00M,-69.00M,24.00M,1.00M,-146.00M,132.00M,131.00M,263.00M,,110.00M,-112.00M,-100.00M,,
2018-06,233.00M,,,,77.00M,77.00M,15.00M,15.00M,,19.00M,-30.00M,-8.00M,,5.00M,-33.00M,323.00M,-78.00M,,,,-35.00M,-13.00M,,-126.00M,-136.00M,,-136.00M,,0.00,0.00,-68.00M,-68.00M,37.00M,-22.00M,-189.00M,124.00M,8.00M,132.00M,,585.00M,-721.00M,0.00,,
