,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,831.20M,6.00M,-0.10M,5.90M,,,23.00M,23.00M,13.10M,,,18.60M,,2.40M,,-99.30M,152.60M,,,-114.80M,-61.50M,832.70M,-29.70M,-29.70M,0.70M,,0.00,-65.70M,-43.90M,,-43.90M,,0.00,0.00,-63.70M,-63.70M,8.40M,-0.40M,-99.60M,2.373B,667.40M,3.040B,,-0.20M,-43.70M,0.00
2020-06,632.90M,64.50M,0.30M,5.30M,,,18.60M,18.60M,-9.00M,,,21.30M,,2.00M,,84.40M,260.90M,,,-32.40M,312.90M,984.00M,-19.20M,-19.20M,-2.90M,,126.70M,-65.80M,-19.20M,,-19.20M,,0.00,0.00,-63.60M,-63.60M,2.10M,-2.10M,-82.80M,1.537B,835.40M,2.373B,,755.00M,-774.20M,0.00
2020-03,483.90M,-19.40M,-0.40M,-19.80M,,,19.80M,19.80M,2.80M,,,21.30M,,2.70M,,-340.70M,58.10M,,,-509.40M,-792.00M,-281.30M,-26.00M,-26.00M,-4.40M,,0.00,-16.80M,512.90M,,512.90M,,-197.30M,-197.30M,-64.10M,-64.10M,8.80M,-20.80M,239.50M,1.596B,-58.60M,1.537B,,1.096B,-582.70M,-197.30M
2019-12,432.50M,-27.30M,-0.50M,-27.80M,,,19.00M,19.00M,7.20M,,,16.60M,,3.10M,,-707.90M,94.60M,,,48.90M,-564.40M,-113.80M,-21.60M,-21.60M,1.20M,,-0.60M,-17.80M,457.10M,,457.10M,,-163.10M,-163.10M,-64.60M,-64.60M,4.10M,-20.00M,213.50M,1.514B,81.90M,1.596B,,495.70M,-38.60M,-163.10M
2019-09,503.90M,13.00M,0.00,13.00M,,,19.60M,19.60M,8.40M,,,19.30M,,2.80M,,407.40M,-22.40M,,,-140.60M,244.40M,811.40M,-21.90M,-21.90M,-4.90M,,-0.30M,-67.70M,-57.60M,,-57.60M,,-118.30M,-17.60M,-55.50M,-55.50M,15.90M,-0.20M,-115.00M,885.30M,628.70M,1.514B,,0.00,-57.60M,-118.30M
2019-06,473.60M,50.50M,0.00,-3.40M,,,18.30M,18.30M,-0.90M,,,18.00M,,3.00M,,201.60M,88.90M,,,-256.70M,33.80M,542.40M,-35.50M,-35.50M,-1.30M,,143.40M,-5.20M,-186.10M,,-186.10M,,-145.30M,-145.30M,-56.00M,-56.00M,4.50M,-0.20M,-383.10M,731.20M,154.10M,885.30M,,713.20M,-899.30M,-145.30M
2019-03,354.40M,-15.50M,0.10M,-15.40M,,,17.20M,17.20M,8.70M,,,17.80M,,2.50M,,-264.60M,-29.10M,,,-180.10M,-473.80M,-88.60M,-49.60M,-49.60M,-16.60M,,-1.00M,-10.70M,198.60M,,198.60M,,-75.60M,-75.60M,-55.90M,-55.90M,13.70M,-18.60M,62.20M,768.30M,-37.10M,731.20M,,1.237B,-1.038B,-75.60M
2018-12,286.70M,6.00M,-0.60M,5.40M,,,16.90M,16.90M,3.90M,,,18.10M,,2.60M,,-936.20M,88.80M,,,140.20M,-707.20M,-373.10M,-20.20M,-20.20M,-288.60M,,-0.60M,-310.40M,138.40M,,138.40M,,-140.60M,-140.60M,-56.00M,-56.00M,8.60M,-4.60M,-54.20M,1.506B,-737.70M,768.30M,,578.30M,-439.90M,-140.60M
2018-09,468.90M,22.10M,0.30M,3.60M,,,15.80M,15.80M,10.60M,,,9.50M,,3.60M,,-106.20M,23.50M,,,-192.40M,-275.10M,238.70M,-14.10M,-14.10M,1.00M,,292.50M,11.50M,108.40M,,108.40M,,-52.60M,-52.60M,-47.10M,-47.10M,11.20M,-1.00M,18.90M,1.237B,269.10M,1.506B,,-0.80M,109.20M,-52.60M
2018-06,453.70M,9.00M,-0.40M,8.60M,,,13.50M,13.50M,15.30M,,,15.30M,,3.90M,,-164.40M,120.10M,,,-60.70M,-105.00M,405.30M,-14.50M,-14.50M,0.30M,,-0.80M,-23.90M,-139.80M,,-139.80M,,-27.00M,-27.00M,-47.20M,-47.20M,3.50M,-0.20M,-210.70M,1.066B,170.70M,1.237B,,250.70M,-390.50M,-27.00M
