,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.225B,1.355B,3.580B,2.552B,,2.552B,288.40M,539.90M,199.40M,,1.028B,,,683.50M,7.843B,,,,,3.794B,,,3.794B,,3.794B,5.756B,3.324B,9.079B,2.845B,1.373B,24.93B,,2020-09,398.40M,119.40M,,517.80M,3.007B,3.525B,,,,,,,,3.804B,7.425B,409.10M,7.834B,1.123B,1.123B,-14.00M,1.428B,10.39B,14.19B,,13.96B,0.00,2.977B,-225.50M,10.76B,,2020-09,AOR,
2020-06,2.385B,1.943B,4.328B,2.575B,,2.575B,244.70M,509.10M,198.90M,,952.70M,,,638.80M,8.494B,,,,,5.454B,,,5.454B,-1.687B,3.767B,5.751B,3.384B,9.135B,2.406B,1.710B,25.51B,,2020-06,383.90M,576.70M,,960.60M,2.274B,3.235B,,,,,,,,3.447B,7.424B,414.80M,7.839B,1.462B,1.462B,-19.50M,1.475B,10.78B,14.22B,,14.47B,0.00,2.977B,-181.00M,11.31B,,2020-06,AOR,
2020-03,2.591B,1.269B,3.860B,2.604B,,2.604B,210.90M,475.20M,172.70M,,858.80M,,,683.80M,8.007B,,,,,5.340B,,,5.340B,-1.637B,3.704B,5.752B,3.447B,9.199B,2.100B,3.109B,26.12B,,2020-03,389.00M,310.00M,,699.00M,2.248B,2.946B,,1.502B,1.502B,1.502B,,,,4.639B,4.460B,403.70M,4.864B,2.723B,2.723B,-10.00M,1.357B,8.944B,13.58B,,15.67B,0.10M,2.977B,-149.30M,12.55B,,2020-03,AOR,
2019-12,2.914B,1.562B,4.476B,2.471B,,2.471B,169.70M,460.00M,174.50M,,804.20M,,,631.00M,8.382B,0.00,118.10M,835.00M,1.701B,427.00M,2.084B,99.50M,5.265B,-1.591B,3.674B,5.758B,3.527B,9.285B,2.661B,3.232B,27.23B,,2019-12,530.80M,71.40M,,602.20M,2.457B,3.059B,,1.496B,1.496B,1.496B,,,,4.864B,4.459B,412.70M,4.872B,2.811B,2.811B,-4.10M,1.349B,9.031B,13.90B,,16.46B,0.00,2.977B,-135.20M,13.34B,,2019-12,AOR,
2019-09,2.344B,2.094B,4.437B,2.516B,,2.516B,159.30M,421.70M,170.80M,,751.80M,,,743.20M,8.448B,,,,,5.115B,,,5.115B,-1.555B,3.560B,5.746B,3.392B,9.138B,3.053B,3.284B,27.48B,,2019-09,382.20M,125.60M,,507.80M,2.170B,2.677B,,1.495B,1.495B,1.495B,,,,4.432B,4.458B,410.50M,4.869B,2.820B,2.820B,-4.10M,1.371B,9.06B,13.49B,,17.07B,0.00,2.977B,-92.30M,14.00B,,2019-09,AOR,Restated
2019-06,1.723B,1.229B,2.952B,2.517B,,2.517B,205.00M,427.60M,144.10M,,776.70M,,,980.40M,7.910B,,,,,5.398B,,,5.398B,-1.886B,3.512B,5.749B,3.681B,9.430B,2.615B,2.820B,26.29B,,2019-06,377.10M,427.20M,,804.30M,2.119B,2.923B,,,,,,,88.60M,3.211B,5.948B,423.00M,6.372B,2.401B,2.401B,-4.10M,1.356B,10.13B,13.34B,,16.18B,0.00,2.977B,-252.90M,12.95B,,2019-06,AOR,Restated
2019-03,2.243B,1.666B,3.909B,2.616B,,2.616B,199.70M,462.30M,108.20M,,770.20M,,,965.40M,8.943B,,,,,5.303B,,,5.303B,-1.841B,3.462B,5.640B,3.056B,8.696B,3.271B,2.074B,26.45B,,2019-03,378.00M,238.50M,,616.50M,2.274B,2.891B,,,,,,,97.20M,3.149B,5.943B,436.10M,6.379B,1.742B,1.742B,-7.90M,1.354B,9.475B,12.62B,,17.03B,0.00,2.977B,-219.80M,13.83B,,2019-03,AOR,Restated
2018-12,1.225B,2.313B,3.538B,2.485B,,2.485B,,,,,929.90M,,,687.60M,7.641B,0.00,144.50M,1.283B,2.118B,,1.758B,94.40M,5.399B,-1.797B,3.601B,5.706B,3.12B,8.826B,3.066B,2.154B,25.29B,,2018-12,370.50M,63.50M,,434.00M,2.540B,2.974B,,,,,,,,3.295B,5.936B,0.00,5.936B,1.636B,1.636B,-8.00M,1.389B,8.962B,12.26B,,16.26B,0.00,2.977B,-240.40M,13.04B,,2018-12,AOR,Restated
2018-09,2.387B,2.042B,4.428B,2.526B,,2.526B,,,,,916.60M,,,848.30M,8.719B,,,,,,,,5.270B,-1.731B,3.539B,5.440B,3.379B,8.819B,2.254B,2.161B,25.49B,,2018-09,342.30M,254.10M,,596.40M,2.304B,2.901B,,,,,,,,3.175B,5.931B,,5.931B,1.115B,1.115B,-6.80M,1.512B,8.558B,11.73B,,16.94B,47.80M,2.977B,-248.30M,13.77B,,2018-09,AOR,Restated
2018-06,1.250B,1.974B,3.224B,2.433B,,2.433B,,,,,931.70M,,,843.30M,7.432B,,,,,,,,5.081B,-1.672B,3.409B,5.170B,3.661B,8.832B,2.062B,2.218B,23.95B,,2018-06,295.70M,223.00M,,518.70M,2.424B,2.943B,,,,,,,,3.152B,5.928B,,5.928B,1.161B,1.161B,-7.20M,1.458B,8.547B,11.70B,,15.50B,,2.977B,-261.60M,12.26B,,2018-06,AOR,Restated
