,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,153.00M,,153.00M,1.51B,,345.00M,2.386B,353.00M,777.00M,161.00M,,374.00M,4.204B,5.244B,2.738B,57.91B,-11.51B,46.41B,446.00M,1.485B,1.931B,2.124B,273.00M,,55.39B,59.60B,1.279B,89.00M,1.368B,365.00M,1.733B,1.009B,820.00M,1.965B,3.794B,90.00M,3.884B,319.00M,319.00M,,1.224B,7.16B,1.167B,19.21B,807.00M,20.01B,6.507B,6.744B,,933.00M,298.00M,217.00M,,33.72B,40.88B,35.00M,11.39B,8.228B,1.038B,,-12.00M,18.49B
2020-06,1.144B,,1.144B,1.332B,,355.00M,2.245B,336.00M,291.00M,201.00M,,347.00M,4.564B,5.217B,2.504B,57.00B,-11.25B,45.75B,446.00M,1.51B,1.956B,2.08B,125.00M,,54.52B,59.08B,1.018B,53.00M,1.071B,269.00M,1.34B,1.813B,,1.965B,3.778B,83.00M,3.861B,332.00M,332.00M,,1.172B,6.705B,1.167B,19.15B,811.00M,19.96B,6.337B,6.583B,,1.331B,242.00M,216.00M,,33.94B,40.64B,35.00M,11.15B,8.198B,1.038B,,-14.00M,18.22B
2020-03,1.395B,,1.395B,1.318B,,296.00M,2.078B,326.00M,739.00M,179.00M,,309.00M,5.026B,5.068B,2.451B,56.24B,-10.95B,45.28B,446.00M,1.532B,1.978B,2.011B,129.00M,,54.13B,59.16B,1.015B,31.00M,1.046B,354.00M,1.40B,1.208B,,2.093B,3.301B,77.00M,3.378B,344.00M,344.00M,,1.189B,6.311B,1.166B,19.42B,799.00M,20.22B,6.348B,6.618B,,1.458B,228.00M,206.00M,,34.38B,40.69B,35.00M,11.22B,8.168B,1.038B,,-14.00M,18.26B
2019-12,981.00M,,981.00M,1.236B,,264.00M,2.115B,352.00M,260.00M,236.00M,,328.00M,4.272B,5.077B,2.246B,55.46B,-10.71B,44.75B,446.00M,1.557B,2.003B,2.065B,134.00M,,53.81B,58.08B,1.164B,76.00M,1.24B,255.00M,1.495B,1.692B,0.00,1.446B,3.138B,65.00M,3.203B,346.00M,346.00M,,1.243B,6.287B,1.159B,18.53B,809.00M,19.34B,6.227B,6.506B,,1.646B,105.00M,191.00M,,33.58B,39.87B,35.00M,11.10B,8.054B,1.038B,,-19.00M,18.02B
2019-09,78.00M,,78.00M,1.254B,,265.00M,2.029B,358.00M,707.00M,175.00M,,234.00M,3.581B,5.039B,2.166B,54.75B,-10.69B,44.07B,446.00M,1.58B,2.026B,1.983B,123.00M,,52.36B,55.94B,1.082B,35.00M,1.117B,339.00M,1.456B,1.30B,0.00,1.914B,3.214B,59.00M,3.273B,348.00M,348.00M,,1.142B,6.219B,1.127B,17.54B,819.00M,18.36B,6.136B,6.418B,,949.00M,147.00M,175.00M,,31.59B,37.81B,35.00M,11.05B,8.031B,1.038B,,-10.00M,17.96B
2019-06,831.00M,,831.00M,1.099B,,279.00M,1.954B,344.00M,222.00M,139.00M,,217.00M,3.707B,5.132B,2.066B,54.06B,-10.48B,43.59B,440.00M,1.605B,2.045B,1.899B,127.00M,,51.90B,55.60B,994.00M,47.00M,1.041B,265.00M,1.306B,1.161B,0.00,1.972B,3.133B,55.00M,3.188B,350.00M,350.00M,,1.125B,5.969B,1.197B,17.50B,821.00M,18.32B,6.011B,6.256B,,1.264B,130.00M,156.00M,,31.77B,37.74B,35.00M,10.82B,8.008B,1.038B,,-11.00M,17.71B
2019-03,406.00M,,406.00M,1.309B,,274.00M,2.125B,327.00M,635.00M,68.00M,,220.00M,3.781B,5.124B,2.138B,53.25B,-10.25B,43.00B,440.00M,1.63B,2.07B,1.832B,134.00M,,51.28B,55.07B,1.01B,43.00M,1.053B,335.00M,1.388B,1.435B,0.00,2.029B,3.464B,50.00M,3.514B,351.00M,351.00M,,1.095B,6.348B,1.195B,16.93B,825.00M,17.76B,5.951B,6.226B,,1.374B,51.00M,132.00M,,31.22B,37.56B,34.00M,10.92B,7.577B,1.038B,,-12.00M,17.37B
2018-12,895.00M,,895.00M,1.267B,,290.00M,2.115B,358.00M,187.00M,111.00M,,198.00M,3.864B,4.275B,2.147B,51.79B,-10.04B,41.75B,440.00M,1.654B,2.094B,1.766B,153.00M,,50.06B,53.92B,1.187B,61.00M,1.248B,238.00M,1.486B,1.741B,825.00M,650.00M,3.216B,0.00,3.216B,351.00M,351.00M,,1.154B,6.207B,1.229B,17.50B,0.00,17.50B,5.82B,6.119B,,1.374B,16.00M,113.00M,,30.87B,37.08B,34.00M,10.73B,7.117B,1.038B,,-16.00M,16.73B
2018-09,199.00M,,199.00M,1.35B,,269.00M,1.992B,338.00M,665.00M,46.00M,,116.00M,3.356B,2.085B,2.467B,49.21B,-9.828B,39.38B,439.00M,132.00M,571.00M,2.131B,153.00M,,46.19B,49.54B,1.173B,48.00M,1.221B,319.00M,1.54B,1.352B,,1.128B,2.48B,,2.48B,351.00M,351.00M,,1.03B,5.401B,1.04B,15.48B,,15.48B,5.834B,6.126B,,962.00M,13.00M,11.00M,,28.24B,33.65B,34.00M,10.62B,6.375B,1.038B,,-18.00M,15.89B
2018-06,866.00M,,866.00M,1.097B,,271.00M,1.77B,318.00M,214.00M,55.00M,,213.00M,3.436B,2.024B,2.306B,48.38B,-9.618B,38.77B,428.00M,127.00M,555.00M,2.057B,152.00M,,45.63B,49.06B,1.13B,45.00M,1.175B,247.00M,1.422B,869.00M,,1.815B,2.684B,,2.684B,349.00M,349.00M,,1.001B,5.456B,1.048B,15.22B,,15.22B,5.71B,5.983B,,1.118B,28.00M,7.00M,,27.95B,33.41B,34.00M,10.41B,6.35B,1.038B,,-20.00M,15.65B
2018-03,651.00M,,651.00M,1.25B,,200.00M,1.98B,301.00M,600.00M,32.00M,,209.00M,3.773B,2.02B,2.16B,47.52B,-9.446B,38.08B,428.00M,129.00M,557.00M,2.012B,199.00M,,45.13B,48.90B,1.236B,47.00M,1.283B,317.00M,1.60B,1.389B,,1.291B,2.68B,,2.68B,347.00M,347.00M,,1.024B,5.651B,1.051B,14.73B,,14.73B,5.638B,5.846B,,1.353B,85.00M,7.00M,,27.59B,33.24B,34.00M,10.44B,6.323B,1.038B,,-22.00M,15.65B
2017-12,797.00M,,797.00M,1.103B,,168.00M,1.937B,334.00M,178.00M,47.00M,,244.00M,3.537B,1.977B,2.156B,46.86B,-9.264B,37.60B,428.00M,131.00M,559.00M,2.001B,148.00M,,44.57B,48.11B,1.286B,108.00M,1.394B,248.00M,1.642B,577.00M,0.00,1.298B,1.875B,,1.875B,346.00M,346.00M,,1.039B,4.902B,1.051B,14.73B,,14.73B,5.495B,5.791B,,1.596B,38.00M,7.00M,,27.78B,32.69B,34.00M,10.24B,6.298B,1.038B,,-26.00M,15.42B
2017-09,69.00M,,69.00M,1.111B,,189.00M,1.749B,337.00M,592.00M,41.00M,,308.00M,3.096B,1.871B,2.03B,45.82B,-9.089B,36.73B,428.00M,114.00M,542.00M,1.977B,134.00M,,46.15B,49.25B,1.057B,43.00M,1.10B,314.00M,1.414B,356.00M,,687.00M,1.043B,,1.043B,344.00M,344.00M,,1.114B,3.915B,1.001B,14.65B,,14.65B,10.74B,11.01B,,1.607B,83.00M,8.00M,,30.22B,34.14B,33.00M,9.944B,6.274B,1.038B,,-26.00M,15.10B
2017-06,816.00M,,816.00M,984.00M,,173.00M,1.635B,357.00M,195.00M,26.00M,,251.00M,3.28B,1.705B,1.991B,45.16B,-8.908B,36.25B,428.00M,116.00M,544.00M,1.961B,128.00M,,45.82B,49.10B,973.00M,42.00M,1.015B,235.00M,1.25B,1.036B,,637.00M,1.673B,,1.673B,345.00M,345.00M,,1.061B,4.329B,997.00M,14.70B,,14.70B,10.55B,10.79B,,1.823B,74.00M,8.00M,,30.27B,34.60B,33.00M,9.701B,5.904B,1.038B,,-27.00M,14.49B
2017-03,67.00M,,67.00M,1.175B,,213.00M,1.832B,313.00M,553.00M,35.00M,,217.00M,3.017B,1.69B,1.856B,44.45B,-8.788B,35.66B,428.00M,122.00M,550.00M,1.914B,147.00M,,45.35B,48.36B,963.00M,38.00M,1.001B,306.00M,1.307B,836.00M,,33.00M,869.00M,,869.00M,345.00M,345.00M,,920.00M,3.441B,995.00M,14.83B,,14.83B,10.44B,10.66B,,2.009B,66.00M,8.00M,,30.42B,33.86B,33.00M,9.736B,5.878B,1.038B,,-28.00M,14.50B
2016-12,776.00M,,776.00M,1.106B,,209.00M,1.827B,339.00M,159.00M,54.00M,,251.00M,3.406B,1.622B,1.864B,43.90B,-8.681B,35.22B,428.00M,124.00M,552.00M,1.921B,136.00M,,44.85B,48.26B,1.147B,64.00M,1.211B,251.00M,1.462B,1.054B,,39.00M,1.093B,,1.093B,352.00M,352.00M,,936.00M,3.843B,999.00M,14.74B,,14.74B,10.20B,10.42B,,2.007B,40.00M,8.00M,,30.11B,33.95B,33.00M,9.559B,5.854B,1.038B,,-27.00M,14.30B
