,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.333B,3.333B,1.318B,2.015B,2.00M,673.00M,226.00M,,-226.00M,,1.155B,860.00M,,226.00M,-226.00M,-13.00M,-226.00M,621.00M,119.00M,502.00M,,,-9.00M,,493.00M,469.56M,1.329B,482.00M,847.00M,1.47,,,1.4,1.47,1.47,,,1.4,1.47,334.50M,335.40M,0.765
2020-06,2.719B,2.719B,1.16B,1.559B,5.00M,604.00M,247.00M,,-247.00M,,1.08B,479.00M,,247.00M,-247.00M,-21.00M,-247.00M,211.00M,9.00M,202.00M,,,-12.00M,,190.00M,161.20M,934.00M,476.00M,458.00M,0.57,,,0.4838,0.57,0.57,,,0.484,0.57,334.10M,335.00M,0.765
2020-03,3.234B,3.234B,1.318B,1.916B,5.00M,638.00M,322.00M,,-322.00M,,1.108B,808.00M,,322.00M,-322.00M,-39.00M,-322.00M,447.00M,55.00M,392.00M,,,-17.00M,,375.00M,347.72M,1.239B,470.00M,769.00M,1.13,,,1.048,1.13,1.12,,,1.038,1.12,333.60M,334.60M,0.765
2019-12,2.951B,2.951B,1.349B,1.602B,3.00M,606.00M,219.00M,,-219.00M,,1.037B,565.00M,,219.00M,-219.00M,20.00M,-219.00M,366.00M,53.00M,313.00M,,,-18.00M,,295.00M,270.20M,1.016B,431.00M,585.00M,0.89,,,0.8153,0.89,0.88,,,0.8055,0.88,332.10M,333.10M,0.74
2019-09,3.365B,3.365B,1.459B,1.906B,4.00M,618.00M,262.00M,,-262.00M,,1.039B,867.00M,,262.00M,-262.00M,14.00M,-262.00M,619.00M,116.00M,503.00M,,,-30.00M,,473.00M,449.43M,1.303B,422.00M,881.00M,1.42,,,1.349,1.42,1.42,,,1.349,1.42,332.20M,333.20M,0.74
2019-06,2.744B,2.744B,1.29B,1.454B,4.00M,578.00M,263.00M,,-263.00M,,996.00M,458.00M,,263.00M,-263.00M,3.00M,-263.00M,198.00M,19.00M,179.00M,,,-27.00M,,152.00M,128.60M,879.00M,418.00M,461.00M,0.46,,,0.3887,0.46,0.46,,,0.3889,0.46,328.30M,329.20M,0.74
2019-03,3.514B,3.514B,1.71B,1.804B,3.00M,605.00M,247.00M,,-247.00M,,1.018B,786.00M,,247.00M,-247.00M,14.00M,-247.00M,553.00M,108.00M,445.00M,,,-21.00M,,424.00M,402.40M,1.213B,413.00M,800.00M,1.31,,,1.2429999999999999,1.31,1.31,,,1.2429999999999999,1.31,322.50M,323.40M,0.74
2018-12,2.949B,2.949B,1.487B,1.462B,132.00M,559.00M,222.00M,,-222.00M,,936.00M,526.00M,,222.00M,-222.00M,98.00M,-222.00M,402.00M,71.00M,331.00M,,,0.00,,331.00M,203.38M,1.001B,377.00M,624.00M,1.06,,,0.6541,1.06,1.05,,,0.646,1.05,314.40M,315.90M,0.715
2018-09,3.328B,3.328B,1.545B,1.783B,4.00M,597.00M,205.00M,,-205.00M,,957.00M,826.00M,,205.00M,-205.00M,-11.00M,-205.00M,610.00M,175.00M,435.00M,,,0.00,,435.00M,401.46M,1.175B,359.00M,815.00M,1.4,,,1.2919999999999998,1.4,1.39,,,1.2830000000000001,1.39,311.10M,312.30M,0.715
2018-06,2.338B,2.338B,1.128B,1.21B,3.00M,512.00M,167.00M,,-167.00M,,828.00M,382.00M,,167.00M,-167.00M,-35.00M,-167.00M,180.00M,31.00M,149.00M,,,,,149.00M,143.19M,701.00M,354.00M,347.00M,0.6,,,0.5813,0.6,0.6,,,0.5814,0.6,310.80M,311.90M,0.715
2018-03,3.364B,3.364B,1.691B,1.673B,4.00M,570.00M,195.00M,,-195.00M,,918.00M,755.00M,,195.00M,-195.00M,-15.00M,-195.00M,545.00M,117.00M,428.00M,,,,,428.00M,409.15M,1.088B,348.00M,740.00M,1.38,,,1.319,1.38,1.37,,,1.31,1.37,310.40M,311.60M,0.715
2017-12,2.961B,2.961B,1.475B,1.486B,3.00M,558.00M,184.00M,,-184.00M,,901.00M,585.00M,,184.00M,-184.00M,-23.00M,-184.00M,378.00M,-127.00M,505.00M,,,,,505.00M,490.60M,905.00M,343.00M,562.00M,1.63,,,1.584,1.63,1.62,,,1.574,1.62,309.80M,312.10M,0.69
2017-09,3.211B,3.211B,1.416B,1.795B,3.00M,544.00M,185.00M,,-185.00M,,881.00M,914.00M,,185.00M,-185.00M,-2.00M,-185.00M,727.00M,270.00M,457.00M,,,,,457.00M,431.86M,1.249B,336.00M,912.00M,1.48,,,1.3980000000000001,1.48,1.48,,,1.399,1.48,307.80M,309.30M,0.69
2017-06,2.633B,2.633B,1.327B,1.306B,3.00M,511.00M,180.00M,,-180.00M,,843.00M,463.00M,,180.00M,-180.00M,-6.00M,-180.00M,277.00M,102.00M,175.00M,,,,,175.00M,151.62M,790.00M,333.00M,457.00M,0.57,,,0.4935,0.57,0.57,,,0.4938,0.57,305.40M,306.80M,0.69
2017-03,3.228B,3.228B,1.545B,1.683B,2.00M,542.00M,181.00M,,-181.00M,,871.00M,812.00M,,181.00M,-181.00M,-16.00M,-181.00M,615.00M,227.00M,388.00M,,,,,388.00M,374.77M,1.125B,329.00M,796.00M,1.27,,,1.227,1.27,1.27,,,1.227,1.27,305.10M,306.30M,0.69
2016-12,2.707B,2.707B,1.205B,1.502B,3.00M,508.00M,179.00M,,-179.00M,,819.00M,683.00M,,179.00M,-179.00M,-202.00M,-179.00M,302.00M,96.00M,206.00M,,,,,206.00M,171.21M,792.00M,311.00M,481.00M,0.68,,,0.5657,0.68,0.67,,,0.5564,0.67,304.30M,306.10M,0.67
2016-09,3.417B,3.417B,1.748B,1.669B,107.00M,528.00M,178.00M,,-178.00M,,833.00M,836.00M,,178.00M,-178.00M,153.00M,-178.00M,811.00M,314.00M,497.00M,,,,,497.00M,419.53M,1.295B,306.00M,989.00M,1.63,,,1.376,1.63,1.62,,,1.367,1.62,304.50M,305.90M,0.67
2016-06,2.794B,2.794B,1.492B,1.302B,2.00M,485.00M,170.00M,,-170.00M,,787.00M,515.00M,,170.00M,-170.00M,11.00M,-170.00M,356.00M,124.00M,232.00M,,,,,232.00M,226.06M,828.00M,302.00M,526.00M,0.78,,,0.7601,0.78,0.77,,,0.7502,0.77,299.10M,300.40M,0.67
2016-03,3.156B,3.156B,1.707B,1.449B,2.00M,510.00M,169.00M,,-169.00M,,807.00M,642.00M,,169.00M,-169.00M,1.00M,-169.00M,474.00M,164.00M,310.00M,,,,,310.00M,308.70M,940.00M,297.00M,643.00M,1.05,,,1.046,1.05,1.05,,,1.046,1.05,293.70M,294.80M,0.67
2015-12,2.707B,2.707B,1.54B,1.167B,2.00M,478.00M,167.00M,,-167.00M,,768.00M,399.00M,,167.00M,-167.00M,1.00M,-167.00M,233.00M,57.00M,176.00M,,,,,176.00M,174.49M,690.00M,290.00M,400.00M,0.6,,,0.5948,0.6,0.6,,,0.5949,0.6,293.30M,295.00M,0.65
