,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-03,1.121B,2.590B,3.710B,940.40M,940.40M,4.651B,481.50M,381.40M,998.10M,1.380B,13.76B,50.27B,69.17B,152.00B,,45.50M,45.50M,45.50M,,,175.10M,175.10M,175.10M,,,220.60M,1.407B,1.407B,201.90M,201.90M,60.44B,,,62.05B,145.16B,,4.00M,3.589B,8.326B,4.718B,0.10M,-359.10M,,-359.10M,6.842B,,AOR,Restated
2007-12,1.344B,2.119B,3.463B,951.20M,951.20M,4.414B,469.00M,374.70M,1.007B,1.382B,13.53B,49.97B,68.15B,154.52B,,41.60M,41.60M,41.60M,,,290.80M,290.80M,290.80M,,,332.40M,1.399B,1.399B,576.30M,576.30M,59.28B,,,61.26B,147.10B,,4.00M,3.414B,8.295B,4.712B,0.10M,35.90M,384.30M,420.20M,7.422B,,AOR,Restated
2007-09,2.559B,1.880B,4.438B,904.70M,904.70M,5.343B,450.80M,370.90M,1.013B,1.384B,13.14B,48.86B,66.42B,155.62B,,2.00M,2.00M,2.00M,,,56.70M,56.70M,56.70M,,,58.70M,1.523B,1.523B,687.70M,687.70M,57.72B,,,59.93B,147.75B,,3.90M,3.617B,8.251B,4.392B,0.10M,,,388.40M,7.868B,,AOR,Restated
2007-06,1.858B,1.777B,3.635B,936.10M,936.10M,4.571B,443.40M,360.40M,953.50M,1.314B,12.94B,47.22B,64.46B,150.76B,,1.40M,1.40M,1.40M,,,58.20M,58.20M,58.20M,,,59.60M,1.536B,1.536B,754.70M,754.70M,55.84B,,,58.13B,142.77B,,3.90M,3.385B,8.224B,4.180B,0.10M,,,554.00M,7.987B,,AOR,Restated
2007-03,1.476B,1.505B,2.981B,843.50M,843.50M,3.825B,423.20M,361.90M,965.10M,1.327B,12.77B,47.56B,64.57B,146.62B,,1.60M,1.60M,1.60M,,,58.80M,58.80M,58.80M,,,60.40M,1.547B,1.547B,865.00M,865.00M,55.11B,,,57.52B,138.51B,,3.90M,3.081B,8.186B,4.062B,0.10M,,,897.70M,8.107B,,AOR,Restated
2006-12,1.591B,1.411B,3.002B,1.252B,1.252B,4.254B,422.50M,361.90M,981.00M,1.343B,850.70M,46.99B,63.89B,143.66B,,4.20M,4.20M,4.20M,,,84.10M,84.10M,84.10M,,,88.30M,1.554B,1.554B,917.20M,917.20M,54.75B,,,57.22B,135.80B,,3.90M,2.824B,8.142B,3.956B,0.10M,-26.60M,873.50M,846.90M,7.861B,,AOR,Restated
2006-09,1.397B,1.262B,2.658B,682.90M,682.90M,3.341B,419.00M,298.30M,228.00M,526.30M,12.24B,46.51B,62.47B,136.17B,,0.50M,0.50M,0.50M,,,114.70M,114.70M,114.70M,,,115.20M,873.60M,873.60M,893.30M,893.30M,54.02B,,,55.79B,128.48B,,3.90M,2.756B,8.107B,3.956B,0.10M,,,777.60M,7.688B,,AOR,Restated
2006-06,1.217B,1.369B,2.586B,626.80M,626.80M,3.212B,420.20M,297.80M,199.30M,497.10M,12.39B,44.74B,60.84B,131.43B,,0.50M,0.50M,0.50M,,,424.40M,424.40M,424.40M,,,424.90M,894.20M,894.20M,610.90M,610.90M,53.16B,,,54.66B,124.58B,,3.90M,2.505B,8.069B,3.951B,0.10M,,,218.50M,6.845B,,AOR,Restated
2006-03,1.608B,1.200B,2.808B,673.60M,673.60M,3.482B,420.60M,299.20M,209.30M,508.50M,12.16B,44.70B,60.34B,131.97B,,0.50M,0.50M,0.50M,,,396.40M,396.40M,396.40M,,,396.90M,893.60M,893.60M,711.60M,711.60M,52.10B,,,53.71B,124.38B,,3.90M,2.294B,8.025B,3.364B,0.10M,,,639.30M,7.599B,,AOR,Restated
2005-12,1.641B,1.114B,2.755B,592.70M,592.70M,3.348B,419.80M,282.30M,202.60M,484.90M,12.31B,44.16B,59.87B,127.04B,,0.00,0.00,0.00,,,476.40M,476.40M,476.40M,,,476.40M,898.80M,898.80M,974.80M,974.80M,51.09B,,,52.97B,119.23B,,3.90M,2.009B,8.00B,3.200B,0.10M,,,994.80M,7.807B,,AOR,
2005-09,1.117B,1.136B,2.253B,1.110B,1.110B,3.362B,416.90M,281.40M,208.30M,489.70M,12.56B,43.50B,59.32B,121.11B,,0.00,0.00,0.00,,,379.40M,379.40M,379.40M,,,379.40M,806.70M,806.70M,1.026B,1.026B,50.22B,,,52.05B,113.31B,,3.90M,1.944B,7.888B,3.200B,0.10M,,,1.164B,7.800B,,AOR,Restated
2005-06,1.172B,1.207B,2.379B,719.60M,719.60M,3.098B,419.30M,275.70M,211.50M,487.20M,12.50B,44.18B,59.65B,117.19B,,0.00,0.00,0.00,,,456.30M,456.30M,456.30M,,,456.30M,839.50M,839.50M,1.197B,1.197B,50.28B,,,52.32B,109.34B,,3.90M,1.734B,7.860B,3.200B,0.10M,,,1.454B,7.852B,,AOR,Restated
2005-03,548.50M,1.432B,1.980B,573.80M,573.80M,2.554B,436.50M,273.60M,209.90M,483.50M,12.61B,42.88B,58.49B,113.53B,,0.00,0.00,0.00,,,761.70M,761.70M,761.70M,,,761.70M,848.10M,848.10M,992.10M,992.10M,49.22B,,,51.06B,106.19B,,3.80M,1.495B,7.294B,2.496B,,,,1.046B,7.343B,,AOR,Restated
2004-12,452.50M,1.586B,2.038B,628.50M,628.50M,2.667B,429.40M,232.90M,196.50M,429.40M,814.50M,43.36B,58.69B,113.80B,,277.90M,277.90M,277.90M,,,281.70M,281.70M,281.70M,,,559.60M,843.50M,843.50M,1.132B,1.132B,48.96B,,,50.94B,106.25B,,3.80M,1.290B,7.269B,2.332B,,,,1.313B,7.544B,,AOR,
2004-09,1.902B,1.224B,3.126B,874.90M,874.90M,4.001B,431.50M,234.90M,155.70M,390.60M,12.36B,41.80B,57.02B,109.78B,,729.70M,729.70M,729.70M,,,145.40M,145.40M,145.40M,,,875.10M,847.20M,847.20M,1.120B,1.120B,47.29B,,,49.25B,102.08B,,3.80M,1.242B,7.231B,2.065B,,,,1.282B,7.694B,,AOR,Restated
2004-06,1.476B,1.283B,2.759B,594.30M,594.30M,3.353B,436.40M,231.80M,156.80M,388.60M,12.13B,39.52B,60.52B,111.37B,,123.90M,123.90M,123.90M,,,626.20M,626.20M,626.20M,,,750.10M,1.070B,1.070B,950.60M,950.60M,46.34B,,,48.36B,104.23B,,3.80M,943.70M,7.212B,1.781B,,,,761.10M,7.139B,,AOR,Restated
2004-03,1.609B,1.332B,2.940B,543.70M,543.70M,3.484B,443.30M,250.10M,156.40M,406.50M,13.69B,40.83B,60.30B,110.81B,,146.00M,146.00M,146.00M,,,986.30M,986.30M,986.30M,,,1.132B,2.555B,2.555B,1.850B,1.850B,45.21B,,,49.61B,102.83B,,3.80M,824.00M,7.179B,1.560B,,,,1.540B,7.987B,,AOR,Restated
2003-12,,,,,,,445.20M,,296.80M,296.80M,12.06B,,62.12B,107.75B,,,,,,,702.80M,702.80M,702.80M,,,702.80M,1.330B,1.330B,,,,,,1.330B,100.35B,,3.80M,630.40M,7.153B,1.559B,,,,1.171B,7.400B,,AOR,Restated
2003-09,1.008B,1.219B,2.227B,792.20M,792.20M,3.019B,450.40M,154.30M,123.40M,277.70M,16.19B,38.62B,60.45B,103.77B,,25.30M,25.30M,25.30M,,,2.811B,2.811B,2.811B,,,2.836B,2.746B,2.746B,1.711B,1.711B,43.98B,,,48.43B,96.30B,,3.80M,603.60M,7.142B,1.484B,,,,1.202B,7.468B,,AOR,Restated
2003-06,1.525B,1.278B,2.803B,438.80M,438.80M,3.242B,459.00M,157.50M,118.50M,276.00M,12.54B,39.19B,57.18B,98.62B,,178.20M,178.20M,178.20M,,,665.40M,665.40M,665.40M,,,843.60M,1.360B,1.360B,1.644B,1.644B,43.94B,,,46.95B,91.08B,,3.80M,387.30M,7.133B,1.406B,,,,1.421B,7.539B,,AOR,Restated
2003-03,966.90M,1.084B,2.051B,543.70M,543.70M,2.594B,470.50M,121.70M,110.90M,232.60M,12.05B,37.26B,54.40B,91.84B,,,,,,,758.60M,758.60M,758.60M,,,758.60M,1.336B,1.336B,1.391B,1.391B,42.88B,,,45.60B,85.00B,,3.80M,185.10M,7.109B,1.302B,,,,841.50M,6.837B,,AOR,Restated
2002-12,,,,,,,482.50M,,195.30M,195.30M,11.90B,,54.30B,89.86B,,,,,,,564.80M,564.80M,564.80M,,,564.80M,767.70M,767.70M,,,,,,767.70M,83.20B,,3.80M,29.40M,7.106B,1.118B,,,,635.80M,6.657B,,AOR,Restated
2002-09,631.50M,1.111B,1.743B,786.60M,786.60M,2.530B,484.20M,126.00M,55.80M,181.80M,12.11B,34.64B,54.00B,88.27B,,326.60M,326.60M,326.60M,,,474.30M,474.30M,474.30M,,,800.90M,1.304B,1.304B,899.90M,899.90M,41.56B,,,43.77B,81.64B,,3.80M,-102.20M,7.099B,874.50M,,,,507.90M,6.634B,,AOR,
2002-06,1.261B,862.00M,2.123B,1.092B,1.092B,3.216B,514.90M,170.70M,724.70M,895.40M,11.66B,33.32B,50.67B,90.19B,,165.90M,165.90M,165.90M,,,400.20M,400.20M,400.20M,,,566.10M,1.342B,1.342B,803.70M,803.70M,41.04B,,,43.19B,83.52B,,3.80M,56.20M,7.089B,641.50M,,,,163.00M,6.670B,,AOR,
2002-03,557.50M,692.20M,1.250B,494.70M,494.70M,1.744B,515.60M,151.70M,700.50M,852.20M,11.72B,32.46B,49.78B,88.76B,,0.40M,0.40M,0.40M,,,693.20M,693.20M,693.20M,,,693.60M,1.344B,1.344B,757.20M,757.20M,39.84B,,,41.94B,82.16B,,3.80M,-64.00M,7.084B,397.70M,,,,-27.60M,6.598B,,AOR,
2001-12,,,,,,,494.20M,,1.945B,1.945B,11.90B,,52.01B,88.35B,,,,,,,511.60M,511.60M,511.60M,,,511.60M,1.378B,1.378B,,,,,,1.378B,81.53B,,3.80M,-29.10M,7.072B,374.40M,,,,147.50M,6.820B,,AOR,Restated
2001-09,231.10M,970.80M,1.202B,553.80M,553.80M,1.756B,508.40M,,1.201B,1.201B,12.24B,32.14B,50.01B,83.96B,,5.10M,5.10M,5.10M,,,713.80M,713.80M,713.80M,,,718.90M,1.384B,1.384B,914.90M,914.90M,39.55B,,,41.85B,77.14B,,,6.653B,,,,-306.20M,472.50M,166.30M,6.819B,,AOR,
