,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,2.342B,59.31B,61.65B,1.456B,1.456B,63.11B,762.90M,1.103B,1.355B,2.459B,15.17B,61.87B,81.75B,252.10B,,19.80M,19.80M,19.80M,,,64.50M,64.50M,64.50M,,,84.30M,3.220B,3.220B,887.90M,887.90M,,67.20M,138.90M,4.247B,240.40B,,4.80M,9.904B,9.994B,7.126B,,,,-1.138B,11.64B,,AOR,Restated
2018-03,2.336B,60.61B,62.95B,1.638B,1.638B,64.58B,775.20M,1.097B,1.392B,2.489B,15.29B,61.27B,81.35B,253.64B,,17.60M,17.60M,17.60M,,,78.10M,78.10M,78.10M,,,95.70M,3.197B,3.197B,909.00M,909.00M,,68.90M,127.80M,4.233B,241.38B,,4.70M,9.598B,9.982B,6.929B,,,,-469.30M,12.19B,,AOR,Restated
2017-12,2.471B,59.39B,61.86B,1.470B,1.470B,63.33B,759.50M,1.069B,1.315B,2.384B,14.96B,61.82B,81.25B,253.94B,,16.70M,16.70M,16.70M,,39.50M,,39.50M,39.50M,,,56.20M,3.178B,3.178B,1.092B,1.092B,,72.60M,101.30M,4.372B,241.02B,,4.70M,9.483B,9.925B,6.729B,,,,165.50M,12.85B,,AOR,Restated
2017-09,2.795B,59.26B,62.05B,1.517B,1.517B,63.57B,754.60M,1.055B,1.315B,2.370B,14.83B,61.16B,80.21B,247.93B,,53.70M,53.70M,53.70M,,,58.80M,58.80M,58.80M,,,112.50M,3.175B,3.175B,1.515B,1.515B,,70.90M,129.10M,4.820B,235.87B,,4.70M,8.785B,9.887B,6.727B,,,,47.00M,12.00B,,AOR,Restated
2017-06,2.006B,57.90B,59.91B,1.381B,1.381B,61.29B,750.30M,1.033B,1.311B,2.345B,14.58B,59.73B,78.62B,240.15B,,16.50M,16.50M,16.50M,,,42.00M,42.00M,42.00M,,,58.50M,3.127B,3.127B,1.282B,1.282B,,69.90M,95.10M,4.504B,228.92B,,4.70M,8.112B,9.845B,6.678B,,,,-116.10M,11.17B,,AOR,Restated
2017-03,1.535B,57.10B,58.64B,1.447B,1.447B,60.08B,718.80M,1.033B,1.323B,2.356B,14.21B,58.89B,77.37B,235.50B,,15.00M,15.00M,15.00M,,,59.50M,59.50M,59.50M,,,74.50M,3.126B,3.126B,1.048B,1.048B,,68.80M,95.10M,4.269B,224.81B,,4.70M,7.937B,9.780B,6.651B,,,,-455.10M,10.62B,,AOR,Restated
2016-12,2.720B,54.94B,57.66B,1.362B,1.362B,59.03B,699.00M,1.021B,1.325B,2.346B,14.05B,56.76B,75.11B,228.01B,,12.90M,12.90M,12.90M,,51.40M,,51.40M,51.40M,,,64.30M,3.126B,3.126B,972.40M,972.40M,,66.50M,97.50M,4.196B,217.72B,,4.70M,7.720B,9.686B,6.509B,,,,-675.20M,10.23B,,AOR,Restated
2016-09,2.218B,56.26B,58.48B,1.383B,1.383B,59.87B,674.50M,1.035B,1.346B,2.381B,13.91B,58.26B,76.26B,230.37B,,11.60M,11.60M,11.60M,,,39.90M,39.90M,39.90M,,,51.50M,3.278B,3.278B,1.230B,1.230B,,69.20M,189.90M,4.698B,219.50B,,4.70M,7.528B,9.646B,6.476B,,,,91.80M,10.79B,,AOR,Restated
2016-06,2.255B,55.39B,57.64B,1.505B,1.505B,59.15B,667.90M,1.037B,1.358B,2.396B,13.52B,57.37B,75.05B,223.07B,,10.20M,10.20M,10.20M,,,25.90M,25.90M,25.90M,,,36.10M,3.270B,3.270B,1.235B,1.235B,,68.00M,337.10M,4.842B,212.51B,,4.70M,7.340B,9.616B,6.441B,,,,-19.30M,10.50B,,AOR,Restated
2016-03,2.143B,53.15B,55.29B,1.310B,1.310B,56.60B,657.30M,1.038B,1.371B,2.408B,13.20B,55.10B,72.48B,217.57B,,16.40M,16.40M,16.40M,,,122.60M,122.60M,122.60M,,,139.00M,3.269B,3.269B,1.044B,1.044B,,68.00M,260.90M,4.574B,207.46B,,4.70M,7.132B,9.598B,6.337B,,,,-356.10M,10.04B,,AOR,Restated
