,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,,,,,,,,,,,,,,,,,,,,,628.20M,,-25.90M,,-25.90M,,0.00,-941.20M,,-1.386B,,-0.40M,-0.30M,-0.70M,8.20M,-75.00M,-66.80M,,,,-153.70M,,-153.70M,272.00M,50.80M,,3.557B,-706.90M,2.850B,,8.20M,0.10M,-0.80M,-75.00M,,AOR,
2020-09,,,,,,,,,,,,,,,,,,,,,1.064B,,-36.50M,,-36.50M,,0.00,-1.161B,,-1.419B,,115.30M,-3.00M,112.30M,11.50M,-0.20M,11.30M,,,,-153.70M,,-153.70M,790.90M,760.80M,,3.150B,406.30M,3.557B,,11.50M,115.70M,-3.40M,-0.20M,,AOR,
2020-06,,,,,,,,,,,,,,,,,,,,,457.00M,,-28.40M,,-28.40M,,,-1.205B,,-1.308B,,492.70M,-33.90M,458.80M,14.10M,0.00,14.10M,,,,-153.50M,,-153.50M,199.70M,519.10M,,3.483B,-332.30M,3.150B,,14.10M,468.50M,-9.70M,0.00,,AOR,
2020-03,,,,,,,,,,,,,,,,,,,,,1.589B,,-18.00M,,-18.00M,,,-609.40M,,-912.70M,,-64.50M,24.60M,-39.90M,9.00M,-231.80M,-222.80M,,,,-153.60M,,-153.60M,706.70M,290.40M,,2.516B,966.80M,3.483B,,9.00M,24.60M,-64.50M,-231.80M,,AOR,
2019-12,,,,,,,,,,,,,,,,,,,,,1.028B,,-34.30M,,-34.30M,,1.10M,-2.691B,,-2.762B,,-30.30M,-1.10M,-31.40M,6.80M,-83.50M,-76.70M,,,,-152.40M,,-152.40M,1.312B,1.052B,,3.198B,-682.10M,2.516B,,6.80M,-0.20M,-31.20M,-83.50M,,AOR,Restated
2019-09,,,,,,,,,,,,,,,,,,,,,1.786B,,-32.70M,,-32.70M,,-1.210B,-951.50M,,-2.582B,,1.00M,25.50M,26.50M,8.80M,-43.80M,-35.00M,,,,-153.00M,,-153.00M,839.40M,677.90M,,3.316B,-117.90M,3.198B,,8.80M,26.80M,-0.30M,-43.80M,,AOR,Restated
2019-06,,,,,,,,,,,,,,,,,,,,,1.502B,,-36.00M,,-36.00M,,,-314.00M,,-852.90M,,495.60M,33.00M,528.60M,16.30M,-0.10M,16.20M,,,,-150.40M,,-150.40M,12.70M,407.10M,,2.260B,1.056B,3.316B,,16.30M,529.00M,-0.40M,-0.10M,,AOR,Restated
2019-03,,,,,,,,,,,,,,,,,,,,,1.176B,,-29.40M,,-29.40M,,,-1.208B,,-1.491B,,6.40M,0.10M,6.50M,5.80M,-153.60M,-147.80M,,,,-150.20M,,-150.20M,-111.60M,-403.10M,,2.978B,-717.80M,2.260B,,5.80M,6.80M,-0.30M,-153.60M,,AOR,Restated
2018-12,231.70M,112.20M,-21.40M,90.80M,,,53.20M,53.20M,,117.20M,17.10M,-112.80M,71.50M,,92.40M,,,-295.10M,1.045B,,1.443B,,-18.90M,,-18.90M,,0.00,-801.20M,,-1.294B,,13.70M,9.30M,23.00M,11.60M,-210.10M,-198.50M,,,,-152.10M,,-152.10M,229.60M,-98.00M,,2.927B,50.80M,2.978B,,11.60M,22.50M,0.50M,-210.10M,,AOR,Restated
2018-09,460.00M,5.50M,12.20M,17.70M,,,50.70M,50.70M,,22.10M,19.50M,-63.70M,-60.00M,,51.00M,,,39.90M,1.569B,,2.076B,,-29.80M,,-29.80M,,-43.20M,-1.429B,,-2.067B,,25.20M,-28.40M,-3.20M,7.80M,-65.00M,-57.20M,,,,-150.70M,,-150.70M,787.30M,576.20M,,2.342B,584.70M,2.927B,,7.80M,-2.10M,-1.10M,-65.00M,,AOR,Restated
