,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.214B,1.214B,785.60M,428.10M,164.60M,116.40M,281.00M,42.60M,202.40M,-223.20M,34.00M,,-34.00M,-3.20M,320.40M,107.70M,,34.00M,-34.00M,-201.40M,-34.00M,-127.70M,26.90M,-154.60M,,-154.60M,-7.87M,3.20M,96.90M,-93.70M,-1.13,,-0.0551,-1.13,-1.13,,-0.0551,-1.13,136.50M,136.50M,0.225
2020-06,1.219B,1.219B,784.40M,434.70M,151.20M,118.80M,270.00M,47.10M,,-1.10M,33.40M,,-33.40M,-0.90M,316.20M,118.50M,,33.40M,-33.40M,-13.30M,-33.40M,71.80M,11.20M,60.60M,,60.60M,59.76M,199.90M,94.70M,105.20M,0.44,,0.4338,0.44,0.44,,0.4339,0.44,136.40M,137.50M,0.225
2020-03,1.341B,1.341B,857.80M,483.20M,171.90M,122.60M,294.50M,41.90M,,0.00,30.20M,,-30.20M,1.10M,337.50M,145.70M,,30.20M,-30.20M,-0.80M,-30.20M,114.70M,8.30M,106.40M,,106.40M,104.92M,238.00M,93.10M,144.90M,0.78,,0.7691,0.78,0.77,,0.7592,0.77,136.20M,137.30M,0.225
2019-12,1.323B,1.323B,842.00M,480.80M,169.80M,118.80M,288.60M,59.40M,141.60M,-141.20M,,,-31.30M,-1.50M,346.50M,134.30M,,,-31.30M,-137.20M,-31.30M,-34.20M,-15.20M,-19.00M,,-19.00M,81.45M,223.00M,103.00M,120.00M,-0.14,,0.5986,-0.14,-0.14,,0.5943,-0.14,136.00M,136.80M,0.21
2019-09,1.191B,1.191B,778.30M,412.80M,157.50M,131.90M,289.40M,44.00M,10.90M,-16.30M,30.50M,,-30.50M,8.90M,342.30M,70.50M,,30.50M,-30.50M,57.30M,-30.50M,97.30M,5.10M,92.20M,,92.20M,105.19M,229.80M,102.00M,127.80M,0.68,,0.7755,0.68,0.67,,0.7649,0.67,136.00M,136.80M,0.21
2019-06,1.149B,1.149B,718.20M,430.80M,163.80M,127.20M,291.00M,43.90M,,-40.00M,31.20M,,-31.20M,0.90M,335.80M,95.00M,,31.20M,-31.20M,-36.80M,-31.20M,27.00M,18.00M,9.00M,,9.00M,34.18M,153.10M,94.90M,58.20M,0.07,,0.2552,0.07,0.07,,0.2545,0.07,136.00M,136.50M,0.21
2019-03,1.174B,1.174B,725.70M,448.80M,171.90M,125.10M,297.00M,40.20M,,-13.40M,28.60M,,-28.60M,-4.10M,333.10M,115.70M,,28.60M,-28.60M,-6.20M,-28.60M,80.90M,17.00M,63.90M,,63.90M,66.27M,206.10M,96.60M,109.50M,0.47,,0.4874,0.47,0.47,,0.4874,0.47,135.90M,136.20M,0.19
2018-12,1.195B,1.195B,752.20M,443.00M,167.70M,125.90M,293.60M,44.60M,,1.30M,,,-32.80M,-1.40M,336.80M,106.20M,,,-32.80M,130.30M,-32.80M,203.70M,122.30M,81.40M,,81.40M,-9.193M,205.80M,99.60M,106.20M,0.59,,-0.0776,0.59,0.59,,-0.0751,0.59,135.70M,136.20M,0.19
2018-09,1.133B,1.133B,708.30M,424.80M,157.20M,105.60M,262.80M,43.70M,,-239.80M,,,-31.70M,0.50M,307.00M,117.80M,,,-31.70M,-165.10M,-31.70M,-79.00M,-11.50M,-67.50M,,-67.50M,73.49M,224.00M,106.20M,117.80M,-0.49,,0.5361,-0.49,-0.49,,0.5361,-0.49,137.40M,137.40M,0.19
2018-06,1.186B,1.186B,715.40M,471.00M,179.00M,96.80M,275.80M,91.90M,1.70M,-5.40M,,,-32.10M,3.20M,370.90M,100.10M,,,-32.10M,-12.70M,-32.10M,55.30M,19.10M,36.20M,,36.20M,39.34M,208.40M,108.30M,100.10M,0.26,,0.2828,0.26,0.26,,0.2827,0.26,138.10M,138.70M,0.19
