,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2017-03,571.56M,571.56M,314.90M,256.66M,38.31M,62.04M,100.35M,36.42M,,,,-6.402M,,145.15M,111.50M,,,-6.402M,6.01M,-6.402M,111.11M,11.83M,99.28M,,,94.82M,217.11M,105.61M,111.50M,,,,,0.9256,0.97,0.89,,,0.89,,2017-03,100.33M,108.94M,,2017-03,AOR,Restated
2016-12,476.47M,476.47M,311.07M,165.40M,95.82M,52.94M,148.76M,37.59M,,,,-3.715M,,193.81M,-28.41M,,,-3.715M,,-3.715M,-32.12M,-2.282M,-29.84M,,,-29.84M,47.01M,75.42M,-28.41M,,,,,-0.33,-0.33,-0.33,,,-0.33,,2016-12,90.43M,90.43M,,2016-12,AOR,Restated
2016-09,420.17M,420.17M,205.60M,214.56M,80.19M,49.68M,129.87M,30.00M,0.00,,,-7.078M,,167.37M,47.19M,,,-7.078M,,-7.078M,40.12M,3.684M,36.43M,,,36.43M,77.11M,29.92M,47.19M,,,,,0.42,0.42,0.39,,,0.39,,2016-09,85.39M,115.20M,,2016-09,AOR,Restated
2016-06,311.55M,311.55M,191.38M,120.17M,71.13M,46.74M,117.88M,33.90M,0.00,,,-4.506M,,159.16M,-38.98M,,,-4.506M,1.35M,-4.506M,-42.14M,-3.572M,-38.57M,,,-39.80M,9.429M,48.41M,-38.98M,,,,,-0.4746,-0.46,-0.46,,,-0.46,,2016-06,84.59M,84.59M,,2016-06,AOR,Restated
2016-03,377.21M,377.21M,209.46M,167.75M,38.02M,44.40M,82.42M,33.31M,-0.113M,,,-5.291M,,123.06M,44.69M,,,-5.291M,1.604M,-5.291M,41.00M,-5.398M,46.40M,,,46.47M,103.44M,58.75M,44.69M,,,,,0.5408,0.54,0.48,,,0.48,,2016-03,83.65M,83.65M,,2016-03,AOR,Restated
2015-12,414.22M,414.22M,257.86M,156.36M,59.85M,49.06M,108.91M,27.94M,-71.17M,,,-8.018M,,144.38M,11.98M,,,-8.018M,-71.17M,-8.018M,-67.22M,-24.80M,-42.41M,,,2.497M,61.85M,49.87M,11.98M,,0.00,,,0.0283,-0.51,-0.51,0.00,,-0.51,,2015-12,83.43M,83.43M,,2015-12,AOR,Restated
2015-09,346.97M,346.97M,143.94M,203.03M,54.88M,49.96M,104.84M,24.41M,,,,-8.396M,,136.60M,66.43M,,,-8.396M,,-8.396M,58.04M,3.30M,54.74M,,,54.74M,91.04M,24.61M,66.43M,,,,,0.63,0.63,0.55,,,0.55,,2015-09,87.56M,114.02M,,2015-09,AOR,Restated
2015-06,275.30M,275.30M,202.62M,72.68M,45.57M,49.04M,94.60M,34.14M,,,,-7.534M,,135.32M,-62.64M,,,-7.534M,,-7.534M,-70.17M,-3.148M,-67.02M,,,-67.02M,-32.44M,30.20M,-62.64M,,,,,-0.81,-0.81,-0.81,,,-0.81,,2015-06,82.83M,82.83M,,2015-06,AOR,Restated
2015-03,300.09M,300.09M,410.68M,-110.59M,52.47M,38.20M,90.67M,35.16M,0.00,,,-5.212M,,131.76M,-242.35M,,,-5.212M,-1.992M,-5.212M,-249.56M,-6.766M,-242.79M,,,-240.78M,-192.71M,49.64M,-242.35M,,0.00,,,-2.965,-2.99,-2.99,0.00,,-2.99,,2015-03,81.08M,81.08M,,2015-03,AOR,Restated
2014-12,531.15M,531.15M,278.01M,253.13M,96.89M,53.56M,150.46M,31.22M,0.00,,,-9.458M,,187.52M,65.61M,,,-9.458M,-1.50M,-9.458M,54.65M,14.56M,40.09M,,,41.19M,151.15M,85.54M,65.61M,,,,,0.4736,0.46,0.42,,,0.42,,2014-12,80.66M,107.11M,,2014-12,AOR,Restated
2014-09,126.28M,126.28M,52.02M,74.26M,49.14M,43.98M,93.11M,24.53M,,,,-7.512M,,122.77M,-48.51M,,,-7.512M,18.98M,-7.512M,-37.05M,4.32M,-41.37M,,,-53.70M,-40.35M,8.165M,-48.51M,,,,,-0.6635,-0.51,-0.51,,,-0.51,,2014-09,80.36M,80.36M,,2014-09,AOR,Restated
2014-06,125.42M,125.42M,54.16M,71.27M,36.85M,39.35M,76.20M,24.13M,,,,-7.719M,,104.48M,-33.21M,,,-7.719M,,-7.719M,-40.93M,-5.525M,-35.40M,,,-35.40M,-21.70M,11.51M,-33.21M,,,,,-0.45,-0.45,-0.45,,,-0.45,,2014-06,79.37M,79.37M,,2014-06,AOR,Restated
2014-03,195.21M,195.21M,108.29M,86.92M,27.58M,50.77M,78.35M,28.63M,0.00,,,-7.943M,,110.50M,-23.58M,,,-7.943M,0.408M,-7.943M,-31.12M,-0.345M,-30.77M,-0.013M,,-30.98M,-6.575M,17.01M,-23.58M,,0.00,,,-0.4027,-0.40,-0.40,0.00,,-0.40,,2014-03,77.17M,103.71M,,2014-03,AOR,Restated
