,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2006-01,264.98M,264.98M,209.31M,55.67M,,,80.10M,17.71M,,,,,,104.46M,-48.79M,,,,,,-48.54M,-19.42M,-29.12M,,,-29.12M,-12.23M,36.56M,-48.79M,,0.00,,,-0.41,-0.41,-0.41,0.00,,-0.41,,2006-01,71.43M,71.43M,,2006-01,,
2005-10,306.78M,306.78M,192.08M,114.70M,,,70.13M,16.30M,,,,,,92.87M,21.83M,,,,,,22.58M,3.717M,18.86M,,,18.86M,65.26M,43.43M,21.83M,,0.00,,,0.27,0.27,0.27,0.00,,0.27,,2005-10,70.13M,70.53M,,2005-10,,
2005-07,169.90M,169.90M,122.18M,47.72M,,,64.83M,19.90M,,,,,5.00M,95.42M,-47.70M,,,,,,-41.44M,-12.47M,-28.98M,,,-28.98M,-38.08M,9.615M,-47.70M,,0.00,,,-0.41,-0.41,-0.41,0.00,,-0.41,,2005-07,70.56M,70.56M,,2005-07,,
2005-04,222.07M,222.07M,128.28M,93.78M,,,64.98M,13.78M,-21.94M,,,,,83.87M,9.917M,,,,-21.94M,,-10.86M,-2.671M,-8.186M,,,8.355M,36.50M,26.58M,9.917M,,0.00,,,0.1159,-0.12,-0.12,0.00,,-0.12,,2005-04,70.11M,70.11M,,2005-04,,
2005-01,502.47M,502.47M,321.90M,180.58M,,,79.62M,23.42M,,,,,-35.07M,72.75M,107.82M,,,,,,73.29M,18.04M,55.25M,,,55.25M,135.36M,27.54M,107.82M,,0.00,,,0.81,0.81,0.79,0.00,,0.79,,2005-01,68.53M,69.77M,,2005-01,,
2004-10,438.01M,438.01M,319.57M,118.44M,,,64.56M,3.79M,40.11M,,,,,81.01M,37.43M,,,,40.11M,,85.71M,26.34M,59.37M,,,31.59M,74.86M,37.43M,37.43M,,0.00,,,0.4792,0.89,0.87,0.00,,0.87,,2004-10,67.65M,69.36M,,2004-10,,
2004-07,160.86M,160.86M,101.16M,59.70M,,,49.36M,12.77M,-14.60M,,,,-2.242M,64.22M,-4.516M,,,,-14.60M,,-20.83M,-6.393M,-14.44M,,,-4.316M,11.87M,16.39M,-4.516M,,0.00,,,-0.0596,-0.21,-0.21,0.00,,-0.21,,2004-07,67.26M,67.26M,,2004-07,,
2004-04,153.37M,153.37M,106.15M,47.22M,,,46.32M,8.228M,-13.02M,,,,,58.46M,-11.24M,,,,-13.02M,,-23.60M,-9.029M,-14.58M,,,-6.539M,9.903M,21.14M,-11.24M,,0.00,,,-0.0998,-0.22,-0.22,0.00,,-0.22,,2004-04,66.89M,66.89M,,2004-04,,
2004-01,375.51M,375.51M,248.36M,127.15M,,,59.94M,13.43M,,,,,-27.08M,50.04M,77.12M,,,,,,50.46M,18.71M,31.76M,,,31.76M,92.49M,15.37M,77.12M,,0.00,,,0.48,0.48,0.4667,0.00,,0.4667,,2004-01,66.58M,68.13M,,2004-01,,
2003-10,277.61M,277.61M,177.42M,100.19M,,,46.47M,7.688M,0.00,,,,,57.39M,42.80M,,,,0.00,,43.35M,17.09M,26.26M,,,26.26M,90.94M,48.14M,42.80M,,0.00,,,0.2567,0.2567,0.25,0.00,,0.25,,2003-10,65.38M,67.09M,,2003-10,,
2003-07,152.06M,152.06M,93.54M,58.52M,,,39.38M,7.043M,,,,,,49.36M,9.161M,,,,,,9.786M,4.09M,5.696M,,,5.696M,13.98M,4.814M,9.161M,,0.00,,,0.0867,0.0867,0.0867,0.00,,0.0867,,2003-07,63.40M,65.32M,,2003-07,,
2003-04,193.02M,193.02M,121.54M,71.48M,,,39.43M,4.761M,,,,,,47.39M,24.09M,,,,,,25.83M,10.21M,14.62M,,,14.62M,29.96M,5.87M,24.09M,,0.00,,,0.2333,0.2333,0.2333,0.00,,0.2333,,2003-04,61.89M,63.42M,,2003-04,,
2003-01,411.01M,411.01M,245.06M,165.95M,,,65.81M,5.615M,0.039M,,,,7.967M,86.96M,78.99M,,,,0.039M,,87.34M,35.81M,51.54M,,,51.51M,86.55M,4.338M,78.99M,,0.00,,,0.8396,0.84,0.8133,0.00,,0.8133,,2003-01,61.18M,63.30M,,2003-01,,
2002-10,218.96M,218.96M,137.36M,81.59M,,,35.79M,3.821M,0.022M,,,,,42.76M,38.84M,,,,0.022M,,39.11M,16.78M,22.33M,,,22.32M,44.79M,5.951M,38.84M,,0.00,,,0.1764,0.1767,0.16,0.00,,0.16,,2002-10,59.43M,63.19M,,2002-10,,
2002-07,122.46M,122.46M,76.58M,45.88M,,,33.30M,1.812M,,,,,,38.01M,7.869M,,,,,,8.168M,3.402M,4.766M,,,4.766M,12.41M,4.538M,7.869M,,0.00,,,0.08,0.08,0.08,0.00,,0.08,,2002-07,58.06M,60.35M,,2002-07,,
2002-04,170.33M,170.33M,106.68M,63.66M,,,39.45M,3.937M,-1.436M,,,,,45.90M,17.76M,,,,-1.436M,,16.27M,6.629M,9.637M,,,10.50M,21.34M,3.582M,17.76M,,0.00,,,0.1888,0.1733,0.1667,0.00,,0.1667,,2002-04,55.59M,58.15M,,2002-04,,
2002-01,282.93M,282.93M,179.46M,103.46M,,,40.99M,1.954M,0.127M,,,,,45.22M,58.24M,,,,0.127M,,57.40M,22.57M,34.83M,,,34.75M,61.26M,3.02M,58.24M,,0.00,,,0.6319,0.6333,0.6133,0.00,,0.6133,,2002-01,55.09M,56.84M,,2002-01,,
2001-10,124.30M,124.30M,95.06M,29.24M,,,30.76M,1.205M,-3.888M,,,,,35.38M,-6.136M,,,,-3.888M,,-11.38M,-6.226M,-5.059M,,10.58M,-2.726M,-2.54M,3.596M,-6.136M,,0.1467,0.00,,-0.1498,-0.0500,-0.1967,0.1467,0.2030,-0.0500,,2001-10,49.72M,49.72M,,2001-10,,
2001-07,81.33M,81.33M,49.61M,31.72M,,,23.35M,1.984M,0.651M,,,,,28.61M,3.107M,,,,0.651M,,1.794M,0.511M,1.283M,,,0.8174M,6.377M,2.469M,3.107M,,-0.0400,,-0.0379,0.0176,-0.0133,0.0200,-0.0400,,-0.0133,,2001-07,51.41M,53.63M,,2001-07,,
2001-04,93.32M,93.32M,58.37M,34.95M,,,20.72M,1.601M,-24.94M,,,,4.187M,30.72M,4.231M,,,,-24.94M,,-18.88M,-6.954M,-11.92M,,,3.830M,9.29M,5.059M,4.231M,,0.00,,,0.0751,-0.2467,-0.2467,0.00,,-0.2467,,2001-04,48.96M,48.96M,,2001-04,,
2001-01,157.59M,157.59M,104.26M,53.33M,,,23.06M,1.40M,,,,,,26.88M,26.45M,,,,,,23.52M,9.947M,13.57M,,5.337M,13.57M,29.13M,2.685M,26.45M,,-0.1067,0.00,,0.2735,0.1668,0.2735,-0.1067,0.1080,0.1668,,2001-01,48.50M,49.41M,,2001-01,,
2000-10,99.60M,99.60M,68.11M,31.50M,,,19.29M,1.022M,-17.52M,,,,,22.42M,9.079M,,,,-17.52M,,-8.887M,-3.714M,-5.173M,,,5.337M,10.52M,1.437M,9.079M,,,,,0.1142,-0.1107,-0.1107,,,-0.1107,,2000-10,46.74M,46.74M,,2000-10,,
2000-07,71.47M,71.47M,40.04M,31.43M,,,18.16M,1.657M,-1.103M,,,,,23.70M,7.732M,,,,-1.103M,,4.994M,1.545M,3.449M,,,4.211M,11.61M,3.879M,7.732M,,0.00,,,0.0975,0.0800,0.0800,0.00,,0.0800,,2000-07,43.57M,44.80M,,2000-07,,
2000-04,70.04M,70.04M,41.65M,28.38M,,,17.24M,1.364M,-0.6064M,,,,,20.90M,7.480M,,,,-0.6064M,,5.499M,2.145M,3.354M,,,3.724M,9.783M,2.303M,7.480M,,0.00,,,0.0963,0.0867,0.0867,0.00,,0.0867,,2000-04,38.55M,40.23M,,2000-04,,
2000-01,122.90M,122.90M,86.20M,36.70M,,,24.60M,1.60M,-0.20M,,,,,27.70M,9.00M,,,,-0.20M,,7.40M,2.60M,4.80M,,,4.930M,10.50M,1.50M,9.00M,,0.00,,,0.1437,0.14,0.1333,0.00,,0.1333,,2000-01,34.80M,36.72M,,2000-01,,
1999-10,120.71M,120.71M,80.70M,40.01M,,,21.54M,3.063M,,,,,,25.33M,14.68M,,,,,,13.63M,4.494M,9.132M,,,9.132M,15.89M,1.207M,14.68M,,0.00,,,0.2865,0.2865,0.2799,0.00,,0.2799,,1999-10,34.09M,34.09M,,1999-10,,
1999-07,63.60M,63.60M,43.60M,20.00M,,,13.70M,1.00M,0.10M,,,,,15.70M,4.30M,,,,0.10M,,3.90M,1.20M,2.70M,,,2.631M,5.30M,1.00M,4.30M,,0.00,,,0.0780,0.0800,0.0800,0.00,,0.0800,,1999-07,33.73M,33.73M,,1999-07,,
1999-04,52.20M,52.20M,36.10M,16.10M,,,11.50M,0.60M,,,,,,12.70M,3.40M,,,,,,2.60M,1.00M,1.60M,,,1.60M,4.00M,0.60M,3.40M,,0.00,,,0.0534,0.0534,0.0534,0.00,,0.0534,,1999-04,29.99M,29.99M,,1999-04,,
1999-01,68.30M,68.30M,53.50M,14.80M,,,8.60M,0.60M,,,,,,9.70M,5.10M,,,,,,4.30M,1.40M,2.90M,,,2.90M,5.60M,0.50M,5.10M,,0.00,,,0.1067,0.1067,0.1000,0.00,,0.1000,,1999-01,27.17M,28.99M,,1999-01,,
1998-10,64.30M,64.30M,48.80M,15.50M,,,10.70M,0.10M,,,,,,11.40M,4.10M,,,,,,3.50M,-0.50M,4.00M,,,4.00M,4.70M,0.60M,4.10M,,,,0.00,0.1566,0.1566,0.1566,,,0.1566,,1998-10,25.55M,25.55M,,1998-10,,
1998-07,38.40M,38.40M,26.90M,11.50M,,,7.90M,0.50M,,,,,,10.10M,1.40M,,,,,,,,0.80M,,,0.80M,3.10M,-0.50M,1.40M,,-0.0067,,-0.0048,0.0400,0.0334,0.0400,-0.0067,,0.0334,,1998-07,20.99M,20.99M,,1998-07,,
1998-04,39.90M,39.90M,29.20M,10.70M,,,7.30M,0.50M,,,,,,9.00M,1.70M,,,,,,,,0.70M,,0.20M,0.70M,3.40M,1.70M,1.70M,,0.00,0.00,,0.0400,0.0400,0.0334,0.00,0.0132,0.0334,,1998-04,13.84M,14.99M,,1998-04,,
