,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2020-09,99.32M,,,,13.53M,42.04M,55.57M,55.57M,,,,45.31M,0.293M,-97.63M,-7.135M,-15.46M,37.86M,-67.07M,,130.27M,-19.17M,181.32M,,2020-09,-16.12M,,-16.12M,,-75.48M,-106.35M,-255.16M,,2020-09,,,,0.00,,0.00,,,-9.696M,,2020-09,2.161B,-83.53M,2.085B,,2020-09,0.00,,,,2020-09,AOR,
2020-06,88.50M,,,,12.30M,62.43M,74.72M,74.72M,,,,53.41M,-2.924M,-91.85M,-0.131M,80.76M,144.22M,-60.22M,,158.92M,231.71M,445.42M,,2020-06,-8.905M,,-8.905M,,0.00,-77.53M,-247.46M,,2020-06,,,,6.503M,,6.503M,,,-38.51M,,2020-06,1.993B,165.96M,2.161B,,2020-06,6.503M,,,,2020-06,AOR,
2020-03,122.72M,,,,12.38M,57.11M,69.49M,69.49M,,,,81.28M,1.932M,54.22M,4.801M,-44.76M,37.67M,-29.88M,,-53.63M,-31.57M,245.70M,,2020-03,-18.59M,,-18.59M,,0.00,49.72M,31.13M,,2020-03,,,,0.00,0.00,0.00,,,-16.71M,,2020-03,1.742B,260.12M,1.993B,,2020-03,0.00,,,0.00,2020-03,AOR,
2019-12,163.64M,,,,12.21M,48.67M,60.88M,60.88M,,,,63.40M,-2.516M,213.31M,15.75M,-84.00M,-116.94M,33.38M,,-51.08M,10.41M,295.82M,,2019-12,-9.258M,,-9.258M,,-3.325M,28.43M,9.123M,,2019-12,,,,10.52M,0.00,10.52M,,,-9.782M,,2019-12,1.430B,305.67M,1.742B,,2019-12,10.52M,,,0.00,2019-12,AOR,
2019-09,71.82M,,,,11.90M,47.07M,58.98M,58.98M,,,,55.77M,3.004M,-507.06M,-16.09M,0.066M,282.42M,5.036M,,81.69M,-153.94M,35.62M,,2019-09,-15.56M,,-15.56M,,0.00,-60.85M,-202.99M,,2019-09,,,,0.00,,0.00,,,-9.36M,,2019-09,1.612B,-176.73M,1.430B,,2019-09,0.00,,,,2019-09,AOR,Restated
2019-06,46.28M,,,,11.13M,36.06M,47.19M,47.19M,,,,57.43M,1.321M,44.04M,4.029M,-131.12M,96.58M,-56.97M,,-0.252M,-43.69M,108.54M,,2019-06,-9.971M,,-9.971M,,-8.715M,52.18M,166.79M,,2019-06,,,,0.00,,0.00,,,-52.12M,,2019-06,1.392B,223.21M,1.612B,,2019-06,0.00,,,,2019-06,AOR,Restated
2019-03,56.83M,,,,10.96M,47.15M,58.10M,58.10M,,,,69.09M,4.587M,427.91M,11.95M,-132.88M,-92.54M,-49.12M,,-11.21M,154.10M,453.32M,,2019-03,-23.32M,,-23.32M,,-25.00M,-197.53M,-245.85M,,2019-03,,,,0.00,-100.00M,-100.00M,,,-15.46M,,2019-03,1.295B,92.01M,1.392B,,2019-03,0.00,,,-100.00M,2019-03,AOR,Restated
2018-12,179.95M,,,,10.02M,145.41M,155.43M,155.43M,,,,123.67M,-2.298M,-292.74M,-0.427M,-136.24M,322.02M,-24.70M,,271.58M,139.49M,596.23M,,2018-12,-14.50M,,-14.50M,,0.00,17.09M,2.589M,,2018-12,,,,0.00,-108.89M,-108.89M,,,-21.87M,,2018-12,833.09M,468.06M,1.295B,,2018-12,0.00,,,-108.89M,2018-12,AOR,Restated
2018-09,25.37M,,,,9.623M,18.82M,28.44M,28.44M,,,,30.34M,1.366M,-294.59M,-29.62M,14.78M,1.263M,-78.34M,,106.13M,-280.37M,-194.85M,,2018-09,-14.86M,,-14.86M,,0.00,74.54M,59.69M,,2018-09,,,,,0.00,0.00,,,-5.564M,,2018-09,974.18M,-140.73M,833.09M,,2018-09,,,,0.00,2018-09,AOR,Restated
2018-06,71.69M,,,,9.13M,13.72M,22.85M,22.85M,,,,24.60M,-2.98M,61.36M,3.692M,-21.46M,-29.60M,-54.66M,,-86.67M,-127.34M,-11.18M,,2018-06,-14.29M,,-14.29M,,-3.149M,-22.56M,-40.00M,,2018-06,,,,,-153.50M,-153.50M,,,-58.40M,,2018-06,1.246B,-263.08M,974.18M,,2018-06,,,,-153.50M,2018-06,AOR,Restated
