,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2010-03,111.90M,0.60M,,13.70M,14.30M,24.10M,7.80M,31.90M,31.90M,0.20M,,9.20M,-5.30M,3.90M,-35.80M,-55.90M,43.80M,,54.20M,10.00M,16.30M,-0.20M,178.30M,,-17.00M,4.50M,4.50M,,,,-12.50M,,,,,,-22.60M,-22.60M,,-41.40M,9.50M,5.20M,-49.30M,,716.30M,116.10M,-15.40M,817.20M,,-0.40M,,,,-22.60M,,AOR,Restated
2009-12,77.80M,0.40M,,14.10M,14.50M,24.70M,7.00M,31.70M,31.70M,,,8.70M,-2.10M,6.60M,-42.20M,-38.20M,41.10M,,-4.70M,32.80M,-11.20M,0.20M,119.60M,,-13.50M,0.00,0.00,,,,-13.50M,,,,,,0.00,0.00,,-41.30M,6.70M,1.90M,-32.70M,,643.80M,73.60M,-0.90M,716.30M,,0.20M,,,,0.00,,AOR,Restated
2009-09,28.90M,-1.50M,,6.00M,8.90M,27.30M,8.00M,35.30M,35.30M,,,7.80M,1.40M,-21.10M,31.70M,27.80M,-27.00M,,0.10M,-9.40M,23.20M,0.00,117.80M,,-30.50M,1.00M,1.00M,-0.60M,0.70M,4.10M,-25.30M,,,0.00,0.00,,0.00,0.00,,-41.20M,3.90M,1.00M,-36.30M,,580.50M,56.20M,7.10M,643.80M,,,,0.00,0.00,0.00,,AOR,Restated
2009-06,32.80M,1.70M,,4.50M,6.20M,26.30M,8.10M,34.40M,34.40M,,,7.70M,-0.40M,19.00M,30.50M,76.20M,-12.40M,,16.80M,-1.90M,109.20M,-0.50M,189.70M,,-21.80M,3.00M,3.00M,-0.60M,-7.20M,-4.10M,-30.70M,,,-75.00M,-75.00M,,0.00,0.00,,-41.10M,2.60M,0.30M,-113.20M,,519.50M,45.80M,15.20M,580.50M,,,,,-75.00M,0.00,,AOR,Restated
2009-03,40.60M,-0.60M,,4.90M,4.30M,24.20M,7.90M,32.10M,32.10M,,,7.70M,-0.50M,-4.50M,77.20M,69.30M,-68.10M,,-18.60M,25.90M,85.70M,,169.60M,,-18.30M,-1.30M,-1.30M,-29.50M,-2.00M,,-51.10M,,,-100.00M,-100.00M,,0.00,0.00,,-41.20M,0.90M,-2.20M,-142.50M,,554.00M,-24.00M,-10.50M,519.50M,,,,-75.00M,-25.00M,0.00,,AOR,Restated
2008-12,115.60M,0.40M,,4.30M,4.70M,23.90M,8.40M,32.30M,32.30M,,,4.60M,-0.40M,4.20M,88.80M,-45.80M,-49.10M,,-55.00M,-46.90M,-108.00M,,48.80M,,-27.40M,1.30M,1.30M,,0.80M,,-25.30M,,,75.00M,75.00M,,-53.50M,-53.50M,,-41.00M,3.90M,0.20M,-15.40M,,582.20M,8.10M,-36.30M,554.00M,,,,75.00M,,-53.50M,,,Restated
2008-09,125.60M,,,,5.60M,27.20M,8.40M,35.60M,35.60M,,,,,-27.40M,5.70M,10.10M,-24.50M,,47.80M,49.40M,88.50M,0.10M,244.60M,,-48.20M,0.80M,103.60M,1.60M,0.00,0.00,-45.80M,,,,-234.00M,-12.20M,-132.20M,-144.40M,,-41.80M,,0.60M,-406.40M,,805.90M,-207.60M,-16.10M,582.20M,,,-12.20M,,,-132.20M,,,Restated
2008-06,152.60M,,,,0.30M,27.80M,7.50M,35.30M,35.30M,,,,,5.60M,-9.50M,-11.20M,-7.60M,,38.90M,-12.20M,-1.60M,-0.40M,191.80M,,-43.00M,0.40M,-42.60M,-50.80M,0.00,0.00,-93.40M,,,,13.70M,1.50M,-25.10M,-23.60M,,-42.50M,,0.30M,-52.10M,,760.70M,46.30M,-1.10M,805.90M,,,1.50M,,,-25.10M,,,
2008-03,142.80M,,,,0.00,23.20M,11.10M,34.30M,34.30M,,,,,11.10M,-13.20M,-27.00M,9.00M,,-58.60M,-39.80M,-129.60M,-0.10M,58.50M,,-33.50M,-29.80M,-63.30M,0.00,36.30M,-2.90M,-29.90M,,,,-30.60M,1.10M,-104.30M,-103.20M,,-42.60M,,0.50M,-175.90M,,867.00M,-147.30M,41.00M,760.70M,,,1.10M,,,-104.30M,,,
2007-12,156.60M,,,,-6.10M,23.10M,8.20M,31.30M,31.30M,,,,,6.10M,1.00M,-48.10M,-43.40M,,-12.70M,16.80M,-86.40M,-5.60M,95.90M,,-26.30M,36.30M,10.00M,-61.60M,,,-51.60M,,,,320.00M,9.60M,-97.50M,-87.90M,,-43.30M,,2.80M,191.60M,,624.20M,235.90M,6.90M,867.00M,,,9.60M,,,-97.50M,,,
2007-09,165.20M,,,,-5.80M,24.00M,7.80M,31.80M,31.80M,,,,,-7.60M,-9.20M,-15.50M,63.40M,,22.70M,-19.20M,42.20M,14.40M,196.50M,,-48.90M,5.90M,-43.00M,-204.90M,,-2.60M,-215.80M,,,,109.30M,13.10M,-255.50M,-242.40M,,-43.90M,,5.70M,-171.30M,,794.30M,-190.60M,20.50M,624.20M,,,13.10M,,,-255.50M,,,
2007-06,164.20M,,,,0.50M,22.60M,5.80M,28.40M,28.40M,,,,,11.90M,-25.40M,-13.50M,0.20M,,-90.90M,-20.90M,-150.50M,-17.70M,36.80M,,-28.90M,-0.10M,-29.00M,0.00,,-0.90M,-29.90M,,,,45.80M,27.90M,-383.30M,-355.40M,,-44.70M,,12.30M,-342.00M,,1.120B,-335.10M,9.80M,794.30M,,,27.90M,,,-383.30M,,,
2007-03,729.30M,,,,2.90M,23.60M,5.60M,29.20M,29.20M,,,,,6.50M,-24.80M,-1.40M,19.40M,,-110.00M,79.30M,-37.50M,-625.60M,104.80M,,-24.00M,1.743B,1.719B,-44.60M,,-2.30M,1.669B,,,,-530.00M,12.00M,-529.80M,-517.80M,,-46.90M,,4.20M,-1.090B,,433.50M,683.50M,2.60M,1.120B,,,12.00M,,,-529.80M,,,
2006-12,429.10M,,,,-3.00M,23.30M,5.20M,28.50M,28.50M,,,,,2.60M,-35.70M,-37.30M,-14.60M,,17.20M,9.60M,-60.80M,-275.70M,120.70M,,-29.20M,2.10M,-27.10M,,,,-31.10M,,,,314.20M,11.90M,-350.70M,-338.80M,,-49.20M,,4.50M,-70.10M,,408.10M,19.50M,5.90M,433.50M,,,11.90M,,,-350.70M,,,
2006-09,165.80M,,,,-1.80M,24.00M,4.50M,28.50M,28.50M,,,,,23.20M,-17.50M,20.60M,47.10M,,53.70M,-47.60M,56.30M,9.50M,284.60M,,-44.40M,83.40M,39.00M,0.00,,0.00,51.10M,,,,66.80M,3.40M,-298.10M,-294.70M,,-39.20M,,1.30M,-265.00M,,335.40M,70.70M,2.00M,408.10M,,,3.40M,,,-298.10M,,,
2006-06,149.00M,,,,1.90M,22.50M,6.10M,28.60M,28.60M,,,,,15.90M,-4.70M,3.20M,-7.60M,,-10.30M,8.70M,-10.70M,-2.00M,182.70M,,-28.60M,6.10M,-22.50M,-6.60M,,0.00,-34.90M,,,,51.10M,9.00M,-133.90M,-124.90M,,-39.90M,,6.80M,-107.30M,,297.00M,40.50M,-2.10M,335.40M,,,9.00M,,,-133.90M,,,
2006-03,146.50M,,,,451.60M,28.00M,5.90M,33.90M,33.90M,,,,,-436.50M,-36.70M,-12.40M,-10.60M,,24.10M,10.80M,-24.80M,-13.80M,156.90M,,-26.60M,17.40M,-9.20M,-7.50M,,-6.40M,-28.60M,,,,-1.00M,30.30M,-89.40M,-59.10M,,-39.90M,,27.20M,-73.50M,,239.60M,54.80M,2.60M,297.00M,,,30.30M,,,-89.40M,,,
2005-12,145.70M,,,,-454.20M,21.70M,4.70M,26.40M,26.40M,,,,,-5.20M,-1.50M,-17.60M,12.90M,,66.10M,5.60M,65.50M,21.80M,-200.00M,,-22.70M,89.90M,67.20M,-25.40M,,,94.90M,,,,102.00M,17.40M,-201.10M,-183.70M,,-40.30M,,11.40M,-110.60M,,459.00M,-215.70M,-3.70M,239.60M,,,17.40M,,,-201.10M,,,
2005-09,148.10M,,,,-61.10M,-2.20M,2.40M,0.20M,0.20M,,,,,,-19.60M,27.00M,44.20M,,-27.10M,-9.50M,15.00M,4.40M,179.50M,,-17.00M,-0.40M,-17.40M,,,0.00,-43.90M,,,,,3.80M,-108.90M,-105.10M,,-40.70M,,-0.10M,-144.90M,,468.80M,-9.30M,2.70M,459.00M,,,3.80M,,,-108.90M,,,
2005-06,127.30M,,,,21.40M,36.50M,3.60M,40.10M,40.10M,,,,,,-0.20M,19.70M,-19.80M,,0.00,-7.50M,-7.80M,-5.90M,175.10M,,-23.30M,0.40M,-22.90M,,,0.00,-22.90M,,,,,2.60M,-127.70M,-125.10M,,-41.00M,,-0.10M,-166.20M,,484.70M,-14.00M,-1.90M,468.80M,,,2.60M,,,-127.70M,,,
2005-03,142.50M,,,,50.70M,35.80M,5.10M,40.90M,40.90M,,,,,,-26.90M,-14.00M,24.70M,,-7.70M,-28.00M,-51.90M,7.40M,189.60M,,-50.50M,1.60M,-48.90M,,14.90M,-0.70M,-34.70M,,,,,39.80M,-146.20M,-106.40M,,-30.50M,,-0.10M,-137.00M,,467.70M,17.90M,-0.90M,484.70M,,,39.80M,,,-146.20M,,,
2004-12,122.10M,,,,-7.00M,38.90M,7.30M,46.20M,46.20M,,,,,,12.10M,-23.40M,-35.70M,,-29.60M,17.60M,-59.00M,18.40M,120.70M,,-11.90M,5.50M,-6.40M,,-14.90M,,-21.30M,,,,,45.40M,-116.40M,-71.00M,,-30.50M,,-1.00M,-102.50M,,473.80M,-3.10M,-3.00M,467.70M,,,45.40M,,,-116.40M,,,
2004-09,91.80M,,,,16.50M,38.60M,5.30M,43.90M,43.90M,,,,,,-38.10M,-6.00M,32.60M,,-42.20M,60.30M,6.60M,16.70M,239.10M,,-38.20M,32.40M,-5.80M,,,-2.30M,-8.10M,,,,0.00,23.60M,-84.40M,-60.80M,,-30.40M,,-0.20M,-91.40M,,329.70M,139.60M,4.50M,473.80M,,,23.60M,,,-84.40M,,,
2004-06,130.30M,,,,-99.60M,40.50M,8.20M,48.70M,48.70M,,,,,,-18.80M,-11.60M,4.90M,,36.80M,14.90M,26.20M,-10.60M,95.00M,,-23.40M,-2.20M,-25.60M,,,2.30M,-23.30M,,,,0.00,8.70M,-74.10M,-65.40M,,-30.60M,,-0.10M,-96.10M,,353.80M,-24.40M,0.30M,329.70M,,,8.70M,,,-74.10M,,,
2004-03,74.90M,,,,-18.60M,40.60M,6.20M,46.80M,46.80M,,,,,,-33.40M,-13.20M,40.80M,,67.10M,-37.50M,23.80M,17.70M,144.60M,,-20.40M,2.20M,-18.20M,,,0.20M,-18.00M,,,,-8.40M,10.60M,-59.20M,-48.60M,,-30.70M,,-0.30M,-88.00M,,315.60M,38.60M,-0.40M,353.80M,,,10.60M,,,-59.20M,,,
2003-12,57.10M,,,,28.90M,40.00M,7.30M,47.30M,47.30M,,,,,,42.10M,2.30M,-41.20M,,-19.30M,24.80M,8.70M,2.10M,144.10M,,-16.00M,,-16.00M,,,0.20M,-15.80M,,,,,35.60M,-40.70M,-5.10M,,-30.80M,,-0.60M,-36.50M,,226.40M,91.80M,-2.60M,315.60M,,,35.60M,,,-40.70M,,,
2003-09,62.40M,,,,5.50M,39.50M,4.10M,43.60M,43.60M,,,,,,-28.00M,23.30M,9.90M,,-1.10M,-0.10M,4.00M,,156.90M,,-36.60M,,-30.00M,0.30M,,1.30M,-28.40M,,,,-0.40M,28.40M,-33.40M,-5.00M,,-30.40M,,0.50M,-35.30M,,125.00M,93.20M,8.00M,226.40M,,,28.40M,,,-33.40M,,,
2003-06,128.00M,,,,-53.00M,43.00M,7.00M,50.00M,50.00M,,,,,,-4.00M,-4.00M,4.00M,,-22.00M,-22.00M,-48.00M,,77.00M,,-29.00M,,-29.00M,-1.00M,,1.00M,-29.00M,,,,-150.00M,9.00M,-29.00M,-20.00M,,-31.00M,,0.00,-201.00M,,296.00M,-153.00M,-18.00M,125.00M,,,9.00M,,,-29.00M,,,
2003-03,49.30M,,,,14.90M,41.80M,5.40M,47.20M,47.20M,,,,,,-14.00M,-5.30M,30.00M,,26.10M,-51.00M,-14.20M,,97.20M,,-27.20M,,-27.20M,-25.00M,,-2.00M,-54.20M,,,,-1.70M,26.70M,-37.60M,-10.90M,,-30.30M,,-0.60M,-43.50M,,306.60M,-0.50M,-9.90M,296.00M,,,26.70M,,,-37.60M,,,
2002-12,41.70M,,,,1.10M,44.20M,5.60M,49.80M,49.80M,,,,,,33.00M,6.30M,-37.00M,,-28.10M,37.00M,11.20M,,103.80M,,-14.80M,,-14.80M,,,-5.00M,-19.80M,,,,-1.30M,6.30M,-28.40M,-22.10M,,-30.70M,,-1.40M,-55.50M,,289.20M,28.50M,-11.10M,306.60M,,,6.30M,,,-28.40M,,,
2002-09,49.00M,,,,-3.00M,46.00M,6.00M,52.00M,52.00M,,,,,,4.00M,30.00M,-10.00M,,27.00M,46.00M,97.00M,0.00,181.00M,,-33.00M,,-29.00M,-3.00M,,,-36.00M,,,,-45.00M,1.00M,,1.00M,,-30.00M,,,-74.00M,,214.00M,71.00M,4.00M,289.00M,,,1.00M,,,,,,
2002-06,90.00M,,,,-24.00M,42.00M,5.00M,47.00M,47.00M,,,,,,-2.00M,14.00M,7.00M,,-22.00M,36.00M,33.00M,0.00,146.00M,,-24.00M,,-24.00M,-13.00M,,,-37.00M,,,,-45.00M,9.00M,,9.00M,,-31.00M,,,-67.00M,,187.00M,42.00M,-15.00M,214.00M,,,9.00M,,,,,,
2002-03,58.00M,,,,-1.00M,48.00M,6.00M,54.00M,54.00M,,,,,,5.00M,4.00M,32.00M,,-6.00M,-84.00M,-49.00M,-36.00M,26.00M,,-28.00M,,-28.00M,-55.00M,,,-83.00M,,,,89.00M,11.00M,,11.00M,,-31.00M,,,69.00M,,170.00M,12.00M,5.00M,187.00M,,,11.00M,,,,,,
2001-12,29.00M,,,,1.00M,48.00M,5.00M,53.00M,53.00M,,,,,,63.00M,5.00M,-55.00M,,-15.00M,6.00M,4.00M,,87.00M,,-19.00M,,-19.00M,,,,-19.00M,,,,1.00M,4.00M,,4.00M,,-30.00M,,,-25.00M,,121.00M,43.00M,6.00M,170.00M,,,4.00M,,,,,,
2001-09,12.00M,,,,33.00M,47.00M,18.00M,65.00M,65.00M,,,,,,-15.00M,12.00M,33.00M,,-109.00M,-41.00M,-120.00M,0.00,-8.00M,,-39.00M,5.00M,-34.00M,0.00,,-3.00M,-37.00M,,,,-63.00M,2.00M,0.00,2.00M,,-30.00M,,,-91.00M,,259.00M,-136.00M,-2.00M,121.00M,,,2.00M,,,0.00,,,
2001-06,-27.00M,,,,70.00M,50.00M,20.00M,70.00M,70.00M,,,,,,46.00M,16.00M,-23.00M,,-30.00M,73.00M,82.00M,-4.00M,191.00M,,-50.00M,1.00M,-49.00M,0.00,,300.00M,251.00M,,,,-340.00M,18.00M,0.00,18.00M,,-47.00M,,,-369.00M,,190.00M,73.00M,9.00M,259.00M,,,18.00M,,,0.00,,,
2001-03,6.00M,,,,61.00M,50.00M,20.00M,70.00M,70.00M,,,,,,-6.00M,2.00M,-67.00M,,9.00M,47.00M,-15.00M,-17.00M,105.00M,,-39.00M,5.00M,-34.00M,0.00,,,-34.00M,,,,-35.00M,19.00M,0.00,19.00M,,-46.00M,,,-62.00M,,158.00M,9.00M,6.00M,190.00M,,,19.00M,,,0.00,,,
2000-12,134.00M,,,,-70.00M,49.00M,18.00M,67.00M,67.00M,,,,,,8.00M,-33.00M,-29.00M,,41.00M,-92.00M,-105.00M,-328.00M,-302.00M,,-29.00M,8.00M,-21.00M,-6.00M,,,-27.00M,,,,430.00M,5.00M,-63.00M,-58.00M,,-47.00M,,,325.00M,,166.00M,-4.00M,-4.00M,158.00M,,,5.00M,,,-63.00M,,,
2000-09,-147.00M,,,,6.00M,193.00M,77.00M,-1.00M,-1.00M,,,,,,-82.00M,-39.00M,159.00M,,-86.00M,85.00M,37.00M,59.00M,96.00M,,-10.00M,1.00M,-9.00M,6.00M,,,-3.00M,,,,-6.00M,-2.00M,-107.00M,-109.00M,,-47.00M,,,-162.00M,,224.00M,-69.00M,35.00M,190.00M,,,-2.00M,,,-107.00M,,,
2000-06,302.00M,,,,0.00,-95.00M,-37.00M,139.00M,139.00M,,,,,,48.00M,-26.00M,-81.00M,,71.00M,-97.00M,-85.00M,-9.00M,347.00M,,-109.00M,1.00M,-108.00M,-16.00M,,,-124.00M,,,,-4.00M,1.00M,-107.00M,-106.00M,,-48.00M,,,-158.00M,,165.00M,65.00M,-6.00M,224.00M,,,1.00M,,,-107.00M,,,
2000-03,32.00M,,,,52.00M,95.00M,37.00M,68.00M,68.00M,,,,,,-4.00M,-7.00M,17.00M,,52.00M,-15.00M,43.00M,0.00,195.00M,,-60.00M,56.00M,-4.00M,-60.00M,,,-64.00M,,,,-160.00M,9.00M,-44.00M,-35.00M,,-48.00M,,,-243.00M,,289.00M,-112.00M,-12.00M,165.00M,,,9.00M,,,-44.00M,,,
1999-12,157.00M,,,,-70.00M,,,64.00M,64.00M,,,,,,22.00M,-14.00M,-53.00M,,-25.00M,-24.00M,-94.00M,9.00M,66.00M,,-38.00M,1.00M,-37.00M,,,,-37.00M,,,,-3.00M,5.00M,-67.00M,-62.00M,,-49.00M,,,-114.00M,,356.00M,-85.00M,18.00M,289.00M,,,5.00M,,,-67.00M,,,
1999-09,155.00M,,,,-17.00M,,,101.00M,101.00M,12.00M,,,,,-152.00M,46.00M,147.00M,,74.00M,31.00M,146.00M,0.00,397.00M,,-377.00M,91.00M,-286.00M,217.00M,,,-69.00M,,,,45.00M,10.00M,-61.00M,-51.00M,,-48.00M,,,-54.00M,,62.00M,274.00M,,356.00M,,,10.00M,,,-61.00M,,,
1999-06,150.00M,,,,6.00M,,,85.00M,85.00M,39.00M,,,,-20.00M,-3.00M,11.00M,-46.00M,,-22.00M,-11.00M,-71.00M,0.00,189.00M,,59.00M,9.00M,68.00M,-217.00M,,,-149.00M,,,,-59.00M,79.00M,-53.00M,26.00M,,-49.00M,,,-82.00M,,0.00,-42.00M,,62.00M,,,79.00M,,,-53.00M,,,
1999-03,143.00M,,,,-30.00M,,,83.00M,83.00M,57.00M,,,,0.00,-7.00M,-50.00M,55.00M,,29.00M,,27.00M,0.00,280.00M,,-199.00M,6.00M,-193.00M,,,,-193.00M,,,,-145.00M,18.00M,-2.00M,16.00M,,-49.00M,,,-178.00M,,0.00,-91.00M,,0.00,,,18.00M,,,-2.00M,,,
1998-12,114.00M,,,,13.00M,,,68.00M,68.00M,-96.00M,,,,20.00M,85.00M,-36.00M,-59.00M,,-55.00M,,-65.00M,-47.00M,7.00M,,-101.00M,92.00M,-9.00M,,,,-9.00M,,,,180.00M,18.00M,-56.00M,-38.00M,,-48.00M,,,94.00M,,103.00M,92.00M,,0.00,,,18.00M,,,-56.00M,,,
1998-09,-126.00M,,,,258.00M,,,69.00M,69.00M,34.00M,,,,30.00M,-144.00M,54.00M,41.00M,,35.00M,,-14.00M,48.00M,299.00M,,-170.00M,2.00M,-168.00M,,,,-168.00M,,,,-937.00M,75.00M,-103.00M,-28.00M,,-49.00M,,826.00M,-188.00M,,0.00,-57.00M,,0.00,,,75.00M,,,-103.00M,,,
1998-06,-482.00M,,,,666.00M,,,84.00M,84.00M,-38.00M,,,,-14.00M,40.00M,-21.00M,56.00M,,-68.00M,,7.00M,-96.00M,127.00M,,-111.00M,83.00M,-28.00M,,,,-28.00M,,,,1.019B,-58.00M,-282.00M,-340.00M,,-50.00M,,-826.00M,-197.00M,,0.00,-98.00M,,0.00,,,-58.00M,,,-282.00M,,,
1998-03,109.00M,,,,0.00,,,78.00M,78.00M,0.00,,,,13.00M,-41.00M,-25.00M,48.00M,,-76.00M,,-94.00M,-85.00M,21.00M,,-68.00M,3.00M,-65.00M,,,,-65.00M,,,,490.00M,50.00M,-356.00M,-306.00M,,-51.00M,,,133.00M,,0.00,89.00M,,0.00,,,50.00M,,,-356.00M,,,
1997-12,89.00M,,,,110.00M,,,75.00M,75.00M,-40.00M,,,,-29.00M,19.00M,-48.00M,-66.00M,,33.00M,,-62.00M,-39.00M,104.00M,,-217.00M,13.00M,-204.00M,,,,-204.00M,,,,283.00M,8.00M,-239.00M,-231.00M,,-52.00M,,,0.00,,283.00M,-100.00M,,0.00,,,8.00M,,,-239.00M,,,
1997-09,109.00M,,,,19.00M,,,85.00M,85.00M,-23.00M,,,,-7.00M,-86.00M,11.00M,-2.00M,,-34.00M,,-111.00M,86.00M,158.00M,,-178.00M,30.00M,-148.00M,,,445.00M,297.00M,,,,-302.00M,7.00M,-227.00M,-220.00M,,-60.00M,,24.00M,-558.00M,,0.00,-103.00M,,269.00M,,,7.00M,,,-227.00M,,,
1997-06,167.00M,,,,-217.00M,,,-15.00M,-15.00M,10.00M,,,,-5.00M,-14.00M,-104.00M,136.00M,,3.00M,,21.00M,-76.00M,-115.00M,,49.00M,12.00M,61.00M,,,23.00M,84.00M,,,,123.00M,16.00M,-287.00M,-271.00M,,-62.00M,,-24.00M,-234.00M,,0.00,-265.00M,,0.00,,,16.00M,,,-287.00M,,,
1997-03,189.00M,,,,-55.00M,,,81.00M,81.00M,-41.00M,,,,30.00M,-49.00M,-10.00M,88.00M,,-80.00M,,-51.00M,13.00M,166.00M,,-144.00M,6.00M,-138.00M,,,-9.00M,-147.00M,,,,166.00M,19.00M,-281.00M,-262.00M,,-63.00M,,,-159.00M,,0.00,-140.00M,,0.00,,,19.00M,,,-281.00M,,,
1996-12,179.00M,,,,22.00M,,,142.00M,142.00M,16.00M,,,,-18.00M,24.00M,-17.00M,-181.00M,,54.00M,,-120.00M,-164.00M,57.00M,,-113.00M,559.00M,446.00M,,,-14.00M,432.00M,,,,-241.00M,14.00M,-61.00M,-47.00M,,-63.00M,,,-351.00M,,715.00M,138.00M,,0.00,,,14.00M,,,-61.00M,,,
1996-09,97.00M,,,,-48.00M,,,4.00M,4.00M,10.00M,,,,-118.00M,18.00M,111.00M,4.00M,,23.00M,,156.00M,-298.00M,-197.00M,,84.00M,-1.00M,83.00M,,,37.00M,120.00M,,,,205.00M,6.00M,-1.00M,5.00M,,-64.00M,,12.00M,158.00M,,0.00,81.00M,,0.00,,,6.00M,,,-1.00M,,,
1996-06,223.00M,,,,-175.00M,,,5.00M,5.00M,-60.00M,,,,200.00M,-3.00M,0.00,72.00M,-7.00M,20.00M,,82.00M,55.00M,330.00M,,-86.00M,-43.00M,-129.00M,,,-34.00M,-163.00M,,,,-79.00M,5.00M,-7.00M,-2.00M,,-63.00M,,-12.00M,-156.00M,,0.00,11.00M,,0.00,,,5.00M,,,-7.00M,,,
1996-03,214.00M,,,,-10.00M,,,147.00M,147.00M,22.00M,,,,4.00M,-146.00M,-63.00M,114.00M,-13.00M,-43.00M,,-151.00M,,226.00M,,-227.00M,52.00M,-175.00M,,,-3.00M,-178.00M,,,,62.00M,22.00M,-22.00M,0.00,,-63.00M,,,-1.00M,,0.00,47.00M,,0.00,,,22.00M,,,-22.00M,,,
1995-12,192.00M,,,,-8.00M,,,145.00M,145.00M,23.00M,,,,-86.00M,86.00M,-116.00M,-190.00M,20.00M,-29.00M,,-229.00M,,37.00M,,-137.00M,12.00M,-125.00M,,,,-125.00M,,,,41.00M,9.00M,-18.00M,-9.00M,,-63.00M,,,-31.00M,,655.00M,-119.00M,,0.00,,,9.00M,,,-18.00M,,,
1995-09,188.90M,,,,-288.40M,,,-75.50M,-75.50M,-72.50M,,,,10.00M,-54.90M,84.10M,227.30M,,-43.60M,,212.90M,,1.673B,,-27.20M,-21.80M,-49.00M,,,477.20M,428.20M,,,,-1.919B,7.40M,-16.60M,-9.20M,,-58.70M,,,-1.987B,,0.00,115.00M,,0.00,,,7.40M,,,-16.60M,,,
1995-06,197.00M,,,,-60.60M,,,148.30M,148.30M,27.00M,,,,40.40M,-11.70M,-12.70M,-48.50M,,26.60M,,-46.30M,,305.80M,,1.405B,11.60M,1.417B,,,-1.616B,-199.20M,,,,-116.00M,31.90M,-27.20M,4.70M,,-58.60M,,,-169.90M,,0.00,-63.30M,,0.00,,,31.90M,,,-27.20M,,,
1995-03,191.40M,,,,,,,138.90M,138.90M,28.90M,,,,-20.20M,-234.30M,-75.50M,28.50M,,40.90M,,-240.40M,,98.60M,,-164.20M,4.90M,-159.30M,,,,-159.30M,,,,145.40M,9.50M,-48.50M,-39.00M,,-58.70M,,,47.70M,,0.00,-13.00M,,0.00,,,9.50M,,,-48.50M,,,
1994-12,164.70M,,,,,,,119.30M,119.30M,26.60M,,,,-20.20M,171.90M,-95.90M,-114.30M,,-126.90M,,-165.20M,,125.20M,,-1.685B,12.30M,-1.673B,,,,-1.673B,,,,1.675B,1.20M,-44.70M,-43.50M,,-59.00M,,,1.573B,,628.30M,25.30M,,0.00,,,1.20M,,,-44.70M,,,
1994-09,165.00M,,,,,,,133.10M,133.10M,6.80M,,,,-42.40M,-29.00M,27.90M,153.10M,,-64.50M,,87.50M,,350.00M,,-224.20M,95.50M,-128.70M,,,,-128.70M,,,,-75.10M,1.70M,-46.10M,-44.40M,,-59.30M,,,-178.80M,,0.00,42.50M,,0.00,,,1.70M,,,-46.10M,,,
1994-06,164.90M,,,,,,,125.10M,125.10M,15.80M,,,,-47.50M,-16.10M,-44.00M,65.90M,,122.60M,,128.40M,,386.70M,,-162.20M,2.10M,-160.10M,,,,-160.10M,,,,-89.40M,4.80M,-47.10M,-42.30M,,-55.20M,,,-186.90M,,0.00,39.70M,,0.00,,,4.80M,,,-47.10M,,,
1994-03,154.70M,,,,,,,118.90M,118.90M,13.10M,,,,-17.50M,-72.20M,-70.90M,52.60M,,-50.80M,,-141.30M,,127.90M,,-133.70M,-2.80M,-136.50M,,,,-136.50M,,,,-91.60M,24.30M,-54.50M,-30.20M,,-55.40M,,,-177.20M,,0.00,-185.80M,,0.00,,,24.30M,,,-54.50M,,,
1993-12,149.50M,,,,,,,116.80M,116.80M,7.90M,,,,-15.70M,88.70M,-1.30M,-172.70M,,-117.20M,,-202.50M,,56.00M,,-67.30M,8.70M,-58.60M,,,,-58.60M,,,,17.00M,7.20M,-7.20M,0.00,,-55.30M,,,-38.30M,,772.80M,-40.90M,,0.00,,,7.20M,,,-7.20M,,,
1993-09,150.00M,,,,,,,126.70M,126.70M,22.00M,,,,-29.80M,54.90M,96.20M,160.20M,,-179.90M,,131.40M,,400.30M,,-170.20M,15.20M,-155.00M,,,,-155.00M,,,,-9.30M,17.00M,-3.10M,13.90M,,-55.20M,,,-50.60M,,0.00,194.70M,,0.00,,,17.00M,,,-3.10M,,,
