,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,198.60M,1.40M,,28.20M,29.60M,35.00M,7.10M,42.10M,42.10M,,76.80M,9.80M,,-40.00M,-27.90M,-18.20M,11.50M,,,60.80M,26.20M,,343.10M,,-22.40M,0.10M,0.10M,0.00,80.90M,,58.60M,,0.00,-307.80M,-307.80M,,-420.50M,-420.50M,-114.80M,-114.80M,6.00M,0.00,-837.10M,,1.434B,-435.40M,-58.40M,940.10M,,,,0.00,0.00,-420.50M,,AOR,Restated
2018-03,227.40M,0.00,,28.40M,28.40M,36.00M,7.20M,43.20M,43.20M,,0.00,10.20M,,3.00M,8.60M,11.30M,44.00M,,,5.30M,69.20M,,381.40M,,-22.10M,0.20M,0.20M,0.00,558.20M,,536.30M,,0.00,-531.50M,-531.50M,,-470.90M,-470.90M,-106.20M,-106.20M,31.80M,0.00,-1.077B,,1.547B,-159.10M,46.00M,1.434B,,,,0.00,0.00,-470.90M,,AOR,Restated
2017-12,-236.40M,0.00,,28.30M,28.30M,32.50M,7.10M,39.60M,39.60M,,0.00,8.60M,,16.30M,-18.40M,-19.20M,-36.80M,,,430.70M,356.30M,,212.70M,,-34.10M,0.20M,0.20M,-9.90M,10.80M,,-33.00M,,-250.00M,489.60M,239.60M,,-190.80M,-190.80M,-107.30M,-107.30M,30.10M,1.80M,-26.60M,,1.411B,153.10M,-17.00M,1.547B,,,,,-250.00M,-190.80M,,AOR,Restated
2017-09,204.60M,0.20M,,46.80M,-13.80M,38.00M,6.90M,44.90M,44.90M,,0.00,9.10M,,-192.80M,-13.30M,22.60M,14.40M,,,-2.60M,21.10M,,106.90M,,-44.20M,0.30M,0.30M,94.00M,-203.10M,,-153.00M,,0.00,2.00M,2.00M,,-38.00M,-38.00M,-97.50M,-97.50M,21.60M,,-111.90M,,1.549B,-158.00M,19.50M,1.411B,,,,,0.00,-38.00M,,AOR,Restated
2017-06,216.90M,-0.10M,,43.10M,43.00M,35.30M,7.70M,43.00M,43.00M,,0.00,9.20M,,-12.40M,-23.30M,-36.40M,46.70M,,,28.60M,15.60M,,315.30M,,-30.10M,0.40M,0.40M,0.00,27.50M,,-2.20M,,0.00,-25.10M,-25.10M,,-119.60M,-119.60M,-97.70M,-97.70M,23.40M,,-219.00M,,1.441B,94.10M,14.50M,1.549B,,,,,0.00,-119.60M,,AOR,Restated
2017-03,189.50M,,,43.10M,43.10M,32.90M,7.70M,40.60M,40.60M,,,9.50M,,-15.20M,-22.40M,11.30M,30.40M,,,14.20M,33.50M,,301.00M,,-28.00M,0.10M,0.10M,0.00,-296.00M,,-323.90M,,,-35.10M,-35.10M,,-103.00M,-103.00M,-98.00M,-98.00M,69.30M,,-166.80M,,1.595B,-189.70M,35.90M,1.441B,,,,,,-103.00M,,AOR,Restated
2016-12,214.70M,,,43.00M,43.00M,32.50M,7.90M,40.40M,40.40M,,,10.70M,,-13.20M,6.00M,-27.90M,-10.40M,,,47.50M,15.20M,,310.80M,,-39.40M,0.30M,0.30M,-1.10M,2.60M,,-37.60M,,0.00,-40.00M,-40.00M,,-82.00M,-82.00M,-97.50M,-97.50M,67.60M,,-151.90M,,1.526B,121.30M,-53.10M,1.595B,,,,,0.00,-82.00M,,AOR,Restated
2016-09,185.20M,,,39.60M,41.30M,36.10M,6.90M,43.00M,43.00M,,,10.10M,-0.90M,-13.30M,-35.90M,28.40M,3.40M,,,81.20M,77.10M,,272.00M,,-37.50M,0.00,0.00,-117.90M,20.90M,,-134.50M,,,94.60M,94.60M,,-133.50M,-133.50M,-93.50M,-93.50M,8.20M,0.90M,-123.30M,,1.509B,14.20M,2.90M,1.526B,,,,,,-133.50M,,AOR,Restated
2016-06,191.00M,,,39.30M,39.30M,35.50M,7.30M,42.80M,42.80M,,,9.80M,-1.20M,-10.30M,3.50M,10.00M,25.60M,,,-34.50M,4.60M,,276.00M,,-26.80M,0.20M,0.20M,-0.10M,-12.30M,,-39.00M,,,76.40M,76.40M,,-116.70M,-116.70M,-94.30M,-94.30M,15.20M,1.20M,-118.20M,,1.396B,118.80M,-5.80M,1.509B,,,,,,-116.70M,,AOR,Restated
2016-03,168.00M,,,39.00M,39.00M,38.00M,7.10M,45.10M,45.10M,,,9.80M,-0.50M,-10.10M,-1.60M,-1.10M,22.30M,,,-56.40M,-36.80M,,214.50M,,-12.40M,0.00,0.00,-21.10M,-141.70M,,-175.20M,,,116.60M,116.60M,,-130.00M,-130.00M,-94.80M,-94.80M,8.80M,0.50M,-98.90M,,1.449B,-59.60M,6.70M,1.396B,,,,,,-130.00M,,AOR,Restated
