,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,730.40M,,730.40M,1.379B,1.379B,198.40M,165.40M,276.80M,640.60M,,182.10M,2.932B,2.288B,,,,341.40M,,2.629B,-1.720B,909.10M,1.902B,540.30M,2.442B,1.346B,351.50M,189.90M,5.239B,8.171B,,933.10M,,205.30M,,1.138B,29.80M,1.168B,150.50M,150.50M,94.00M,244.50M,383.60M,383.60M,181.30M,2.189B,1.980B,268.20M,2.248B,,,1.287B,316.20M,572.90M,4.109B,6.297B,,181.40M,7.609B,1.856B,6.562B,,,,-1.527B,1.558B,,AOR,
2020-09,704.60M,,704.60M,1.249B,1.249B,181.90M,159.10M,243.00M,584.00M,,148.10M,2.686B,0.00,4.80M,383.00M,1.727B,342.90M,134.40M,2.592B,-1.675B,917.30M,1.650B,479.30M,2.130B,953.50M,415.60M,162.90M,4.579B,7.265B,,887.40M,,138.30M,,1.026B,14.90M,1.041B,24.60M,24.60M,89.70M,114.30M,325.30M,325.30M,133.60M,1.811B,1.975B,274.70M,2.249B,,,1.284B,319.00M,573.70M,4.107B,5.918B,,181.40M,7.140B,1.831B,6.510B,,,,-1.614B,1.028B,,AOR,
2020-06,909.80M,0.60M,910.40M,1.202B,1.202B,191.30M,180.00M,303.50M,674.80M,,155.20M,2.942B,,,,,2.532B,,2.532B,-1.647B,884.80M,1.631B,490.70M,2.122B,900.10M,353.30M,127.10M,4.387B,7.330B,,837.70M,118.30M,93.70M,,1.050B,30.40M,1.080B,422.80M,422.80M,89.20M,512.00M,341.70M,341.70M,119.70M,2.242B,1.974B,250.60M,2.225B,,,1.201B,318.60M,571.90M,3.998B,6.240B,,181.40M,6.877B,1.810B,6.528B,,,,-1.570B,770.50M,,AOR,
2020-03,641.80M,,641.80M,1.301B,1.301B,173.30M,174.90M,280.80M,629.00M,,186.30M,2.758B,2.177B,,,,318.50M,,2.496B,-1.616B,879.30M,1.362B,433.00M,1.795B,716.30M,369.30M,147.50M,3.908B,6.666B,,937.00M,,80.30M,,1.017B,15.10M,1.032B,81.50M,81.50M,88.40M,169.90M,326.20M,326.20M,98.00M,1.762B,1.970B,253.50M,2.224B,,,1.199B,317.10M,543.50M,3.966B,5.728B,,181.40M,6.796B,1.791B,6.522B,,,,-1.626B,620.80M,,AOR,
2019-12,926.20M,,926.20M,1.298B,1.298B,173.50M,179.00M,272.80M,625.30M,,157.90M,3.008B,2.183B,,,,331.10M,,2.514B,-1.609B,905.10M,1.396B,441.80M,1.838B,860.70M,368.50M,128.50M,4.100B,7.108B,,903.60M,,111.70M,,1.015B,28.20M,1.044B,324.50M,324.50M,86.80M,411.30M,319.20M,319.20M,91.60M,2.068B,1.953B,257.80M,2.211B,,,1.228B,319.50M,565.20M,4.004B,6.071B,,181.40M,6.782B,1.776B,6.438B,,,,-1.584B,717.00M,,AOR,Restated
2019-09,1.018B,,1.018B,1.179B,1.179B,173.60M,178.40M,223.70M,575.70M,,212.90M,2.986B,0.00,4.10M,373.80M,1.644B,,116.00M,2.138B,-1.566B,571.90M,1.071B,194.10M,1.265B,793.90M,364.10M,132.20M,3.127B,6.113B,,893.80M,,106.70M,,1.000B,15.50M,1.016B,300.50M,300.50M,0.00,300.50M,275.60M,275.60M,105.70M,1.937B,1.956B,0.00,1.956B,,,1.232B,0.00,583.70M,3.772B,5.709B,,181.40M,6.440B,1.709B,6.438B,,,,-1.488B,404.20M,,AOR,Restated
2019-06,788.80M,124.60M,913.40M,1.223B,1.223B,186.00M,203.20M,267.10M,656.30M,,153.50M,2.946B,,,,,2.141B,,2.141B,-1.585B,556.50M,1.081B,200.90M,1.282B,1.058B,198.10M,118.30M,3.213B,6.159B,,822.50M,113.50M,96.20M,,1.032B,28.30M,1.060B,299.40M,299.40M,,299.40M,293.70M,293.70M,84.80M,1.952B,1.941B,,1.941B,,,584.00M,,524.70M,3.050B,5.002B,,181.40M,6.432B,1.698B,6.224B,,,,-930.20M,1.156B,,AOR,Restated
2019-03,780.00M,122.20M,902.20M,1.244B,1.244B,193.00M,203.50M,268.90M,665.40M,,164.80M,2.977B,,,,,2.115B,,2.115B,-1.557B,557.80M,1.086B,207.70M,1.294B,1.112B,200.00M,113.60M,3.277B,6.254B,,853.40M,,105.20M,,958.60M,15.90M,974.50M,298.70M,298.70M,,298.70M,308.90M,308.90M,92.60M,1.872B,1.932B,,1.932B,,,587.00M,,526.60M,3.046B,4.918B,,181.40M,6.398B,1.687B,5.990B,,,,-940.30M,1.336B,,AOR,Restated
2018-12,632.30M,121.20M,753.50M,1.189B,1.189B,186.00M,194.40M,246.80M,627.20M,,168.50M,2.738B,,,,,2.105B,,2.105B,-1.545B,559.70M,1.064B,208.20M,1.272B,1.06B,196.40M,109.10M,3.198B,5.935B,,844.40M,,150.10M,,994.50M,15.50M,1.01B,631.30M,631.30M,,631.30M,293.00M,293.00M,129.70M,2.266B,1.235B,,1.235B,,,593.10M,,567.10M,2.396B,4.661B,,181.40M,6.168B,1.674B,5.772B,,,,-976.90M,1.274B,,AOR,Restated
2018-09,618.80M,290.90M,909.70M,1.190B,1.190B,177.30M,180.00M,224.30M,581.60M,,149.30M,2.831B,0.00,5.30M,359.60M,1.662B,,111.30M,2.138B,-1.561B,576.80M,1.076B,215.20M,1.291B,1.288B,179.60M,96.20M,3.431B,6.262B,,920.00M,,115.30M,,1.035B,12.30M,1.048B,551.00M,551.00M,,551.00M,249.90M,249.90M,99.00M,2.237B,1.225B,,1.225B,,,605.10M,,577.30M,2.408B,4.644B,,181.40M,6.198B,1.681B,5.502B,,,,-941.90M,1.618B,,AOR,Restated
