,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.565B,1.565B,918.80M,646.50M,374.60M,,70.00M,22.60M,0.30M,-22.30M,374.60M,271.90M,0.30M,22.60M,-22.30M,451.10M,-22.30M,700.70M,110.30M,590.40M,,,2.90M,,593.30M,205.64M,767.30M,44.00M,723.30M,,5.11,,,1.771,5.11,,5.06,,,1.750,5.06,,116.10M,117.10M,1.07,,AOR,
2020-09,1.57B,1.57B,930.70M,639.30M,354.40M,,,26.20M,,-20.70M,354.40M,284.90M,,26.20M,-20.70M,35.40M,-20.70M,299.60M,35.90M,263.70M,,,-1.40M,,262.70M,216.75M,370.80M,45.00M,325.80M,,2.269,,,1.873,2.269,,2.25,,,1.857,2.25,,115.80M,116.90M,1.02,,AOR,
2020-06,1.394B,1.394B,839.80M,554.20M,370.20M,,,25.40M,,-25.40M,370.20M,184.00M,,25.40M,-25.40M,175.90M,-25.40M,334.50M,20.30M,314.20M,,,3.60M,,317.80M,153.01M,403.40M,43.50M,359.90M,,2.74,,,1.316,2.74,,2.73,,,1.314,2.73,,115.70M,116.40M,1.02,,AOR,
2020-03,1.681B,1.681B,982.50M,698.80M,352.00M,,,25.50M,,-25.50M,352.00M,346.80M,,25.50M,-25.50M,-153.90M,-25.50M,167.40M,37.50M,129.90M,,,2.30M,,132.20M,244.56M,235.20M,42.30M,192.90M,,1.14,,,2.109,1.14,,1.13,,,2.094,1.13,,116.00M,116.60M,1.02,,AOR,
2019-12,1.684B,1.684B,981.60M,702.90M,403.20M,,,26.40M,2.40M,-24.00M,403.20M,299.70M,2.40M,26.40M,-24.00M,58.90M,-24.00M,334.60M,19.20M,315.40M,,,-4.70M,,310.70M,243.75M,402.90M,41.90M,361.00M,,2.68,,,2.101,2.68,,2.66,,,2.086,2.66,,115.70M,116.60M,1.02,,AOR,Restated
2019-09,1.730B,1.730B,1.007B,722.90M,405.10M,,,27.00M,,-15.90M,405.10M,317.80M,,27.00M,-15.90M,-245.50M,-15.90M,56.40M,48.30M,8.10M,,,0.00,,8.10M,174.83M,123.40M,40.00M,83.40M,,0.0700,,,1.505,0.0700,,0.07,,,1.493,0.07,,116.20M,117.20M,0.97,,AOR,Restated
2019-06,1.665B,1.665B,934.80M,730.30M,361.70M,,,26.80M,,-26.80M,361.70M,368.60M,,26.80M,-26.80M,-20.40M,-26.80M,321.40M,60.00M,261.40M,,,0.00,,261.40M,282.21M,385.10M,36.90M,348.20M,,2.22,,,2.397,2.22,,2.20,,,2.375,2.20,,117.60M,118.60M,0.97,,AOR,Restated
2019-03,1.657B,1.657B,949.00M,708.20M,385.00M,,,23.70M,,-23.70M,385.00M,323.20M,,23.70M,-23.70M,102.90M,-23.70M,402.40M,56.40M,346.00M,,,0.00,,346.00M,261.55M,465.50M,39.40M,426.10M,,2.91,,,2.200,2.91,,2.88,,,2.176,2.88,,118.90M,120.00M,0.97,,AOR,Restated
2018-12,1.642B,1.642B,903.60M,738.70M,386.70M,,,20.70M,,-20.70M,386.70M,352.00M,,20.70M,-20.70M,-210.50M,-20.70M,120.80M,40.50M,80.30M,,,0.00,,80.30M,221.75M,177.40M,35.90M,141.50M,,0.67,,,1.846,0.67,,0.66,,,1.824,0.66,,120.30M,121.50M,0.97,,AOR,Restated
2018-09,1.730B,1.730B,993.40M,736.10M,415.10M,,,19.20M,,5.20M,415.10M,321.00M,,19.20M,5.20M,155.50M,5.20M,481.70M,135.80M,345.90M,,,,,345.90M,345.90M,540.60M,39.70M,500.90M,,2.856,,,2.856,2.856,,2.80,,,2.80,2.80,,122.10M,123.30M,0.92,,AOR,Restated
