,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,904.00M,920.00M,465.00M,455.00M,13.00M,27.00M,68.00M,,-68.00M,,183.00M,272.00M,,68.00M,-68.00M,25.00M,-68.00M,229.00M,-20.00M,249.00M,,,,3.00M,249.00M,239.51M,453.00M,155.60M,297.00M,,0.99,,,0.9520,0.99,,0.98,,,0.9420,0.98,,249.70M,250.00M,0.38,,AOR,
2020-06,744.20M,763.10M,415.80M,347.30M,15.20M,27.10M,69.60M,,-69.60M,,179.20M,168.10M,,69.60M,-69.60M,30.10M,-69.60M,128.60M,-8.30M,136.90M,,,,2.50M,136.90M,125.80M,350.30M,152.10M,198.20M,,0.54,,,0.4955,0.54,,0.54,,,0.4956,0.54,,249.60M,249.80M,0.38,,AOR,
2020-03,894.10M,915.70M,553.50M,362.20M,23.00M,27.60M,68.90M,,-68.90M,,173.90M,188.30M,,68.90M,-68.90M,34.50M,-68.90M,153.90M,-18.70M,172.60M,,,,2.60M,172.60M,155.81M,369.10M,146.30M,222.80M,,0.70,,,0.6313,0.70,,0.70,,,0.6314,0.70,,244.40M,244.60M,0.38,,AOR,
2019-12,859.30M,879.70M,549.00M,330.70M,26.70M,26.80M,68.90M,,-68.90M,,170.00M,160.70M,,68.90M,-68.90M,41.30M,-68.90M,133.10M,19.70M,113.40M,,,,2.20M,113.40M,90.65M,345.20M,143.20M,202.00M,,0.46,,,0.3656,0.46,,0.46,,,0.3658,0.46,,240.90M,241.40M,0.355,,AOR,
2019-09,969.00M,990.00M,529.00M,461.00M,22.00M,27.00M,68.00M,,-68.00M,,171.00M,290.00M,,68.00M,-68.00M,30.00M,-68.00M,252.00M,23.00M,229.00M,,,,3.00M,229.00M,208.98M,464.20M,144.20M,320.00M,,0.95,,,0.8663,0.95,,0.94,,,0.8565,0.94,,239.10M,239.90M,0.355,,AOR,Restated
2019-06,767.30M,790.20M,469.90M,320.30M,18.30M,27.60M,69.20M,,-69.20M,,170.50M,149.80M,,69.20M,-69.20M,27.70M,-69.20M,108.30M,11.20M,97.10M,,,,2.50M,97.10M,80.69M,320.40M,142.90M,177.50M,,0.40,,,0.3309,0.40,,0.40,,,0.3311,0.40,,237.50M,238.10M,0.355,,AOR,Restated
2019-03,970.30M,987.20M,644.20M,343.00M,25.40M,29.30M,66.30M,,-66.30M,,166.20M,176.80M,,66.30M,-66.30M,32.30M,-66.30M,142.80M,15.10M,127.70M,,,,2.60M,127.70M,104.99M,346.00M,136.90M,209.10M,,0.53,,,0.4340,0.53,,0.53,,,0.4340,0.53,,236.50M,236.60M,0.355,,AOR,Restated
2018-12,863.50M,873.50M,589.30M,284.20M,23.80M,26.30M,63.20M,,-63.20M,,156.80M,127.40M,,63.20M,-63.20M,29.20M,-63.20M,93.40M,5.60M,87.80M,,,,2.50M,87.80M,65.43M,287.10M,130.50M,156.60M,,0.3614,0.00,,0.2665,0.36,,0.3614,0.00,,0.2665,0.36,,235.70M,235.70M,0.335,,AOR,Restated
2018-09,918.30M,928.60M,518.20M,410.40M,18.80M,26.90M,63.30M,,-63.30M,,155.90M,254.50M,,63.30M,-63.30M,28.60M,-63.30M,219.80M,11.70M,208.10M,,,,2.60M,208.10M,190.30M,412.10M,129.00M,283.10M,,0.87,,,0.7943,0.87,,0.87,,,0.7943,0.87,,235.20M,235.20M,0.335,,AOR,Restated
2018-06,805.60M,816.10M,515.70M,300.40M,18.10M,24.20M,61.30M,,-61.30M,,151.20M,149.20M,,61.30M,-61.30M,28.60M,-61.30M,116.50M,13.60M,102.90M,,,,2.50M,102.90M,86.92M,304.80M,127.00M,177.80M,,0.43,,,0.3611,0.43,,0.43,,,0.3611,0.43,,232.00M,232.00M,0.335,,AOR,Restated
2018-03,907.50M,916.30M,605.60M,310.70M,14.90M,27.00M,59.20M,,-59.20M,,147.40M,163.30M,,59.20M,-59.20M,36.20M,-59.20M,140.30M,16.80M,123.50M,,,,2.60M,123.50M,110.38M,319.90M,120.40M,199.50M,,0.52,,,0.4633,0.52,,0.52,,,0.4633,0.52,,231.40M,231.40M,0.335,,AOR,Restated
2017-12,846.90M,856.10M,563.40M,292.70M,13.00M,26.50M,56.60M,,-56.60M,,145.60M,147.10M,,56.60M,-56.60M,7.60M,-56.60M,98.10M,1.80M,96.30M,0.00,,,2.50M,96.30M,83.54M,273.80M,119.10M,154.70M,,0.41,0.00,,0.3548,0.41,,0.41,0.00,,0.3548,0.41,,231.20M,231.20M,0.315,,AOR,Restated
2017-09,897.60M,906.90M,527.50M,379.40M,9.60M,27.00M,53.90M,,-53.90M,,147.70M,231.70M,,53.90M,-53.90M,19.70M,-53.90M,197.50M,26.10M,171.40M,0.00,,,2.60M,171.40M,163.07M,372.10M,120.70M,251.40M,,0.73,0.00,,0.6939,0.73,,0.73,0.00,,0.6939,0.73,,231.00M,231.00M,0.315,,AOR,Restated
2017-06,755.00M,765.30M,475.20M,290.10M,10.10M,25.70M,52.80M,,-52.80M,,140.70M,149.40M,,52.80M,-52.80M,21.40M,-52.80M,118.00M,21.20M,96.80M,,,,2.50M,96.80M,88.52M,285.80M,115.00M,170.80M,,0.41,,,0.3738,0.41,,0.41,,,0.3738,0.41,,229.00M,229.00M,0.315,,AOR,Restated
2017-03,843.60M,853.90M,577.50M,276.40M,17.00M,26.40M,52.30M,,-52.30M,,133.40M,143.00M,,52.30M,-52.30M,28.50M,-52.30M,119.20M,17.60M,101.60M,1.40M,,,2.60M,103.00M,87.11M,278.50M,107.00M,171.50M,,0.43,0.01,,0.3663,0.44,,0.43,0.01,,0.3663,0.44,,227.60M,227.60M,0.315,,AOR,Restated
