,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,239.60M,,-8.80M,,-8.80M,249.30M,249.30M,56.90M,,-72.90M,-246.20M,44.80M,-92.30M,117.60M,-23.80M,-17.90M,,-217.80M,,246.30M,,-620.10M,-9.80M,-9.80M,-610.50M,1.30M,-4.60M,-1.244B,,279.20M,1.006B,1.285B,,-42.50M,-42.50M,-199.50M,-199.50M,20.50M,-54.80M,1.009B,,61.20M,11.40M,72.60M,,,2.170B,-884.60M,-42.50M,,,,AOR,
2020-09,267.10M,,-0.20M,,-0.20M,245.00M,245.00M,9.00M,,-12.30M,46.90M,-105.70M,92.30M,9.40M,-25.30M,43.90M,,61.50M,,570.10M,,-581.50M,9.80M,9.80M,-6.20M,0.00,21.00M,-556.90M,,635.60M,-440.50M,195.10M,,-6.40M,-6.40M,-199.50M,-199.50M,3.00M,-6.60M,-14.40M,,62.40M,-1.20M,61.20M,,,659.30M,-464.20M,-6.40M,,,,AOR,
2020-06,242.10M,,-20.10M,,-20.10M,242.50M,242.50M,51.40M,,11.50M,218.90M,-76.60M,,61.80M,-2.90M,-39.50M,,161.70M,,689.10M,,-541.10M,,,-6.00M,0.10M,3.80M,-543.20M,,-294.20M,384.30M,90.10M,,-9.90M,-9.90M,-199.50M,-199.50M,4.30M,-34.20M,-149.20M,,65.70M,-3.30M,62.40M,,,150.70M,-60.60M,-9.90M,,,,AOR,
2020-03,452.60M,,,,,239.10M,239.10M,92.10M,,-36.10M,-3.50M,158.70M,,-250.10M,65.40M,-27.70M,,-57.20M,,690.50M,,-496.10M,,,-3.00M,17.00M,19.10M,-463.00M,,-14.00M,-3.60M,-17.60M,,-40.40M,-40.40M,-199.50M,-199.50M,16.00M,-2.60M,-244.10M,,82.30M,-16.60M,65.70M,,,340.00M,-357.60M,-40.40M,,,,AOR,
2019-12,244.20M,,14.90M,,14.90M,236.20M,236.20M,104.10M,,-32.80M,-262.00M,43.40M,-90.70M,193.80M,-26.80M,80.50M,,-61.80M,,504.80M,,-749.30M,5.40M,5.40M,-15.30M,0.00,-1.20M,-760.40M,,320.90M,144.40M,465.30M,,-1.90M,-1.90M,-186.10M,-186.10M,0.90M,-6.90M,271.30M,,66.60M,15.70M,82.30M,,,575.00M,499.60M,-1.90M,,,,AOR,
2019-09,234.30M,,-8.40M,,-8.40M,233.80M,233.80M,-37.30M,,-7.40M,92.30M,-131.90M,90.70M,30.40M,-0.30M,53.30M,,134.50M,,549.50M,,-656.30M,32.20M,32.20M,-15.40M,0.10M,-28.70M,-668.10M,,881.30M,-576.30M,305.00M,,-31.90M,-31.90M,-186.10M,-186.10M,16.00M,-8.50M,94.50M,,90.70M,-24.10M,66.60M,,,970.00M,-665.00M,-31.90M,,,,AOR,Restated
2019-06,235.80M,,-9.40M,,-9.40M,229.90M,229.90M,78.90M,,-7.40M,392.20M,-131.30M,,-18.40M,-105.10M,-109.70M,,27.70M,,555.50M,,-496.40M,,,-18.50M,0.00,55.10M,-459.80M,,-4.00M,117.50M,113.50M,,-35.60M,-35.60M,-186.10M,-186.10M,17.50M,-3.40M,-94.10M,,89.10M,1.60M,90.70M,,,0.00,113.50M,-35.60M,,,,AOR,Restated
2019-03,420.40M,,,,,226.40M,226.40M,17.20M,,2.30M,-124.30M,218.30M,,-204.30M,125.10M,54.60M,,69.40M,,735.70M,,-358.80M,,,-271.60M,0.10M,23.70M,-606.60M,,336.70M,-294.90M,41.80M,,-70.70M,-70.70M,-186.20M,-186.20M,32.60M,-3.60M,-186.10M,,146.10M,-57.00M,89.10M,,,350.00M,-308.20M,-70.70M,,,,AOR,Restated
2018-12,205.30M,,-14.10M,,-14.10M,217.70M,217.70M,262.90M,,44.90M,-288.60M,60.20M,,181.80M,-122.70M,-110.10M,,-279.40M,,437.30M,,-625.20M,1.20M,1.20M,-90.60M,37.00M,13.20M,-664.40M,,881.10M,-348.20M,532.90M,,-30.40M,-30.40M,-174.30M,-174.30M,15.20M,-10.40M,333.00M,,40.20M,105.90M,146.10M,,,1.14B,-258.90M,-30.40M,,,,AOR,Restated
2018-09,233.50M,,-9.40M,,-9.40M,212.80M,212.80M,2.70M,,30.10M,76.60M,-141.60M,,13.80M,33.90M,42.40M,,25.10M,,494.80M,,-575.00M,3.00M,3.00M,-154.80M,0.10M,3.50M,-723.20M,,-13.00M,418.30M,405.30M,,-22.20M,-22.20M,-174.30M,-174.30M,8.80M,-1.00M,216.60M,,52.00M,-11.80M,40.20M,,,0.00,-13.00M,-22.20M,,,,AOR,Restated
2018-06,231.30M,,-2.20M,,-2.20M,206.70M,206.70M,14.70M,,8.80M,295.60M,-90.40M,,85.90M,-2.50M,-128.50M,,160.10M,,619.40M,,-475.90M,7.90M,7.90M,-96.70M,0.00,3.70M,-561.00M,,-68.80M,169.70M,100.90M,,-4.00M,-4.00M,-174.50M,-174.50M,3.00M,-3.50M,-78.10M,,71.70M,-19.70M,52.00M,,,600.00M,-668.80M,-4.00M,,,,AOR,Restated
2018-03,390.40M,,7.10M,,7.10M,208.60M,208.60M,17.00M,,129.00M,-60.10M,163.00M,,-170.90M,81.30M,128.60M,,141.90M,,894.00M,,-439.60M,,,-12.80M,16.50M,0.10M,-435.80M,,-12.60M,-244.30M,-256.90M,,-15.80M,-15.80M,-174.20M,-174.20M,2.10M,-0.30M,-445.10M,,58.60M,13.10M,71.70M,,,0.00,-12.60M,-15.80M,,,,AOR,Restated
2017-12,432.90M,,13.70M,,13.70M,205.10M,205.10M,-172.70M,,-76.80M,-396.90M,133.40M,,119.70M,-63.90M,138.40M,,-69.30M,,332.90M,,-650.30M,1.30M,1.30M,-46.30M,-3.60M,10.60M,-688.30M,,97.40M,451.10M,548.50M,,-10.70M,-10.70M,-164.10M,-164.10M,5.20M,-3.40M,375.50M,,38.50M,20.10M,58.60M,,,225.00M,-127.60M,-10.70M,,,,AOR,Restated
2017-09,215.70M,,-4.00M,,-4.00M,201.20M,201.20M,169.80M,,-55.30M,63.20M,-162.00M,,2.80M,42.30M,5.10M,,-48.60M,,478.80M,,-519.20M,2.00M,2.00M,-12.80M,0.00,0.40M,-529.60M,,-12.30M,218.70M,206.40M,,-20.90M,-20.90M,-164.10M,-164.10M,10.00M,-0.40M,31.00M,,58.30M,-19.80M,38.50M,,,0.00,-12.30M,-20.90M,,,,AOR,Restated
2017-06,199.40M,,-7.80M,,-7.80M,197.70M,197.70M,124.40M,,-60.60M,192.30M,-92.60M,,98.70M,-26.70M,-72.50M,,99.20M,,552.30M,,-460.30M,7.60M,7.60M,-248.90M,0.00,-1.50M,-703.10M,,207.40M,104.40M,311.80M,,-19.50M,-19.50M,-164.20M,-164.20M,9.70M,-2.10M,135.70M,,73.40M,-15.10M,58.30M,,,210.00M,-2.60M,-19.50M,,,,AOR,Restated
2017-03,356.90M,,-6.70M,,-6.70M,194.60M,194.60M,150.20M,,-125.20M,55.00M,170.50M,,-212.70M,41.20M,90.80M,,144.80M,,714.60M,,-329.70M,13.10M,13.10M,-27.60M,8.60M,2.50M,-333.10M,,-12.00M,-189.80M,-201.80M,,-20.20M,-20.20M,-164.10M,-164.10M,5.90M,-0.60M,-380.80M,,72.70M,0.70M,73.40M,,,,-12.00M,-20.20M,,,,AOR,Restated
2016-12,194.70M,,-10.80M,,-10.80M,181.10M,181.10M,54.30M,,46.40M,-365.90M,66.20M,,129.10M,14.70M,72.10M,,-83.80M,,381.90M,,-423.60M,5.10M,5.10M,-15.20M,,-21.40M,-512.60M,,147.50M,70.80M,218.30M,,-2.40M,-2.40M,-156.30M,-156.30M,1.20M,-1.40M,59.40M,,25.00M,-71.30M,72.70M,,,200.00M,-52.50M,-2.40M,,-260.70M,,AOR,Restated
2016-09,217.30M,,-13.10M,,-13.10M,195.50M,195.50M,132.40M,,-15.30M,55.10M,-159.70M,,17.70M,21.80M,46.10M,,-19.00M,,497.80M,,-381.40M,0.20M,0.20M,-15.00M,,3.70M,-392.50M,,188.30M,-138.40M,49.90M,,-11.40M,-11.40M,-156.20M,-156.20M,5.40M,-0.10M,-112.40M,,32.10M,-7.10M,25.00M,,,200.00M,-11.70M,-11.40M,,260.70M,,AOR,Restated
2016-06,181.70M,,0.70M,,0.70M,194.10M,194.10M,92.50M,,-41.80M,178.70M,-23.70M,,11.30M,130.40M,-195.70M,,101.00M,,528.20M,,-306.70M,54.50M,54.50M,-3.10M,,-5.40M,-260.70M,,-102.40M,31.40M,-71.00M,,-34.60M,-34.60M,-156.20M,-156.20M,13.60M,-21.90M,-270.10M,,34.70M,-2.60M,32.10M,,,0.00,-102.40M,-34.60M,,,,AOR,Restated
2016-03,346.50M,,-23.40M,,-23.40M,191.90M,191.90M,214.60M,,-71.60M,-48.60M,217.20M,,-123.70M,-63.70M,56.70M,,37.90M,,695.90M,,-312.00M,106.50M,106.50M,-9.00M,,26.10M,-188.40M,,-139.40M,-198.60M,-338.00M,,-59.60M,-59.60M,-156.20M,-156.20M,21.40M,9.80M,-522.60M,,49.80M,-15.10M,34.70M,,,,-139.40M,-59.60M,,,,AOR,Restated
2015-12,179.90M,,6.80M,,6.80M,192.60M,192.60M,198.60M,,-65.20M,-185.50M,32.00M,,46.60M,-102.80M,-83.80M,,-293.50M,,219.20M,,-474.40M,2.20M,2.20M,-3.10M,,53.70M,-421.60M,,-2.50M,433.50M,431.00M,,-8.60M,-8.60M,-144.50M,-144.50M,3.70M,1.10M,230.00M,,22.20M,27.60M,49.80M,,,500.00M,-502.50M,-61.30M,,,,AOR,Restated
2015-09,183.10M,,-8.60M,,-8.60M,175.80M,175.80M,98.40M,,-116.40M,135.00M,-173.60M,,-93.80M,58.90M,99.10M,,25.60M,,357.90M,,-423.80M,5.50M,5.50M,-3.50M,,5.10M,-416.70M,,184.50M,-164.80M,19.70M,,-34.10M,-34.10M,-120.40M,-120.40M,14.20M,-12.80M,-133.40M,,214.40M,-192.20M,22.20M,,,200.00M,-15.50M,-34.10M,,,,AOR,Restated
2015-06,81.20M,,-3.50M,,-3.50M,107.80M,107.80M,15.10M,,3.50M,162.50M,-38.70M,,115.70M,-27.80M,-29.30M,,182.40M,,386.50M,,-214.80M,21.20M,21.20M,-1.331B,,1.40M,-1.523B,,1.448B,-51.10M,1.397B,,-8.60M,-8.60M,-95.20M,-95.20M,3.80M,-11.00M,1.286B,,65.20M,149.20M,214.40M,,,1.45B,-2.30M,-8.60M,,,,AOR,Restated
2015-03,196.10M,,-5.70M,,-5.70M,107.30M,107.30M,106.60M,,-152.00M,-28.00M,110.90M,,-77.80M,44.50M,28.10M,,77.70M,,330.00M,,-153.20M,,,-1.30M,,-1.80M,-156.30M,,-9.30M,-54.60M,-63.90M,,-23.40M,-23.40M,-95.30M,-95.30M,8.40M,3.80M,-170.40M,,61.90M,3.30M,65.20M,,,,-9.30M,-23.40M,,,,AOR,Restated
2014-12,122.60M,,,12.00M,3.50M,104.10M,104.10M,69.60M,,24.10M,-140.40M,-21.30M,,61.70M,-51.10M,-8.50M,,-159.60M,,164.30M,,-248.20M,,,-2.60M,,9.00M,-227.90M,,-2.30M,141.80M,139.50M,,-39.00M,-39.00M,-88.00M,-88.00M,18.60M,5.70M,36.80M,,88.70M,-26.80M,61.90M,,,0.00,-2.30M,-39.00M,,,,AOR,Restated
2014-09,126.30M,,,-12.00M,-12.00M,106.40M,106.40M,70.50M,,-27.40M,89.10M,-75.00M,,25.20M,25.40M,-15.20M,,49.50M,,313.30M,,-207.50M,,,-2.60M,,-5.90M,-216.00M,,-10.90M,65.70M,54.80M,,-26.90M,-26.90M,-88.00M,-88.00M,14.10M,4.00M,-42.00M,,33.40M,55.30M,88.70M,,,0.00,-10.90M,-26.90M,,,,AOR,Restated
2014-06,133.00M,,,0.00,0.00,102.80M,102.80M,76.40M,,-58.90M,316.80M,-69.40M,,-159.30M,-17.10M,11.90M,,82.90M,,336.20M,,-176.30M,,,-4.00M,,6.50M,-173.80M,,-52.20M,-12.10M,-64.30M,,-4.70M,-4.70M,-87.90M,-87.90M,2.40M,-2.10M,-156.60M,,27.60M,5.80M,33.40M,,,250.00M,-302.20M,-4.70M,,,,AOR,Restated
2014-03,207.60M,,,0.00,0.00,103.70M,103.70M,111.60M,,-39.00M,-184.80M,94.50M,,96.10M,28.90M,-33.50M,,1.20M,,385.10M,,-129.20M,,,-3.90M,,-6.00M,-139.10M,,-8.90M,-115.20M,-124.10M,,-52.60M,-52.60M,-88.10M,-88.10M,15.20M,5.20M,-244.40M,,26.00M,1.60M,27.60M,,,,-8.90M,-52.60M,,,,AOR,Restated
2013-12,145.50M,,,,,98.40M,98.40M,92.90M,,71.50M,-258.20M,38.20M,,32.80M,-37.80M,-1.40M,,-226.40M,,181.90M,,-227.50M,,,-2.60M,,29.10M,-201.00M,,-33.00M,175.60M,142.60M,,-35.50M,-35.50M,-86.60M,-86.60M,5.80M,0.30M,26.60M,,18.50M,7.50M,26.00M,,,0.00,-33.00M,-35.50M,,,,AOR,Restated
2013-09,137.50M,,,,,99.90M,99.90M,76.70M,,-30.60M,46.00M,-49.70M,,59.40M,26.80M,2.80M,,85.30M,,368.80M,,-190.40M,,,-2.70M,,-15.10M,-208.20M,,-52.70M,25.90M,-26.80M,,-52.20M,-52.20M,-86.70M,-86.70M,2.00M,0.60M,-163.10M,,21.00M,-2.50M,18.50M,,,1.00M,-53.70M,-52.20M,,,,AOR,Restated
2013-06,119.00M,,,,,99.50M,99.50M,41.30M,,14.90M,133.60M,-51.10M,,46.90M,-14.40M,-38.50M,,76.50M,,351.20M,,-173.70M,,,-3.90M,,-13.70M,-191.30M,,-52.00M,19.20M,-32.80M,,-69.20M,-69.20M,-77.80M,-77.80M,13.40M,2.80M,-163.60M,,24.70M,-3.70M,21.00M,,,250.00M,-302.00M,-69.20M,,,,AOR,Restated
2013-03,176.60M,,,,,98.20M,98.20M,101.80M,,-2.40M,-84.30M,93.90M,,-117.30M,28.20M,35.60M,,-43.90M,,330.30M,,-133.60M,,,-1.30M,,-10.40M,-145.30M,,-8.50M,-77.90M,-86.40M,,-66.50M,-66.50M,-77.80M,-77.80M,27.30M,7.50M,-195.90M,,35.60M,-10.90M,24.70M,,,,-8.50M,-66.50M,,,,AOR,Restated
