,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2020-09,416.40M,,,,,17.00M,17.00M,39.83M,1.749M,8.328M,-0.161M,,-17.51M,12.94M,,,-17.82M,-22.39M,,460.75M,,-10.18M,,,-13.61M,,0.124M,-3.729M,,2020-09,-8.20M,,0.00,0.00,-32.42M,-32.42M,0.012M,,-40.61M,,2020-09,1.698B,,2.114B,,2020-09,0.00,-8.20M,0.00,189.63M,13.09M,,2020-09,
2020-06,348.62M,,,,,16.39M,16.39M,29.71M,2.452M,5.203M,-0.072M,,291.13M,-58.96M,,,-31.21M,200.96M,,603.26M,,-16.61M,,,7.062M,,-0.109M,-9.654M,,2020-06,-714.50M,,-0.015M,-0.015M,-32.59M,-32.59M,0.049M,,-747.06M,,2020-06,1.851B,,1.698B,,2020-06,0.00,-714.50M,-0.015M,0.325M,-10.81M,,2020-06,
2020-03,203.71M,,,,,15.15M,15.15M,19.96M,29.92M,11.48M,-0.903M,,-189.36M,-26.91M,,,141.58M,-74.70M,,204.62M,,-20.14M,,,-77.36M,,1.706M,-95.80M,,2020-03,634.18M,,-110.51M,-110.51M,-32.74M,-32.74M,0.05M,,490.98M,,2020-03,1.251B,,1.851B,,2020-03,700.00M,-65.82M,-110.51M,5.54M,14.02M,,2020-03,
2019-12,335.80M,,,,,13.70M,13.70M,21.69M,9.552M,6.979M,-1.412M,,189.44M,58.44M,,,-144.34M,103.54M,,494.76M,,-14.96M,,,-1.00M,,0.334M,-15.84M,,2019-12,64.64M,,-30.67M,-30.67M,-30.12M,-30.12M,0.031M,,3.884M,,2019-12,768.64M,,1.251B,,2019-12,0.00,64.64M,-30.67M,76.79M,-13.96M,,2019-12,
2019-09,273.10M,,,,,13.80M,13.80M,32.29M,10.74M,4.085M,-0.097M,,-27.66M,38.41M,,,-67.61M,-56.86M,,277.07M,,-13.59M,,,-3.851M,,0.203M,-17.02M,,2019-09,15.07M,,-136.29M,-136.29M,-30.62M,-30.62M,1.16M,,-150.68M,,2019-09,659.27M,,768.64M,,2019-09,0.00,15.07M,-136.29M,47.71M,14.01M,,2019-09,Restated
2019-06,241.04M,,,,,13.29M,13.29M,26.77M,3.831M,8.285M,2.703M,,-139.66M,40.72M,,,-50.18M,-149.11M,,146.80M,,-13.50M,,,-167.10M,,4.301M,-176.30M,,2019-06,-281.65M,,-83.47M,-83.47M,-30.82M,-30.82M,3.763M,,-392.18M,,2019-06,1.081B,,659.27M,,2019-06,0.00,-281.65M,-83.47M,12.62M,-11.60M,,2019-06,Restated
2019-03,166.76M,,,,,13.21M,13.21M,24.69M,2.979M,9.019M,-0.039M,,-259.86M,3.404M,,,198.75M,-57.71M,,158.90M,,-16.07M,,,-1.289M,,0.291M,-17.07M,,2019-03,-129.88M,,-35.35M,-35.35M,-30.80M,-30.80M,1.445M,,-194.58M,,2019-03,1.134B,,1.081B,,2019-03,0.00,-129.88M,-35.35M,,17.16M,,2019-03,Restated
2018-12,237.65M,,,,,12.71M,12.71M,132.44M,85.47M,6.769M,-0.222M,,213.37M,-99.88M,,,-153.63M,-40.13M,,434.77M,,-12.51M,,,0.00,,2.552M,-9.958M,,2018-12,97.56M,,-123.04M,-123.04M,-25.74M,-25.74M,1.093M,0.001M,-50.12M,,2018-12,759.01M,,1.134B,,2018-12,0.00,97.56M,-123.04M,0.66M,-16.19M,,2018-12,Restated
2018-09,289.53M,,,,,12.56M,12.56M,103.34M,8.132M,5.359M,-0.663M,,17.63M,50.17M,,,-18.66M,49.14M,,467.40M,,-13.47M,,,0.00,,8.63M,-4.84M,,2018-09,-13.53M,,-66.95M,-66.95M,-25.90M,-25.90M,0.995M,-0.075M,-105.46M,,2018-09,401.92M,,759.01M,,2018-09,0.00,-13.53M,-66.95M,88.54M,16.36M,,2018-09,Restated
2018-06,324.09M,,,,,12.27M,12.27M,103.51M,2.422M,7.711M,-2.01M,,-44.19M,-64.78M,,,39.54M,-69.43M,,378.57M,,-17.63M,,,0.00,,6.463M,-11.17M,,2018-06,-64.89M,,-53.00M,-53.00M,-26.04M,-26.04M,1.744M,-8.09M,-150.27M,,2018-06,184.79M,,401.92M,,2018-06,798.00M,-862.89M,-53.00M,-0.631M,-29.72M,,2018-06,Restated
