,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.067B,400.07M,2.467B,,,,,410.55M,7.205B,,7.615B,,46.93M,,,10.16B,,,,,,,,,168.47M,41.72M,,,80.83M,917.39M,,2020-09,342.28M,,15.77M,358.05M,1.335B,1.693B,,,403.65M,403.65M,,,2.097B,,3.028B,,3.028B,,,,3.028B,5.125B,,2020-09,2.682M,,,-0.17M,6.240B,,2020-09,AOR,
2020-06,1.659B,394.29M,2.053B,,,,,382.88M,7.202B,,7.585B,,39.27M,,,9.706B,,,,,,,,,173.51M,47.71M,,,120.77M,910.27M,,2020-06,295.25M,,146.73M,441.98M,1.303B,1.745B,,,335.04M,335.04M,,,2.080B,,3.027B,,3.027B,,,,3.027B,5.107B,,2020-06,2.682M,,,-0.195M,5.852B,,2020-06,AOR,
2020-03,1.817B,363.85M,2.181B,,,,,449.11M,7.409B,,7.858B,,34.48M,,,10.10B,,,,,,,,,178.55M,54.50M,,,150.39M,935.53M,,2020-03,429.72M,,72.55M,502.27M,1.320B,1.822B,,,344.97M,344.97M,,,2.167B,,3.726B,,3.726B,,,,3.726B,5.893B,,2020-03,2.681M,,,-0.22M,5.530B,,2020-03,AOR,
2019-12,1.218B,508.97M,1.727B,118.37M,,129.78M,250.43M,434.49M,7.246B,,7.681B,422.66M,33.54M,,,10.14B,,,400.64M,400.64M,-218.90M,181.74M,40.40M,84.59M,124.99M,59.77M,,,170.11M,40.86M,,2019-12,435.92M,,36.09M,472.01M,1.045B,1.517B,,,294.43M,294.43M,,,1.811B,91.39M,3.092B,91.41M,3.183B,,,171.53M,3.446B,5.257B,,2019-12,2.702M,,,-0.245M,5.458B,,2019-12,AOR,
2019-09,736.99M,383.89M,1.121B,,,,,431.76M,7.398B,,7.830B,,31.66M,,,9.017B,,,,,,,,,128.59M,62.18M,,,191.80M,864.85M,,2019-09,389.84M,,38.62M,428.47M,1.327B,1.756B,,,333.67M,333.67M,,,2.089B,,2.994B,,2.994B,,,,2.994B,5.083B,,2019-09,2.71M,,,-0.27M,5.182B,,2019-09,AOR,Restated
2019-06,631.31M,343.73M,975.04M,,,,,452.27M,7.350B,,7.802B,,27.96M,,,8.844B,,,,,,,,,132.19M,58.25M,,,224.10M,837.28M,,2019-06,380.36M,,27.91M,408.28M,1.308B,1.717B,,,334.48M,334.48M,,,2.051B,,2.975B,,2.975B,,,,2.975B,5.026B,,2019-06,2.75M,,,-0.295M,5.070B,,2019-06,AOR,Restated
2019-03,1.055B,327.00M,1.382B,,,,,453.05M,7.053B,,7.507B,,25.50M,,,8.954B,,,,,,,,,123.74M,55.72M,,,250.88M,823.07M,,2019-03,444.32M,,18.11M,462.43M,1.270B,1.733B,,,294.55M,294.55M,,,2.027B,,3.247B,,3.247B,,,,3.247B,5.274B,,2019-03,2.771M,,,-0.32M,4.933B,,2019-03,AOR,Restated
2018-12,1.110B,461.35M,1.571B,152.99M,,136.32M,347.40M,493.97M,6.759B,,7.253B,350.09M,23.61M,,,9.583B,,,302.24M,302.24M,-209.30M,92.94M,40.40M,86.79M,127.19M,54.59M,,,275.58M,39.94M,,2018-12,352.03M,,11.58M,363.61M,1.120B,1.484B,,,254.62M,254.62M,,,1.738B,79.15M,3.376B,0.00,3.376B,,,161.07M,3.617B,5.355B,,2018-12,2.771M,,,-0.345M,4.818B,,2018-12,AOR,Restated
2018-09,728.63M,349.78M,1.078B,,,,,494.76M,6.995B,,7.489B,,30.38M,,,8.664B,,,,,,,,,130.64M,54.28M,,,408.03M,797.98M,,2018-09,465.83M,,10.32M,476.16M,1.252B,1.728B,,,342.38M,342.38M,,,2.070B,,3.256B,,3.256B,,,,3.256B,5.326B,,2018-09,2.821M,,,-0.37M,4.729B,,2018-09,AOR,Restated
2018-06,367.09M,369.63M,736.72M,,,,,531.79M,6.968B,,7.500B,,34.82M,,,8.349B,,,,,,,,,134.09M,61.72M,,,511.38M,759.23M,,2018-06,399.33M,,22.48M,421.81M,1.242B,1.664B,,,354.97M,354.97M,,,2.019B,,3.270B,,3.270B,,,,3.270B,5.289B,,2018-06,2.843M,,,-0.395M,4.527B,,2018-06,AOR,Restated
2018-03,150.82M,385.45M,536.27M,,,,,553.90M,6.911B,,7.465B,,33.97M,,,8.105B,,,,,,,,,137.54M,64.81M,,,614.90M,784.36M,,2018-03,446.30M,,115.67M,561.97M,1.226B,1.788B,,,308.86M,308.86M,,,2.097B,,3.335B,,3.335B,,,,3.335B,5.432B,,2018-03,2.859M,,,-0.424M,4.275B,,2018-03,AOR,Restated
2017-12,272.68M,570.60M,843.28M,213.41M,16.77M,76.31M,313.45M,589.91M,6.557B,,7.147B,324.90M,33.48M,,,8.731B,,,277.21M,277.21M,-206.50M,70.71M,40.40M,100.59M,140.99M,62.96M,,,645.30M,36.07M,,2017-12,393.82M,,86.92M,480.74M,1.150B,1.630B,,,250.78M,250.78M,,,1.881B,72.71M,3.445B,,3.445B,,,134.01M,3.651B,5.533B,,2017-12,2.868M,,,-0.445M,4.154B,,2017-12,AOR,Restated
2017-09,158.24M,364.73M,522.97M,,,,,565.56M,6.805B,,7.370B,,38.86M,,,8.028B,,,,,,,,,144.44M,61.50M,,,939.76M,797.44M,,2017-09,441.48M,,,441.48M,1.439B,1.881B,,,306.64M,306.64M,,,2.187B,,3.439B,,3.439B,,,,3.439B,5.626B,,2017-09,2.94M,,,-0.465M,4.345B,,2017-09,AOR,Restated
2017-06,208.20M,364.94M,573.14M,,,,,627.63M,6.463B,,7.090B,,31.65M,,,7.800B,,,,,,,,,147.89M,59.62M,,,986.79M,818.97M,,2017-06,407.69M,,,407.69M,1.407B,1.814B,,,290.89M,290.89M,,,2.105B,,3.264B,,3.264B,,,,3.264B,5.369B,,2017-06,3.037M,,,-0.485M,4.444B,,2017-06,AOR,Restated
2017-03,397.76M,345.38M,743.14M,,,,,696.84M,6.331B,,7.028B,,26.10M,,,7.846B,,,,,,,,,151.34M,65.29M,,,1.028B,829.62M,,2017-03,367.18M,,41.94M,409.12M,1.360B,1.770B,,,240.74M,240.74M,,,2.010B,,3.250B,,3.250B,,,,3.250B,5.261B,,2017-03,3.161M,,,-0.505M,4.660B,,2017-03,AOR,Restated
2016-12,698.88M,539.50M,1.238B,307.34M,29.11M,90.71M,436.44M,777.29M,5.993B,,6.771B,302.18M,24.37M,,,8.804B,,,270.34M,270.34M,-192.90M,77.44M,40.40M,114.39M,154.79M,51.45M,,,1.049B,41.36M,,2016-12,405.46M,,34.86M,440.32M,1.240B,1.680B,,,187.89M,187.89M,,,1.868B,66.13M,3.461B,,3.461B,,,123.73M,3.651B,5.519B,,2016-12,3.191M,,,-0.526M,4.659B,,2016-12,AOR,Restated
2016-09,434.20M,349.01M,783.22M,,,,,744.28M,6.206B,,6.950B,,26.98M,,,7.818B,,,,,,,,,158.24M,51.77M,,,1.196B,647.71M,,2016-09,378.42M,,33.56M,411.98M,1.270B,1.682B,,,248.30M,248.30M,,,1.931B,,3.269B,,3.269B,,,,3.269B,5.200B,,2016-09,3.324M,,,-0.548M,4.672B,,2016-09,AOR,Restated
2016-06,229.19M,364.00M,593.19M,,,,,866.13M,5.763B,,6.629B,,26.48M,,,7.335B,,,,,,,,,161.37M,52.50M,,,1.277B,681.17M,,2016-06,340.85M,,33.98M,374.83M,1.269B,1.644B,,,252.26M,252.26M,,,1.896B,,2.793B,,2.793B,,,,2.793B,4.689B,,2016-06,3.438M,,,-0.568M,4.818B,,2016-06,AOR,Restated
2016-03,995.70M,290.58M,1.286B,,,,,812.96M,5.390B,,6.202B,,22.42M,,,7.596B,,,,,,,,,163.18M,53.09M,,,1.345B,686.16M,,2016-03,331.93M,,33.46M,365.39M,1.295B,1.660B,,,223.69M,223.69M,,,1.884B,,3.186B,,3.186B,,,,3.186B,5.070B,,2016-03,3.463M,,,-0.588M,4.774B,,2016-03,AOR,Restated
2015-12,754.16M,442.72M,1.197B,362.68M,28.29M,81.58M,497.63M,782.73M,4.667B,,5.450B,271.23M,21.27M,,,7.519B,,,272.11M,272.11M,-185.80M,86.31M,,110.22M,110.22M,41.27M,,,1.395B,38.17M,,2015-12,327.72M,31.57M,57.05M,416.34M,1.264B,1.680B,,,186.14M,186.14M,,,1.866B,61.18M,2.378B,,2.378B,,,124.80M,2.564B,4.430B,,2015-12,3.491M,,,-0.609M,4.759B,,2015-12,AOR,Restated
2015-09,734.15M,270.66M,1.005B,,,,,764.14M,4.477B,,5.241B,,25.94M,,,6.357B,0.00,102.55M,,102.55M,,102.55M,,,113.44M,41.51M,,,1.549B,637.96M,,2015-09,372.50M,,50.91M,423.40M,1.374B,1.797B,,,241.05M,241.05M,,,2.038B,,2.192B,,2.192B,,,,2.192B,4.230B,,2015-09,3.492M,,,-0.627M,4.572B,,2015-09,AOR,Restated
2015-06,460.36M,269.54M,729.90M,,,,,710.26M,4.178B,,4.889B,,17.17M,,,5.724B,0.00,98.26M,,98.26M,,98.26M,,,116.66M,40.23M,,,1.618B,561.03M,,2015-06,290.44M,,48.77M,339.21M,1.292B,1.632B,,,217.32M,217.32M,,,1.849B,,1.703B,,1.703B,,,,1.703B,3.552B,,2015-06,3.548M,,,-0.648M,4.606B,,2015-06,AOR,Restated
2015-03,1.054B,226.29M,1.280B,,,,,768.99M,3.864B,,4.633B,,14.33M,,,6.018B,0.00,62.26M,,62.26M,,62.26M,,,119.89M,41.47M,,,1.680B,511.66M,,2015-03,271.16M,,47.35M,318.51M,1.307B,1.626B,,,177.76M,177.76M,,,1.804B,,1.888B,,1.888B,,,,1.888B,3.691B,,2015-03,3.654M,,,-0.669M,4.742B,,2015-03,AOR,Restated
2014-12,1.293B,339.53M,1.632B,60.60M,30.70M,63.87M,176.49M,762.91M,3.629B,,4.392B,199.86M,16.36M,,,6.518B,,,267.42M,267.42M,-192.20M,75.22M,,123.12M,123.12M,40.37M,,,1.721B,91.64M,,2014-12,270.52M,29.68M,48.72M,348.92M,1.084B,1.433B,,,142.64M,142.64M,,,1.575B,65.39M,1.981B,,1.981B,,,142.59M,2.189B,3.764B,,2014-12,3.695M,,,-0.69M,4.805B,,2014-12,AOR,Restated
2014-09,1.222B,236.37M,1.458B,,,,,783.54M,3.648B,,4.432B,,25.00M,,,6.008B,0.00,16.82M,,16.82M,,16.82M,,,126.34M,40.30M,,,1.922B,500.74M,,2014-09,299.00M,,196.21M,495.22M,1.328B,1.823B,,,192.55M,192.55M,,,2.016B,,1.889B,,1.889B,,,,1.889B,3.904B,,2014-09,3.738M,,,-0.713M,4.710B,,2014-09,AOR,Restated
2014-06,1.171B,221.61M,1.393B,,,,,774.51M,3.423B,,4.197B,,101.61M,,,5.772B,0.00,27.29M,,27.29M,,27.29M,,,129.60M,40.13M,,,2.002B,496.99M,,2014-06,253.92M,,193.15M,447.06M,1.301B,1.748B,,,206.99M,206.99M,,,1.955B,,1.874B,,1.874B,,,,1.874B,3.829B,,2014-06,3.764M,,,-0.734M,4.638B,,2014-06,AOR,Restated
2014-03,1.268B,209.92M,1.478B,,,,,761.34M,3.273B,,4.034B,,75.60M,,,5.661B,0.00,22.20M,,22.20M,,22.20M,,,132.87M,40.12M,,,2.035B,461.05M,,2014-03,205.23M,,205.81M,411.04M,1.258B,1.669B,,,168.57M,168.57M,,,1.837B,,1.850B,,1.850B,,,,1.850B,3.687B,,2014-03,3.792M,,,-0.755M,4.664B,,2014-03,AOR,Restated
2013-12,1.580B,287.93M,1.868B,51.76M,32.94M,52.72M,172.86M,747.03M,3.232B,,3.979B,157.00M,72.72M,,,6.311B,0.00,24.02M,235.05M,259.08M,-182.00M,77.08M,,136.15M,136.15M,45.32M,,,2.087B,77.71M,,2013-12,202.74M,,206.02M,408.75M,1.111B,1.519B,,,134.86M,134.86M,,,1.654B,63.99M,2.171B,,2.171B,,,171.69M,2.431B,4.085B,,2013-12,3.813M,,,-0.795M,4.649B,,2013-12,AOR,Restated
2013-09,1.350B,296.92M,1.647B,,,,,755.66M,3.395B,,4.151B,,69.42M,,,5.932B,0.00,27.61M,,27.61M,,27.61M,,,139.42M,45.01M,,,2.109B,440.52M,,2013-09,214.10M,,196.87M,410.97M,1.446B,1.857B,,,173.66M,173.66M,,,2.030B,,2.172B,,2.172B,,,,2.172B,4.202B,,2013-09,3.831M,,,-0.719M,4.492B,,2013-09,AOR,Restated
2013-06,1.213B,237.60M,1.450B,,,,,721.35M,3.462B,,4.183B,,66.44M,,,5.790B,0.00,33.75M,,33.75M,,33.75M,,,142.70M,44.38M,,,,441.90M,,2013-06,207.75M,,200.65M,408.40M,1.407B,1.815B,,,167.08M,167.08M,,,1.982B,,2.142B,,2.142B,,,,2.142B,4.124B,,2013-06,3.884M,,,-0.796M,2.328B,,2013-06,AOR,Restated
2013-03,1.593B,238.20M,1.831B,,,,,663.31M,3.449B,,4.113B,,66.58M,,,6.103B,0.00,38.99M,,38.99M,,38.99M,,,145.97M,44.74M,,,,408.78M,,2013-03,176.70M,,196.86M,373.56M,1.398B,1.771B,,,126.07M,126.07M,,,1.897B,,2.568B,,2.568B,,,,2.568B,4.466B,,2013-03,3.875M,,,-0.944M,2.276B,,2013-03,AOR,Restated
2012-12,1.405B,318.93M,1.724B,123.27M,,,155.19M,662.48M,3.552B,,4.214B,144.85M,71.95M,,,6.401B,0.00,31.07M,234.28M,265.35M,-190.10M,75.25M,,149.25M,149.25M,45.63M,,,0.00,63.45M,,2012-12,178.27M,,198.86M,377.14M,1.204B,1.581B,,,101.18M,101.18M,,,1.682B,64.10M,2.648B,,2.648B,,,119.29M,2.863B,4.545B,,2012-12,3.866M,,,-0.992M,2.190B,,2012-12,AOR,Restated
2012-09,1.564B,,1.564B,,,,,667.79M,3.803B,,4.471B,,76.73M,,,6.111B,0.00,129.52M,,129.52M,,129.52M,,,152.52M,30.79M,263.38M,28.28M,,425.13M,,2012-09,210.33M,,202.28M,412.61M,1.381B,1.794B,,,122.14M,122.14M,,,1.916B,,3.103B,,3.103B,,,,3.103B,5.019B,,2012-09,3.862M,,,-1.133M,2.122B,,2012-09,AOR,Restated
2012-06,1.310B,,1.310B,,,,,723.14M,3.829B,,4.552B,,86.80M,,,5.949B,0.00,149.83M,,149.83M,,149.83M,,155.80M,155.80M,31.58M,234.33M,,28.90M,403.23M,,2012-06,214.25M,,212.48M,426.73M,1.340B,1.767B,,,117.32M,117.32M,,,1.884B,,3.094B,,3.094B,,,,3.094B,4.978B,,2012-06,3.837M,,,-1.191M,1.975B,,2012-06,AOR,Restated
2012-03,1.212B,,1.212B,,,,,727.89M,3.857B,,4.584B,,89.87M,,,5.886B,0.00,162.35M,,162.35M,,162.35M,,159.07M,159.07M,34.15M,184.16M,,29.67M,404.01M,,2012-03,170.61M,,215.15M,385.76M,1.382B,1.768B,,,71.58M,71.58M,,,1.840B,,3.091B,,3.091B,,,,3.091B,4.931B,,2012-03,3.836M,,,-1.249M,1.929B,,2012-03,AOR,Restated
2011-12,1.083B,258.08M,1.341B,144.92M,,,172.08M,815.25M,3.821B,,4.636B,147.83M,101.86M,,,6.535B,0.00,24.90M,256.58M,281.49M,-203.40M,78.09M,,162.35M,162.35M,35.99M,,,,74.50M,,2011-12,196.45M,,203.31M,399.76M,1.202B,1.601B,,,46.96M,46.96M,,,1.648B,68.02M,3.088B,,3.088B,,,87.58M,3.299B,4.947B,,2011-12,3.826M,,,-1.306M,1.939B,,2011-12,AOR,Restated
2011-09,1.143B,,1.143B,,,,,861.50M,4.028B,,4.890B,,113.30M,,16.53M,6.162B,0.00,134.56M,,134.56M,,134.56M,0.00,165.62M,165.62M,37.18M,173.96M,,79.38M,475.94M,,2011-09,224.96M,,221.13M,446.08M,1.445B,1.891B,,,,,,78.44M,1.970B,,3.335B,,3.335B,,,,3.335B,5.305B,,2011-09,3.828M,,,-1.433M,1.923B,,2011-09,AOR,Restated
2011-06,1.075B,,1.075B,,,,,,,,4.905B,,128.23M,,13.63M,6.122B,0.00,128.16M,,128.16M,,128.16M,240.54M,168.90M,409.44M,41.01M,148.55M,,78.86M,497.37M,,2011-06,218.85M,,292.00M,510.86M,1.448B,1.959B,,,,,,84.57M,2.044B,,3.332B,,3.332B,,,,3.332B,5.376B,,2011-06,3.828M,,,-1.497M,2.050B,,2011-06,AOR,Restated
2011-03,1.293B,,1.293B,,,,,,,,4.767B,,133.40M,,12.47M,6.206B,0.00,96.69M,,96.69M,,96.69M,240.54M,172.17M,412.71M,45.47M,143.85M,,79.45M,532.42M,,2011-03,206.07M,,289.60M,495.67M,1.473B,1.969B,,,,,,66.42M,2.036B,,3.381B,,3.381B,,,,3.381B,5.416B,,2011-03,3.828M,,,-1.561M,2.100B,,2011-03,AOR,Restated
2010-12,1.483B,,1.483B,,,,,,,,4.782B,,24.60M,,,6.290B,,,,,,59.26M,240.54M,175.45M,415.99M,46.31M,380.19M,81.31M,,317.54M,,2010-12,226.47M,,294.41M,520.87M,1.600B,2.121B,,,51.73M,51.73M,,,2.173B,,3.392B,,3.392B,,,,3.392B,5.564B,,2010-12,3.82M,,,-1.519M,2.135B,,2010-12,AOR,Restated
2010-09,2.623B,,2.623B,,,,,,,,4.921B,,32.96M,,9.843M,7.587B,0.00,55.16M,,55.16M,,55.16M,240.54M,178.72M,419.26M,85.22M,153.76M,,136.84M,655.55M,,2010-09,280.14M,,318.31M,598.45M,1.833B,2.431B,,,,,,78.50M,2.510B,,4.286B,,4.286B,,,,4.286B,6.796B,,2010-09,3.824M,,,-1.998M,2.296B,,2010-09,AOR,Restated
2010-06,2.747B,,2.747B,,,,,,,,4.883B,,29.00M,,23.54M,7.682B,0.00,54.17M,,54.17M,,54.17M,895.46M,182.00M,1.077B,87.14M,243.56M,,86.63M,684.33M,,2010-06,275.97M,,298.43M,574.41M,1.610B,2.184B,75.40M,75.40M,,,,89.61M,2.349B,,4.285B,,4.285B,,,,4.285B,6.634B,,2010-06,3.827M,,,-2.071M,3.282B,,2010-06,AOR,Restated
2010-03,2.582B,,2.582B,,,,,,,,5.023B,,30.68M,,14.95M,7.650B,0.00,60.98M,,60.98M,,60.98M,895.92M,185.27M,1.081B,70.88M,169.72M,,191.18M,685.12M,,2010-03,262.72M,,381.12M,643.84M,1.645B,2.289B,58.64M,58.64M,,,,81.34M,2.429B,,4.283B,,4.283B,,,,4.283B,6.712B,,2010-03,3.825M,,,-2.147M,3.197B,,2010-03,AOR,Restated
2009-12,1.858B,,1.858B,,,,,,,,4.940B,,32.38M,,2.153M,6.833B,,,,,,82.42M,895.92M,188.55M,1.084B,73.82M,166.82M,1.152B,,533.99M,,2009-12,278.33M,,360.92M,639.25M,1.844B,2.483B,18.39M,18.39M,74.06M,74.06M,,,2.575B,,4.282B,,4.282B,,,,4.282B,6.857B,,2009-12,3.807M,,,-2.249M,3.194B,,2009-12,AOR,Restated
2009-09,1.517B,,1.517B,,,,,,,,5.631B,,34.50M,,15.12M,7.197B,0.00,93.19M,,93.19M,,93.19M,1.395B,193.82M,1.589B,70.61M,225.80M,,76.67M,1.030B,,2009-09,333.47M,,285.60M,619.06M,1.913B,2.532B,63.59M,63.59M,,,,93.60M,2.689B,,4.280B,,4.280B,,,,4.280B,6.969B,,2009-09,3.804M,,,-0.474M,3.309B,,2009-09,AOR,Restated
2009-06,1.636B,,1.636B,,,,,,,,3.677B,,,,2.755M,5.316B,0.00,77.20M,,77.20M,,77.20M,,,,94.64M,90.60M,,7.04M,817.56M,,2009-06,175.09M,,133.20M,308.29M,885.24M,1.194B,28.35M,28.35M,,,,57.15M,1.279B,,2.974B,,2.974B,,,,2.974B,4.253B,,2009-06,2.586M,,,-1.892M,2.150B,,2009-06,AOR,Restated
2009-03,1.746B,,1.746B,,,,,,,,3.854B,,,,5.821M,5.606B,0.00,181.39M,,181.39M,,181.39M,,,,91.75M,127.90M,9.66M,,798.57M,,2009-03,165.52M,,,165.52M,915.31M,1.081B,66.97M,66.97M,40.89M,40.89M,,131.85M,1.321B,,3.167B,,3.167B,,,,3.167B,4.487B,,2009-03,2.586M,,,-4.594M,2.328B,,2009-03,AOR,Restated
2008-12,1.655B,,1.655B,,,,,,,,4.201B,,0.00,,11.99M,5.869B,0.00,164.95M,,164.95M,,164.95M,0.00,102.55M,102.55M,134.89M,297.76M,,373.57M,766.20M,,2008-12,218.14M,,130.62M,348.75M,1.079B,1.428B,237.56M,237.56M,,,,40.95M,1.706B,,3.166B,,3.166B,,,,3.166B,4.873B,,2008-12,2.582M,,,-4.099M,2.836B,,2008-12,,Restated
2008-09,1.174B,,1.174B,,,,,,,,5.230B,,,,15.23M,6.419B,0.00,17.25M,,17.25M,,17.25M,,,,,,,248.20M,1.498B,,2008-09,334.57M,,,334.57M,1.039B,1.374B,192.41M,192.41M,,,,107.49M,1.674B,,3.166B,,3.166B,,,,3.326B,5.000B,,2008-09,2.575M,0.089M,-3.107M,-3.018M,3.183B,,2008-09,,Restated
2008-06,988.34M,,988.34M,,,,,,,,5.726B,,,169.57M,,6.884B,0.00,333.92M,,333.92M,,333.92M,,,,,,,,1.361B,,2008-06,359.34M,,,359.34M,1.080B,1.440B,261.50M,261.50M,,,,242.82M,1.944B,,3.166B,,3.166B,,,,3.166B,5.110B,,2008-06,2.574M,1.345M,-3.732M,-2.387M,3.470B,,2008-06,,Restated
