,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,3.055B,3.055B,1.696B,1.359B,778.00M,778.00M,,121.00M,,-121.00M,,778.00M,581.00M,,121.00M,-121.00M,-50.00M,-121.00M,410.00M,79.00M,331.00M,,,,331.00M,127.00M,531.00M,,2020-10,1.19,1.19,1.19,,2020-10,1.17,1.17,1.17,,283.00M,0.00,,2020-10,AOR,
2020-07,2.319B,2.319B,1.608B,711.00M,667.00M,667.00M,,104.00M,,-104.00M,,667.00M,44.00M,,104.00M,-104.00M,,-104.00M,-60.00M,-11.00M,-49.00M,,,,-49.00M,127.00M,44.00M,,2020-07,-0.18,-0.18,-0.18,,2020-07,-0.18,-0.18,-0.18,,278.00M,0.00,,2020-07,AOR,
2020-04,1.654B,1.654B,1.366B,288.00M,606.00M,606.00M,,97.00M,,-97.00M,,606.00M,-318.00M,,97.00M,-97.00M,3.00M,-97.00M,-412.00M,-115.00M,-297.00M,,,,-297.00M,139.00M,-315.00M,,2020-04,-1.07,-1.07,-1.07,,2020-04,-1.07,-1.07,-1.07,,277.00M,0.30,,2020-04,AOR,
2020-01,4.707B,4.707B,2.914B,1.793B,992.00M,992.00M,,92.00M,,-92.00M,,992.00M,801.00M,,92.00M,-92.00M,-715.00M,-92.00M,-6.00M,186.00M,-192.00M,,,,-192.00M,145.00M,86.00M,,2020-01,-0.70,-0.70,-0.70,,2020-01,-0.70,-0.70,-0.70,,276.00M,0.30,,2020-01,AOR,
2019-10,2.677B,2.677B,1.936B,741.00M,892.00M,892.00M,,92.00M,,-92.00M,,892.00M,-151.00M,,92.00M,-92.00M,-34.00M,-92.00M,-277.00M,-25.00M,-252.00M,,,,-252.00M,148.00M,-185.00M,,2019-10,-0.91,-0.91,-0.91,,2019-10,-0.91,-0.91,-0.91,,276.00M,0.30,,2019-10,AOR,Restated
2019-07,2.902B,2.902B,1.919B,983.00M,808.00M,808.00M,,95.00M,,-95.00M,,808.00M,175.00M,,95.00M,-95.00M,-38.00M,-95.00M,42.00M,4.00M,38.00M,,,,38.00M,150.00M,137.00M,,2019-07,0.14,0.14,0.14,,2019-07,0.14,0.14,0.14,,278.00M,0.30,,2019-07,AOR,Restated
2019-04,2.629B,2.629B,1.695B,934.00M,781.00M,781.00M,,99.00M,,-99.00M,,781.00M,153.00M,,99.00M,-99.00M,6.00M,-99.00M,60.00M,20.00M,40.00M,,,,40.00M,145.00M,159.00M,,2019-04,0.15,0.15,0.15,,2019-04,0.14,0.14,0.14,,278.00M,0.30,,2019-04,AOR,Restated
2019-01,4.852B,4.852B,2.884B,1.968B,1.069B,1.069B,,93.00M,,-93.00M,,1.069B,899.00M,,93.00M,-93.00M,-95.00M,-93.00M,711.00M,171.00M,540.00M,,,,540.00M,146.00M,804.00M,,2019-01,-0.6954,-0.6954,-0.6954,,2019-01,-0.70,-0.70,-0.70,,279.00M,0.60,,2019-01,AOR,Restated
2018-10,2.775B,2.775B,1.847B,928.00M,874.00M,874.00M,,96.00M,,-96.00M,,874.00M,54.00M,,96.00M,-96.00M,1.00M,-96.00M,-41.00M,2.00M,-43.00M,,,,-43.00M,148.00M,55.00M,,2018-10,-0.16,-0.16,-0.16,,2018-10,-0.16,-0.16,-0.16,,275.00M,0.60,,2018-10,AOR,Restated
2018-07,2.984B,2.984B,1.925B,1.059B,831.00M,831.00M,,98.00M,,-98.00M,,831.00M,228.00M,,98.00M,-98.00M,-1.00M,-98.00M,129.00M,30.00M,99.00M,,,,99.00M,148.00M,227.00M,,2018-07,0.36,0.36,0.36,,2018-07,0.36,0.36,0.36,,279.00M,0.60,,2018-07,AOR,Restated
2018-04,2.626B,2.626B,1.682B,944.00M,789.00M,789.00M,,98.00M,,-98.00M,,789.00M,155.00M,,98.00M,-98.00M,2.00M,-98.00M,59.00M,11.00M,48.00M,,,,48.00M,148.00M,157.00M,,2018-04,0.17,0.17,0.17,,2018-04,0.17,0.17,0.17,,282.00M,0.60,,2018-04,AOR,Restated
2018-01,4.823B,4.823B,2.783B,2.04B,1.054B,1.054B,,106.00M,,-106.00M,,1.054B,986.00M,,106.00M,-106.00M,-38.00M,-106.00M,842.00M,178.00M,664.00M,,,,664.00M,145.00M,948.00M,,2018-01,2.334,2.334,2.334,,2018-01,2.33,2.33,2.33,,284.00M,0.60,,2018-01,AOR,Restated
2017-10,2.618B,2.618B,1.629B,989.00M,757.00M,757.00M,,99.00M,,-99.00M,,757.00M,232.00M,,99.00M,-99.00M,2.00M,-99.00M,135.00M,49.00M,86.00M,,,,86.00M,144.00M,234.00M,,2017-10,0.30,0.30,0.30,,2017-10,0.30,0.30,0.30,,285.00M,0.60,,2017-10,AOR,Restated
2017-07,2.755B,2.755B,1.727B,1.028B,727.00M,727.00M,,101.00M,,-101.00M,,727.00M,301.00M,,101.00M,-101.00M,17.00M,-101.00M,217.00M,78.00M,139.00M,,,,139.00M,140.00M,318.00M,,2017-07,0.48,0.48,0.48,,2017-07,0.48,0.48,0.48,,289.00M,0.60,,2017-07,AOR,Restated
2017-04,2.437B,2.437B,1.534B,903.00M,694.00M,694.00M,,101.00M,,-101.00M,,694.00M,209.00M,,101.00M,-101.00M,10.00M,-101.00M,118.00M,24.00M,94.00M,,,,94.00M,142.00M,219.00M,,2017-04,0.33,0.33,0.33,,2017-04,0.33,0.33,0.33,,289.00M,0.60,,2017-04,AOR,Restated
2017-01,4.489B,4.489B,2.545B,1.944B,956.00M,956.00M,,99.00M,,-99.00M,,956.00M,988.00M,,99.00M,-99.00M,4.00M,-99.00M,893.00M,261.00M,632.00M,,,,632.00M,140.00M,992.00M,,2017-01,2.209,2.209,2.209,,2017-01,2.18,2.18,2.18,,291.00M,0.60,,2017-01,AOR,Restated
2016-10,2.581B,2.581B,1.556B,1.025B,741.00M,741.00M,,97.00M,,-97.00M,,741.00M,284.00M,,97.00M,-97.00M,3.00M,-97.00M,190.00M,68.00M,122.00M,,,,122.00M,133.00M,287.00M,,2016-10,0.43,0.43,0.43,,2016-10,0.42,0.42,0.42,,290.00M,0.60,,2016-10,AOR,Restated
2016-07,2.89B,2.89B,1.777B,1.113B,705.00M,705.00M,,101.00M,,-101.00M,,705.00M,408.00M,,101.00M,-101.00M,73.00M,-101.00M,380.00M,128.00M,252.00M,,,,252.00M,124.00M,481.00M,,2016-07,0.88,0.88,0.88,,2016-07,0.87,0.87,0.87,,291.00M,0.60,,2016-07,AOR,Restated
2016-04,2.614B,2.614B,1.571B,1.043B,720.00M,720.00M,,97.00M,,-97.00M,,720.00M,323.00M,,97.00M,-97.00M,7.00M,-97.00M,233.00M,81.00M,152.00M,,,,152.00M,121.00M,330.00M,,2016-04,0.53,0.53,0.53,,2016-04,0.52,0.52,0.52,,293.00M,0.60,,2016-04,AOR,Restated
2016-01,4.395B,4.395B,2.392B,2.003B,925.00M,925.00M,,97.00M,,-97.00M,,925.00M,1.078B,,97.00M,-97.00M,1.00M,-97.00M,982.00M,346.00M,636.00M,,,,636.00M,122.00M,1.079B,,2016-01,2.193,2.193,2.193,,2016-01,2.15,2.15,2.15,,297.00M,0.50,,2016-01,AOR,Restated
2015-10,2.482B,2.482B,1.451B,1.031B,692.00M,692.00M,,79.00M,,-79.00M,,692.00M,339.00M,,79.00M,-79.00M,,-79.00M,260.00M,96.00M,164.00M,,,,164.00M,111.00M,339.00M,,2015-10,0.56,0.56,0.56,,2015-10,0.55,0.55,0.55,,296.00M,0.50,,2015-10,AOR,Restated
2015-07,2.765B,2.765B,1.651B,1.114B,711.00M,711.00M,,78.00M,,-78.00M,,711.00M,403.00M,,78.00M,-78.00M,-2.00M,-78.00M,323.00M,121.00M,202.00M,,,,202.00M,113.00M,401.00M,,2015-07,0.69,0.69,0.69,,2015-07,0.68,0.68,0.68,,297.00M,0.50,,2015-07,AOR,Restated
2015-04,2.512B,2.512B,1.456B,1.056B,684.00M,684.00M,,80.00M,,-80.00M,,684.00M,372.00M,,80.00M,-80.00M,77.00M,-80.00M,369.00M,119.00M,250.00M,,,,250.00M,111.00M,449.00M,,2015-04,0.86,0.86,0.86,,2015-04,0.84,0.84,0.84,,299.00M,0.50,,2015-04,AOR,Restated
2015-01,4.069B,4.069B,2.234B,1.835B,878.00M,878.00M,,78.00M,,-78.00M,,878.00M,957.00M,,78.00M,-78.00M,1.00M,-78.00M,880.00M,315.00M,565.00M,,,,565.00M,111.00M,958.00M,,2015-01,1.934,1.934,1.934,,2015-01,1.89,1.89,1.89,,298.00M,0.34,,2015-01,AOR,Restated
2014-10,2.319B,2.319B,1.372B,947.00M,663.00M,663.00M,,80.00M,,-80.00M,,663.00M,284.00M,,80.00M,-80.00M,1.00M,-80.00M,205.00M,73.00M,132.00M,,,,132.00M,108.00M,285.00M,,2014-10,0.45,0.45,0.45,,2014-10,0.44,0.44,0.44,,298.00M,0.34,,2014-10,AOR,Restated
2014-07,2.675B,2.675B,1.631B,1.044B,668.00M,668.00M,,82.00M,,-82.00M,,668.00M,376.00M,,82.00M,-82.00M,2.00M,-82.00M,296.00M,108.00M,188.00M,,,,188.00M,109.00M,378.00M,,2014-07,0.65,0.65,0.65,,2014-07,0.63,0.63,0.63,,297.00M,0.34,,2014-07,AOR,Restated
2014-04,2.391B,2.391B,1.409B,982.00M,646.00M,646.00M,,84.00M,,-84.00M,,646.00M,336.00M,,84.00M,-84.00M,3.00M,-84.00M,255.00M,98.00M,157.00M,,,,157.00M,110.00M,339.00M,,2014-04,0.54,0.54,0.54,,2014-04,0.53,0.53,0.53,,297.00M,0.34,,2014-04,AOR,Restated
2014-01,3.818B,3.818B,2.176B,1.642B,779.00M,779.00M,,82.00M,,-82.00M,,779.00M,863.00M,,82.00M,-82.00M,6.00M,-82.00M,787.00M,297.00M,490.00M,,,,490.00M,108.00M,869.00M,,2014-01,1.648,1.648,1.648,,2014-01,1.648,1.648,1.648,,296.00M,0.30,,2014-01,AOR,Restated
2013-10,2.171B,2.171B,1.314B,857.00M,646.00M,646.00M,,76.00M,,-76.00M,,646.00M,211.00M,,76.00M,-76.00M,7.00M,-76.00M,142.00M,50.00M,92.00M,,,,92.00M,97.00M,218.00M,,2013-10,0.32,0.32,0.32,,2013-10,0.31,0.31,0.31,,297.00M,0.30,,2013-10,AOR,Restated
2013-07,2.516B,2.516B,1.527B,989.00M,631.00M,631.00M,,77.00M,,-77.00M,,631.00M,358.00M,,77.00M,-77.00M,1.00M,-77.00M,282.00M,104.00M,178.00M,,,,178.00M,102.00M,359.00M,,2013-07,0.62,0.62,0.62,,2013-07,0.61,0.61,0.61,,296.00M,0.30,,2013-07,AOR,Restated
2013-04,2.268B,2.268B,1.327B,941.00M,630.00M,630.00M,,79.00M,,-79.00M,,630.00M,311.00M,,79.00M,-79.00M,3.00M,-79.00M,235.00M,92.00M,143.00M,,,,143.00M,100.00M,314.00M,,2013-04,0.49,0.49,0.49,,2013-04,0.48,0.48,0.48,,295.00M,0.30,,2013-04,AOR,Restated
2013-01,3.856B,3.856B,2.139B,1.717B,836.00M,836.00M,,82.00M,,-82.00M,,836.00M,881.00M,,82.00M,-82.00M,-88.00M,-82.00M,711.00M,300.00M,411.00M,,,,411.00M,102.00M,793.00M,,2013-01,1.393,1.393,1.393,,2013-01,1.39,1.39,1.39,,297.00M,0.25,,2013-01,AOR,Restated
2012-10,2.05B,2.05B,1.225B,825.00M,638.00M,638.00M,,77.00M,,-77.00M,,638.00M,187.00M,,77.00M,-77.00M,18.00M,-77.00M,128.00M,54.00M,74.00M,,,,74.00M,96.00M,205.00M,,2012-10,0.26,0.26,0.26,,2012-10,0.25,0.25,0.25,,294.00M,0.25,,2012-10,AOR,Restated
