,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2006-01,519.00M,,,,8.00M,,,78.00M,78.00M,-48.00M,,,,,,-5.00M,-12.00M,518.00M,-36.00M,244.00M,45.00M,1.311B,,2006-01,-89.00M,-6.00M,-95.00M,,,-4.00M,,2006-01,,,263.00M,18.00M,-380.00M,-362.00M,,-60.00M,,,,2006-01,155.00M,1.053B,1.208B,,2006-01,18.00M,,,-380.00M,2006-01,,
2005-10,-1.00M,,,,17.00M,,,70.00M,70.00M,-10.00M,,,,,,-8.00M,-50.00M,-455.00M,175.00M,-71.00M,6.00M,-327.00M,,2005-10,-141.00M,6.00M,-135.00M,,,-6.00M,,2005-10,,,-233.00M,14.00M,183.00M,197.00M,,-60.00M,,,,2005-10,719.00M,-564.00M,155.00M,,2005-10,14.00M,,,183.00M,2005-10,,
2005-07,81.74M,,,,-9.248M,,,73.25M,73.25M,-20.63M,,,,,,13.00M,2.761M,63.37M,51.07M,35.91M,18.83M,310.04M,,2005-07,-115.85M,,-115.85M,,,-9.903M,,2005-07,,,,9.688M,-100.60M,-90.91M,,-60.85M,,,,2005-07,686.24M,32.52M,719.00M,,2005-07,9.688M,,,-100.60M,2005-07,,
2005-04,83.26M,,,,-7.752M,,,77.75M,77.75M,2.627M,,,,,,,5.239M,-116.37M,-98.07M,-153.91M,-5.828M,-213.04M,,2005-04,-134.15M,,-134.15M,,,-6.097M,,2005-04,,,,22.31M,-82.40M,-60.09M,,-61.15M,,,,2005-04,1.161B,-474.52M,686.24M,,2005-04,22.31M,,,-82.40M,2005-04,,
2005-01,382.07M,,,,65.48M,,,105.78M,105.78M,59.42M,,,,,,,8.438M,424.22M,-51.20M,162.38M,-22.84M,1.134B,,2005-01,-66.17M,-23.80M,-89.97M,,131.00M,-101.18M,,2005-01,,,499.85M,28.59M,-2.000B,-1.972B,,-548.54M,,,,2005-01,2.135B,-973.86M,1.161B,,2005-01,28.59M,,,-2.000B,2005-01,,
2004-10,78.34M,,,,-65.56M,,,74.53M,74.53M,-12.39M,,,,,,,-33.13M,-439.41M,38.99M,-8.349M,11.80M,-355.18M,,2004-10,-126.68M,-51.20M,-177.89M,,75.00M,45.59M,,2004-10,,,498.15M,69.56M,-63.35M,6.218M,,-56.37M,,,,2004-10,2.100B,35.52M,2.135B,,2004-10,69.56M,,,-63.35M,2004-10,,
2004-07,147.95M,,,,0.134M,,,77.11M,77.11M,-14.69M,,,,,,,21.67M,-119.07M,188.76M,10.20M,12.94M,325.00M,,2004-07,-137.10M,75.00M,-62.10M,,,-10.25M,,2004-07,,,,9.645M,-51.30M,-41.66M,,-56.71M,,,,2004-07,1.945B,154.28M,2.100B,,2004-07,9.645M,,,-51.30M,2004-07,,
2004-04,96.64M,,,,-46.05M,,,75.58M,75.58M,14.66M,,,,,,,-10.98M,-59.75M,-71.54M,-167.23M,-1.897M,-170.57M,,2004-04,-101.04M,,-101.04M,,,90.84M,,2004-04,,,,58.20M,-1.00B,-941.80M,,-62.37M,,,,2004-04,3.130B,-1.185B,1.945B,,2004-04,58.20M,,,-1.00B,2004-04,,
2004-01,387.84M,,,,21.57M,-212.01M,-16.73M,59.26M,59.26M,39.19M,,,,,,,42.49M,444.16M,15.06M,207.19M,-2.093M,1.215B,,2004-01,-60.89M,,-60.89M,,,187.58M,,2004-01,,,0.00,17.51M,-0.012M,17.50M,,-51.73M,,,,2004-01,1.818B,1.311B,3.13B,,2004-01,17.51M,,,-0.012M,2004-01,,
2003-10,129.67M,,,,-140.38M,212.01M,16.73M,84.56M,84.56M,-0.887M,,,,,,,-46.50M,-312.74M,41.51M,19.24M,-12.62M,-238.13M,,2003-10,-85.31M,,-85.31M,,,0.318M,,2003-10,,,0.00,5.766M,-51.50M,-45.73M,,-51.79M,,,,2003-10,2.241B,-420.64M,1.818B,,2003-10,5.766M,,,-51.50M,2003-10,,
2003-07,101.49M,,,,11.81M,-69.00M,-8.00M,67.18M,67.18M,-10.30M,,,,,,,14.00M,-119.42M,149.43M,-38.44M,13.71M,189.46M,,2003-07,-82.80M,,-82.80M,,,9.107M,,2003-07,,,0.00,2.725M,-71.49M,-68.77M,,-52.48M,,,,2003-07,2.245B,-5.484M,2.241B,,2003-07,2.725M,,,-71.49M,2003-07,,
2003-04,98.00M,,,,-67.00M,69.00M,8.00M,77.00M,77.00M,-5.00M,,,,,,,31.00M,11.00M,-163.00M,-86.00M,1.00M,-103.00M,,2003-04,-64.00M,,-64.00M,,,127.00M,,2003-04,,,100.00M,2.00M,-27.00M,-25.00M,,-52.00M,,,,2003-04,2.262B,-17.00M,2.245B,,2003-04,2.00M,,,-27.00M,2003-04,,
2003-01,353.12M,,,,10.72M,66.30M,7.575M,73.88M,73.88M,68.00M,,,,,,,-6.429M,300.10M,-19.84M,222.03M,-42.40M,959.18M,,2003-01,-92.70M,,-13.70M,,,29.17M,,2003-01,,,300.00M,3.348M,,3.348M,,-39.22M,,,,2003-01,885.38M,1.257B,2.262B,,2003-01,3.348M,,,,2003-01,,
2002-10,15.78M,,,,-6.124M,69.43M,9.202M,78.63M,78.63M,7.00M,,,,,,,-30.64M,-319.88M,-39.74M,-3.52M,29.95M,-268.56M,,2002-10,-71.84M,,-71.84M,,,60.18M,,2002-10,,,0.00,12.89M,,12.89M,,-39.22M,,,,2002-10,1.312B,-306.54M,885.38M,,2002-10,12.89M,,,,2002-10,,
2002-07,83.10M,,,,0.408M,70.26M,11.22M,81.49M,81.49M,-22.00M,,,,,,1.00M,-3.928M,-171.22M,253.58M,-9.507M,19.45M,232.38M,,2002-07,-86.46M,,-86.46M,,,4.645M,,2002-07,,,-150.00M,9.766M,,9.766M,,-39.56M,,1.00M,,2002-07,1.34B,-28.24M,1.312B,,2002-07,9.766M,,,,2002-07,,
2002-04,50.00M,,,,34.00M,70.00M,6.00M,76.00M,76.00M,6.00M,,,,,,-1.00M,2.00M,47.00M,-117.00M,-218.00M,-7.00M,-128.00M,,2002-04,-55.00M,,-55.00M,,,35.00M,,2002-04,,,,26.00M,,26.00M,,-32.00M,,-1.00M,,2002-04,1.495B,-155.00M,1.34B,,2002-04,26.00M,,,,2002-04,,
2002-01,326.61M,,,,44.06M,,,65.39M,65.39M,76.00M,,,,,,,47.24M,377.06M,-42.92M,227.06M,-4.00M,1.117B,,2002-01,-37.19M,0.00,-37.19M,,,-1.681M,,2002-01,,,,11.45M,-0.206M,11.25M,,-32.20M,,,,2002-01,317.87M,1.057B,1.375B,,2002-01,11.45M,,,-0.206M,2002-01,,
2001-10,90.15M,,,,-177.20M,-143.45M,-7.256M,60.91M,60.91M,-6.00M,,,,,,,-46.82M,-298.62M,125.50M,19.61M,57.86M,-174.59M,,2001-10,-89.99M,280.00M,190.01M,,,-2.75M,,2001-10,,,,17.88M,-7.794M,10.08M,,-32.35M,,,,2001-10,327.47M,-9.60M,317.87M,,2001-10,17.88M,,,-7.794M,2001-10,,
2001-07,71.55M,,,,-56.22M,143.45M,7.256M,85.38M,85.38M,6.00M,,,,,,,3.024M,-23.59M,84.31M,4.902M,-5.979M,169.38M,,2001-07,-105.55M,,-105.55M,,,-6.183M,,2001-07,,,,13.13M,,13.13M,,-32.26M,,,,2001-07,288.95M,38.52M,327.47M,,2001-07,13.13M,,,,2001-07,,
2001-04,30.69M,,,,0.351M,,,65.32M,65.32M,,,,,,,,11.55M,27.15M,-91.90M,-133.57M,-51.88M,-142.30M,,2001-04,-104.27M,,-104.27M,,,-0.386M,,2001-04,,,,4.537M,,4.537M,,-32.19M,,,,2001-04,563.55M,-274.60M,288.95M,,2001-04,4.537M,,,,2001-04,,
2001-01,238.25M,,,,36.28M,,,76.07M,76.07M,,,,,,,,28.56M,424.77M,-76.76M,130.26M,113.28M,970.72M,,2001-01,-127.03M,,-127.03M,,,-2.851M,,2001-01,,,-274.08M,22.54M,0.376M,22.92M,,-32.58M,,,,2001-01,6.174M,557.09M,564.00M,,2001-01,22.54M,,,0.376M,2001-01,,
2000-10,49.23M,,,,1.591M,,,62.17M,62.17M,,,,,,,,-19.55M,-366.88M,90.23M,13.20M,-16.14M,-186.14M,,2000-10,-168.71M,,-168.71M,,,-10.95M,,2000-10,,,124.08M,8.116M,-49.68M,-41.57M,,-32.04M,,,,2000-10,321.50M,-315.33M,6.174M,,2000-10,8.116M,,,-49.68M,2000-10,,
2000-07,77.57M,,,,10.16M,,,68.10M,68.10M,,,,,,,,-25.65M,-67.61M,64.27M,12.29M,-3.406M,135.73M,,2000-07,-92.90M,,-92.90M,,,-5.156M,,2000-07,,,0.00,10.49M,-178.96M,-168.46M,,-31.80M,,,,2000-07,484.09M,-162.59M,321.50M,,2000-07,10.49M,,,-178.96M,2000-07,,
2000-04,62.95M,,,,4.965M,,,64.66M,64.66M,,,,,,,,31.63M,-96.28M,-24.74M,-165.75M,-28.74M,-151.31M,,2000-04,-57.35M,,-57.35M,,,-4.044M,,2000-04,,,-100.00M,13.85M,-2.738M,11.11M,,-31.58M,,,,2000-04,817.27M,-333.18M,484.09M,,2000-04,13.85M,,,-2.738M,2000-04,,
2000-01,334.30M,,,,18.20M,,,63.70M,63.70M,,,,,,,0.90M,20.70M,370.30M,-137.20M,212.20M,15.70M,898.80M,,2000-01,-86.00M,,-86.00M,,,38.10M,,2000-01,,,-200.00M,26.70M,-0.90M,25.80M,,-31.70M,,-1.00M,,2000-01,173.30M,644.00M,817.00M,,2000-01,26.70M,,,-0.90M,2000-01,,
1999-10,40.80M,,,,2.30M,,,64.50M,64.50M,,,,,,,0.20M,-62.60M,-305.60M,70.30M,-120.50M,-12.30M,-322.90M,,1999-10,-97.20M,,-97.20M,,,167.60M,,1999-10,,,-100.00M,5.40M,0.00,5.40M,,-31.90M,,62.00M,,1999-10,490.30M,-317.00M,173.30M,,1999-10,5.40M,,,0.00,1999-10,,
1999-07,52.40M,,,,16.30M,,,68.40M,68.40M,,,,,,,-0.10M,-0.70M,-68.10M,164.30M,-9.90M,17.60M,240.20M,,1999-07,-89.50M,,-89.50M,,,338.30M,,1999-07,,,300.00M,-0.30M,-757.50M,-757.80M,,-32.20M,,,,1999-07,491.40M,-1.00M,490.30M,,1999-07,-0.30M,,,-757.50M,1999-07,,
1999-04,33.50M,,,,2.20M,,,75.40M,75.40M,,,,,,,,5.60M,-50.60M,-117.40M,-165.80M,,-217.10M,,1999-04,-102.30M,,-102.30M,,,,,1999-04,,,,31.20M,-56.60M,-25.40M,,-34.20M,,,,1999-04,870.30M,-379.00M,491.40M,,1999-04,31.20M,,,-56.60M,1999-04,,
1999-01,243.30M,,,,31.50M,,,71.90M,71.90M,,,,,,,,23.80M,449.30M,-131.90M,161.90M,,836.40M,,1999-01,10.40M,-51.50M,-41.10M,,,31.20M,,1999-01,,,,23.40M,-14.80M,8.60M,,-29.40M,,-0.10M,,1999-01,0.00,805.60M,870.30M,,1999-01,23.40M,,,-14.80M,1999-01,,
1998-10,39.40M,,,,1.60M,,,69.70M,69.70M,,,,,,,,-20.40M,-424.50M,143.10M,24.00M,,-167.10M,,1998-10,-199.40M,51.50M,-147.90M,,,0.00,,1998-10,,,,12.10M,-101.60M,-89.50M,,-29.60M,,0.00,,1998-10,0.00,-434.10M,0.00,,1998-10,12.10M,,,-101.60M,1998-10,,
1998-07,1.684B,,,,-1.647B,,,69.70M,69.70M,,,,,,,2.20M,-0.50M,-125.10M,60.30M,-21.70M,,22.00M,,1998-07,-96.20M,,-96.20M,,,-0.10M,,1998-07,,,,10.10M,-47.50M,-37.40M,,-29.60M,,-47.60M,,1998-07,0.00,-188.90M,0.00,,1998-07,10.10M,,,-47.50M,1998-07,,
