,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2009-10,15.00M,,,0.00,0.00,,,97.00M,97.00M,47.00M,-26.00M,,,10.00M,0.00,24.00M,-21.00M,-335.00M,123.00M,,-42.00M,-114.00M,,2009-10,-63.00M,,,18.00M,0.00,-11.00M,,2009-10,-368.00M,,-368.00M,,0.00,0.00,,-49.00M,3.00M,0.00,,2009-10,1.55B,-584.00M,968.00M,,2009-10,,0.00,-368.00M,0.00,2009-10,AOR,Restated
2009-07,74.00M,,,-9.00M,-9.00M,,,97.00M,97.00M,1.00M,,,,11.00M,0.00,-9.00M,-29.00M,130.00M,76.00M,,20.00M,362.00M,,2009-07,-46.00M,,,0.00,0.00,,,2009-07,362.00M,,362.00M,,0.00,0.00,,-48.00M,0.00,-19.00M,,2009-07,936.00M,611.00M,1.55B,,2009-07,,473.00M,-111.00M,0.00,2009-07,AOR,Restated
2009-04,3.00M,,,,,,,94.00M,94.00M,3.00M,,,,11.00M,0.00,-9.00M,38.00M,-28.00M,-244.00M,,14.00M,-118.00M,,2009-04,-51.00M,,,,0.00,,,2009-04,-19.00M,,-19.00M,,0.00,0.00,,-48.00M,0.00,,,2009-04,1.173B,-236.00M,936.00M,,2009-04,,,-19.00M,0.00,2009-04,AOR,Restated
2009-01,12.00M,,-13.00M,-109.00M,4.00M,,,127.00M,127.00M,53.00M,,,,35.00M,-2.00M,-58.00M,115.00M,468.00M,-184.00M,94.00M,72.00M,951.00M,,2009-01,-73.00M,,406.00M,159.00M,95.00M,-244.00M,,2009-01,-15.00M,,0.00,-32.00M,-46.00M,-78.00M,,-48.00M,31.00M,0.00,,2009-01,377.00M,793.00M,1.173B,,2009-01,-32.00M,0.00,-15.00M,-46.00M,2009-01,,Restated
2008-10,8.00M,,13.00M,109.00M,-4.00M,,,66.00M,66.00M,-12.00M,,,,-16.00M,2.00M,40.00M,-25.00M,-446.00M,221.00M,-94.00M,16.00M,-244.00M,,2008-10,-134.00M,,-406.00M,-144.00M,-95.00M,232.00M,,2008-10,4.00M,,-11.00M,32.00M,-172.00M,-140.00M,,-50.00M,-17.00M,0.00,,2008-10,978.00M,-603.00M,377.00M,,2008-10,32.00M,,4.00M,-172.00M,2008-10,,
2008-07,99.00M,,-13.00M,0.00,-13.00M,,,92.00M,92.00M,-1.00M,,,,9.00M,-2.00M,-8.00M,-12.00M,5.00M,149.00M,,41.00M,359.00M,,2008-07,-133.00M,,,0.00,67.00M,-2.00M,,2008-07,-4.00M,,-4.00M,,-33.00M,-33.00M,,-51.00M,15.00M,2.00M,,2008-07,759.00M,220.00M,978.00M,,2008-07,,0.00,-4.00M,-33.00M,2008-07,,Restated
2008-04,97.00M,,,-109.00M,-109.00M,,,92.00M,92.00M,6.00M,,,,7.00M,,-8.00M,25.00M,18.00M,-264.00M,,24.00M,-112.00M,,2008-04,-139.00M,,,144.00M,28.00M,-1.00M,,2008-04,0.00,,0.00,,-128.00M,-128.00M,,-52.00M,2.00M,,,2008-04,1.018B,-258.00M,759.00M,,2008-04,,,0.00,-128.00M,2008-04,,Restated
2008-01,389.00M,,,,23.00M,,,88.00M,88.00M,147.00M,,,,,,-16.00M,104.00M,534.00M,-164.00M,120.00M,-36.00M,1.189B,,2008-01,-126.00M,0.00,-126.00M,0.00,,-17.00M,,2008-01,,,-3.00M,10.00M,-202.00M,-192.00M,,-53.00M,,1.00M,,2008-01,218.00M,799.00M,1.018B,,2008-01,10.00M,,,-202.00M,2008-01,,
2007-10,12.00M,,,,-38.00M,,,81.00M,81.00M,3.00M,,,,,,10.00M,-187.00M,-311.00M,172.00M,-137.00M,7.00M,-388.00M,,2007-10,-223.00M,97.00M,-126.00M,-1.00M,,-22.00M,,2007-10,,,0.00,9.00M,-1.08B,-1.071B,,631.00M,,1.00M,,2007-10,1.193B,-976.00M,218.00M,,2007-10,9.00M,,,-1.08B,2007-10,,
2007-07,264.00M,,,,-346.00M,,,88.00M,88.00M,-145.00M,,,,,,13.00M,-135.00M,155.00M,141.00M,131.00M,134.00M,300.00M,,2007-07,-219.00M,,-219.00M,548.00M,,174.00M,,2007-07,,,987.00M,39.00M,-120.00M,-81.00M,,-745.00M,,14.00M,,2007-07,194.00M,999.00M,1.193B,,2007-07,39.00M,,,-120.00M,2007-07,,
2007-04,53.00M,,,,-6.00M,,,95.00M,95.00M,-10.00M,,,,,,,26.00M,-41.00M,-301.00M,-145.00M,-7.00M,-336.00M,,2007-04,-181.00M,,-181.00M,,,,,2007-04,,,256.00M,24.00M,,24.00M,,-60.00M,,12.00M,,2007-04,500.00M,-306.00M,194.00M,,2007-04,24.00M,,,,2007-04,,
2007-01,440.00M,,,,-16.00M,,,86.00M,86.00M,-38.00M,,,,,,-4.00M,-5.00M,470.00M,-54.00M,190.00M,138.00M,1.207B,,2007-01,-130.00M,,-130.00M,,,39.00M,,2007-01,,,-235.00M,75.00M,-8.00M,67.00M,,-60.00M,,14.00M,,2007-01,178.00M,322.00M,500.00M,,2007-01,75.00M,,,-8.00M,2007-01,,
2006-10,23.00M,,,,1.00M,,,78.00M,78.00M,0.00,,,,,,-1.00M,-21.00M,-682.00M,202.00M,13.00M,-61.00M,-448.00M,,2006-10,-169.00M,,-169.00M,,,2.00M,,2006-10,,,232.00M,13.00M,-55.00M,-42.00M,,-59.00M,,11.00M,,2006-10,651.00M,-473.00M,178.00M,,2006-10,13.00M,,,-55.00M,2006-10,,
2006-07,114.00M,,,,-1.00M,,,78.00M,78.00M,-15.00M,,,,,,-1.00M,-12.00M,-140.00M,113.00M,-14.00M,8.00M,130.00M,,2006-07,-126.00M,,-126.00M,,,-6.00M,,2006-07,,,-4.00M,33.00M,-48.00M,-15.00M,,-60.00M,,10.00M,,2006-07,722.00M,-71.00M,651.00M,,2006-07,33.00M,,,-48.00M,2006-07,,
2006-04,99.00M,,,,,,,74.00M,74.00M,10.00M,,,,,,-4.00M,56.00M,-193.00M,-146.00M,-173.00M,-12.00M,-289.00M,,2006-04,-123.00M,,-123.00M,,,,,2006-04,,,,56.00M,-82.00M,-26.00M,,-59.00M,,11.00M,,2006-04,1.208B,-486.00M,722.00M,,2006-04,56.00M,,,-82.00M,2006-04,,
