,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,2.622B,,2.622B,297.00M,297.00M,233.00M,1.632B,1.865B,,143.00M,4.927B,,,,,8.87B,,,8.87B,-4.081B,4.789B,628.00M,411.00M,1.039B,69.00M,337.00M,6.234B,11.16B,,2020-10,,1.215B,1.479B,2.694B,,11.00M,11.00M,625.00M,636.00M,,,,,3.33B,6.451B,2.566B,9.017B,191.00M,191.00M,4.00M,187.00M,9.395B,2020-10,143.00M,-2.28B,879.00M,358.00M,48.00M,-1.568B,,2020-10,AOR,
2020-07,2.611B,,2.611B,268.00M,268.00M,217.00M,1.259B,1.476B,,150.00M,4.505B,,,,,8.911B,,,8.911B,-3.984B,4.927B,628.00M,411.00M,1.039B,74.00M,335.00M,6.375B,10.88B,,2020-07,,1.009B,1.34B,2.349B,,460.00M,460.00M,624.00M,1.084B,,,,,3.433B,6.269B,2.698B,8.967B,191.00M,191.00M,4.00M,193.00M,9.351B,2020-07,143.00M,-2.611B,869.00M,358.00M,49.00M,-1.908B,,2020-07,AOR,
2020-04,957.00M,,957.00M,229.00M,229.00M,144.00M,1.347B,1.491B,,172.00M,2.849B,,,,,9.124B,,,9.124B,-3.878B,5.246B,628.00M,411.00M,1.039B,84.00M,221.00M,6.59B,9.439B,,2020-04,,799.00M,826.00M,1.625B,,468.00M,468.00M,590.00M,1.058B,,,,,2.683B,5.034B,2.945B,7.979B,198.00M,198.00M,3.00M,437.00M,8.614B,2020-04,143.00M,-2.562B,865.00M,358.00M,51.00M,-1.861B,,2020-04,AOR,
2020-01,1.499B,,1.499B,306.00M,306.00M,135.00M,1.152B,1.287B,,153.00M,3.245B,0.00,116.00M,496.00M,3.861B,3.053B,122.00M,2.018B,9.666B,-4.127B,5.539B,628.00M,411.00M,1.039B,84.00M,218.00M,6.88B,10.12B,,2020-01,,855.00M,409.00M,1.264B,23.00M,61.00M,61.00M,478.00M,539.00M,330.00M,330.00M,,,2.372B,5.487B,3.052B,8.539B,219.00M,219.00M,4.00M,490.00M,9.248B,2020-01,142.00M,-2.182B,847.00M,358.00M,52.00M,-1.499B,,2020-01,AOR,
2019-10,340.00M,,340.00M,295.00M,295.00M,178.00M,1.854B,2.032B,,259.00M,2.926B,,,,,9.579B,,,9.579B,-3.878B,5.701B,1.318B,411.00M,1.729B,63.00M,211.00M,7.704B,10.63B,,2019-10,,1.028B,980.00M,2.008B,,75.00M,75.00M,460.00M,535.00M,,,,,2.543B,5.477B,3.108B,8.585B,246.00M,246.00M,4.00M,494.00M,9.325B,2019-10,142.00M,-1.907B,828.00M,358.00M,53.00M,-1.242B,,2019-10,AOR,Restated
2019-07,853.00M,,853.00M,283.00M,283.00M,197.00M,1.132B,1.329B,,188.00M,2.653B,,,,,10.02B,,,10.02B,-4.052B,5.965B,1.348B,411.00M,1.759B,62.00M,179.00M,7.965B,10.62B,,2019-07,,766.00M,919.00M,1.685B,,75.00M,75.00M,456.00M,531.00M,,,,,2.216B,5.475B,3.165B,8.64B,241.00M,241.00M,4.00M,450.00M,9.331B,2019-07,142.00M,-1.572B,806.00M,358.00M,49.00M,-933.00M,,2019-07,AOR,Restated
2019-04,1.146B,,1.146B,274.00M,274.00M,132.00M,1.225B,1.357B,,170.00M,2.947B,,,,,10.02B,,,10.02B,-3.95B,6.065B,1.348B,411.00M,1.759B,61.00M,166.00M,8.051B,11.00B,,2019-04,,810.00M,872.00M,1.682B,,72.00M,72.00M,443.00M,515.00M,,,,,2.197B,5.749B,3.234B,8.983B,238.00M,238.00M,4.00M,478.00M,9.699B,2019-04,142.00M,-1.527B,786.00M,358.00M,55.00M,-902.00M,,2019-04,AOR,Restated
2019-01,1.413B,,1.413B,367.00M,367.00M,141.00M,1.107B,1.248B,,232.00M,3.26B,0.00,116.00M,492.00M,3.725B,,123.00M,2.277B,6.733B,-3.915B,2.818B,1.348B,411.00M,1.759B,62.00M,191.00M,4.83B,8.09B,,2019-01,,910.00M,446.00M,1.356B,27.00M,72.00M,72.00M,0.00,72.00M,316.00M,316.00M,,,1.986B,5.739B,0.00,5.739B,226.00M,226.00M,4.00M,1.004B,6.969B,2019-01,141.00M,-1.482B,771.00M,358.00M,59.00M,-869.00M,,2019-01,AOR,Restated
2018-10,348.00M,,348.00M,321.00M,321.00M,189.00M,1.774B,1.963B,,301.00M,2.933B,,,,,,,,6.827B,-3.893B,2.934B,1.348B,411.00M,1.759B,20.00M,183.00M,4.896B,7.829B,,2018-10,,1.068B,1.018B,2.086B,,,56.00M,,56.00M,,,,,2.142B,5.814B,,5.814B,234.00M,234.00M,2.00M,951.00M,6.999B,2018-10,142.00M,-1.856B,747.00M,358.00M,11.00M,-1.314B,,2018-10,AOR,Restated
2018-07,843.00M,,843.00M,310.00M,310.00M,172.00M,1.143B,1.315B,,247.00M,2.715B,,,,,,,,6.89B,-3.941B,2.949B,1.348B,411.00M,1.759B,21.00M,176.00M,4.905B,7.62B,,2018-07,,828.00M,963.00M,1.791B,,,65.00M,,65.00M,,,,,1.856B,5.712B,,5.712B,237.00M,237.00M,2.00M,937.00M,6.886B,2018-07,142.00M,-1.648B,718.00M,348.00M,12.00M,-1.124B,,2018-07,AOR,Restated
