,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2020-09,583.70M,583.70M,275.47M,308.22M,174.70M,174.70M,-1.355M,0.866M,-0.866M,,197.10M,111.12M,0.866M,-0.866M,-1.355M,-0.866M,108.90M,29.32M,79.58M,,,79.58M,80.57M,132.17M,22.40M,2020-09,0.16,,,0.1620,2020-09,0.16,,,0.1620,2020-09,491.63M,491.63M,2020-09,AOR,
2020-06,553.33M,553.33M,255.62M,297.71M,171.25M,171.25M,0.451M,1.46M,-1.46M,,193.18M,104.53M,1.46M,-1.46M,0.451M,-1.46M,103.52M,28.16M,75.36M,,,75.36M,75.03M,126.90M,21.92M,2020-06,0.1533,,,0.1527,2020-06,0.1533,,,0.1527,2020-06,491.64M,491.64M,2020-06,AOR,
2020-03,487.90M,487.90M,251.15M,236.75M,157.86M,157.86M,0.275M,,-2.165M,,179.46M,57.29M,,-2.165M,0.275M,-2.165M,55.40M,12.13M,43.27M,,,43.27M,43.05M,78.89M,21.60M,2020-03,0.0867,,,0.0862,2020-03,0.0867,,,0.0862,2020-03,491.52M,491.52M,2020-03,AOR,
2019-12,505.98M,505.98M,254.28M,251.70M,154.80M,154.80M,0.175M,,-2.466M,,177.40M,74.30M,,-2.466M,0.175M,-2.466M,72.01M,21.24M,50.76M,,,50.76M,50.64M,96.50M,21.04M,2019-12,0.1067,,,0.1064,2019-12,0.1067,,,0.1064,2019-12,491.16M,491.16M,2019-12,AOR,
2019-09,556.47M,556.47M,268.72M,287.75M,217.07M,217.07M,-0.027M,2.826M,-2.826M,,238.76M,48.99M,2.826M,-2.826M,-0.027M,-2.826M,46.14M,2.078M,44.06M,,,44.06M,44.09M,70.66M,21.69M,2019-09,0.0867,,,0.0867,2019-09,0.0867,,,0.0867,2019-09,491.19M,491.19M,2019-09,AOR,Restated
2019-06,523.96M,523.96M,253.33M,270.62M,161.89M,161.89M,0.252M,1.899M,-1.899M,,182.02M,88.61M,1.899M,-1.899M,0.252M,-1.899M,86.96M,22.66M,64.30M,,,64.30M,64.11M,108.99M,20.13M,2019-06,0.1333,,,0.1330,2019-06,0.1333,,,0.1330,2019-06,491.26M,491.26M,2019-06,AOR,Restated
2019-03,429.07M,429.07M,217.26M,211.81M,139.53M,139.53M,0.181M,,0.274M,,156.21M,55.60M,,0.274M,0.181M,0.274M,56.05M,11.83M,44.23M,,,44.23M,44.08M,72.28M,16.68M,2019-03,0.0933,,,0.0930,2019-03,0.0933,,,0.0930,2019-03,491.26M,491.26M,2019-03,AOR,Restated
2018-12,444.62M,444.62M,221.24M,223.39M,135.76M,135.76M,0.197M,,0.29M,,152.40M,70.98M,,0.29M,0.197M,0.29M,71.47M,20.50M,50.97M,,,50.97M,50.83M,87.63M,14.53M,2018-12,0.1067,,,0.1064,2018-12,0.1067,,,0.1064,2018-12,490.97M,490.97M,2018-12,AOR,Restated
2018-09,487.74M,487.74M,236.29M,251.45M,145.07M,145.07M,0.314M,,0.063M,,161.94M,89.51M,,0.063M,0.314M,0.063M,89.89M,23.26M,66.63M,,,66.63M,66.40M,106.38M,16.87M,2018-09,0.1333,,,0.1329,2018-09,0.1333,,,0.1329,2018-09,490.98M,490.98M,2018-09,AOR,Restated
2018-06,480.46M,480.46M,230.77M,249.69M,143.38M,143.38M,0.308M,,-0.075M,,159.74M,89.94M,,-0.075M,0.308M,-0.075M,90.18M,24.64M,65.54M,,,65.54M,65.32M,106.31M,16.37M,2018-06,0.1333,,,0.1329,2018-06,0.1333,,,0.1329,2018-06,490.92M,490.92M,2018-06,AOR,Restated
2018-03,408.74M,408.74M,206.14M,202.60M,126.49M,126.49M,0.056M,,-0.058M,,143.40M,59.20M,,-0.058M,0.056M,-0.058M,59.19M,10.67M,48.52M,,,48.52M,48.48M,76.11M,16.92M,2018-03,0.10,,,0.0999,2018-03,0.10,,,0.0999,2018-03,490.87M,490.87M,2018-03,AOR,Restated
2017-12,414.71M,414.71M,207.52M,207.19M,123.68M,123.68M,0.063M,,-0.083M,,138.63M,68.56M,,-0.083M,0.063M,-0.083M,68.54M,34.81M,33.74M,,,33.74M,33.70M,83.51M,13.90M,2017-12,0.0667,,,0.0666,2017-12,0.0667,,,0.0666,2017-12,490.48M,490.48M,2017-12,AOR,Restated
2017-09,450.44M,450.44M,218.78M,231.66M,134.93M,134.93M,0.066M,,0.079M,,149.24M,82.42M,,0.079M,0.066M,0.079M,82.56M,31.13M,51.43M,,,51.43M,51.39M,96.73M,14.31M,2017-09,0.1067,,,0.1066,2017-09,0.1067,,,0.1066,2017-09,490.47M,490.47M,2017-09,AOR,Restated
2017-06,433.56M,433.56M,204.48M,229.08M,129.67M,129.67M,0.088M,,0.19M,,143.21M,85.86M,,0.19M,0.088M,0.19M,86.14M,32.45M,53.69M,,,53.69M,53.63M,99.41M,13.55M,2017-06,0.1111,,,0.1110,2017-06,0.1111,,,0.1110,2017-06,490.50M,490.50M,2017-06,AOR,Restated
2017-03,375.25M,375.25M,189.16M,186.08M,115.15M,115.15M,0.026M,,0.073M,,128.92M,57.16M,,0.073M,0.026M,0.073M,57.26M,16.99M,40.27M,,,40.27M,40.25M,70.93M,13.77M,2017-03,0.08,,,0.0800,2017-03,0.08,,,0.0800,2017-03,490.43M,490.43M,2017-03,AOR,Restated
2016-12,385.61M,385.61M,193.00M,192.62M,126.32M,126.32M,0.057M,,0.004M,,140.15M,52.47M,,0.004M,0.057M,0.004M,52.53M,14.52M,38.01M,,,38.01M,37.97M,66.30M,12.82M,2016-12,0.0756,,,0.0755,2016-12,0.0756,,,0.0755,2016-12,490.09M,490.09M,2016-12,AOR,Restated
2016-09,423.99M,423.99M,205.61M,218.39M,125.41M,125.41M,0.052M,,0.018M,,138.49M,79.90M,,0.018M,0.052M,0.018M,79.97M,30.32M,49.65M,,,49.65M,49.62M,92.98M,13.08M,2016-09,0.1022,,,0.1022,2016-09,0.1022,,,0.1022,2016-09,490.59M,490.59M,2016-09,AOR,Restated
2016-06,411.13M,411.13M,195.94M,215.19M,126.54M,126.54M,0.579M,,0.088M,,138.90M,76.30M,,0.088M,0.579M,0.088M,76.96M,29.18M,47.78M,,,47.78M,47.42M,88.64M,12.35M,2016-06,0.0978,,,0.0970,2016-06,0.0978,,,0.0970,2016-06,491.48M,491.48M,2016-06,AOR,Restated
2016-03,352.74M,352.74M,177.80M,174.93M,112.26M,112.26M,0.089M,,0.05M,,123.90M,51.04M,,0.05M,0.089M,0.05M,51.18M,19.25M,31.93M,,,31.93M,31.87M,62.68M,11.64M,2016-03,0.0667,,,0.0666,2016-03,0.0667,,,0.0666,2016-03,492.04M,492.04M,2016-03,AOR,Restated
2015-12,362.50M,362.50M,182.24M,180.26M,117.60M,117.60M,0.449M,,0.026M,,128.94M,51.32M,,0.026M,0.449M,0.026M,51.80M,20.05M,31.75M,,,31.75M,31.47M,62.66M,8.957M,2015-12,0.0667,,,0.0661,2015-12,0.0667,,,0.0661,2015-12,491.81M,491.81M,2015-12,AOR,Restated
2015-09,399.75M,399.75M,195.49M,204.26M,121.94M,121.94M,1.255M,,0.021M,,133.10M,71.16M,,0.021M,1.255M,0.021M,72.43M,27.39M,45.05M,,,45.05M,44.27M,82.31M,11.16M,2015-09,0.0933,,,0.0917,2015-09,0.0933,,,0.0917,2015-09,491.84M,491.84M,2015-09,AOR,Restated
2015-06,392.15M,392.15M,190.21M,201.94M,118.62M,118.62M,0.194M,,0.066M,,129.87M,72.07M,,0.066M,0.194M,0.066M,72.33M,27.26M,45.07M,,,45.07M,44.95M,83.32M,11.24M,2015-06,0.0933,,,0.0931,2015-06,0.0933,,,0.0931,2015-06,491.88M,491.88M,2015-06,AOR,Restated
2015-03,330.91M,330.91M,168.04M,162.87M,105.58M,105.58M,0.055M,,0.047M,,116.36M,46.51M,,0.047M,0.055M,0.047M,46.61M,16.33M,30.28M,,,30.28M,30.25M,57.29M,10.78M,2015-03,0.0622,,,0.0622,2015-03,0.0622,,,0.0622,2015-03,491.72M,491.72M,2015-03,AOR,Restated
2014-12,343.95M,343.95M,174.98M,168.97M,111.36M,111.36M,0.054M,,0.116M,,122.61M,46.36M,,0.116M,0.054M,0.116M,46.54M,16.62M,29.92M,,,29.92M,29.88M,57.62M,10.02M,2014-12,0.0622,,,0.0622,2014-12,0.0622,,,0.0622,2014-12,491.14M,491.14M,2014-12,AOR,Restated
2014-09,384.87M,384.87M,188.81M,196.06M,118.76M,118.76M,0.086M,,-0.024M,,130.20M,65.86M,,-0.024M,0.086M,-0.024M,65.92M,24.80M,41.12M,,,41.12M,41.07M,77.30M,11.44M,2014-09,0.0844,,,0.0843,2014-09,0.0844,,,0.0843,2014-09,492.08M,492.08M,2014-09,AOR,Restated
2014-06,369.36M,369.36M,182.64M,186.72M,110.75M,110.75M,0.23M,,0.086M,,121.36M,65.36M,,0.086M,0.23M,0.086M,65.67M,24.81M,40.86M,,,40.86M,40.72M,75.96M,10.61M,2014-06,0.0844,,,0.0842,2014-06,0.0844,,,0.0842,2014-06,492.33M,492.33M,2014-06,AOR,Restated
2014-03,313.39M,313.39M,161.31M,152.08M,100.83M,100.83M,0.248M,,0.076M,,111.05M,41.03M,,0.076M,0.248M,0.076M,41.36M,15.59M,25.77M,,,25.77M,25.61M,51.25M,10.21M,2014-03,0.0533,,,0.0530,2014-03,0.0533,,,0.0530,2014-03,492.72M,492.72M,2014-03,AOR,Restated
2013-12,324.71M,324.71M,167.36M,157.35M,106.61M,106.61M,,,0.112M,,116.44M,40.91M,,0.112M,,0.112M,41.19M,13.23M,27.96M,,,27.96M,27.96M,50.74M,9.566M,2013-12,0.0563,,,0.0563,2013-12,0.0563,,,0.0563,2013-12,492.31M,492.31M,2013-12,AOR,Restated
2013-09,362.16M,362.16M,181.14M,181.02M,113.03M,113.03M,,,0.101M,,123.10M,57.92M,,0.101M,,0.101M,58.02M,21.82M,36.20M,,,36.20M,36.20M,67.99M,10.08M,2013-09,0.0741,,,0.0741,2013-09,0.0741,,,0.0741,2013-09,492.77M,492.77M,2013-09,AOR,Restated
2013-06,350.80M,350.80M,174.36M,176.44M,109.52M,109.52M,,,0.127M,,119.29M,57.15M,,0.127M,,0.127M,57.28M,21.28M,35.99M,,,35.99M,35.99M,66.92M,9.768M,2013-06,0.0741,,,0.0741,2013-06,0.0741,,,0.0741,2013-06,493.46M,493.46M,2013-06,AOR,Restated
2013-03,299.71M,299.71M,155.61M,144.11M,99.13M,99.13M,,,0.045M,,109.03M,35.08M,,0.045M,,0.045M,35.12M,11.95M,23.18M,,,23.18M,23.18M,44.97M,9.894M,2013-03,0.0474,,,0.0474,2013-03,0.0474,,,0.0474,2013-03,493.55M,493.55M,2013-03,AOR,Restated
2012-12,306.39M,306.39M,163.02M,143.37M,99.08M,99.08M,,,0.076M,,108.89M,34.48M,,0.076M,,0.076M,35.03M,12.11M,22.91M,,,22.91M,22.91M,44.29M,9.229M,2012-12,0.0474,,,0.0474,2012-12,0.0474,,,0.0474,2012-12,492.84M,492.84M,2012-12,AOR,Restated
2012-09,340.18M,340.18M,170.48M,169.70M,108.52M,108.52M,,,-0.019M,,117.98M,51.72M,,-0.019M,,-0.019M,51.70M,19.49M,32.21M,,,32.21M,32.21M,61.18M,9.465M,2012-09,0.0652,,,0.0652,2012-09,0.0652,,,0.0652,2012-09,492.95M,492.96M,2012-09,AOR,Restated
2012-06,334.87M,334.87M,165.99M,168.88M,106.07M,106.07M,,,-0.02M,,115.68M,53.20M,,-0.02M,,-0.02M,53.18M,20.05M,33.13M,,,33.13M,33.13M,62.81M,9.613M,2012-06,0.0681,,,0.0681,2012-06,0.0681,,,0.0681,2012-06,494.16M,494.19M,2012-06,AOR,Restated
2012-03,289.46M,289.46M,148.08M,141.38M,94.82M,94.82M,,,-0.051M,,104.59M,36.79M,,-0.051M,,-0.051M,36.74M,13.66M,23.08M,,,23.08M,23.08M,46.56M,9.767M,2012-03,0.0474,,,0.0474,2012-03,0.0474,,,0.0474,2012-03,495.10M,495.16M,2012-03,AOR,Restated
2011-12,289.06M,289.06M,151.20M,137.85M,,93.06M,,,-0.059M,,102.74M,35.12M,,-0.059M,,-0.059M,34.65M,13.06M,21.60M,,,21.60M,21.60M,44.80M,9.678M,2011-12,0.0444,,,0.0444,2011-12,0.0444,,,0.0444,2011-12,493.66M,493.77M,2011-12,AOR,Restated
