,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2020-09,79.58M,,22.40M,22.40M,0.646M,10.51M,,3.13M,,,,,,,-13.49M,,105.84M,,2020-09,-5.249M,,0.145M,-23.85M,,0.789M,-28.16M,,2020-09,-85.00M,,,0.00,0.00,-26.21M,-26.21M,,-16.31M,-127.52M,,2020-09,134.83M,-49.85M,95.44M,,2020-09,,-85.00M,0.00,,,,2020-09,AOR
2020-06,75.36M,,21.92M,21.92M,0.056M,3.821M,,-0.463M,,,,,,,34.63M,,142.81M,,2020-06,-5.767M,,0.018M,-8.444M,,0.879M,-13.31M,,2020-06,-64.80M,,,-0.054M,-0.054M,-26.21M,-26.21M,,-5.822M,-96.89M,,2020-06,92.58M,32.60M,134.83M,,2020-06,,-68.80M,-0.054M,,,,2020-06,AOR
2020-03,43.27M,,21.60M,21.60M,2.999M,3.819M,,-0.615M,,,,,,,18.61M,,91.96M,,2020-03,-6.674M,,0.267M,-47.59M,,0.941M,-53.05M,,2020-03,28.30M,,,-8.031M,-8.031M,-39.32M,-39.32M,,-2.04M,-21.09M,,2020-03,94.28M,17.82M,92.58M,,2020-03,,-35.70M,-8.031M,,,,2020-03,AOR
2019-12,50.76M,,21.04M,21.04M,-0.256M,3.268M,,15.11M,,,,,,,-65.30M,,65.30M,,2019-12,-8.445M,,0.005M,0.691M,,0.506M,-7.139M,,2019-12,-34.50M,,,-0.074M,-0.074M,-50.74M,-50.74M,,13.57M,-71.74M,,2019-12,104.36M,-13.59M,94.28M,,2019-12,,-76.50M,-0.074M,,,,2019-12,AOR
2019-09,44.06M,,21.69M,21.69M,-11.74M,3.305M,,-0.051M,,,,,,,39.15M,,101.71M,,2019-09,-5.265M,,0.126M,-21.18M,,0.273M,-26.05M,,2019-09,-21.88M,,,-0.101M,-0.101M,-34.39M,-34.39M,,-8.339M,-64.71M,,2019-09,98.47M,10.96M,104.36M,,2019-09,,-51.88M,-0.101M,,,,2019-09,AOR
2019-06,64.30M,,20.13M,20.13M,1.436M,3.697M,,-0.309M,,,,,,,-11.74M,,80.75M,,2019-06,-6.955M,,0.091M,-403.03M,,0.528M,-409.36M,,2019-06,347.88M,,,-0.713M,-0.713M,-34.37M,-34.37M,,-2.426M,310.37M,,2019-06,116.61M,-18.24M,98.47M,,2019-06,,-20.12M,-0.713M,,,,2019-06,AOR
2019-03,44.23M,,16.68M,16.68M,3.327M,3.889M,,-0.591M,,,,,,,-7.794M,,61.42M,,2019-03,-6.481M,,0.395M,-7.041M,,0.569M,-12.56M,,2019-03,0.00,,,-9.121M,-9.121M,-34.33M,-34.33M,,-2.807M,-46.26M,,2019-03,115.48M,2.604M,116.61M,,2019-03,,0.00,-9.121M,,,,2019-03,AOR
2018-12,50.97M,,14.53M,14.53M,3.024M,3.696M,,15.65M,,,,,,,-5.233M,,73.00M,,2018-12,-7.534M,,0.00,-4.984M,,0.931M,-11.29M,,2018-12,0.00,,,-0.008M,-0.008M,-61.06M,-61.06M,,,-61.07M,,2018-12,118.65M,0.635M,115.48M,,2018-12,,0.00,-0.008M,,,,2018-12,AOR
2018-09,66.63M,,16.87M,16.87M,0.096M,3.66M,,-0.385M,,,,,,,-9.42M,,82.76M,,2018-09,-5.399M,,0.115M,-17.17M,,0.577M,-21.87M,,2018-09,0.00,,,-0.195M,-0.195M,-30.54M,-30.54M,,,-30.73M,,2018-09,87.88M,30.16M,118.65M,,2018-09,,0.00,-0.195M,,,,2018-09,AOR
2018-06,65.54M,,16.37M,16.37M,0.407M,3.277M,,-0.34M,,,,,,,-30.75M,,57.76M,,2018-06,-8.112M,,0.051M,-11.46M,,0.349M,-19.18M,,2018-06,0.00,,,-0.113M,-0.113M,-30.54M,-30.54M,,,-30.65M,,2018-06,84.32M,7.931M,87.88M,,2018-06,,0.00,-0.113M,,,,2018-06,AOR
2018-03,48.52M,,16.92M,16.92M,4.101M,3.093M,,-1.195M,,,,,,,0.376M,,72.75M,,2018-03,-6.134M,,0.177M,-43.15M,,0.076M,-49.04M,,2018-03,,,,-9.225M,-9.225M,-30.60M,-30.60M,,,-39.83M,,2018-03,107.05M,-16.11M,84.32M,,2018-03,,,-9.225M,,,,2018-03,AOR
