,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,95.44M,,95.44M,138.39M,25.37M,162.48M,30.39M,30.39M,,,43.53M,331.84M,,,,186.82M,211.34M,398.17M,,398.17M,619.66M,389.94M,1.010B,37.43M,2.165M,25.67M,1.474B,1.806B,,2020-09,31.76M,88.15M,,15.62M,15.62M,72.20M,87.82M,139.73M,139.73M,64.87M,469.14M,154.38M,140.80M,295.17M,15.24M,15.24M,93.80M,,,404.21M,873.35M,,528.96M,99.16M,,,,,2020-09,AOR,
2020-06,134.83M,,134.83M,129.30M,25.10M,152.58M,34.06M,34.06M,,,41.63M,363.10M,,,,191.14M,214.87M,406.02M,,406.02M,602.31M,390.72M,993.03M,38.28M,2.105M,24.54M,1.473B,1.836B,,2020-06,31.23M,79.27M,,12.50M,12.50M,71.49M,83.99M,139.54M,139.54M,88.32M,478.17M,242.50M,144.85M,387.35M,14.48M,14.48M,93.55M,,,495.38M,973.55M,,475.59M,88.64M,,,,,2020-06,AOR,
2020-03,92.58M,,92.58M,123.17M,24.01M,145.38M,21.53M,21.53M,,,45.35M,304.83M,,,,194.85M,207.98M,402.83M,,402.83M,596.07M,394.54M,990.60M,33.95M,1.961M,21.66M,1.467B,1.771B,,2020-03,30.74M,67.58M,,12.50M,12.50M,69.09M,81.59M,129.35M,129.35M,71.05M,417.87M,307.30M,140.15M,447.45M,14.26M,14.26M,91.53M,,,553.24M,971.11M,,426.45M,84.86M,,,,,2020-03,AOR,
2019-12,94.28M,,94.28M,122.77M,23.94M,145.03M,19.48M,19.48M,,,51.00M,309.79M,0.00,33.18M,95.52M,334.20M,200.73M,663.63M,-267.37M,396.26M,572.85M,386.78M,959.63M,30.79M,2.18M,24.16M,1.435B,1.744B,,2019-12,30.44M,65.68M,,12.50M,12.50M,66.12M,78.62M,122.82M,122.82M,60.98M,410.04M,279.00M,135.65M,414.65M,9.927M,9.927M,94.01M,,,518.59M,928.63M,,420.02M,89.41M,,,,,2019-12,AOR,
2019-09,104.36M,,104.36M,132.06M,25.55M,155.89M,17.50M,17.50M,,,46.44M,324.19M,,,,197.55M,196.85M,394.40M,,394.40M,570.76M,397.50M,968.25M,30.75M,0.00,21.25M,1.441B,1.765B,,2019-09,29.82M,62.75M,,12.50M,12.50M,63.95M,76.45M,132.92M,132.92M,60.06M,410.88M,313.50M,133.70M,447.20M,7.971M,7.971M,91.84M,,,547.02M,957.90M,,419.99M,86.21M,,,,,2019-09,AOR,Restated
2019-06,98.47M,,98.47M,130.70M,23.42M,152.29M,17.58M,17.58M,,,51.51M,319.84M,,,,201.20M,191.18M,392.38M,,392.38M,563.08M,397.52M,960.60M,30.61M,0.00,21.07M,1.410B,1.730B,,2019-06,30.26M,67.91M,,12.50M,12.50M,62.20M,74.70M,133.67M,133.67M,60.69M,414.34M,335.38M,129.37M,464.75M,,,98.42M,,,563.17M,977.51M,,410.33M,82.96M,,,,,2019-06,AOR,Restated
2019-03,116.61M,,116.61M,104.59M,21.06M,123.85M,16.57M,16.57M,,,32.91M,289.94M,,,,136.81M,182.18M,318.98M,,318.98M,370.49M,239.42M,609.92M,26.38M,0.961M,20.62M,982.13M,1.272B,,2019-03,27.94M,55.44M,,,,60.45M,60.45M,123.94M,123.94M,54.03M,352.71M,,121.78M,121.78M,,,78.46M,,,200.24M,552.95M,,380.40M,79.93M,,,,,2019-03,AOR,Restated
2018-12,115.48M,,115.48M,104.02M,20.30M,122.47M,15.79M,15.79M,,,32.28M,286.02M,0.00,24.52M,53.34M,299.35M,,377.20M,-240.32M,136.88M,368.48M,243.26M,611.74M,28.23M,6.915M,19.06M,808.10M,1.094B,,2018-12,27.71M,54.88M,,,,0.00,0.00,116.00M,116.00M,50.41M,299.03M,,0.00,0.00,0.00,0.00,83.19M,,,83.19M,382.22M,,370.29M,85.39M,,,,,2018-12,AOR,Restated
2018-09,118.65M,,118.65M,122.38M,22.08M,142.76M,16.09M,16.09M,,,25.58M,303.08M,,,,,,,,136.86M,365.48M,250.91M,616.39M,26.88M,5.863M,20.98M,826.49M,1.130B,,2018-09,27.72M,57.71M,,,,,,123.92M,123.92M,53.92M,309.38M,,,,,,85.38M,0.058M,,85.43M,394.82M,,489.50M,81.68M,,,,,2018-09,AOR,Restated
2018-06,87.88M,,87.88M,115.67M,20.12M,134.03M,16.10M,16.10M,,,50.46M,288.47M,,,,,,,,137.65M,359.11M,246.42M,605.53M,26.24M,7.923M,20.49M,816.71M,1.105B,,2018-06,28.73M,60.80M,,,,,,124.78M,124.78M,61.08M,319.23M,,,,,,90.10M,0.039M,,90.14M,409.37M,,453.41M,78.21M,,,,,2018-06,AOR,Restated
2018-03,84.32M,,84.32M,96.46M,18.56M,113.44M,15.88M,15.88M,,,27.06M,240.70M,,,,,,,,136.27M,364.61M,238.08M,602.69M,22.30M,10.43M,20.06M,809.99M,1.051B,,2018-03,28.46M,59.09M,,,,,,117.93M,117.93M,57.44M,299.07M,,,,,,88.86M,,,88.86M,387.93M,,418.41M,75.08M,,,,,2018-03,AOR,Restated
2017-12,107.05M,,107.05M,97.80M,18.80M,115.06M,14.98M,14.98M,,,25.70M,262.80M,0.00,24.55M,51.02M,272.32M,,347.90M,-213.81M,134.09M,346.51M,214.42M,560.93M,20.41M,18.42M,19.42M,770.87M,1.034B,,2017-12,28.02M,54.18M,,,,,,109.03M,109.03M,58.34M,294.57M,,,,,,85.17M,,,85.17M,379.74M,,291.49M,81.40M,,,,,2017-12,AOR,Restated
2017-09,113.40M,,113.40M,110.32M,18.74M,127.53M,15.38M,15.38M,,,26.62M,282.93M,,,,,,,,132.86M,372.92M,187.36M,560.28M,19.00M,32.49M,18.97M,763.60M,1.047B,,2017-09,27.83M,64.02M,,,,,,118.95M,118.95M,50.72M,308.79M,,,,,,85.54M,1.759M,,87.30M,396.09M,,413.58M,78.48M,,,,,2017-09,AOR,Restated
2017-06,194.84M,,194.84M,101.23M,18.42M,118.06M,15.51M,15.51M,,,33.22M,361.63M,,,,,,,,131.44M,258.26M,157.00M,415.26M,19.47M,34.20M,18.53M,618.90M,980.53M,,2017-06,27.12M,60.90M,,,,,,112.97M,112.97M,41.22M,287.10M,,,,,,73.84M,2.132M,,75.97M,363.06M,,387.22M,75.94M,,,,,2017-06,AOR,Restated
2017-03,162.48M,,162.48M,85.18M,16.89M,100.36M,14.74M,14.74M,,,28.19M,305.76M,,,,,,,,132.10M,257.61M,159.05M,416.66M,16.34M,36.41M,17.59M,619.11M,924.86M,,2017-03,26.94M,58.88M,,,,,,104.32M,104.32M,43.97M,267.52M,,,,,,71.29M,2.506M,,73.80M,341.31M,,358.59M,73.02M,0.00,,,,2017-03,AOR,Restated
2016-12,142.78M,,142.78M,88.49M,17.70M,104.46M,13.72M,13.72M,,,29.20M,290.17M,0.00,24.52M,50.12M,249.11M,,323.76M,-190.28M,133.48M,255.66M,161.78M,417.44M,16.75M,41.88M,16.82M,626.37M,916.54M,,2016-12,26.20M,56.48M,,,,,,99.82M,99.82M,44.85M,276.99M,,,,,,68.12M,2.88M,,71.00M,347.99M,,343.38M,77.45M,,,,,2016-12,AOR,Restated
2016-09,139.26M,,139.26M,99.11M,17.75M,115.10M,13.79M,13.79M,,,31.76M,299.91M,,,,,,,,134.17M,260.15M,161.88M,422.04M,16.28M,32.75M,16.37M,621.61M,921.52M,,2016-09,26.54M,52.98M,,,,,,110.85M,110.85M,35.25M,271.65M,,,,,,69.32M,6.32M,,75.64M,347.29M,,348.87M,74.29M,0.00,,,,2016-09,AOR,Restated
2016-06,126.46M,,126.46M,96.96M,16.88M,112.22M,14.64M,14.64M,,,33.26M,286.59M,,,,,,,,133.52M,254.00M,164.60M,418.60M,16.62M,34.40M,15.87M,619.01M,905.60M,,2016-06,25.64M,53.26M,,,,,,109.73M,109.73M,36.74M,271.30M,,,,,,66.52M,9.459M,,75.98M,347.28M,,332.18M,71.64M,0.00,,,,2016-06,AOR,Restated
2016-03,131.24M,,131.24M,86.01M,14.55M,99.16M,13.62M,13.62M,,,26.10M,270.12M,,,,,,,,127.43M,252.62M,157.54M,410.16M,13.36M,36.83M,15.12M,602.89M,873.02M,,2016-03,32.64M,54.30M,,,,,,102.30M,102.30M,42.37M,262.87M,,,,,,58.99M,9.597M,,68.59M,331.46M,,315.68M,68.47M,0.00,,,,2016-03,AOR,Restated
2015-12,134.57M,,134.57M,79.86M,15.67M,93.69M,12.80M,12.80M,,,28.36M,269.43M,0.00,24.49M,49.28M,215.58M,,289.35M,-168.00M,121.36M,249.94M,138.93M,388.87M,13.64M,40.66M,14.69M,579.22M,848.65M,,2015-12,24.87M,49.79M,,,,,,96.19M,96.19M,33.39M,252.99M,,,,,,61.90M,9.735M,,71.64M,324.62M,,306.89M,69.76M,0.20M,,,,2015-12,AOR,Restated
2015-09,134.31M,,134.31M,90.78M,15.89M,104.99M,12.96M,12.96M,,42.14M,24.70M,319.10M,,,,,,,,115.73M,248.79M,142.64M,391.43M,14.22M,8.308M,13.55M,543.24M,862.34M,,2015-09,31.19M,52.28M,,,,,,105.72M,105.72M,32.73M,264.87M,,,,,,53.50M,24.54M,,78.04M,342.91M,,314.46M,66.81M,0.20M,,,,2015-09,AOR,Restated
2015-06,109.68M,,109.68M,88.27M,15.76M,102.33M,14.03M,14.03M,,40.64M,32.38M,299.06M,,,,,,,,110.38M,269.87M,132.40M,402.26M,14.37M,8.614M,14.08M,549.70M,848.76M,,2015-06,27.35M,55.90M,,,,,,107.33M,107.33M,31.42M,263.94M,,,,,,61.54M,26.04M,,87.58M,351.52M,,286.89M,63.46M,0.20M,,,,2015-06,AOR,Restated
2015-03,93.39M,,93.39M,76.52M,13.68M,88.49M,13.77M,13.77M,,40.75M,18.84M,255.23M,,,,,,,,105.45M,269.38M,136.64M,406.01M,11.65M,8.912M,14.01M,546.03M,801.26M,,2015-03,24.89M,46.31M,,,,,,100.10M,100.10M,37.82M,244.46M,,,,,,63.77M,26.05M,,89.82M,334.28M,,259.30M,61.68M,0.20M,,,,2015-03,AOR,Restated
2014-12,108.37M,,108.37M,77.85M,13.98M,90.09M,14.08M,14.08M,,42.76M,28.66M,283.96M,0.00,24.57M,48.44M,185.60M,,258.61M,-156.94M,101.67M,255.56M,133.47M,389.04M,11.79M,7.881M,13.83M,524.20M,808.16M,,2014-12,24.20M,47.08M,,,,,,94.06M,94.06M,37.45M,252.68M,,,,0.00,0.00,63.25M,29.56M,,92.81M,345.49M,,247.04M,62.84M,0.20M,,,,2014-12,AOR,Restated
2014-09,114.22M,,114.22M,87.76M,14.64M,100.62M,12.53M,12.53M,,42.28M,17.70M,287.34M,,,,,,,,101.99M,250.54M,150.29M,400.83M,12.28M,0.00,13.67M,539.29M,826.63M,,2014-09,25.02M,51.32M,,,,,,104.30M,104.30M,40.17M,267.86M,,,,0.397M,0.397M,66.87M,0.493M,,67.76M,335.62M,,319.69M,60.02M,0.20M,,,,2014-09,AOR,Restated
2014-06,101.52M,,101.52M,86.16M,14.55M,98.98M,13.14M,13.14M,,40.78M,19.05M,273.46M,,,,,,,,94.68M,255.52M,139.23M,394.75M,12.96M,4.564M,13.79M,531.12M,804.59M,,2014-06,24.21M,52.18M,,,,,,105.46M,105.46M,38.38M,259.43M,,,,,,69.14M,0.475M,,69.62M,329.05M,,299.98M,57.34M,0.193M,,,,2014-06,AOR,Restated
2014-03,83.13M,,83.13M,75.31M,12.94M,86.54M,12.69M,12.69M,,39.56M,19.09M,241.00M,,,,,,,,92.03M,235.26M,157.01M,392.27M,11.25M,4.75M,14.11M,524.66M,765.66M,,2014-03,26.65M,53.24M,,,,,,98.46M,98.46M,42.26M,250.50M,,,,,,64.94M,0.458M,,65.39M,315.90M,,279.99M,53.99M,,,,,2014-03,AOR,Restated
2013-12,118.22M,,118.22M,72.85M,14.00M,85.07M,12.25M,12.25M,,39.52M,19.39M,274.44M,0.00,24.68M,46.57M,160.83M,,232.09M,-144.88M,87.22M,211.85M,128.57M,340.42M,11.61M,4.544M,13.88M,464.78M,739.22M,,2013-12,25.63M,48.82M,,,,,,91.01M,91.01M,29.78M,235.79M,,,,,,64.48M,0.691M,,65.17M,300.96M,,270.40M,53.76M,0.00,,,,2013-12,AOR,Restated
2013-09,116.73M,,116.73M,80.90M,14.48M,93.64M,11.84M,11.84M,,34.66M,19.80M,276.68M,,,,,,,,85.35M,212.20M,134.76M,346.96M,12.72M,25.90M,13.25M,484.18M,760.86M,,2013-09,26.55M,52.66M,,,,,,100.11M,100.11M,32.09M,248.56M,,,,,,63.50M,41.51M,,105.01M,353.57M,,268.67M,50.96M,,,,,2013-09,AOR,Restated
2013-06,91.60M,,91.60M,79.02M,14.18M,91.46M,12.12M,12.12M,,34.30M,28.32M,257.79M,,,,,,,,84.47M,212.00M,131.12M,343.13M,12.83M,26.24M,12.60M,479.28M,737.07M,,2013-06,26.39M,57.12M,,,,,,100.06M,100.06M,32.80M,247.07M,,,,,,62.93M,42.26M,,105.20M,352.26M,,249.59M,48.22M,,,,,2013-06,AOR,Restated
2013-03,82.48M,,82.48M,68.19M,12.66M,79.09M,11.80M,11.80M,,32.84M,19.00M,225.21M,,,,,,,,83.30M,212.28M,136.46M,348.74M,11.21M,26.58M,12.40M,482.23M,707.44M,,2013-03,24.93M,48.01M,,,,,,96.25M,96.25M,39.38M,233.86M,,,,,,65.60M,43.02M,,108.61M,342.47M,,230.78M,45.65M,,,,,2013-03,AOR,Restated
2012-12,65.08M,,65.08M,68.92M,13.66M,80.74M,11.85M,11.85M,,33.34M,14.98M,205.99M,0.00,24.71M,45.53M,146.39M,,216.63M,-134.37M,82.26M,212.48M,141.79M,354.27M,11.68M,26.84M,11.46M,486.51M,692.51M,,2012-12,24.16M,49.02M,,,,,,87.75M,87.75M,31.60M,228.42M,,,,,,65.86M,43.27M,,109.13M,337.55M,,220.75M,45.16M,,,,,2012-12,AOR,Restated
2012-09,93.71M,,93.71M,78.75M,14.18M,91.14M,10.92M,10.92M,,30.12M,15.78M,241.68M,,,,,,,,77.52M,211.37M,132.85M,344.22M,12.49M,18.81M,11.31M,464.35M,706.03M,,2012-09,22.50M,47.18M,,,,,,95.73M,95.73M,34.86M,240.60M,,,,,,67.00M,29.77M,,96.77M,337.37M,,227.01M,42.56M,,,,,2012-09,AOR,Restated
2012-06,62.06M,,62.06M,73.78M,12.82M,86.61M,12.16M,12.16M,,30.48M,19.00M,210.31M,,,,,,,,76.96M,210.97M,137.86M,348.84M,12.57M,21.09M,11.01M,470.46M,680.77M,,2012-06,22.24M,51.92M,,,,,,96.13M,96.13M,36.46M,240.74M,,,,,,95.73M,,,95.73M,336.47M,,206.47M,40.06M,,,,,2012-06,AOR,Restated
2012-03,59.68M,,59.68M,63.79M,11.39M,75.18M,10.87M,10.87M,,29.72M,15.12M,190.58M,,,,,,,,77.15M,211.24M,139.58M,350.82M,11.44M,21.78M,11.05M,472.23M,662.81M,,2012-03,20.43M,39.64M,,,,,,92.78M,92.78M,43.57M,228.58M,,,,,,97.97M,,,97.97M,326.55M,,199.37M,37.54M,,,,,2012-03,AOR,Restated
2011-12,46.28M,,46.28M,61.69M,13.35M,73.35M,11.12M,11.12M,,31.27M,13.80M,175.82M,0.00,23.67M,43.84M,135.02M,,202.52M,-125.67M,76.86M,211.02M,137.53M,348.54M,11.30M,22.60M,10.52M,469.83M,645.65M,,2011-12,21.84M,44.43M,,,,,,85.64M,85.64M,34.65M,225.85M,,,,,,63.94M,31.87M,,95.80M,321.65M,,189.28M,36.55M,,,,,2011-12,AOR,Restated
2011-09,30.22M,,30.22M,71.72M,13.29M,83.38M,10.61M,10.61M,,30.58M,17.10M,171.88M,,,,,,,,76.05M,210.90M,140.60M,351.50M,11.11M,12.22M,9.67M,460.54M,632.42M,,2011-09,20.80M,44.75M,0.00,,0.00,,0.00,95.02M,95.02M,35.77M,235.91M,,,,,,70.01M,,,70.01M,305.92M,,179.22M,34.54M,,,,,2011-09,AOR,Restated
2011-06,25.82M,,25.82M,71.46M,12.07M,83.52M,12.30M,12.30M,,27.63M,20.20M,169.48M,,,,,,,,74.03M,213.70M,144.95M,358.65M,11.32M,13.16M,10.50M,467.66M,637.13M,,2011-06,20.58M,52.43M,10.00M,,10.00M,,10.00M,93.39M,93.39M,32.48M,249.25M,,,,,,66.45M,8.253M,,74.70M,323.95M,,170.16M,28.25M,,,,,2011-06,AOR,Restated
2011-03,23.34M,,23.34M,69.52M,,69.52M,12.68M,12.68M,14.52M,27.18M,,147.24M,,,,,,,,73.44M,212.13M,146.74M,358.87M,9.786M,14.34M,10.52M,466.96M,614.20M,,2011-03,19.92M,43.00M,25.00M,,25.00M,,25.00M,92.19M,92.19M,30.03M,241.92M,,,,,,62.68M,8.39M,,71.07M,312.98M,,159.20M,26.40M,,,,,2011-03,AOR,Restated
2010-12,20.91M,,20.91M,70.43M,,70.43M,11.90M,11.90M,,27.40M,20.38M,151.02M,0.00,23.68M,43.00M,128.87M,,195.55M,-121.54M,74.01M,210.78M,30.26M,241.04M,10.19M,15.11M,127.64M,467.99M,619.01M,,2010-12,80.47M,106.41M,26.00M,,26.00M,,26.00M,85.49M,85.49M,28.54M,246.44M,,,,,,74.60M,,,74.60M,321.04M,,155.46M,27.82M,,,,,2010-12,AOR,Restated
2010-09,20.25M,,20.25M,79.19M,,79.19M,11.17M,11.17M,,27.09M,13.16M,150.86M,,,,,,,,70.78M,200.64M,25.64M,226.28M,10.42M,19.84M,129.45M,456.76M,607.62M,,2010-09,81.93M,107.62M,24.00M,,24.00M,,24.00M,95.71M,95.71M,28.33M,255.66M,,,,,,65.53M,,,65.53M,321.18M,,194.13M,26.05M,,,,,2010-09,AOR,Restated
2010-06,19.29M,,19.29M,75.12M,,75.12M,11.12M,11.12M,,26.19M,14.60M,146.31M,,,,,,,,71.26M,189.67M,24.53M,214.20M,10.58M,17.33M,122.73M,436.10M,582.41M,,2010-06,75.60M,93.20M,25.00M,,25.00M,,25.00M,93.45M,93.45M,25.82M,237.47M,,,,,,69.37M,,,69.37M,306.84M,,184.90M,24.26M,,,,,2010-06,AOR,Restated
2010-03,14.15M,,14.15M,62.94M,,62.94M,10.96M,10.96M,,25.76M,11.84M,125.64M,,,,,,,,72.20M,189.92M,24.58M,214.50M,9.021M,17.64M,126.32M,439.69M,565.33M,,2010-03,68.06M,88.73M,15.00M,,15.00M,,15.00M,89.60M,89.60M,31.53M,224.86M,,,,,,68.81M,,,68.81M,293.67M,,181.41M,22.64M,,,,,2010-03,AOR,Restated
2009-12,9.504M,,9.504M,62.75M,,62.75M,10.21M,10.21M,,25.84M,12.22M,120.53M,0.00,20.88M,42.23M,122.63M,,185.74M,-111.10M,74.64M,189.66M,24.78M,214.44M,9.356M,17.90M,129.62M,445.97M,566.50M,,2009-12,73.94M,89.78M,30.00M,,30.00M,,30.00M,85.88M,85.88M,27.08M,232.75M,,,,,,69.18M,,,69.18M,301.93M,,125.68M,22.66M,,,,,2009-12,AOR,Restated
