,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,1.31B,-50.00M,-162.00M,-212.00M,212.00M,212.00M,38.00M,1.215B,,511.00M,406.00M,,,,,,-1.173B,,1.901B,,,,,,-727.00M,-108.00M,-915.00M,,-500.00M,,-500.00M,,-201.00M,-201.00M,,,-218.00M,-218.00M,55.00M,,-864.00M,,583.00M,122.00M,16.00M,721.00M,,,,0.00,-500.00M,-201.00M,165.00M,113.00M,,AOR,
2020-09,827.00M,-37.00M,-154.00M,-191.00M,186.00M,186.00M,4.00M,1.207B,,-38.00M,37.00M,,,,,,331.00M,,2.326B,,,,,,-2.076B,-78.00M,-2.163B,,0.00,,0.00,,0.00,0.00,,,-217.00M,-217.00M,7.00M,,-210.00M,,623.00M,-47.00M,7.00M,583.00M,,,,0.00,0.00,0.00,396.00M,60.00M,,AOR,
2020-06,-40.00M,-13.00M,253.00M,240.00M,188.00M,188.00M,-77.00M,1.173B,,292.00M,-170.00M,,,,,,-112.00M,,1.664B,,,,,,-1.815B,-75.00M,-1.898B,,490.00M,,490.00M,,0.00,0.00,,,-216.00M,-216.00M,34.00M,,308.00M,,544.00M,74.00M,5.00M,623.00M,,,,490.00M,0.00,0.00,2.00M,106.00M,,AOR,
2020-03,600.00M,98.00M,-67.00M,31.00M,203.00M,203.00M,6.00M,1.178B,,-636.00M,-341.00M,,,,,,-754.00M,,628.00M,,,,,,169.00M,-69.00M,84.00M,,0.00,,0.00,,-471.00M,-471.00M,,,-210.00M,-210.00M,31.00M,,-650.00M,,494.00M,62.00M,-12.00M,544.00M,,,,0.00,,-471.00M,15.00M,60.00M,,AOR,
2019-12,873.00M,-12.00M,-55.00M,-67.00M,182.00M,182.00M,-23.00M,1.181B,,444.00M,172.00M,,,,,,-1.178B,,1.412B,,,,,,-761.00M,-82.00M,-855.00M,,0.00,,0.00,,-376.00M,-376.00M,,,-211.00M,-211.00M,7.00M,,-580.00M,,508.00M,-23.00M,9.00M,494.00M,,,,0.00,0.00,-376.00M,61.00M,107.00M,,AOR,Restated
2019-09,396.00M,-23.00M,-64.00M,-87.00M,180.00M,180.00M,-20.00M,1.169B,,355.00M,229.00M,,,,,,8.00M,,2.001B,,,,,,-1.262B,-74.00M,-1.346B,,0.00,,0.00,,-375.00M,-375.00M,,,-214.00M,-214.00M,32.00M,,-557.00M,,416.00M,98.00M,-6.00M,508.00M,,,,0.00,0.00,-375.00M,42.00M,60.00M,,AOR,Restated
2019-06,557.00M,-25.00M,-98.00M,-123.00M,190.00M,190.00M,-22.00M,1.134B,,194.00M,-292.00M,,,,,,-777.00M,,1.153B,,,,,,-20.00M,-87.00M,-115.00M,,-500.00M,,-500.00M,,-376.00M,-376.00M,,,-214.00M,-214.00M,111.00M,,-979.00M,,357.00M,59.00M,0.00,416.00M,,,,0.00,-500.00M,-376.00M,320.00M,121.00M,,AOR,Restated
2019-03,796.00M,-53.00M,-34.00M,-87.00M,211.00M,211.00M,32.00M,1.117B,,-458.00M,-336.00M,,,,,,-972.00M,,639.00M,,,,,,-427.00M,-82.00M,-586.00M,,492.00M,,492.00M,,-421.00M,-421.00M,,,-205.00M,-205.00M,63.00M,,-71.00M,,373.00M,-18.00M,2.00M,357.00M,,,,492.00M,,-421.00M,5.00M,50.00M,,AOR,Restated
2018-12,621.00M,-60.00M,-81.00M,-141.00M,194.00M,194.00M,30.00M,1.122B,,168.00M,36.00M,,,,,,-1.046B,,948.00M,,,,,4.00M,-533.00M,-24.00M,-570.00M,,0.00,,0.00,,-170.00M,-170.00M,,,-203.00M,-203.00M,15.00M,,-358.00M,,359.00M,20.00M,-6.00M,373.00M,,,,0.00,0.00,-170.00M,164.00M,122.00M,,AOR,Restated
2018-09,709.00M,-29.00M,-115.00M,-144.00M,198.00M,198.00M,27.00M,1.117B,,205.00M,102.00M,,,,,,-378.00M,,1.734B,,,,,-4.00M,-1.213B,-72.00M,-1.302B,,100.00M,,100.00M,,-400.00M,-400.00M,,,-207.00M,-207.00M,19.00M,,-488.00M,,415.00M,-56.00M,0.00,359.00M,,,,100.00M,0.00,-400.00M,6.00M,50.00M,,AOR,Restated
2018-06,524.00M,-36.00M,-74.00M,-110.00M,199.00M,199.00M,-14.00M,1.081B,,247.00M,-239.00M,,,,,,-783.00M,,1.144B,,,,,,34.00M,-99.00M,-76.00M,,-500.00M,,-500.00M,,-350.00M,-350.00M,,,-207.00M,-207.00M,13.00M,,-1.044B,,397.00M,24.00M,-6.00M,415.00M,,,,0.00,-500.00M,-350.00M,182.00M,136.00M,,AOR,Restated
2018-03,669.00M,11.00M,-95.00M,-84.00M,212.00M,212.00M,-56.00M,1.061B,,-430.00M,-392.00M,,,,,,-818.00M,,554.00M,,,,,,-295.00M,-53.00M,-381.00M,,391.00M,,391.00M,,-401.00M,-401.00M,,,-197.00M,-197.00M,85.00M,,-122.00M,,344.00M,51.00M,2.00M,397.00M,,,,491.00M,-100.00M,-401.00M,56.00M,39.00M,,AOR,Restated
2017-12,551.00M,-70.00M,-97.00M,-167.00M,202.00M,202.00M,249.00M,1.072B,,50.00M,158.00M,,,,,,-1.294B,,663.00M,,,,,0.00,248.00M,-55.00M,174.00M,,-350.00M,,-350.00M,,-351.00M,-351.00M,,,-196.00M,-196.00M,25.00M,,-872.00M,,379.00M,-35.00M,0.00,344.00M,,,,100.00M,-450.00M,-351.00M,47.00M,150.00M,,AOR,Restated
2017-09,293.00M,-61.00M,-90.00M,-151.00M,202.00M,202.00M,-18.00M,1.059B,,284.00M,-84.00M,,,,,,62.00M,,1.731B,,,,,-439.00M,-678.00M,-55.00M,-1.186B,,0.00,,0.00,,-328.00M,-328.00M,,,-200.00M,-200.00M,30.00M,,-498.00M,,328.00M,47.00M,4.00M,379.00M,,,,0.00,0.00,-328.00M,144.00M,39.00M,,AOR,Restated
2017-06,595.00M,-80.00M,-101.00M,-181.00M,198.00M,198.00M,-45.00M,1.032B,,281.00M,-260.00M,,,,,,-974.00M,,906.00M,,,,,,-609.00M,-56.00M,-675.00M,,482.00M,,482.00M,,-475.00M,-475.00M,,,-199.00M,-199.00M,35.00M,,-157.00M,,249.00M,74.00M,5.00M,328.00M,,,,689.00M,-207.00M,-475.00M,321.00M,135.00M,,AOR,Restated
2017-03,617.00M,-5.00M,-109.00M,-114.00M,211.00M,211.00M,151.00M,1.003B,,-572.00M,-192.00M,,,,,,-448.00M,,848.00M,,,,,,-447.00M,-52.00M,-515.00M,,0.00,,0.00,,-286.00M,-286.00M,,,-190.00M,-190.00M,83.00M,,-393.00M,,307.00M,-60.00M,2.00M,249.00M,,,,0.00,0.00,-286.00M,2.00M,43.00M,,AOR,Restated
2016-12,943.00M,-35.00M,-118.00M,-153.00M,202.00M,202.00M,81.00M,1.013B,,340.00M,416.00M,,,,,,-1.02B,,1.406B,,,,,0.00,-477.00M,-98.00M,-593.00M,,0.00,,0.00,,-751.00M,-751.00M,,,-188.00M,-188.00M,168.00M,,-771.00M,,269.00M,42.00M,-4.00M,307.00M,,,,0.00,0.00,-751.00M,244.00M,135.00M,,AOR,Restated
2016-09,716.00M,-23.00M,-70.00M,-93.00M,211.00M,211.00M,-46.00M,1.012B,,403.00M,159.00M,,,,,,-433.00M,,1.77B,,,,,0.00,-947.00M,-86.00M,-1.043B,,0.00,,0.00,,-562.00M,-562.00M,,,-194.00M,-194.00M,35.00M,,-721.00M,,265.00M,6.00M,-2.00M,269.00M,,,,0.00,0.00,-562.00M,181.00M,43.00M,,AOR,Restated
2016-06,664.00M,-19.00M,-27.00M,-46.00M,200.00M,200.00M,-30.00M,989.00M,,108.00M,16.00M,,,,,,-1.442B,,443.00M,,,,,,143.00M,-75.00M,55.00M,,91.00M,,91.00M,,-550.00M,-550.00M,,,-195.00M,-195.00M,65.00M,,-589.00M,,361.00M,-91.00M,-5.00M,265.00M,,,,491.00M,-400.00M,-550.00M,404.00M,138.00M,,AOR,Restated
