,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.448B,2.448B,66.00M,949.00M,1.015B,97.00M,25.00M,,1.137B,0.00,1.343B,889.00M,191.00M,698.00M,,,83.00M,698.00M,698.00M,122.00M,978.00M,0.48,,,,0.48,0.48,0.48,,,,0.48,0.48,1.289B,1.294B,0.18
2020-06,2.45B,2.45B,70.00M,933.00M,1.003B,,,,1.112B,0.00,1.389B,888.00M,217.00M,671.00M,,,50.00M,671.00M,671.00M,109.00M,985.00M,0.48,,,,0.48,0.48,0.48,,,,0.48,0.48,1.288B,1.294B,0.18
2020-03,2.617B,2.617B,67.00M,1.006B,1.073B,,,,1.169B,0.00,1.572B,1.047B,252.00M,795.00M,,,38.00M,795.00M,795.00M,96.00M,1.183B,0.59,,,,0.59,0.59,0.58,,,,0.58,0.58,1.287B,1.294B,0.18
2019-12,2.606B,2.606B,90.00M,902.00M,992.00M,,,,1.086B,0.00,1.595B,1.112B,260.00M,852.00M,,,51.00M,852.00M,852.00M,94.00M,1.28B,0.62,,,,0.62,0.62,0.62,,,,0.62,0.62,1.284B,1.293B,0.17
2019-09,2.711B,2.711B,71.00M,950.00M,1.021B,82.00M,6.00M,,1.109B,0.00,1.631B,1.236B,285.00M,951.00M,,,38.00M,951.00M,951.00M,88.00M,1.497B,0.7,,,,0.7,0.7,0.7,,,,0.7,0.7,1.30B,1.308B,0.17
2019-06,2.681B,2.681B,77.00M,899.00M,976.00M,,,,1.06B,0.00,1.609B,1.236B,299.00M,937.00M,,,50.00M,937.00M,937.00M,84.00M,1.554B,0.67,,,,0.67,0.67,0.66,,,,0.66,0.66,1.328B,1.337B,0.17
2019-03,2.723B,2.723B,69.00M,944.00M,1.013B,,,,1.096B,0.00,1.681B,1.264B,300.00M,964.00M,,,39.00M,964.00M,964.00M,83.00M,1.581B,0.69,,,,0.69,0.69,0.69,,,,0.69,0.69,1.333B,1.344B,0.17
2018-12,2.669B,2.669B,93.00M,899.00M,992.00M,,,,1.072B,0.00,1.626B,1.21B,275.00M,935.00M,,,50.00M,935.00M,935.00M,80.00M,1.498B,0.66,,,,0.66,0.66,0.65,,,,0.65,0.65,1.345B,1.355B,0.13
2018-09,2.579B,2.579B,70.00M,853.00M,923.00M,,,,1.001B,0.00,1.527B,1.219B,296.00M,923.00M,,,38.00M,923.00M,923.00M,78.00M,1.447B,0.66,,,,0.66,0.66,0.65,,,,0.65,0.65,1.351B,1.364B,0.13
2018-06,2.486B,2.486B,77.00M,853.00M,930.00M,,,,1.005B,0.00,1.407B,1.131B,265.00M,866.00M,,,53.00M,866.00M,866.00M,75.00M,1.314B,0.6,,,,0.6,0.6,0.6,,,,0.6,0.6,1.35B,1.364B,0.1
2018-03,2.398B,2.398B,73.00M,883.00M,956.00M,,,,1.029B,0.00,1.263B,1.002B,219.00M,783.00M,,,37.00M,783.00M,783.00M,73.00M,1.16B,0.55,,,,0.55,0.55,0.55,,,,0.55,0.55,1.347B,1.362B,0.1
2017-12,2.242B,2.242B,63.00M,817.00M,880.00M,,,,949.00M,0.00,1.147B,953.00M,356.00M,597.00M,,,47.00M,597.00M,597.00M,69.00M,1.072B,0.41,,,,0.41,0.41,0.41,,,,0.41,0.41,1.342B,1.356B,0.08
2017-09,2.165B,2.165B,63.00M,761.00M,824.00M,,,,893.00M,0.00,1.082B,945.00M,327.00M,618.00M,,,43.00M,618.00M,618.00M,69.00M,1.039B,0.43,,,,0.43,0.43,0.42,,,,0.42,0.42,1.339B,1.353B,0.08
2017-06,2.13B,2.13B,71.00M,767.00M,838.00M,,,,904.00M,0.00,1.053B,909.00M,334.00M,575.00M,,,45.00M,575.00M,575.00M,66.00M,983.00M,0.4,,,,0.4,0.4,0.39,,,,0.39,0.39,1.338B,1.351B,0.08
2017-03,2.081B,2.081B,71.00M,802.00M,873.00M,,,,938.00M,0.00,1.00B,843.00M,279.00M,564.00M,,,39.00M,564.00M,564.00M,65.00M,898.00M,0.39,,,,0.39,0.39,0.39,,,,0.39,0.39,1.336B,1.351B,0.08
2016-12,1.977B,1.977B,61.00M,831.00M,892.00M,,,,953.00M,0.00,907.00M,824.00M,302.00M,522.00M,,,44.00M,522.00M,522.00M,61.00M,869.00M,0.36,,,,0.36,0.36,0.36,,,,0.36,0.36,1.33B,1.34B,0.07
2016-09,1.909B,1.909B,64.00M,666.00M,730.00M,,,,790.00M,0.00,845.00M,794.00M,291.00M,503.00M,,,33.00M,503.00M,503.00M,60.00M,840.00M,0.36,,,,0.36,0.36,0.35,,,,0.35,0.35,1.324B,1.334B,0.07
2016-06,1.826B,1.826B,70.00M,664.00M,734.00M,,,,791.00M,0.00,798.00M,720.00M,268.00M,452.00M,,,46.00M,452.00M,452.00M,57.00M,762.00M,0.31,,,,0.31,0.31,0.3,,,,0.3,0.3,1.322B,1.333B,0.07
2016-03,1.766B,1.766B,70.00M,686.00M,756.00M,,,,812.00M,0.00,772.00M,655.00M,243.00M,412.00M,,,20.00M,412.00M,412.00M,56.00M,693.00M,0.3,,,,0.3,0.3,0.29,,,,0.29,0.29,1.321B,1.33B,0.06
2015-12,1.691B,1.691B,60.00M,737.00M,797.00M,,,,855.00M,0.00,690.00M,645.00M,229.00M,416.00M,,,38.00M,416.00M,416.00M,58.00M,681.00M,0.29,,,,0.29,0.29,0.28,,,,0.28,0.28,1.315B,1.33B,0.06
2015-09,1.592B,1.592B,58.00M,606.00M,664.00M,,,,721.00M,0.00,635.00M,583.00M,207.00M,376.00M,,,11.00M,376.00M,376.00M,57.00M,617.00M,0.28,,,,0.28,0.28,0.28,,,,0.28,0.28,1.316B,1.328B,0.06
2015-06,1.564B,1.564B,62.00M,599.00M,661.00M,,,,716.00M,0.00,612.00M,567.00M,214.00M,353.00M,,,23.00M,353.00M,353.00M,55.00M,600.00M,0.25,,,,0.25,0.25,0.25,,,,0.25,0.25,1.314B,1.326B,0.06
2015-03,1.522B,1.522B,69.00M,639.00M,708.00M,,,,762.00M,0.00,588.00M,484.00M,182.00M,302.00M,,,11.00M,302.00M,302.00M,54.00M,513.00M,0.22,,,,0.22,0.22,0.22,,,,0.22,0.22,1.312B,1.323B,0.06
2014-12,1.554B,1.554B,58.00M,598.00M,656.00M,,,,710.00M,0.00,584.00M,554.00M,204.00M,350.00M,,,21.00M,350.00M,350.00M,54.00M,577.00M,0.25,,,,0.25,0.25,0.25,,,,0.25,0.25,1.306B,1.321B,0.06
2014-09,1.55B,1.55B,59.00M,648.00M,707.00M,,,,756.00M,-1.00M,573.00M,518.00M,197.00M,321.00M,,,9.00M,321.00M,321.00M,49.00M,545.00M,0.24,,,,0.24,0.24,0.24,,,,0.24,0.24,1.304B,1.316B,0.06
2014-06,1.471B,1.471B,65.00M,577.00M,642.00M,,,,690.00M,0.00,562.00M,521.00M,197.00M,324.00M,,,22.00M,324.00M,324.00M,48.00M,547.00M,0.23,,,,0.23,0.23,0.23,,,,0.23,0.23,1.302B,1.313B,0.06
2014-03,1.479B,1.479B,63.00M,584.00M,647.00M,,,,695.00M,0.00,553.00M,522.00M,196.00M,326.00M,,,8.00M,326.00M,326.00M,48.00M,548.00M,0.24,,,,0.24,0.24,0.24,,,,0.24,0.24,1.299B,1.311B,0.06
2013-12,1.433B,1.433B,59.00M,570.00M,629.00M,,,,678.00M,-2.00M,532.00M,498.00M,179.00M,319.00M,,,22.00M,319.00M,319.00M,49.00M,524.00M,0.23,,,,0.23,0.23,0.23,,,,0.23,0.23,1.294B,1.308B,0.06
2013-09,1.369B,1.369B,57.00M,537.00M,594.00M,,,,645.00M,-1.00M,506.00M,464.00M,174.00M,290.00M,,,8.00M,290.00M,290.00M,51.00M,489.00M,0.22,,,,0.22,0.22,0.22,,,,0.22,0.22,1.287B,1.296B,0.06
2013-06,1.336B,1.336B,67.00M,550.00M,617.00M,,,,668.00M,-3.00M,473.00M,412.00M,156.00M,256.00M,,,23.00M,256.00M,256.00M,51.00M,438.00M,0.18,,,,0.18,0.18,0.18,,,,0.18,0.18,1.282B,1.288B,0.06
2013-03,1.296B,1.296B,74.00M,590.00M,664.00M,,,,715.00M,-4.00M,469.00M,331.00M,125.00M,206.00M,,,8.00M,206.00M,206.00M,51.00M,359.00M,0.15,,,,0.15,0.15,0.15,,,,0.15,0.15,1.279B,1.282B,0.06
2012-12,1.217B,1.217B,68.00M,504.00M,572.00M,,,,622.00M,-4.00M,433.00M,344.00M,133.00M,211.00M,,,22.00M,211.00M,211.00M,50.00M,378.00M,0.15,,,,0.15,0.15,0.15,,,,0.15,0.15,1.277B,1.278B,0.06
2012-09,1.206B,1.206B,49.00M,495.00M,544.00M,,,,594.00M,-3.00M,439.00M,361.00M,114.00M,247.00M,,,9.00M,247.00M,247.00M,50.00M,400.00M,0.19,,,,0.19,0.19,0.19,,,,0.19,0.19,1.274B,1.275B,0.06
2012-06,1.287B,1.287B,57.00M,501.00M,558.00M,,,,606.00M,-7.00M,458.00M,432.00M,157.00M,275.00M,,,14.00M,275.00M,275.00M,48.00M,471.00M,0.2,,,,0.2,0.2,0.2,,,,0.2,0.2,1.273B,1.274B,0.06
2012-03,1.189B,1.189B,67.00M,523.00M,590.00M,,,,638.00M,-18.00M,434.00M,313.00M,118.00M,195.00M,,,,195.00M,195.00M,48.00M,351.00M,0.15,,,,0.15,0.15,0.15,,,,0.15,0.15,1.272B,1.273B,0.06
2011-12,1.096B,1.096B,69.00M,496.00M,565.00M,,,22.00M,635.00M,-31.00M,395.00M,252.00M,89.00M,163.00M,,,,163.00M,148.77M,48.00M,293.00M,0.12,,,,0.1088,0.12,0.12,,,,0.1088,0.12,1.269B,1.269B,0.06
2011-09,1.202B,1.202B,48.00M,479.00M,527.00M,,,-13.00M,553.00M,0.00,443.00M,360.00M,140.00M,220.00M,,,,220.00M,227.94M,39.00M,404.00M,0.18,0.0,,,0.1865,0.18,0.18,0.0,,,0.1865,0.18,1.228B,1.229B,0.06
2011-06,1.193B,1.193B,51.00M,484.00M,535.00M,,,-2.00M,566.00M,0.00,451.00M,386.00M,148.00M,238.00M,,,,238.00M,239.23M,33.00M,431.00M,0.2,0.0,,,0.201,0.2,0.2,0.0,,,0.201,0.2,1.207B,1.21B,0.06
2011-03,1.218B,1.218B,60.00M,493.00M,553.00M,,,-7.00M,581.00M,0.00,436.00M,394.00M,151.00M,243.00M,,,,243.00M,247.32M,35.00M,439.00M,0.2,0.0,,,0.2036,0.2,0.2,0.0,,,0.2036,0.2,1.203B,1.207B,0.06
2010-12,1.117B,1.117B,57.00M,450.00M,507.00M,,,-301.00M,244.00M,-36.00M,414.00M,229.00M,110.00M,119.00M,,,,119.00M,314.65M,38.00M,277.00M,0.1,,,,0.2634,0.1,0.1,,,,0.263,0.1,1.197B,1.20B,0.06
2010-09,1.069B,1.069B,34.00M,430.00M,464.00M,,,-3.00M,496.00M,0.00,387.00M,199.00M,75.00M,124.00M,,,,124.00M,125.87M,35.00M,254.00M,0.1,0.0,,,0.1016,0.1,0.1,0.0,,,0.1016,0.1,1.192B,1.194B,0.06
2010-06,1.089B,1.089B,43.00M,446.00M,489.00M,,,-8.00M,517.00M,0.00,383.00M,338.00M,133.00M,205.00M,,,,205.00M,209.85M,36.00M,383.00M,0.17,0.0,,,0.1741,0.17,0.17,0.0,,,0.1741,0.17,1.191B,1.195B,0.06
2010-03,1.00B,1.00B,62.00M,454.00M,516.00M,,,-8.00M,545.00M,0.00,340.00M,13.00M,7.00M,6.00M,,,,6.00M,11.20M,37.00M,64.00M,0.0,0.0,,,0.0044,0.0,0.0,0.0,,,0.0044,0.0,1.183B,1.188B,0.06
2009-12,863.00M,863.00M,50.00M,422.00M,472.00M,,,-22.00M,488.00M,0.00,160.00M,266.00M,102.00M,164.00M,,,,164.00M,177.56M,38.00M,471.00M,0.14,0.0,,,0.1517,0.14,0.14,0.0,,,0.1517,0.14,1.159B,1.16B,0.06
2009-09,1.022B,1.022B,34.00M,419.00M,453.00M,,,-11.00M,480.00M,0.00,294.00M,320.00M,120.00M,200.00M,,,,200.00M,206.88M,38.00M,382.00M,0.17,0.0,,,0.1759,0.17,0.17,0.0,,,0.1759,0.17,1.157B,1.163B,0.06
2009-06,1.098B,1.098B,49.00M,431.00M,480.00M,,,-13.00M,508.00M,0.00,302.00M,335.00M,130.00M,205.00M,,,,205.00M,212.96M,41.00M,394.00M,0.18,0.0,,,0.1869,0.18,0.18,0.0,,,0.1869,0.18,1.156B,1.16B,0.06
2009-03,1.125B,1.125B,58.00M,478.00M,536.00M,,,-14.00M,564.00M,0.00,306.00M,355.00M,137.00M,218.00M,,,,218.00M,226.60M,42.00M,395.00M,0.19,0.0,,,0.1974,0.19,0.19,0.0,,,0.1974,0.19,1.156B,1.156B,0.06
2008-12,1.301B,1.301B,62.00M,458.00M,520.00M,,,0.00,559.00M,0.00,389.00M,507.00M,199.00M,308.00M,0.00,,,308.00M,308.00M,39.00M,541.00M,0.27,0.0,,,0.27,0.27,0.26,0.0,,,0.26,0.27,1.151B,1.157B,0.06
2008-09,1.295B,1.295B,47.00M,441.00M,488.00M,,,-44.00M,482.00M,0.00,447.00M,499.00M,195.00M,304.00M,0.00,,,304.00M,330.81M,38.00M,549.00M,0.26,0.0,,,0.2834,0.26,0.26,0.0,,,0.2831,0.26,1.148B,1.158B,0.06
2008-06,1.308B,1.308B,58.00M,490.00M,548.00M,,,0.00,585.00M,0.00,427.00M,514.00M,201.00M,313.00M,-18.00M,,,295.00M,313.00M,37.00M,565.00M,0.27,-0.01,,,0.27,0.26,0.27,-0.01,,,0.27,0.26,1.145B,1.154B,0.05
2008-03,1.307B,1.307B,76.00M,489.00M,565.00M,,,0.00,603.00M,0.00,419.00M,508.00M,203.00M,305.00M,,,,305.00M,305.00M,38.00M,599.00M,0.27,0.0,,,0.27,0.27,0.26,0.0,,,0.26,0.26,1.149B,1.159B,0.05
2007-12,1.345B,1.345B,68.00M,455.00M,523.00M,,,,523.00M,242.00M,441.00M,526.00M,221.00M,305.00M,3.00M,,,308.00M,305.00M,39.00M,658.00M,0.27,0.01,,,0.27,0.28,0.26,0.01,,,0.26,0.28,1.106B,1.162B,0.05
2007-09,1.291B,1.291B,44.00M,447.00M,491.00M,,,,491.00M,218.00M,433.00M,512.00M,189.00M,323.00M,1.211B,,,1.534B,323.00M,39.00M,672.00M,0.27,1.02,,,0.27,1.29,0.27,1.01,,,0.27,1.28,1.201B,1.201B,0.05
2007-06,1.205B,1.205B,52.00M,449.00M,501.00M,,,,501.00M,198.00M,389.00M,424.00M,168.00M,256.00M,36.00M,,,292.00M,256.00M,39.00M,588.00M,0.21,0.03,,,0.21,0.24,0.2,0.03,,,0.2,0.23,1.257B,1.257B,0.05
2007-03,1.153B,1.153B,66.00M,430.00M,496.00M,,,,496.00M,202.00M,384.00M,391.00M,155.00M,236.00M,37.00M,,,273.00M,236.00M,39.00M,558.00M,0.19,0.03,,,0.19,0.22,0.19,0.03,,,0.19,0.22,1.266B,1.266B,0.05
2006-12,1.096B,1.096B,54.00M,399.00M,453.00M,,,,453.00M,181.00M,371.00M,372.00M,148.00M,224.00M,243.00M,,,467.00M,224.00M,38.00M,549.00M,0.18,0.19,,,0.18,0.37,0.17,0.19,,,0.17,0.36,1.277B,1.277B,0.05
2006-09,1.066B,1.066B,31.00M,404.00M,435.00M,,,,435.00M,167.00M,360.00M,382.00M,152.00M,230.00M,36.00M,,,266.00M,230.00M,39.00M,565.00M,0.18,0.03,,,0.18,0.21,0.18,0.03,,,0.18,0.21,1.277B,1.277B,0.03
2006-06,1.093B,1.093B,55.00M,407.00M,462.00M,,,,462.00M,210.00M,365.00M,369.00M,146.00M,223.00M,28.00M,,,251.00M,223.00M,39.00M,537.00M,0.17,0.03,,,0.17,0.2,0.17,0.02,,,0.17,0.19,1.294B,1.294B,0.03
2006-03,1.054B,1.054B,49.00M,409.00M,458.00M,,,,458.00M,227.00M,338.00M,353.00M,139.00M,214.00M,29.00M,,,243.00M,214.00M,41.00M,504.00M,0.17,0.02,,,0.17,0.19,0.17,0.02,,,0.17,0.19,1.296B,1.296B,0.025
2005-12,335.00M,335.00M,47.00M,59.00M,106.00M,,,1.00M,107.00M,197.00M,120.00M,149.00M,58.00M,91.00M,96.00M,,,187.00M,90.39M,22.00M,167.00M,0.07,0.08,,,0.0695,0.15,0.07,0.08,,,0.0695,0.14,1.284B,1.284B,0.025
2005-09,1.138B,1.138B,39.00M,481.00M,520.00M,,,4.00M,524.00M,187.00M,331.00M,329.00M,123.00M,206.00M,1.00M,,,207.00M,203.50M,52.00M,507.00M,0.16,0.0,,,0.1581,0.16,0.16,0.0,,,0.1581,0.16,1.308B,1.308B,0.022000000000000002
2005-06,1.087B,1.087B,43.00M,455.00M,498.00M,,,,498.00M,187.00M,297.00M,303.00M,117.00M,186.00M,,,,186.00M,186.00M,51.00M,470.00M,0.14,0.0,,,0.14,0.14,0.14,0.0,,,0.14,0.14,1.314B,1.314B,0.022000000000000002
