,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,27.46B,303.76B,331.22B,25.44B,,25.44B,,356.66B,,,,,,,,,2.346B,1.737B,1.258B,2.995B,22.32B,30.00M,22.29B,303.76B,,336.87B,419.36B,52.01B,52.01B,7.465B,59.47B,,,,59.47B,7.829B,7.00M,7.836B,320.72B,328.55B,388.02B,5.278B,21.26B,4.797B,5.691B,5.263B,,,5.686B,31.33B
2020-06,33.57B,281.22B,314.79B,21.42B,,21.42B,,336.21B,,,,,,,,,2.314B,1.733B,1.278B,3.011B,20.90B,30.00M,20.87B,281.22B,,312.30B,400.48B,50.14B,50.14B,9.442B,59.58B,,,,59.58B,8.526B,,8.526B,301.57B,310.09B,369.67B,5.278B,20.88B,4.76B,5.71B,5.263B,,,5.611B,30.82B
2020-03,68.46B,221.23B,289.69B,19.00B,,19.00B,,308.69B,,,,,,,,,2.291B,1.227B,,1.227B,19.55B,29.00M,19.52B,221.23B,,249.01B,370.78B,49.25B,49.25B,9.259B,58.51B,,,,58.51B,8.522B,,8.522B,277.48B,286.00B,344.51B,2.808B,20.49B,4.714B,5.734B,2.793B,,,3.995B,26.27B
2019-12,29.34B,61.42B,90.77B,22.91B,235.00M,23.15B,,113.91B,163.00M,1.056B,2.461B,577.00M,324.00M,360.00M,4.941B,-2.236B,2.705B,1.227B,128.00M,1.355B,18.23B,18.00M,18.21B,197.48B,,220.02B,294.00B,39.22B,39.22B,5.516B,44.74B,,,,44.74B,7.43B,,7.43B,220.09B,227.52B,272.26B,2.808B,19.96B,4.656B,5.767B,2.793B,,,88.00M,21.74B
2019-09,20.25B,56.48B,76.74B,21.07B,1.317B,22.39B,,99.12B,,,,,,,,,2.017B,1.227B,,1.227B,16.90B,,16.90B,197.17B,,220.18B,278.99B,37.36B,37.36B,3.521B,40.88B,,,,40.88B,7.427B,,7.427B,209.33B,216.75B,257.63B,2.808B,19.37B,4.64B,5.612B,2.793B,,,144.00M,21.35B
2019-06,24.20B,54.65B,78.85B,21.43B,463.00M,21.89B,,100.74B,,,,,,,,,1.909B,1.227B,,1.227B,16.64B,,16.64B,193.51B,,216.08B,276.32B,35.64B,35.64B,3.567B,39.20B,,,,39.20B,7.424B,,7.424B,208.38B,215.80B,255.00B,2.808B,18.68B,4.599B,4.866B,2.793B,,,99.00M,21.32B
2019-03,32.56B,60.00B,92.56B,20.53B,616.00M,21.14B,,113.71B,,,,,,,,,1.813B,1.227B,,1.227B,16.51B,,16.51B,192.95B,,215.19B,282.82B,31.30B,31.30B,3.604B,34.91B,,,,34.91B,6.829B,,6.829B,219.45B,226.28B,261.19B,2.808B,18.02B,4.548B,3.677B,2.793B,,,-71.00M,21.62B
2018-12,27.94B,66.58B,94.52B,22.65B,452.00M,23.10B,,117.62B,179.00M,945.00M,2.193B,,248.00M,367.00M,3.932B,-2.163B,1.769B,1.227B,152.00M,1.379B,16.63B,21.00M,16.61B,211.59B,,231.53B,296.48B,32.73B,32.73B,4.785B,37.51B,,,,37.51B,6.826B,52.00M,6.878B,231.42B,238.30B,275.81B,2.808B,17.33B,4.499B,3.714B,2.793B,,,-252.00M,20.67B
2018-09,21.83B,57.56B,79.39B,22.41B,798.00M,23.21B,,102.60B,,,,,,,,,1.683B,1.227B,,1.227B,16.56B,,16.56B,197.01B,,218.58B,272.10B,29.37B,29.37B,2.697B,32.07B,0.00,0.00,0.00,32.07B,5.735B,55.00M,5.79B,213.41B,219.20B,251.27B,2.808B,16.62B,4.484B,2.769B,2.793B,,,-304.00M,20.83B
2018-06,13.25B,55.52B,68.77B,22.35B,1.025B,23.38B,,92.15B,,,,,,,,,1.599B,1.227B,93.00M,1.32B,16.57B,,16.57B,192.84B,,214.24B,261.88B,33.67B,33.67B,2.408B,36.07B,,,,36.07B,5.732B,57.00M,5.789B,199.92B,205.71B,241.78B,2.808B,15.90B,4.447B,2.783B,2.793B,,,-278.00M,20.10B
