,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,-431.00M,,,,105.00M,105.00M,,121.00M,7.00M,,-76.00M,,,,,-60.00M,129.00M,69.00M,-205.00M,,-36.00M,,-36.00M,-606.00M,-1.00M,-643.00M,,1.203B,1.203B,,0.00,0.00,0.00,0.00,,-8.00M,1.195B,,1.52B,347.00M,1.867B,,,1.316B,-113.00M,0.00,0.00,13.00M,,AOR,
2020-06,-214.00M,,,,107.00M,107.00M,,69.00M,-2.00M,,-531.00M,,,,,21.00M,669.00M,690.00M,288.00M,,-49.00M,,-49.00M,50.00M,2.00M,3.00M,,375.00M,375.00M,,0.00,0.00,0.00,0.00,,32.00M,407.00M,,822.00M,698.00M,1.52B,,,440.00M,-65.00M,0.00,0.00,16.00M,,AOR,
2020-03,-232.00M,,,,108.00M,108.00M,,160.00M,9.00M,,169.00M,,,,,210.00M,-222.00M,-12.00M,33.00M,,-119.00M,,-119.00M,-16.00M,8.00M,-127.00M,,765.00M,765.00M,,-31.00M,-31.00M,-45.00M,-45.00M,,-5.00M,684.00M,,232.00M,590.00M,822.00M,,,825.00M,-60.00M,-31.00M,0.00,9.00M,,AOR,
2019-12,181.00M,,,,106.00M,106.00M,,,9.00M,,9.00M,,,,,-132.00M,134.00M,45.00M,341.00M,,-169.00M,,-169.00M,82.00M,4.00M,-83.00M,,-835.00M,-835.00M,,677.00M,677.00M,-120.00M,-120.00M,,3.00M,-275.00M,,249.00M,-17.00M,232.00M,,,94.00M,-929.00M,677.00M,29.00M,12.00M,,AOR,
2019-09,322.00M,,,,106.00M,106.00M,,0.00,4.00M,,4.00M,,,,,-141.00M,57.00M,-84.00M,348.00M,,-194.00M,,-194.00M,4.00M,12.00M,-178.00M,,505.00M,505.00M,,-727.00M,-727.00M,33.00M,33.00M,,14.00M,-175.00M,,254.00M,-5.00M,249.00M,,,102.00M,403.00M,-727.00M,2.00M,14.00M,,AOR,Restated
2019-06,262.00M,,,,105.00M,105.00M,,0.00,5.00M,,5.00M,,,,,57.00M,136.00M,193.00M,565.00M,,-218.00M,,-218.00M,-146.00M,20.00M,-344.00M,,-139.00M,-139.00M,,-12.00M,-12.00M,-43.00M,-43.00M,,2.00M,-192.00M,,225.00M,29.00M,254.00M,,,0.00,-139.00M,-12.00M,0.00,16.00M,,AOR,Restated
2019-03,4.00M,,,,106.00M,106.00M,,0.00,11.00M,,11.00M,,,,,328.00M,19.00M,347.00M,468.00M,,-115.00M,,-115.00M,-76.00M,5.00M,-186.00M,,-139.00M,-139.00M,,-13.00M,-13.00M,-43.00M,-43.00M,,24.00M,-171.00M,,114.00M,111.00M,225.00M,,,254.00M,-393.00M,-13.00M,0.00,18.00M,,AOR,Restated
2018-12,23.00M,,,,108.00M,108.00M,,,13.00M,,13.00M,,,,,-162.00M,252.00M,65.00M,209.00M,,-406.00M,,-406.00M,97.00M,11.00M,-298.00M,,76.00M,76.00M,,-13.00M,-13.00M,-40.00M,-40.00M,,-4.00M,19.00M,,184.00M,-70.00M,114.00M,,,339.00M,-263.00M,-13.00M,0.00,12.00M,,AOR,Restated
2018-09,217.00M,,,,99.00M,99.00M,,,17.00M,,17.00M,,,,,-162.00M,89.00M,-73.00M,260.00M,,-131.00M,,-131.00M,240.00M,26.00M,135.00M,,-286.00M,-286.00M,,-12.00M,-12.00M,-39.00M,-39.00M,,18.00M,-319.00M,,108.00M,76.00M,184.00M,,,0.00,-286.00M,-12.00M,0.00,21.00M,,AOR,Restated
2018-06,193.00M,,,,97.00M,97.00M,,,9.00M,,9.00M,,,,,-10.00M,131.00M,121.00M,420.00M,,-188.00M,,-188.00M,-118.00M,2.00M,-304.00M,,-138.00M,-138.00M,,-12.00M,-12.00M,-39.00M,-39.00M,,-2.00M,-191.00M,,183.00M,-75.00M,108.00M,,,0.00,-138.00M,-12.00M,0.00,15.00M,,AOR,Restated
