,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,,,3.346B,,,,,,660.00M,4.006B,,7.611B,7.611B,,7.611B,1.943B,107.00M,2.05B,,,,379.00M,10.04B,14.05B,,,,,,1.138B,1.138B,290.00M,1.428B,1.073B,1.073B,,1.77B,4.271B,2.357B,1.268B,3.625B,,,,,3.145B,6.77B,11.04B,,,,,,,3.005B,,AOR,
2020-09,,1.855B,1.904B,3.759B,321.00M,321.00M,57.00M,328.00M,,,4.465B,,2.911B,11.36B,-3.46B,7.897B,1.943B,107.00M,2.05B,,,,337.00M,10.28B,14.75B,,93.00M,93.00M,947.00M,1.04B,1.15B,1.15B,283.00M,1.433B,1.734B,1.734B,,,4.207B,2.672B,1.32B,3.992B,499.00M,1.52B,2.019B,601.00M,476.00M,7.088B,11.30B,,1.00M,4.211B,366.00M,674.00M,-450.00M,3.454B,,AOR,
2020-06,,1.509B,1.294B,2.803B,280.00M,280.00M,56.00M,105.00M,,,3.244B,,2.949B,11.80B,-3.434B,8.363B,1.943B,109.00M,2.052B,,,,339.00M,10.75B,14.00B,,102.00M,102.00M,611.00M,713.00M,1.087B,1.087B,273.00M,1.36B,1.686B,2.047B,,,4.12B,1.549B,1.376B,2.925B,619.00M,1.519B,2.138B,581.00M,373.00M,6.017B,10.14B,,1.00M,4.642B,350.00M,674.00M,-458.00M,3.861B,,AOR,
2020-03,,811.00M,1.314B,2.125B,279.00M,279.00M,68.00M,100.00M,,,2.572B,,2.927B,11.74B,-3.307B,8.438B,1.943B,110.00M,2.053B,,,,300.00M,10.79B,13.36B,,119.00M,119.00M,698.00M,817.00M,1.059B,1.059B,266.00M,1.325B,1.588B,1.588B,,,3.73B,1.203B,1.375B,2.578B,665.00M,1.545B,2.21B,577.00M,253.00M,5.618B,9.348B,,1.00M,4.856B,314.00M,674.00M,-482.00M,4.015B,,AOR,
2019-12,,221.00M,1.30B,1.521B,323.00M,323.00M,72.00M,121.00M,,,2.037B,,3.017B,12.10B,-3.486B,8.613B,1.943B,122.00M,2.065B,,,,278.00M,10.96B,12.99B,,146.00M,146.00M,901.00M,1.047B,235.00M,235.00M,269.00M,504.00M,1.65B,1.65B,,,3.201B,1.264B,1.439B,2.703B,715.00M,1.24B,1.955B,571.00M,232.00M,5.461B,8.662B,,1.00M,5.133B,305.00M,643.00M,-465.00M,4.331B,,AOR,
2019-09,,237.00M,1.382B,1.619B,377.00M,377.00M,63.00M,143.00M,,,2.202B,,2.919B,11.87B,-3.393B,8.481B,1.943B,123.00M,2.066B,,,,234.00M,10.78B,12.98B,,120.00M,120.00M,867.00M,987.00M,265.00M,265.00M,268.00M,533.00M,1.826B,1.826B,,,3.346B,1.444B,1.376B,2.82B,708.00M,1.177B,1.885B,467.00M,213.00M,5.385B,8.731B,,1.00M,4.996B,297.00M,621.00M,-421.00M,4.252B,,AOR,Restated
2019-06,,244.00M,1.383B,1.627B,389.00M,389.00M,55.00M,147.00M,,,2.218B,,2.934B,11.75B,-3.307B,8.44B,1.943B,125.00M,2.068B,,,,225.00M,10.73B,12.95B,,156.00M,156.00M,876.00M,1.032B,288.00M,288.00M,273.00M,561.00M,1.941B,1.941B,,,3.534B,1.538B,1.424B,2.962B,582.00M,1.181B,1.763B,522.00M,197.00M,5.444B,8.978B,,1.00M,4.717B,270.00M,593.00M,-422.00M,3.973B,,AOR,Restated
2019-03,,215.00M,1.221B,1.436B,358.00M,358.00M,58.00M,149.00M,,,2.001B,,2.912B,11.58B,-3.233B,8.344B,1.943B,127.00M,2.07B,,,,225.00M,10.64B,12.64B,,157.00M,157.00M,781.00M,938.00M,300.00M,300.00M,275.00M,575.00M,1.873B,1.873B,,,3.386B,1.664B,1.443B,3.107B,520.00M,1.158B,1.678B,513.00M,210.00M,5.508B,8.894B,,1.00M,4.498B,261.00M,581.00M,-433.00M,3.746B,,AOR,Restated
2018-12,,105.00M,1.131B,1.236B,366.00M,366.00M,60.00M,125.00M,,,1.787B,,1.363B,10.02B,-3.242B,6.781B,1.943B,127.00M,2.07B,,,,274.00M,9.125B,10.91B,,132.00M,132.00M,831.00M,963.00M,486.00M,486.00M,0.00,486.00M,1.493B,1.493B,,,2.942B,1.617B,0.00,1.617B,512.00M,1.169B,1.681B,503.00M,418.00M,4.219B,7.161B,,1.00M,4.534B,232.00M,568.00M,-448.00M,3.751B,,AOR,Restated
2018-09,,174.00M,1.223B,1.397B,422.00M,422.00M,57.00M,180.00M,,,2.056B,,1.322B,9.662B,-3.167B,6.495B,1.943B,128.00M,2.071B,,,,271.00M,8.837B,10.89B,,114.00M,114.00M,786.00M,900.00M,,345.00M,,345.00M,1.643B,1.643B,,,2.888B,1.684B,,1.684B,494.00M,1.138B,1.632B,470.00M,428.00M,4.214B,7.102B,,1.00M,4.55B,224.00M,556.00M,-428.00M,3.791B,,AOR,Restated
