,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-466.00M,,-108.00M,,,565.00M,565.00M,,,37.00M,50.00M,,100.00M,-201.00M,-2.912B,,331.00M,-114.00M,,-2.101B,-4.997B,-4.819B,,2020-09,-262.00M,179.00M,-83.00M,,,-4.06B,-4.137B,,2020-09,-467.00M,-467.00M,,,,0.00,0.00,4.00M,-5.00M,,2020-09,19.99B,-9.424B,10.56B,,2020-09,,60.00M,-527.00M,,2020-09,AOR,
2020-06,-2.395B,,-38.00M,,,547.00M,547.00M,,,254.00M,60.00M,,727.00M,923.00M,-3.768B,,-1.054B,105.00M,,-641.00M,-4.435B,-5.28B,,2020-06,-348.00M,38.00M,-310.00M,,,-12.00B,-12.31B,,2020-06,22.46B,22.46B,,,,0.00,0.00,6.00M,-2.00M,,2020-06,15.04B,4.875B,19.99B,,2020-06,,24.87B,-2.411B,,2020-06,AOR,
2020-03,-641.00M,,-54.00M,,,556.00M,556.00M,,,26.00M,55.00M,,97.00M,-433.00M,-2.973B,,-1.613B,328.00M,,350.00M,-4.341B,-4.302B,,2020-03,-428.00M,58.00M,-370.00M,,,-17.00M,-379.00M,,2020-03,11.58B,11.58B,,,,-1.158B,-1.158B,21.00M,-162.00M,,2020-03,9.571B,5.599B,15.04B,,2020-03,,17.43B,-5.854B,,2020-03,AOR,
2019-12,-1.01B,,-395.00M,,,628.00M,628.00M,,,337.00M,52.00M,,145.00M,2.351B,-2.826B,,2.26B,-458.00M,,-3.304B,-1.977B,-2.22B,,2019-12,-554.00M,0.00,-447.00M,-107.00M,37.00M,573.00M,517.00M,,2019-12,2.575B,2.575B,,0.00,0.00,-1.157B,-1.157B,7.00M,-22.00M,,2019-12,9.763B,-300.00M,9.485B,,2019-12,,5.768B,-3.193B,0.00,2019-12,AOR,
2019-09,1.167B,,4.00M,,,576.00M,576.00M,,,36.00M,56.00M,,45.00M,-1.06B,-4.332B,,160.00M,663.00M,,261.00M,-4.308B,-2.424B,,2019-09,-465.00M,3.00M,-462.00M,0.00,0.00,-734.00M,-1.194B,,2019-09,5.395B,5.395B,,0.00,0.00,-1.156B,-1.156B,4.00M,-3.00M,,2019-09,9.167B,622.00M,9.763B,,2019-09,,7.951B,-2.556B,0.00,2019-09,AOR,Restated
2019-06,-2.942B,,-192.00M,,,546.00M,546.00M,,,36.00M,57.00M,,71.00M,538.00M,-2.508B,,6.256B,-1.051B,,-1.401B,1.834B,-590.00M,,2019-06,-441.00M,221.00M,-200.00M,-20.00M,-216.00M,353.00M,-86.00M,,2019-06,4.385B,4.385B,,-310.00M,-310.00M,-1.156B,-1.156B,5.00M,-5.00M,,2019-06,6.836B,2.243B,9.167B,,2019-06,,6.433B,-2.048B,-310.00M,2019-06,AOR,Restated
2019-03,2.149B,,-108.00M,,,521.00M,521.00M,,,34.00M,47.00M,,323.00M,175.00M,-2.725B,,705.00M,164.00M,,1.503B,-178.00M,2.788B,,2019-03,-501.00M,110.00M,-391.00M,,-276.00M,-91.00M,-767.00M,,2019-03,863.00M,863.00M,,-2.341B,-2.341B,-1.161B,-1.161B,42.00M,-226.00M,,2019-03,7.813B,-802.00M,6.836B,,2019-03,,5.237B,-4.374B,-2.341B,2019-03,AOR,Restated
2018-12,3.424B,,1.00M,,,583.00M,583.00M,,,30.00M,52.00M,,89.00M,-604.00M,741.00M,,-952.00M,103.00M,,-520.00M,-1.232B,2.947B,,2018-12,-508.00M,3.00M,-492.00M,-13.00M,-2.98B,1.067B,-2.424B,,2018-12,698.00M,698.00M,,-585.00M,-585.00M,-970.00M,-970.00M,11.00M,-10.00M,,2018-12,8.034B,-333.00M,7.637B,,2018-12,,3.852B,-3.154B,-585.00M,2018-12,AOR,Restated
2018-09,2.363B,,-69.00M,,,523.00M,523.00M,,,19.00M,52.00M,,45.00M,-187.00M,-581.00M,,2.311B,-7.00M,,90.00M,1.626B,4.559B,,2018-09,-457.00M,76.00M,-381.00M,0.00,-250.00M,-267.00M,-902.00M,,2018-09,-273.00M,-273.00M,,-2.45B,-2.45B,-979.00M,-979.00M,9.00M,4.00M,,2018-09,8.121B,-32.00M,8.034B,,2018-09,,1.048B,-1.321B,-2.45B,2018-09,AOR,Restated
2018-06,2.196B,,-3.00M,,,507.00M,507.00M,,,24.00M,53.00M,,51.00M,-218.00M,125.00M,,506.00M,105.00M,,1.334B,1.852B,4.68B,,2018-06,-412.00M,14.00M,-362.00M,-36.00M,,-1.012B,-1.414B,,2018-06,-376.00M,-376.00M,,-2.965B,-2.965B,-991.00M,-991.00M,10.00M,-10.00M,,2018-06,9.235B,-1.066B,8.121B,,2018-06,,961.00M,-1.337B,-2.965B,2018-06,AOR,Restated
