,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,14.14B,14.14B,13.10B,1.034B,955.00M,955.00M,574.00M,108.00M,643.00M,-643.00M,,1.529B,-495.00M,643.00M,-643.00M,213.00M,-643.00M,-925.00M,-459.00M,-466.00M,,,17.00M,-449.00M,-517.62M,-282.00M,,2020-09,-0.79,,-0.79,,2020-09,-0.79,,-0.79,,2020-09,0.00,,2020-09,AOR,
2020-06,11.81B,11.81B,12.98B,-1.171B,1.161B,1.161B,625.00M,38.00M,553.00M,-553.00M,,1.786B,-2.957B,553.00M,-553.00M,87.00M,-553.00M,-3.423B,-1.028B,-2.395B,,,19.00M,-2.376B,-2.371B,-2.87B,,2020-06,-4.20,,-4.20,,2020-06,-4.20,,-4.20,,2020-06,0.00,,2020-06,AOR,
2020-03,16.91B,16.91B,16.77B,140.00M,873.00M,873.00M,672.00M,54.00M,262.00M,-262.00M,,1.545B,-1.405B,262.00M,-262.00M,164.00M,-262.00M,-1.503B,-862.00M,-641.00M,,,13.00M,-628.00M,-665.96M,-1.241B,,2020-03,-1.11,,-1.11,,2020-03,-1.11,,-1.11,,2020-03,2.055,,2020-03,AOR,
2019-12,17.91B,17.91B,18.71B,-797.00M,1.052B,1.052B,749.00M,395.00M,242.00M,-242.00M,,1.801B,-2.598B,242.00M,-242.00M,498.00M,-242.00M,-2.342B,-1.332B,-1.01B,,,,-1.01B,-1.298B,-2.10B,,2019-12,-1.79,,-1.79,,2019-12,-1.79,,-1.79,,2019-12,2.055,,2019-12,AOR,
2019-09,19.98B,19.98B,16.93B,3.05B,1.001B,1.001B,778.00M,-4.00M,203.00M,-203.00M,,1.779B,1.271B,203.00M,-203.00M,109.00M,-203.00M,1.177B,10.00M,1.167B,,,,1.167B,1.179B,1.38B,,2019-09,2.07,,2.07,,2019-09,2.05,,2.05,,2019-09,2.055,,2019-09,AOR,Restated
2019-06,15.75B,15.75B,17.81B,-2.059B,672.00M,672.00M,826.00M,192.00M,154.00M,-154.00M,,1.498B,-3.557B,154.00M,-154.00M,284.00M,-154.00M,-3.427B,-485.00M,-2.942B,,,,-2.942B,-3.094B,-3.273B,,2019-06,-5.21,,-5.21,,2019-06,-5.21,,-5.21,,2019-06,2.055,,2019-06,AOR,Restated
2019-03,22.92B,22.92B,18.64B,4.272B,1.184B,1.184B,866.00M,108.00M,123.00M,-123.00M,,2.05B,2.222B,123.00M,-123.00M,234.00M,-123.00M,2.333B,184.00M,2.149B,,,,2.149B,2.031B,2.456B,,2019-03,3.79,,3.79,,2019-03,3.75,,3.75,,2019-03,2.055,,2019-03,AOR,Restated
2018-12,28.34B,28.34B,22.09B,6.251B,1.222B,1.222B,852.00M,-1.00M,158.00M,-158.00M,,2.074B,4.177B,158.00M,-158.00M,27.00M,-158.00M,4.046B,622.00M,3.424B,,,,3.424B,3.426B,4.204B,,2018-12,6.00,,6.00,,2018-12,5.93,,5.93,,2018-12,1.71,,2018-12,AOR,Restated
2018-09,25.15B,25.15B,21.04B,4.106B,1.154B,1.154B,826.00M,69.00M,106.00M,-106.00M,,1.98B,2.126B,106.00M,-106.00M,113.00M,-106.00M,2.133B,-230.00M,2.363B,,,,2.363B,2.289B,2.239B,,2018-09,4.11,,4.11,,2018-09,4.07,,4.07,,2018-09,1.71,,2018-09,AOR,Restated
2018-06,24.26B,24.26B,19.54B,4.722B,1.194B,1.194B,827.00M,3.00M,109.00M,-109.00M,,2.021B,2.701B,109.00M,-109.00M,-6.00M,-109.00M,2.586B,390.00M,2.196B,,,,2.196B,2.188B,2.695B,,2018-06,3.77,,3.77,,2018-06,3.73,,3.73,,2018-06,1.71,,2018-06,AOR,Restated
