,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2004-06,188.19M,8.00M,196.19M,156.53M,156.53M,15.42M,64.25M,7.287M,86.96M,,6.013M,,10.14M,455.84M,,,,,,,,397.69M,-260.99M,136.71M,,524.97M,524.97M,,22.77M,21.39M,705.83M,1.162B,88.52M,88.52M,32.86M,121.38M,,,50.00M,50.00M,20.84M,192.22M,230.00M,,230.00M,,,5.961M,235.96M,428.18M,38.88M,-613.83M,1.309B,,-0.632M,733.49M
2004-03,191.77M,,191.77M,142.71M,142.71M,11.90M,52.63M,7.804M,72.33M,11.87M,5.312M,,,424.00M,,,,,,,,372.61M,-245.67M,126.94M,,526.06M,526.06M,,22.77M,18.44M,694.20M,1.118B,70.03M,70.03M,21.53M,91.56M,,,45.05M,45.05M,26.18M,162.80M,275.00M,,275.00M,,,5.756M,280.76M,443.55M,37.40M,-626.86M,1.265B,,-0.632M,674.64M
2003-12,176.25M,,176.25M,150.84M,150.84M,8.493M,39.57M,13.78M,61.84M,,5.312M,,12.59M,406.84M,,,,,,,,372.26M,-239.32M,132.93M,,526.64M,526.64M,,22.77M,26.55M,708.89M,1.116B,64.39M,64.39M,27.16M,91.55M,,,39.00M,39.00M,25.05M,155.60M,275.00M,,275.00M,,,5.891M,280.89M,436.49M,37.22M,-617.44M,1.260B,,-0.632M,679.23M
2003-09,161.51M,3.988M,165.49M,144.27M,144.27M,8.475M,35.80M,13.90M,58.17M,,5.312M,,12.85M,386.10M,0.0,12.83M,58.34M,249.12M,,33.74M,,354.04M,-232.48M,121.56M,,527.70M,527.70M,,22.77M,32.56M,704.57M,1.091B,50.37M,50.37M,16.96M,67.33M,,,41.68M,41.68M,27.80M,136.82M,275.00M,,275.00M,,,5.677M,280.68M,417.49M,37.15M,-621.61M,1.258B,,-0.632M,673.18M
2003-06,65.22M,,65.22M,135.94M,135.94M,9.835M,36.82M,15.90M,62.55M,,,,11.90M,275.61M,,,,,,,,372.05M,-224.18M,147.87M,,936.73M,936.73M,,22.48M,27.94M,1.135B,1.411B,76.47M,76.47M,17.83M,94.30M,,,0.064M,0.064M,27.22M,121.59M,275.00M,,275.00M,,,4.158M,279.16M,400.75M,34.70M,-181.54M,1.157B,,,1.010B
2003-03,84.33M,,84.33M,122.13M,122.13M,10.90M,42.47M,3.445M,56.82M,,,,18.32M,281.60M,,,,,,,,361.34M,-218.04M,143.31M,,939.88M,939.88M,,22.48M,33.79M,1.139B,1.421B,69.33M,69.33M,18.34M,87.67M,,,0.099M,0.099M,40.62M,128.39M,275.00M,,275.00M,,,4.32M,279.32M,407.71M,34.56M,-175.36M,1.154B,,,1.013B
2002-12,94.26M,,94.26M,109.91M,109.91M,10.34M,34.86M,3.06M,48.26M,,,,15.46M,267.90M,,,,,,,,356.96M,-208.42M,148.54M,,940.77M,940.77M,,22.48M,21.96M,1.134B,1.402B,45.73M,45.73M,20.24M,65.97M,,,0.129M,0.129M,37.87M,103.96M,275.00M,,275.00M,,,4.34M,279.34M,383.31M,34.50M,-169.40M,1.153B,,-0.033M,1.018B
2002-09,53.36M,,53.36M,94.42M,94.42M,14.18M,40.16M,1.299M,55.64M,,,,23.97M,227.40M,0.0,11.58M,79.04M,341.70M,,17.16M,,449.48M,-305.71M,143.77M,,940.69M,940.69M,,22.49M,12.57M,1.120B,1.347B,45.35M,45.35M,17.58M,62.94M,,,0.129M,0.129M,84.56M,147.63M,180.04M,,180.04M,,,4.27M,184.31M,331.94M,34.40M,-170.19M,1.151B,,-0.084M,1.015B
2002-06,55.28M,35.42M,90.70M,24.34M,24.34M,13.04M,40.20M,6.256M,59.50M,,,,10.33M,184.88M,,,,,,,,455.46M,-307.13M,148.33M,,940.57M,940.57M,,23.74M,8.477M,1.121B,1.306B,16.57M,16.57M,14.48M,31.05M,150.00M,0.129M,150.13M,150.13M,105.30M,286.48M,0.073M,,0.073M,,,4.472M,4.545M,291.03M,34.34M,-168.71M,1.149B,,-0.135M,1.015B
2002-03,62.41M,51.73M,114.14M,24.48M,24.48M,3.555M,5.882M,2.781M,12.22M,3.324M,,3.724M,,157.89M,0.0,61.62M,,168.32M,,,,229.95M,-95.59M,134.36M,4.378M,,4.378M,,16.12M,3.373M,158.23M,316.12M,14.34M,14.34M,7.094M,21.44M,,,0.129M,0.129M,,21.57M,0.106M,,0.106M,,,2.283M,2.389M,23.96M,11.06M,48.89M,232.20M,,,292.16M
2001-12,45.89M,83.62M,129.51M,27.11M,27.11M,3.793M,4.434M,1.996M,10.22M,10.80M,,8.599M,,186.24M,,,,,,,,224.63M,-93.27M,131.36M,,,,,,7.302M,138.66M,324.90M,12.18M,12.18M,7.45M,19.64M,,,0.129M,0.129M,,19.76M,0.139M,,0.139M,2.742M,2.742M,2.461M,5.342M,25.11M,11.05M,57.39M,231.36M,,,299.80M
2001-09,53.17M,92.36M,145.53M,24.72M,24.72M,3.749M,5.141M,2.094M,10.98M,13.36M,,8.599M,,203.19M,,,,,,,,213.22M,-88.34M,124.88M,,,,,,2.214M,127.09M,330.28M,15.58M,15.58M,7.67M,23.25M,,,0.129M,0.129M,,23.38M,0.139M,,0.139M,2.742M,2.742M,2.191M,5.072M,28.45M,11.02M,60.67M,230.13M,,,301.83M
2001-06,60.52M,89.04M,149.56M,23.70M,23.70M,4.222M,5.912M,3.029M,13.16M,4.706M,,8.599M,3.439M,203.17M,,,,,,,,198.23M,-83.36M,114.88M,,,,,,2.284M,117.16M,320.33M,9.273M,9.273M,8.483M,17.76M,,,0.129M,0.129M,,17.88M,0.203M,,0.203M,2.742M,2.742M,2.266M,5.211M,23.10M,10.91M,63.26M,223.06M,,,297.23M
2001-03,68.80M,84.98M,153.78M,36.98M,36.98M,5.187M,7.868M,2.606M,15.66M,3.169M,,9.668M,0.735M,220.00M,0.0,50.33M,,142.12M,,,,192.44M,-78.25M,114.20M,,,,,,2.822M,117.02M,337.02M,20.82M,20.82M,10.76M,31.58M,,,0.129M,0.129M,,31.71M,0.235M,,0.235M,3.812M,3.812M,2.081M,6.128M,37.84M,10.88M,67.18M,221.15M,0.028M,,299.18M
2000-12,30.00M,113.03M,143.03M,52.56M,52.56M,5.216M,8.469M,2.807M,16.49M,5.075M,,7.261M,4.213M,228.64M,,,,,,,,180.70M,-78.53M,102.17M,,,,,,2.033M,104.20M,332.84M,18.29M,18.29M,12.60M,30.90M,,,0.111M,0.111M,,31.01M,0.285M,,0.285M,3.301M,3.301M,2.204M,5.79M,36.80M,10.86M,63.79M,221.43M,0.044M,,296.04M
2000-09,22.98M,110.19M,133.17M,50.18M,50.18M,5.302M,8.635M,2.099M,16.04M,3.256M,,7.261M,3.058M,212.96M,,,,,,,,170.18M,-74.20M,95.98M,,,,,,2.211M,98.19M,311.15M,20.14M,20.14M,11.53M,31.67M,,,0.111M,0.111M,,31.78M,0.285M,,0.285M,3.301M,3.301M,2.224M,5.81M,37.59M,10.74M,52.21M,210.66M,0.054M,,273.56M
2000-06,27.75M,108.48M,136.23M,44.44M,44.44M,4.801M,8.24M,1.168M,14.21M,1.939M,,7.261M,6.235M,210.31M,,,,,,,,152.24M,-70.61M,81.63M,,,,,,2.144M,83.78M,294.09M,18.72M,18.72M,8.58M,27.30M,,,0.111M,0.111M,,27.41M,0.285M,,0.285M,3.301M,3.301M,2.027M,5.613M,33.02M,10.72M,41.65M,208.77M,0.068M,,261.07M
2000-03,23.22M,123.39M,146.61M,33.84M,33.84M,3.473M,7.397M,1.046M,11.92M,2.583M,,7.261M,1.191M,203.40M,0.0,32.46M,,110.11M,,,,142.56M,-67.04M,75.52M,,,,,,2.099M,77.62M,281.02M,20.54M,20.54M,9.50M,30.04M,,,3.011M,3.011M,,33.05M,0.345M,,0.345M,3.301M,3.301M,2.237M,5.883M,38.93M,10.64M,33.81M,197.71M,0.068M,,242.09M
1999-12,27.85M,108.04M,135.89M,27.69M,27.69M,3.038M,4.651M,1.635M,9.324M,2.485M,,2.493M,,177.88M,,,,,,,,128.62M,-69.23M,59.38M,,,,,,1.561M,60.94M,238.83M,12.73M,12.73M,5.942M,18.68M,,,0.111M,0.111M,,18.79M,0.404M,,0.404M,3.38M,3.38M,1.857M,5.641M,24.43M,4.944M,34.35M,175.20M,0.077M,-0.01M,214.40M
1999-09,19.00M,109.51M,128.51M,28.00M,28.00M,3.275M,3.917M,2.00M,9.192M,2.42M,,2.50M,,170.62M,,,,,,,,119.14M,-66.80M,52.34M,,,,,,1.498M,53.84M,224.46M,11.09M,11.09M,6.179M,17.27M,,,0.111M,0.111M,,17.38M,0.433M,,0.433M,3.35M,3.35M,1.788M,5.571M,22.95M,4.881M,28.05M,168.67M,0.088M,-0.01M,201.50M
1999-06,73.38M,56.24M,129.62M,24.68M,24.68M,3.643M,4.307M,1.978M,9.928M,1.889M,,3.839M,,169.96M,,,,,,,,110.64M,-64.43M,46.21M,,,,,,1.432M,47.64M,217.60M,9.523M,9.523M,6.86M,16.38M,,,0.387M,0.387M,,16.77M,0.462M,,0.462M,3.271M,3.271M,1.72M,5.453M,22.22M,4.851M,22.66M,167.97M,0.104M,-0.011M,195.38M
1999-03,14.03M,9.731M,23.76M,22.97M,22.97M,3.852M,3.034M,1.887M,8.773M,0.796M,,6.522M,,62.82M,0.0,26.92M,,77.78M,,,,104.70M,-62.20M,42.50M,,,,,,1.361M,43.86M,106.68M,10.70M,10.70M,8.524M,19.22M,,,0.912M,0.912M,,20.14M,0.713M,,0.713M,3.192M,3.192M,1.626M,5.531M,25.67M,8.026M,18.28M,54.86M,0.133M,-0.014M,81.01M
1998-12,10.43M,12.32M,22.76M,19.32M,19.32M,4.52M,2.467M,1.896M,8.883M,2.178M,,,,53.13M,,,,,,,,104.60M,-66.63M,37.98M,,,,,,1.258M,39.23M,92.37M,7.228M,7.228M,,7.228M,,,1.325M,1.325M,11.00M,19.55M,0.769M,,0.769M,,,1.882M,2.651M,22.20M,2.655M,9.748M,57.96M,0.156M,-0.046M,70.16M
1998-09,7.148M,11.24M,18.39M,20.17M,20.17M,5.061M,2.646M,1.887M,9.594M,1.599M,,,,49.75M,,,,,,,,98.62M,-64.63M,33.99M,,,,,,1.116M,35.10M,84.86M,6.143M,6.143M,,6.143M,,,1.739M,1.739M,9.073M,16.96M,0.825M,,0.825M,,,2.24M,3.065M,20.02M,2.647M,4.976M,57.50M,0.219M,-0.06M,64.84M
1998-06,12.92M,5.721M,18.64M,17.07M,17.07M,4.178M,2.997M,2.613M,9.788M,1.003M,,,,46.50M,,,,,,,,96.60M,-62.70M,33.90M,,,,,,1.138M,35.04M,81.55M,7.026M,7.026M,,7.026M,,,1.878M,1.878M,9.045M,17.95M,1.156M,,1.156M,,,2.348M,3.504M,21.45M,2.642M,0.76M,57.07M,0.276M,-0.097M,60.10M
