,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2011-12,445.64M,,445.64M,200.82M,199.01M,22.26M,90.33M,64.93M,177.52M,,0.862M,,33.31M,856.34M,0.0,11.57M,55.60M,603.28M,,6.465M,,676.91M,-436.51M,240.40M,664.02M,80.20M,744.22M,,60.61M,13.06M,1.058B,1.915B,96.03M,96.03M,,96.03M,,,17.12M,17.12M,71.23M,212.50M,,,,,,,38.47M,250.97M,46.98M,-44.15M,1.821B,158.61M,-1.331M,1.664B
2011-09,410.09M,,410.09M,177.94M,177.94M,18.56M,92.60M,87.02M,198.18M,,0.712M,,29.41M,816.33M,0.0,11.02M,53.40M,594.89M,,13.93M,,673.24M,-421.87M,251.36M,663.04M,86.81M,749.85M,,60.86M,11.98M,1.074B,1.890B,115.29M,115.29M,,115.29M,26.09M,,26.09M,26.09M,70.03M,247.10M,,,,,,34.20M,34.20M,281.29M,46.60M,-101.28M,1.796B,130.85M,-1.331M,1.609B
2011-06,309.64M,,309.64M,186.13M,186.13M,32.72M,78.62M,77.45M,188.80M,,0.712M,,26.85M,712.13M,0.0,11.02M,50.59M,565.97M,,31.13M,,658.71M,-405.96M,252.76M,672.69M,96.30M,769.00M,,62.09M,9.627M,1.093B,1.806B,116.65M,116.65M,,116.65M,,,25.74M,25.74M,73.01M,244.35M,,,,,,29.08M,29.08M,273.42M,46.54M,-165.48M,1.773B,120.85M,-1.297M,1.532B
2011-03,503.80M,,503.80M,,183.35M,12.58M,75.45M,63.15M,151.18M,,0.662M,,33.45M,872.44M,0.0,10.08M,48.03M,521.97M,,47.53M,,627.62M,-385.89M,241.73M,485.54M,13.52M,499.06M,,55.33M,10.23M,806.35M,1.679B,111.95M,111.95M,,111.95M,,,25.40M,25.40M,6.198M,176.44M,,,,,,25.96M,25.96M,202.40M,46.49M,-217.03M,1.749B,101.06M,-1.297M,1.476B
2010-12,450.05M,,450.05M,,200.90M,12.94M,74.26M,55.26M,142.46M,,0.662M,,26.52M,820.60M,0.0,9.423M,43.12M,510.38M,,30.99M,5.559M,599.47M,-375.66M,223.81M,485.54M,15.26M,500.80M,,58.09M,10.77M,793.47M,1.614B,120.54M,120.54M,29.45M,149.99M,,,,,7.077M,157.07M,25.07M,,25.07M,,,20.53M,45.60M,202.67M,46.24M,-266.99M,1.711B,77.37M,-1.297M,1.411B
2010-09,453.26M,,453.26M,175.23M,175.23M,16.11M,74.70M,34.25M,125.06M,,6.128M,,30.19M,789.86M,0.0,10.08M,47.73M,479.94M,,28.90M,,566.66M,-362.30M,204.36M,485.59M,12.51M,498.10M,,60.57M,11.16M,774.19M,1.564B,111.97M,111.97M,,111.97M,50.00M,,50.00M,50.00M,6.662M,204.32M,24.74M,,24.74M,,,18.39M,43.13M,247.46M,45.07M,-327.86M,1.641B,40.72M,-1.297M,1.317B
2010-06,383.82M,,383.82M,,154.78M,10.60M,67.08M,40.44M,118.12M,20.80M,6.127M,,,683.66M,0.0,9.423M,40.88M,467.23M,,25.72M,5.316M,548.57M,-361.08M,187.49M,485.62M,13.74M,499.37M,,66.14M,11.58M,764.57M,1.448B,102.59M,102.59M,28.89M,131.48M,,,50.00M,50.00M,9.643M,191.12M,24.42M,,24.42M,,,11.99M,36.41M,227.53M,44.42M,-374.66M,1.593B,40.63M,-1.38M,1.221B
2010-03,405.41M,,405.41M,,107.67M,9.193M,60.85M,34.38M,104.42M,20.39M,6.127M,,,644.02M,0.0,9.423M,40.10M,452.70M,,17.16M,5.316M,524.70M,-350.49M,174.21M,484.89M,15.24M,500.14M,,76.71M,8.389M,759.45M,1.403B,76.60M,76.60M,29.11M,105.70M,,,50.00M,50.00M,14.51M,170.21M,42.57M,,42.57M,,,7.637M,50.21M,220.42M,44.15M,-409.40M,1.590B,39.88M,-1.38M,1.183B
2009-12,396.33M,,396.33M,,119.22M,7.993M,53.97M,35.98M,97.94M,,6.127M,,16.24M,635.85M,0.0,9.423M,40.44M,432.66M,,17.55M,5.231M,505.32M,-339.28M,166.04M,482.89M,16.74M,499.64M,,80.86M,10.02M,756.55M,1.392B,76.95M,76.95M,25.24M,102.19M,,,77.36M,77.36M,17.24M,196.80M,42.02M,,42.02M,,,6.689M,48.71M,245.51M,43.77M,-437.14M,1.581B,39.77M,-1.38M,1.147B
2009-09,364.22M,,364.22M,,115.03M,9.889M,56.07M,20.13M,86.10M,,5.863M,,18.91M,590.13M,0.0,9.423M,39.99M,418.02M,,19.21M,5.063M,491.70M,-329.40M,162.30M,482.89M,18.24M,501.14M,,89.16M,9.864M,762.46M,1.353B,69.10M,69.10M,29.45M,98.55M,,,81.86M,81.86M,15.83M,196.24M,41.48M,,41.48M,,,6.086M,47.57M,243.81M,43.20M,-465.15M,1.568B,36.31M,-1.38M,1.109B
