,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,956.80M,956.80M,497.90M,458.90M,62.30M,126.20M,2.80M,0.00,,,,191.30M,267.60M,,,-1.50M,,266.10M,19.20M,246.90M,,246.90M,246.90M,358.30M,90.70M,267.60M,1.48,,,1.48,1.48,1.46,,,1.46,1.46,166.70M,168.70M,0.5
2020-06,736.80M,736.80M,402.70M,334.10M,55.00M,117.00M,2.80M,-11.80M,,,,174.80M,159.30M,,,-15.30M,,144.00M,14.30M,129.70M,,129.70M,140.33M,249.90M,90.60M,159.30M,0.78,,,0.8437,0.78,0.77,,,0.8332,0.77,167.00M,168.30M,0.44
2020-03,766.10M,766.10M,390.50M,375.60M,58.60M,113.20M,3.10M,-1.20M,,,,174.90M,200.70M,,,2.30M,,203.00M,21.90M,181.10M,,181.10M,182.17M,292.50M,91.80M,200.70M,1.07,,,1.0759999999999998,1.07,1.06,,,1.0659999999999998,1.06,170.00M,171.10M,0.44
2019-12,896.10M,896.10M,451.80M,444.30M,55.40M,107.70M,3.10M,-0.80M,,,,166.20M,278.10M,,,0.60M,,278.70M,21.60M,257.10M,,257.10M,257.84M,369.30M,91.20M,278.10M,1.51,,,1.514,1.51,1.5,,,1.504,1.5,170.20M,171.60M,0.44
2019-09,827.40M,827.40M,421.40M,406.00M,55.80M,106.80M,4.00M,-5.50M,,,,166.60M,239.40M,,,-5.40M,,234.00M,23.40M,210.60M,,210.60M,215.55M,332.30M,92.90M,239.40M,1.23,,,1.2590000000000001,1.23,1.22,,,1.249,1.22,171.10M,172.40M,0.44
2019-06,767.00M,767.00M,454.50M,312.50M,46.80M,100.60M,5.50M,0.00,,,,152.90M,159.60M,,,2.30M,,161.90M,17.80M,144.10M,,144.10M,144.10M,253.30M,93.70M,159.60M,0.83,,,0.83,0.83,0.83,,,0.83,0.83,172.60M,173.40M,0.38
2019-03,810.40M,810.40M,410.20M,400.20M,47.90M,107.50M,5.70M,-1.50M,,,,161.10M,239.10M,,,2.20M,,241.30M,27.30M,214.00M,,214.00M,215.33M,331.10M,92.00M,239.10M,1.23,,,1.238,1.23,1.23,,,1.238,1.23,173.80M,174.60M,0.38
2018-12,972.00M,972.00M,486.90M,485.10M,47.80M,109.20M,7.40M,0.20M,,,,164.40M,320.70M,,,3.10M,,323.80M,38.90M,284.90M,,284.90M,284.72M,413.70M,93.00M,320.70M,1.61,,,1.609,1.61,1.6,,,1.599,1.6,176.60M,177.70M,0.38
2018-09,1.008B,1.008B,504.80M,503.60M,54.40M,103.00M,6.30M,0.20M,,,,163.70M,339.90M,,,3.50M,,343.40M,57.90M,285.50M,,285.50M,285.33M,423.70M,83.80M,339.90M,1.6,,,1.599,1.6,1.58,,,1.579,1.58,178.30M,180.20M,0.38
2018-06,894.30M,894.30M,442.70M,451.60M,44.60M,96.80M,3.90M,0.00,,,,145.30M,306.30M,,,4.50M,,310.80M,24.30M,286.50M,,286.50M,286.50M,381.00M,74.70M,306.30M,1.58,,,1.58,1.58,1.57,,,1.57,1.57,181.20M,182.80M,0.32
2018-03,913.40M,913.40M,454.70M,458.70M,57.50M,106.70M,4.10M,-1.00M,,,,168.30M,290.40M,,,1.90M,,292.30M,16.30M,276.00M,,276.00M,276.94M,362.00M,71.60M,290.40M,1.51,,,1.515,1.51,1.5,,,1.505,1.5,182.50M,184.30M,0.32
2017-12,1.052B,1.052B,515.10M,536.80M,51.30M,98.00M,4.00M,0.00,,,,153.30M,383.50M,,,2.10M,,385.60M,315.20M,70.40M,,70.40M,70.40M,452.60M,69.10M,383.50M,0.38,,,0.38,0.38,0.38,,,0.38,0.38,183.10M,185.50M,0.32
