,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-10,1.118B,,1.118B,,,,3.792B,3.792B,,,,260.40M,5.171B,,,,,10.28B,,,10.28B,,10.28B,1.983B,3.10B,5.083B,,23.30M,94.10M,15.48B,20.65B,1.587B,0.00,1.587B,,1.587B,300.00M,300.00M,1.296B,1.596B,,,858.60M,4.042B,3.225B,4.962B,8.187B,1.043B,1.043B,,387.30M,9.649B,13.69B,2.40M,4.677B,2.322B,,-40.60M,6.961B
2020-07,1.750B,,1.750B,,,,3.276B,3.276B,,,,206.50M,5.232B,,,,,14.72B,,,14.72B,-4.481B,10.24B,1.983B,3.10B,5.083B,,24.00M,94.80M,15.44B,20.67B,1.481B,1.90M,1.483B,,1.483B,800.00M,800.00M,1.285B,2.085B,,,711.30M,4.279B,3.224B,4.982B,8.206B,1.008B,1.008B,,335.20M,9.579B,13.86B,2.40M,4.347B,2.506B,,-41.20M,6.814B
2020-04,1.755B,,1.755B,,,,3.198B,3.198B,,,,211.80M,5.165B,,,,,14.44B,,,14.44B,-4.333B,10.11B,1.981B,3.10B,5.081B,,23.30M,89.90M,15.31B,20.47B,1.337B,84.20M,1.421B,,1.421B,1.05B,1.05B,1.265B,2.315B,,,768.10M,4.504B,3.223B,4.885B,8.108B,1.038B,1.038B,,270.60M,9.447B,13.95B,2.40M,4.085B,2.481B,,-47.80M,6.521B
2020-01,539.20M,,539.20M,113.30M,,113.30M,3.522B,3.522B,,,,94.90M,4.269B,0.0,233.50M,1.396B,3.813B,6.225B,298.60M,2.335B,14.30B,-4.194B,10.11B,1.983B,3.10B,5.083B,,24.40M,90.70M,15.31B,19.57B,1.336B,246.00M,1.582B,51.10M,1.634B,250.00M,250.00M,1.279B,1.529B,,,280.80M,3.546B,3.828B,4.980B,8.807B,984.70M,984.70M,,-47.60M,9.773B,13.32B,2.40M,3.838B,2.454B,,-39.80M,6.255B
2019-10,433.70M,,433.70M,,,,3.883B,3.883B,,,,255.70M,4.572B,,,,,13.73B,,,13.73B,-4.057B,9.675B,2.296B,3.10B,5.396B,,,98.00M,15.17B,19.74B,1.473B,0.00,1.473B,,1.473B,750.00M,750.00M,1.203B,1.953B,,,754.00M,4.180B,3.520B,4.636B,8.156B,1.002B,1.002B,,253.70M,9.441B,13.62B,2.40M,3.715B,2.443B,,-39.20M,6.121B
2019-07,623.40M,,623.40M,,,,3.471B,3.471B,,,,246.50M,4.341B,,,,,13.61B,,,13.61B,-3.928B,9.680B,2.296B,3.10B,5.396B,,,76.20M,15.15B,19.49B,1.455B,0.00,1.455B,,1.455B,750.00M,750.00M,1.215B,1.965B,,,673.60M,4.094B,3.519B,4.767B,8.286B,960.20M,960.20M,,257.80M,9.534B,13.63B,2.40M,3.459B,2.444B,,-39.60M,5.866B
2019-04,725.80M,,725.80M,,,,3.326B,3.326B,,,,194.80M,4.246B,,,,,13.46B,,,13.46B,-3.823B,9.636B,2.296B,3.10B,5.396B,,,76.30M,15.11B,19.35B,1.186B,125.20M,1.312B,,1.312B,750.00M,750.00M,1.216B,1.966B,,,701.70M,3.979B,3.517B,4.850B,8.366B,954.20M,954.20M,,262.70M,9.619B,13.60B,2.40M,3.279B,2.516B,,-41.10M,5.756B
2019-01,422.10M,,422.10M,100.90M,,100.90M,3.536B,3.536B,,,,234.30M,4.293B,0.0,215.30M,1.301B,3.349B,,233.80M,2.037B,7.136B,-3.691B,3.445B,2.297B,3.389B,5.685B,,0.00,77.30M,9.208B,13.50B,1.416B,219.50M,1.636B,43.20M,1.679B,,,0.00,0.00,,,294.50M,2.096B,4.335B,0.00,4.335B,973.20M,973.20M,,419.30M,5.763B,7.858B,2.40M,3.076B,2.603B,,-38.30M,5.643B
2018-10,708.30M,,708.30M,,,,3.716B,3.716B,,,,325.60M,4.750B,,,,,,,,6.978B,-3.572B,3.406B,5.024B,3.419B,8.443B,5.90M,,44.90M,11.90B,16.65B,1.365B,0.70M,1.366B,,1.366B,,,,,,,769.90M,2.136B,5.044B,,5.044B,999.20M,999.20M,,494.50M,6.570B,8.706B,,,,,,7.943B
2018-07,647.30M,0.00,647.30M,,,,3.288B,3.288B,,,,337.30M,4.273B,,,,,,,,6.764B,-3.448B,3.316B,5.024B,3.439B,8.463B,6.90M,,44.70M,11.83B,16.10B,1.242B,14.10M,1.256B,,1.256B,,,,,,,651.60M,1.907B,5.042B,,5.042B,976.00M,976.00M,,500.80M,6.549B,8.456B,,,,,,7.648B
