,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-10,6.177B,6.177B,4.253B,1.924B,1.459B,,,38.10M,-38.10M,1.459B,465.50M,38.10M,-38.10M,-0.10M,-38.10M,427.30M,97.30M,330.00M,,330.00M,330.00M,635.50M,170.10M,465.40M,1.39,,,1.39,1.39,1.39,,,1.39,1.39,236.80M,237.90M
2020-07,6.278B,6.278B,4.361B,1.916B,1.541B,,,34.80M,-34.80M,1.541B,374.90M,34.80M,-34.80M,-0.20M,-34.80M,339.90M,78.40M,261.50M,,261.50M,261.50M,542.80M,168.10M,374.70M,1.1,,,1.1,1.1,1.1,,,1.1,1.1,237.30M,238.10M
2020-04,6.287B,6.287B,4.492B,1.795B,1.429B,,,40.20M,-40.20M,1.429B,365.90M,40.20M,-40.20M,-0.50M,-40.20M,325.20M,77.60M,247.60M,,247.60M,247.60M,530.90M,165.50M,365.40M,1.05,,,1.05,1.05,1.04,,,1.04,1.04,236.90M,237.40M
2020-01,6.315B,6.315B,4.355B,1.960B,1.398B,,,39.20M,-39.20M,1.398B,562.40M,39.20M,-39.20M,-313.70M,-39.20M,209.50M,86.50M,123.00M,,123.00M,123.00M,427.80M,179.10M,248.70M,0.52,,,0.52,0.52,0.52,,,0.52,0.52,236.60M,238.30M
2019-10,5.746B,5.746B,4.042B,1.704B,1.346B,,,41.40M,-41.40M,1.346B,358.40M,41.40M,-41.40M,-0.10M,-41.40M,316.90M,61.10M,255.80M,,255.80M,255.80M,518.30M,160.00M,358.30M,1.08,,,1.08,1.08,1.08,,,1.08,1.08,236.70M,237.50M
2019-07,5.741B,5.741B,4.092B,1.648B,1.380B,,,40.10M,-40.10M,1.380B,268.90M,40.10M,-40.10M,-0.40M,-40.10M,228.40M,48.10M,180.30M,,180.30M,180.30M,423.60M,155.10M,268.50M,0.76,,,0.76,0.76,0.76,,,0.76,0.76,237.60M,238.30M
2019-04,5.809B,5.809B,4.082B,1.727B,1.342B,,,41.40M,-41.40M,1.342B,385.50M,41.40M,-41.40M,-0.20M,-41.40M,343.90M,76.00M,267.90M,,267.90M,267.90M,536.50M,151.20M,385.30M,1.13,,,1.13,1.13,1.12,,,1.12,1.12,238.00M,239.10M
2019-01,6.205B,6.205B,4.293B,1.912B,1.332B,,,46.30M,-46.30M,1.332B,579.60M,46.30M,-46.30M,-2.727B,-46.30M,-2.194B,112.90M,-2.307B,,-2.307B,-2.307B,-1.981B,166.70M,-2.148B,-9.69,,,-9.69,-9.69,-9.69,,,-9.69,-9.69,238.20M,238.20M
2018-10,5.539B,5.539B,3.867B,1.672B,1.284B,,,47.60M,-47.60M,1.284B,387.80M,47.60M,-47.60M,-0.20M,-47.60M,340.00M,58.20M,281.80M,,281.80M,281.80M,538.00M,150.40M,387.60M,1.18,,,1.18,1.18,1.18,,,1.18,1.18,237.90M,238.70M
2018-07,5.526B,5.526B,3.862B,1.664B,1.281B,,,46.10M,-46.10M,1.281B,382.50M,46.10M,-46.10M,1.30M,-46.10M,337.70M,63.80M,273.90M,,273.90M,273.90M,536.30M,152.50M,383.80M,1.15,,,1.15,1.15,1.15,,,1.15,1.15,237.90M,238.60M
2018-04,5.554B,5.554B,3.854B,1.700B,1.262B,,,230.00M,-230.00M,1.262B,437.60M,230.00M,-230.00M,-0.20M,-230.00M,207.40M,46.90M,160.50M,,160.50M,160.50M,588.90M,151.50M,437.40M,0.68,,,0.68,0.68,0.67,,,0.67,0.67,237.50M,238.50M
2018-01,6.361B,6.361B,4.260B,2.101B,1.370B,-35.00M,35.00M,81.60M,-81.60M,1.370B,730.60M,81.60M,-81.60M,42.50M,-81.60M,691.50M,-348.60M,1.040B,,1.040B,1.015B,929.70M,156.60M,773.10M,4.38,,,4.272,4.38,4.37,,,4.263,4.37,237.10M,238.30M
2017-10,5.317B,5.317B,3.651B,1.666B,1.241B,0.00,0.00,69.70M,-69.70M,1.241B,425.20M,69.70M,-69.70M,-0.40M,-69.70M,355.10M,115.20M,239.90M,,239.90M,239.90M,574.20M,149.40M,424.80M,1.01,,,1.01,1.01,1.01,,,1.01,1.01,236.90M,237.80M
2017-07,5.281B,5.281B,3.653B,1.628B,1.206B,2.60M,-2.60M,75.80M,-75.80M,1.206B,422.10M,75.80M,-75.80M,-2.70M,-75.80M,343.60M,109.80M,233.80M,,233.80M,235.57M,570.70M,151.30M,419.40M,0.99,,,0.9975,0.99,0.98,,,0.9874,0.98,236.70M,237.40M
2017-04,5.287B,5.287B,3.66B,1.627B,1.187B,50.90M,-50.90M,74.70M,-74.70M,1.187B,439.70M,74.70M,-74.70M,-51.20M,-74.70M,313.80M,113.30M,200.50M,,200.50M,233.03M,542.40M,153.90M,388.50M,0.85,,,0.9876,0.85,0.85,,,0.9871,0.85,236.30M,237.30M
2017-01,5.636B,5.636B,3.828B,1.807B,1.221B,0.00,0.00,88.80M,-88.80M,1.221B,586.50M,88.80M,-88.80M,0.00,-88.80M,497.70M,175.90M,321.80M,,321.80M,321.80M,742.20M,155.70M,586.50M,1.36,,,1.36,1.36,1.36,,,1.36,1.36,236.00M,237.10M
2016-10,5.002B,5.002B,3.481B,1.520B,1.178B,0.00,0.00,112.10M,-112.10M,1.178B,342.40M,112.10M,-112.10M,-0.10M,-112.10M,230.20M,58.60M,171.60M,,171.60M,171.60M,499.90M,157.60M,342.30M,0.73,,,0.73,0.73,0.72,,,0.72,0.72,235.80M,236.90M
2016-07,4.996B,4.996B,3.484B,1.512B,1.155B,0.00,0.00,87.30M,-87.30M,1.155B,357.20M,87.30M,-87.30M,,-87.30M,269.90M,99.70M,170.20M,,170.20M,170.20M,519.10M,161.90M,357.20M,0.72,,,0.72,0.72,0.72,,,0.72,0.72,235.60M,236.70M
2016-04,5.086B,5.086B,3.531B,1.555B,1.136B,0.00,0.00,87.30M,-87.30M,1.136B,418.70M,87.30M,-87.30M,0.20M,-87.30M,331.60M,98.90M,232.70M,,232.70M,232.70M,581.20M,162.30M,418.90M,0.99,,,0.99,0.99,0.98,,,0.98,0.98,235.30M,236.40M
2016-01,5.365B,5.365B,3.713B,1.653B,1.183B,,,114.80M,-114.80M,1.183B,469.80M,114.80M,-114.80M,-2.50M,-114.80M,352.50M,123.50M,229.00M,,229.00M,229.00M,642.40M,175.10M,467.30M,0.97,,,0.97,0.97,0.97,,,0.97,0.97,234.80M,235.80M
2015-10,4.945B,4.945B,3.545B,1.40B,1.176B,,,98.40M,-98.40M,1.176B,223.70M,98.40M,-98.40M,-0.60M,-98.40M,124.70M,42.80M,81.90M,,81.90M,81.90M,398.00M,174.90M,223.10M,0.35,,,0.35,0.35,0.35,,,0.35,0.35,234.70M,235.70M
2015-07,3.011B,3.011B,2.156B,855.20M,731.80M,,,263.90M,-263.90M,731.80M,123.40M,263.90M,-263.90M,-1.70M,-263.90M,-142.20M,-44.20M,-98.00M,,-98.00M,-98.00M,206.50M,84.80M,121.70M,-0.46,,,-0.46,-0.46,-0.46,,,-0.46,-0.46,214.30M,214.30M
