,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-10,330.00M,,,170.10M,170.10M,35.80M,,14.80M,4.70M,,,,,,,,-258.70M,296.70M,-236.40M,,2.30M,,,,-236.40M,-500.00M,-500.00M,,-194.20M,-194.20M,2.50M,-0.40M,-692.10M,1.797B,-631.80M,-0.20M,1.165B,,0.00,-500.00M,-194.20M,98.90M,9.50M
2020-07,261.50M,,,168.10M,168.10M,-29.10M,,23.10M,2.70M,,,,,,,,51.70M,478.00M,-235.20M,,-2.70M,,,,-235.20M,-250.00M,-250.00M,,0.00,0.00,2.10M,-0.30M,-248.20M,1.802B,-5.40M,0.60M,1.797B,,0.00,-250.00M,0.00,198.70M,67.70M
2020-04,247.60M,,,165.50M,165.50M,52.70M,,32.60M,3.10M,,,,,,,,457.50M,959.00M,-235.90M,,-0.10M,,,,-235.90M,500.00M,500.00M,,0.00,0.00,9.70M,-16.10M,493.60M,586.00M,1.217B,-0.70M,1.802B,,750.00M,-250.00M,0.00,2.90M,3.20M
2020-01,123.00M,,,179.10M,179.10M,-41.20M,,8.90M,2.30M,,,,,,,,270.20M,855.30M,-251.50M,,1.00M,,,0.00,-251.50M,-500.00M,-500.00M,,0.00,0.00,2.90M,-0.70M,-497.80M,480.30M,106.00M,-0.30M,586.00M,,0.00,-500.00M,0.00,17.90M,80.50M
2019-10,255.80M,,,160.00M,160.00M,41.30M,,8.40M,8.50M,,,,,,,,-303.50M,170.50M,-280.00M,,-0.20M,,,0.00,-280.00M,0.00,0.00,,-60.80M,-60.80M,3.20M,-0.40M,-58.00M,648.30M,-167.50M,-0.50M,480.30M,,0.00,0.00,-60.80M,28.80M,5.50M
2019-07,180.30M,,,155.10M,155.10M,6.00M,,13.60M,16.10M,,,,,,,,-141.20M,229.90M,-296.00M,,-3.00M,,,0.00,-296.30M,0.00,0.00,,-39.20M,-39.20M,3.30M,-0.60M,-36.50M,750.50M,-102.90M,0.70M,648.30M,,0.00,0.00,-39.20M,213.70M,77.90M
2019-04,267.90M,,,151.20M,151.20M,3.00M,,30.50M,4.50M,,,,,,,,157.00M,614.10M,-209.20M,,0.30M,,,16.50M,-192.40M,0.00,0.00,,-100.00M,-100.00M,5.80M,-23.30M,-117.50M,446.70M,304.20M,-0.40M,750.50M,,0.00,0.00,-100.00M,6.40M,6.30M
2019-01,-2.307B,,0.00,166.70M,166.70M,-25.90M,,,-52.00M,,,,,,,,143.20M,715.10M,-194.40M,,-2.90M,,,,-197.30M,-782.00M,-782.00M,,0.00,0.00,3.30M,-0.60M,-779.30M,708.30M,-261.50M,-0.10M,446.70M,,0.00,-782.00M,0.00,79.60M,94.10M
2018-10,281.80M,,0.00,150.40M,150.40M,23.20M,,,16.20M,,,,,,,,-189.50M,282.10M,-228.00M,,3.70M,,,,-224.70M,0.00,0.00,,0.00,0.00,4.00M,-0.90M,3.10M,647.30M,60.50M,0.50M,708.30M,,0.00,0.00,0.00,28.70M,11.60M
2018-07,273.90M,,0.00,152.50M,152.50M,-0.40M,,,17.50M,,,,,,,,-62.30M,381.20M,-213.60M,,-0.20M,,,,-213.60M,0.00,0.00,,0.00,0.00,5.60M,-0.50M,5.10M,475.20M,172.70M,-0.60M,647.30M,,0.00,0.00,0.00,162.60M,17.80M
2018-04,160.50M,,114.70M,151.50M,151.50M,-9.00M,,,83.30M,,,,,,,,-113.40M,387.60M,-181.10M,,-0.20M,,,,-181.10M,-656.90M,-656.90M,,0.00,0.00,4.60M,-176.50M,-828.80M,1.098B,-622.30M,-0.30M,475.20M,,4.826B,-5.483B,0.00,6.60M,259.90M
2018-01,1.040B,,,156.60M,156.60M,-489.30M,-35.00M,,-47.30M,,,,,,,,226.80M,917.60M,-182.70M,,0.40M,,0.00,,-182.40M,-48.30M,-48.30M,,,,10.60M,-0.20M,-37.90M,400.10M,697.30M,0.40M,1.098B,,0.00,-48.30M,,1.007B,547.80M
2017-10,239.90M,,,149.40M,149.40M,22.60M,0.00,,16.00M,,,,,,,,-510.50M,-82.60M,-177.80M,,-2.20M,,4.00M,,-175.90M,-41.50M,-41.50M,,,,9.50M,-2.50M,-34.50M,693.30M,-293.00M,-0.20M,400.10M,,0.00,-41.50M,,-818.40M,-405.00M
2017-07,233.80M,,,151.30M,151.30M,16.20M,2.60M,,21.10M,,,,,,,,-180.50M,244.50M,-161.40M,,-0.10M,,,,-161.50M,-541.50M,-541.50M,,,,3.10M,-7.10M,-545.50M,1.155B,-462.50M,0.90M,693.30M,,0.00,-541.50M,,356.50M,22.70M
2017-04,200.50M,,,153.90M,153.90M,-23.00M,50.90M,,36.50M,,,,,,,,11.90M,430.70M,-110.30M,,2.20M,,,,-108.10M,-27.80M,-27.80M,,,,11.80M,-17.60M,-33.60M,866.40M,289.00M,-0.50M,1.155B,,0.00,-27.80M,,7.30M,121.00M
2017-01,321.80M,,,155.70M,155.70M,-33.00M,0.00,,-33.50M,,,,,,,,545.40M,1.018B,-114.10M,,-2.10M,,0.00,,-115.30M,-777.70M,-777.70M,,,,8.20M,-1.00M,-770.50M,733.80M,132.20M,0.40M,866.40M,,0.00,-777.70M,,900.90M,631.90M
2016-10,171.60M,,,157.60M,157.60M,-60.00M,0.00,,45.50M,,,,,,,,-339.70M,-25.00M,-95.60M,,-0.30M,,0.00,,-95.90M,-242.00M,-242.00M,,,,10.60M,-6.70M,-238.10M,1.093B,-359.00M,-0.40M,733.80M,,3.102B,-3.344B,,-718.10M,-477.80M
