,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,9.443B,,,6.487B,,2.141B,2.141B,-590.00M,,9.269B,-4.772B,-2.332B,-4.391B,,-24.20B,-35.70B,-14.83B,,,,27.83B,2.507B,-14.59B,-41.04B,-6.047B,-47.08B,,0.00,0.00,0.00,0.00,0.00,-3.209B,-976.00M,19.25B,493.73B,-10.16B,3.957B,487.52B,0.00,6.499B,-47.54B,0.00,2.28B,2.337B
2020-06,4.687B,,,,,2.149B,2.149B,-3.517B,,1.39B,49.70B,-26.08B,37.74B,,7.204B,68.56B,83.74B,,,,-83.14B,7.203B,-48.47B,9.006B,-4.463B,4.543B,,0.00,0.00,0.00,0.00,0.00,-3.154B,313.00M,89.13B,367.53B,124.40B,1.791B,493.73B,0.00,22.89B,-13.89B,0.00,3.081B,4.865B
2020-03,2.865B,,,,,2.197B,2.197B,-1.329B,,523.00M,-49.32B,45.02B,-61.89B,,-67.12B,-133.31B,-120.77B,,,,-65.80B,-13.11B,-135.15B,5.794B,12.46B,18.25B,,-6.517B,-6.517B,4.50B,-1.43B,3.07B,-3.188B,3.442B,362.30B,263.63B,106.38B,-2.48B,367.53B,4.50B,34.85B,-29.06B,-7.947B,763.00M,4.374B
2019-12,8.52B,,,-6.229B,,2.139B,2.139B,1.389B,,9.588B,16.01B,-20.01B,3.074B,,62.63B,61.70B,84.76B,,,,-4.905B,-752.00M,-17.51B,-1.744B,-7.984B,-9.728B,,-6.751B,-6.751B,900.00M,-2.27B,-1.37B,-3.287B,-1.657B,-63.02B,256.60B,4.234B,2.80B,263.63B,900.00M,15.93B,-17.67B,-9.021B,2.146B,9.128B
2019-09,9.08B,,,6.229B,,2.145B,2.145B,-398.00M,,-7.601B,-673.00M,10.87B,-10.88B,,11.95B,11.28B,16.02B,,,,-85.81B,-2.62B,-63.92B,2.444B,-10.67B,-8.226B,,-6.949B,-6.949B,2.25B,-880.00M,1.37B,-2.975B,-4.12B,39.54B,268.04B,-8.373B,-3.068B,256.60B,2.25B,16.00B,-13.55B,-7.829B,586.00M,6.996B
2019-06,9.652B,,,,,2.046B,2.046B,-275.00M,,730.00M,-16.28B,-1.915B,-12.44B,,3.482B,-27.16B,-13.85B,,,,-36.29B,106.00M,-8.877B,-12.36B,-11.36B,-23.72B,,-5.21B,-5.21B,0.00,0.00,0.00,-3.048B,4.027B,-12.97B,302.60B,-35.70B,1.131B,268.04B,0.00,13.60B,-25.96B,-5.21B,2.358B,6.458B
2019-03,9.179B,,,,,2.038B,2.038B,233.00M,,13.17B,869.00M,10.70B,2.292B,,-120.86B,-107.00B,-80.88B,,,,-2.772B,-1.769B,36.30B,3.135B,1.455B,4.59B,,-5.091B,-5.091B,1.85B,-925.00M,925.00M,-3.033B,4.893B,69.44B,278.79B,24.86B,-1.045B,302.60B,1.85B,15.56B,-12.42B,-6.016B,534.00M,7.336B
2018-12,7.066B,,,,,2.075B,2.075B,2.044B,,-7.257B,5.486B,-12.05B,-11.74B,,13.25B,-5.054B,422.00M,,,,-29.11B,-2.999B,-158.21B,10.14B,5.502B,15.64B,,-5.928B,-5.928B,41.00M,-1.696B,-1.655B,-3.12B,747.00M,17.84B,419.10B,-139.95B,-354.00M,278.79B,41.00M,16.82B,-6.677B,-7.624B,1.345B,6.008B
2018-09,8.38B,,,-3.724B,,1.992B,1.992B,-107.00M,,3.697B,-3.252B,14.10B,3.625B,,-16.20B,-1.721B,13.19B,,,,-460.00M,-75.00M,-808.00M,-5.789B,823.00M,-4.966B,,-4.416B,-4.416B,1.655B,0.00,1.655B,-2.273B,1.056B,2.553B,405.18B,14.93B,-1.017B,419.10B,1.655B,13.68B,-19.46B,-4.416B,-1.709B,5.993B
2018-06,8.316B,,,1.927B,,1.927B,1.927B,-41.00M,,-959.00M,-3.074B,12.66B,3.213B,,12.43B,25.23B,35.68B,,,,2.711B,-1.263B,6.047B,2.966B,1.122B,4.088B,,-4.968B,-4.968B,0.00,0.00,0.00,-2.48B,-345.00M,-46.82B,414.81B,-5.091B,-4.541B,405.18B,0.00,21.25B,-18.28B,-4.968B,3.477B,4.72B
2018-03,8.712B,,,1.797B,,1.797B,1.797B,-175.00M,,-1.157B,-5.009B,-90.00M,-3.929B,,-36.42B,-45.45B,-35.11B,,,,8.814B,-649.00M,-45.02B,-11.97B,11.03B,-942.00M,,-4.671B,-4.671B,0.00,0.00,0.00,-2.236B,-1.176B,60.59B,431.30B,-19.54B,3.049B,414.81B,0.00,19.92B,-31.89B,-4.671B,429.00M,4.431B
2017-12,4.232B,,,-4.547B,,1.632B,1.632B,2.499B,,-280.00M,-6.073B,-6.384B,-14.69B,,30.31B,3.163B,12.55B,,,,12.85B,-1.218B,-19.46B,-7.187B,-2.466B,-9.653B,,-4.808B,-4.808B,1.258B,,0.00,-2.515B,13.00M,-21.76B,459.16B,-28.67B,814.00M,431.30B,1.258B,9.96B,-17.15B,-6.066B,1.087B,3.859B
2017-09,6.732B,,,1.579B,,1.579B,1.579B,-26.00M,,5.04B,2.145B,373.00M,7.456B,,-29.65B,-19.67B,-4.895B,,,,1.244B,105.00M,23.17B,-7.408B,784.00M,-6.624B,,-4.763B,-4.763B,0.00,,0.00,-2.092B,-31.00M,-11.51B,450.53B,6.766B,1.864B,459.16B,0.00,10.78B,-18.19B,-4.763B,1.502B,3.972B
2017-06,7.029B,,,1.504B,,1.504B,1.504B,-790.00M,,3.757B,-4.173B,1.046B,-614.00M,,-4.901B,-8.642B,4.073B,,,,21.08B,574.00M,-22.57B,-2.702B,13.91B,11.21B,,-3.007B,-3.007B,,,,-2.341B,-1.052B,4.306B,461.89B,-14.19B,2.834B,450.53B,,18.99B,-21.69B,-3.007B,1.38B,3.127B
2017-03,6.448B,,,1.464B,,1.464B,1.464B,629.00M,,64.00M,-7.767B,-11.54B,11.83B,,-25.00B,-32.48B,-22.56B,,,,8.05B,-24.00M,47.11B,-9.511B,4.308B,-5.203B,,-2.832B,-2.832B,,,,-2.045B,100.00M,43.60B,391.15B,68.16B,2.574B,461.89B,,16.54B,-26.05B,-2.832B,356.00M,3.195B
2016-12,6.727B,,,1.446B,,1.446B,1.446B,3.80B,,-4.591B,11.92B,-568.00M,2.252B,,18.75B,32.35B,40.60B,,,,-25.51B,-1.235B,22.90B,-6.846B,-1.992B,-8.838B,,-2.251B,-2.251B,,,,-2.287B,-1.233B,-33.43B,21.39B,30.07B,-1.50B,391.15B,,11.05B,-17.43B,-2.251B,595.00M,2.586B
