,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,20.82B,487.52B,389.58B,877.10B,76.94B,,76.94B,1.274T,26.67B,,,51.59B,989.74B,30.81B,,958.93B,1.037T,2.219T,3.246T,234.26B,,234.26B,234.26B,,41.99B,41.99B,41.99B,512.69B,279.18B,279.18B,2.001T,,2.443T,2.975T,34.17B,228.01B,88.29B,88.29B,30.06B,,,8.94B,271.11B
2020-06,20.54B,493.73B,485.88B,979.61B,72.26B,,72.26B,1.309T,26.30B,,,51.67B,978.52B,32.09B,,946.43B,1.085T,2.247T,3.213T,230.92B,,230.92B,230.92B,,48.01B,48.01B,48.01B,514.58B,317.00B,317.00B,1.931T,,2.413T,2.949T,34.17B,221.73B,88.12B,88.34B,30.06B,,,8.789B,264.47B
2020-03,24.00B,367.53B,399.94B,767.48B,122.06B,,122.06B,1.138T,25.88B,,,51.87B,1.015T,23.24B,,992.13B,1.020T,2.261T,3.139T,253.87B,,253.87B,253.87B,,51.91B,51.91B,51.91B,538.99B,299.34B,299.34B,1.836T,,2.320T,2.878T,34.17B,220.23B,87.86B,88.39B,30.06B,,,7.418B,261.26B
2019-12,21.70B,263.63B,,263.63B,72.86B,,72.86B,585.65B,25.81B,,,53.34B,959.77B,13.12B,,946.65B,809.34B,1.962T,2.687T,118.38B,92.03B,210.41B,210.41B,,40.92B,40.92B,40.92B,435.00B,291.50B,291.50B,1.562T,,1.973T,2.426T,31.10B,223.21B,88.52B,83.05B,26.99B,,,1.569B,261.33B
2019-09,21.22B,256.60B,,256.60B,88.99B,,88.99B,602.98B,25.12B,,,53.08B,945.22B,13.24B,,931.98B,890.13B,2.023T,2.765T,225.06B,,225.06B,225.06B,,48.89B,48.89B,48.89B,521.72B,296.47B,296.47B,1.525T,,1.960T,2.500T,32.47B,217.89B,88.51B,76.30B,28.36B,,,1.80B,264.35B
2019-06,23.16B,268.04B,,268.04B,88.40B,,88.40B,624.30B,24.66B,,,53.30B,956.89B,13.17B,,943.72B,830.64B,1.972T,2.727T,216.14B,,216.14B,216.14B,,59.89B,59.89B,59.89B,477.71B,288.87B,288.87B,1.524T,,1.961T,2.464T,31.10B,212.09B,88.36B,69.43B,26.99B,,,1.114B,263.22B
2019-03,21.95B,302.60B,,302.60B,72.24B,,72.24B,673.98B,24.16B,,,54.17B,956.24B,13.53B,,942.71B,800.77B,1.940T,2.737T,216.17B,,216.17B,216.17B,,71.30B,71.30B,71.30B,510.16B,290.89B,290.89B,1.493T,,1.941T,2.477T,31.10B,205.44B,88.17B,64.29B,26.99B,,,-558.00M,259.84B
2018-12,22.32B,278.79B,,278.79B,73.20B,,73.20B,673.58B,14.93B,,,54.35B,984.55B,13.44B,,971.11B,675.54B,1.837T,2.623T,114.79B,81.92B,196.71B,196.71B,,69.28B,69.28B,69.28B,448.31B,282.03B,282.03B,1.471T,,1.897T,2.366T,30.17B,199.20B,89.16B,60.49B,26.07B,,,-1.507B,256.52B
2018-09,23.22B,419.10B,,419.10B,78.79B,,78.79B,715.52B,14.18B,,,54.70B,954.32B,13.13B,,941.19B,651.22B,1.777T,2.615T,209.71B,,209.71B,209.71B,,64.64B,64.64B,64.64B,455.95B,270.12B,270.12B,1.459T,,1.880T,2.356T,31.87B,195.18B,89.33B,54.98B,27.76B,,,-2.425B,258.96B
2018-06,23.68B,405.18B,,405.18B,75.67B,,75.67B,707.35B,14.13B,47.49B,7.047B,54.54B,948.41B,13.25B,,935.16B,651.81B,1.774T,2.590T,196.98B,,196.98B,196.98B,28.05B,,28.05B,28.05B,400.33B,273.11B,273.11B,1.452T,,1.875T,2.333T,30.17B,189.88B,89.39B,50.83B,26.07B,,,-1.138B,257.46B
